idx	priority	label	center_dec	center_hex	lo_dec	hi_dec	lo_hex	hi_hex	width_bits
1	0	kanga_mid	34396961501501289790968896312971598690914	0x651565d0aed35b732c9f1da5021496fa62	34396961501501289790950449568897889139298	34396961501501289790987343057045308242530	000000000000000000000000000000651565D0AED35B732B9F1DA5021496FA62	000000000000000000000000000000651565D0AED35B732D9F1DA5021496FA62	65
2	0	kanga_lower	34174754894546241838917366508516248859293	0x646e3a611d16550676944463c5f81f329d	34174754894546241838898919764442539307677	34174754894546241838935813252589958410909	000000000000000000000000000000646E3A611D16550675944463C5F81F329D	000000000000000000000000000000646E3A611D16550677944463C5F81F329D	65
3	0	kanga_upper_minus_1	34619168108456337743020426117426948522535	0x65bc9140409061dfe2a9f6e63e310ec227	34619168108456337743001979373353238970919	34619168108456337743038872861500658074151	00000000000000000000000000000065BC9140409061DFE1A9F6E63E310EC227	00000000000000000000000000000065BC9140409061DFE3A9F6E63E310EC227	65
4	1	chunk_18	34196556479943799031756551071842849986982	0x647ea136435bd787040c3d84b5fe7b19a6	34196556479943799031738104327769140435366	34196556479943799031774997815916559538598	000000000000000000000000000000647EA136435BD787030C3D84B5FE7B19A6	000000000000000000000000000000647EA136435BD787050C3D84B5FE7B19A6	65
5	2	b2[46]	34339313561024031265435986695011695739557	0x64ea0739c6ae6c43a18d226a380b5242a5	34339313561024031265417539950937986187941	34339313561024031265454433439085405291173	00000000000000000000000000000064EA0739C6AE6C43A08D226A380B5242A5	00000000000000000000000000000064EA0739C6AE6C43A28D226A380B5242A5	65
6	3	wavg2a(b1[1],b2[7])	34397110051619213566813014671643969341096	0x6515826cc4e9de769ab310cd8fca6446a8	34397110051619213566794567927570259789480	34397110051619213566831461415717678892712	0000000000000000000000000000006515826CC4E9DE7699B310CD8FCA6446A8	0000000000000000000000000000006515826CC4E9DE769BB310CD8FCA6446A8	65
7	3	wavg2a(b1[10],b1[27])	34396787567781729472454552324872190505623	0x6515445116a469eb4a1ad8cdc9d2df3297	34396787567781729472436105580798480954007	34396787567781729472472999068945900057239	0000000000000000000000000000006515445116A469EB491AD8CDC9D2DF3297	0000000000000000000000000000006515445116A469EB4B1AD8CDC9D2DF3297	65
8	3	wavg2a(b2[10],b3[17])	34397196302846583187431493476075624417417	0x6515930948744f843c6f30b72097fb4889	34397196302846583187413046732001914865801	34397196302846583187449940220149333969033	0000000000000000000000000000006515930948744F843B6F30B72097FB4889	0000000000000000000000000000006515930948744F843D6F30B72097FB4889	65
9	3	wavg2a(b1[27],b4[42])	34397508193373559660730539773662841169753	0x6515cf1aac597166ff4f2a2999776a6759	34397508193373559660712093029589131618137	34397508193373559660748986517736550721369	0000000000000000000000000000006515CF1AAC597166FE4F2A2999776A6759	0000000000000000000000000000006515CF1AAC597167004F2A2999776A6759	65
10	3	wavg2b(b1[68],b2[34])	34397686350317442690610958355081515370359	0x6515f16a7d1e252472224d7bd823f20777	34397686350317442690592511611007805818743	34397686350317442690629405099155224921975	0000000000000000000000000000006515F16A7D1E252471224D7BD823F20777	0000000000000000000000000000006515F16A7D1E252473224D7BD823F20777	65
11	3	wavg2b(b1[18],b3[57])	34395349569714579269391985405040734031355	0x65142f5e4f54b68b57afb07e45efb0cdfb	34395349569714579269373538660967024479739	34395349569714579269410432149114443582971	00000000000000000000000000000065142F5E4F54B68B56AFB07E45EFB0CDFB	00000000000000000000000000000065142F5E4F54B68B58AFB07E45EFB0CDFB	65
12	3	avg(b2[12],b3[27])	34395069493849757148580694804578975387289	0x6513f96d80ed45a9d71cc7bbab06348e99	34395069493849757148562248060505265835673	34395069493849757148599141548652684938905	0000000000000000000000000000006513F96D80ED45A9D61CC7BBAB06348E99	0000000000000000000000000000006513F96D80ED45A9D81CC7BBAB06348E99	65
13	3	avg(b4[0],b4[66])	34399099430959510801405529449344264288229	0x65170190be4f19de2ec56f9e8a5543b7e5	34399099430959510801387082705270554736613	34399099430959510801423976193417973839845	00000000000000000000000000000065170190BE4F19DE2DC56F9E8A5543B7E5	00000000000000000000000000000065170190BE4F19DE2FC56F9E8A5543B7E5	65
14	3	wavg2a(b3[31],b3[43])	34394551646206688774027730634764121414776	0x651395b1a4c25b3947073bf08b074e1c78	34394551646206688774009283890690411863160	34394551646206688774046177378837830966392	000000000000000000000000000000651395B1A4C25B3946073BF08B074E1C78	000000000000000000000000000000651395B1A4C25B3948073BF08B074E1C78	65
15	3	wavg2b(b2[26],b4[64])	34394242258433480865106181973490350332194	0x65135a1ba60eccb03d39e795a034e69922	34394242258433480865087735229416640780578	34394242258433480865124628717564059883810	00000000000000000000000000000065135A1BA60ECCB03C39E795A034E69922	00000000000000000000000000000065135A1BA60ECCB03E39E795A034E69922	65
16	3	avg(b1[10],b1[68])	34394208961898661791198956990946037778790	0x651353b200b449275699797ed90c90c966	34394208961898661791180510246872328227174	34394208961898661791217403735019747330406	000000000000000000000000000000651353B200B449275599797ED90C90C966	000000000000000000000000000000651353B200B449275799797ED90C90C966	65
17	3	wavg2b(b1[18],b3[13])	34394131075125340656608540247417344921645	0x651344b1e36a8799471680ec97cd2a902d	34394131075125340656590093503343635370029	34394131075125340656626986991491054473261	000000000000000000000000000000651344B1E36A8799461680EC97CD2A902D	000000000000000000000000000000651344B1E36A8799481680EC97CD2A902D	65
18	3	wavg2b(b3[5],b3[43])	34399812063756719401616506703276668527490	0x65178ad040c3d24160349af9c09c9aa382	34399812063756719401598059959202958975874	34399812063756719401634953447350378079106	00000000000000000000000000000065178AD040C3D2415F349AF9C09C9AA382	00000000000000000000000000000065178AD040C3D24161349AF9C09C9AA382	65
19	3	wavg2b(b1[15],b2[8])	34393632225377834202977277543765556927234	0x6512e49eb266e5498852056a537c891b02	34393632225377834202958830799691847375618	34393632225377834202995724287839266478850	0000000000000000000000000000006512E49EB266E5498752056A537C891B02	0000000000000000000000000000006512E49EB266E5498952056A537C891B02	65
20	3	wavg2b(b2[41],b3[43])	34400364023283546462375202703386017566039	0x6517f51df56fc38af53c8f105368948d57	34400364023283546462356755959312308014423	34400364023283546462393649447459727117655	0000000000000000000000000000006517F51DF56FC38AF43C8F105368948D57	0000000000000000000000000000006517F51DF56FC38AF63C8F105368948D57	65
21	3	diff_low(b3[52],b4[2])	34393544485926015191852389149852237859906	0x6512d3b8ced3e8921d0d01fb1ba4388c42	34393544485926015191833942405778528308290	34393544485926015191870835893925947411522	0000000000000000000000000000006512D3B8CED3E8921C0D01FB1BA4388C42	0000000000000000000000000000006512D3B8CED3E8921E0D01FB1BA4388C42	65
22	3	diff_low(b3[30],b4[2])	34400472936560758843747845062291068190554	0x65180a17cc42833cf6a99daa3ae7de7f5a	34400472936560758843729398318217358638938	34400472936560758843766291806364777742170	00000000000000000000000000000065180A17CC42833CF5A99DAA3AE7DE7F5A	00000000000000000000000000000065180A17CC42833CF7A99DAA3AE7DE7F5A	65
23	3	wavg2a(b2[13],b2[41])	34393405122175211210597256609332272931861	0x6512b8e1a4fe72d895f32fec9cc6a1a415	34393405122175211210578809865258563380245	34393405122175211210615703353405982483477	0000000000000000000000000000006512B8E1A4FE72D894F32FEC9CC6A1A415	0000000000000000000000000000006512B8E1A4FE72D896F32FEC9CC6A1A415	65
24	3	diff_low(b1[48],b1[59])	34393379618631147821813101340133175024918	0x6512b3f8390322380e7d971addca175d16	34393379618631147821794654596059465473302	34393379618631147821831548084206884576534	0000000000000000000000000000006512B3F8390322380D7D971ADDCA175D16	0000000000000000000000000000006512B3F8390322380F7D971ADDCA175D16	65
25	3	wavg2a(b2[13],b3[5])	34392853162648384149838560609222923893312	0x65124e93f052818f00eb3bd609faa7ba40	34392853162648384149820113865149214341696	34392853162648384149857007353296633444928	00000000000000000000000000000065124E93F052818EFFEB3BD609FAA7BA40	00000000000000000000000000000065124E93F052818F01EB3BD609FAA7BA40	65
26	3	wavg2a(b2[15],b2[26])	34401384911526559932418313316199036058455	0x6518b9bba29cdf9beff785e5d318b37b57	34401384911526559932399866572125326506839	34401384911526559932436760060272745610071	0000000000000000000000000000006518B9BBA29CDF9BEEF785E5D318B37B57	0000000000000000000000000000006518B9BBA29CDF9BF0F785E5D318B37B57	65
27	3	avg(b1[22],b3[17])	34401597861826669358652210603794452990630	0x6518e2bee546e779b3bc88f90a38284aa6	34401597861826669358633763859720743439014	34401597861826669358670657347868162542246	0000000000000000000000000000006518E2BEE546E779B2BC88F90A38284AA6	0000000000000000000000000000006518E2BEE546E779B4BC88F90A38284AA6	65
28	3	diff_low(b1[21],b3[47])	34402101676503025514727365409603275989296	0x651943c6e080e0f749d0485a160c042130	34402101676503025514708918665529566437680	34402101676503025514745812153676985540912	000000000000000000000000000000651943C6E080E0F748D0485A160C042130	000000000000000000000000000000651943C6E080E0F74AD0485A160C042130	65
29	3	wavg2a(b1[52],b4[52])	34391727451889385900069348589234292172852	0x651175c61cfd0fda47798c3a841bf6a834	34391727451889385900050901845160582621236	34391727451889385900087795333308001724468	000000000000000000000000000000651175C61CFD0FDA46798C3A841BF6A834	000000000000000000000000000000651175C61CFD0FDA48798C3A841BF6A834	65
30	3	avg(b1[70],b2[7])	34391561686900465583047198005462573916821	0x651155d944ae5ce62319f44857970a2295	34391561686900465583028751261388864365205	34391561686900465583065644749536283468437	000000000000000000000000000000651155D944AE5CE62219F44857970A2295	000000000000000000000000000000651155D944AE5CE62419F44857970A2295	65
31	3	wavg2b(b2[13],b3[31])	34391072195652521148138757587737249097687	0x6510f7937c89b2e017628c5eafb654a7d7	34391072195652521148120310843663539546071	34391072195652521148157204331810958649303	0000000000000000000000000000006510F7937C89B2E016628C5EAFB654A7D7	0000000000000000000000000000006510F7937C89B2E018628C5EAFB654A7D7	65
32	3	wavg2a(b4[30],b4[48])	34391014935016507622552346327850507535111	0x6510ec8c51b40e0803a48dcb744cb38307	34391014935016507622533899583776797983495	34391014935016507622570793071924217086727	0000000000000000000000000000006510EC8C51B40E0802A48DCB744CB38307	0000000000000000000000000000006510EC8C51B40E0804A48DCB744CB38307	65
33	3	diff_low(b3[22],b4[50])	34402914716807436690371597616804537894374	0x6519e05cdbdf2a1a322e994cb36f7505e6	34402914716807436690353150872730828342758	34402914716807436690390044360878247445990	0000000000000000000000000000006519E05CDBDF2A1A312E994CB36F7505E6	0000000000000000000000000000006519E05CDBDF2A1A332E994CB36F7505E6	65
34	3	avg(b1[22],b4[45])	34390660986042838695527354181908158847492	0x6510a86149943a0d835db5e7d436e99a04	34390660986042838695508907437834449295876	34390660986042838695545800925981868399108	0000000000000000000000000000006510A86149943A0D825DB5E7D436E99A04	0000000000000000000000000000006510A86149943A0D845DB5E7D436E99A04	65
35	3	diff_low(b2[24],b4[61])	34403434793674149806135528520669493535399	0x651a4486a0cc28844a07a03fe5a01922a7	34403434793674149806117081776595783983783	34403434793674149806153975264743203087015	000000000000000000000000000000651A4486A0CC28844907A03FE5A01922A7	000000000000000000000000000000651A4486A0CC28844B07A03FE5A01922A7	65
36	3	diff_low(b1[29],b1[48])	34390217950924724543948449158867134319507	0x6510530df83ad9e2cb5d0d2d9b6af20b93	34390217950924724543930002414793424767891	34390217950924724543966895902940843871123	0000000000000000000000000000006510530DF83AD9E2CA5D0D2D9B6AF20B93	0000000000000000000000000000006510530DF83AD9E2CC5D0D2D9B6AF20B93	65
