n,solved,gap_head2,gap_head3,lhs_tail,rhs_tail,rx_tail,r_source,offset_bits
1,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"-2,-1,0"
2,True,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"-1,0"
3,True,14,148,768,962,368,bridge row 2 (no known_k / no RSZ),"1,2"
4,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"1,2,3"
5,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"2,3,4"
6,True,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"3,4"
7,True,14,148,768,962,368,bridge row 2 (no known_k / no RSZ),"5,6"
8,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"5,6,7"
9,True,14,148,768,962,368,bridge row 2 (no known_k / no RSZ),"7,8"
10,True,14,148,768,962,368,bridge row 2 (no known_k / no RSZ),"8,9"
11,True,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"8,9"
12,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"9,10,11"
13,True,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"10,11"
14,True,14,148,768,962,368,bridge row 2 (no known_k / no RSZ),"12,13"
15,True,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"12,13"
16,True,14,148,768,962,368,bridge row 2 (no known_k / no RSZ),"14,15"
17,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"14,15,16"
18,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"15,16,17"
19,True,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"16,17"
20,True,14,148,768,962,368,bridge row 2 (no known_k / no RSZ),"18,19"
21,True,14,148,768,962,368,bridge row 2 (no known_k / no RSZ),"19,20"
22,True,14,148,768,962,368,bridge row 2 (no known_k / no RSZ),"20,21"
23,True,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"20,21"
24,True,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"21,22"
25,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"22,23,24"
26,True,14,148,768,962,368,bridge row 2 (no known_k / no RSZ),"24,25"
27,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"24,25,26"
28,True,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"25,26"
29,True,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"26,27"
30,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"27,28,29"
31,True,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"28,29"
32,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"29,30,31"
33,True,14,148,768,962,368,bridge row 2 (no known_k / no RSZ),"31,32"
34,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"31,32,33"
35,True,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"32,33"
36,True,14,148,768,962,368,bridge row 2 (no known_k / no RSZ),"34,35"
37,True,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"34,35"
38,True,14,148,768,962,368,bridge row 2 (no known_k / no RSZ),"36,37"
39,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"36,37,38"
40,True,14,148,768,962,368,bridge row 2 (no known_k / no RSZ),"38,39"
41,True,14,148,768,962,368,bridge row 2 (no known_k / no RSZ),"39,40"
42,True,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"39,40"
43,True,14,148,768,962,368,bridge row 2 (no known_k / no RSZ),"41,42"
44,True,14,148,768,962,368,bridge row 2 (no known_k / no RSZ),"42,43"
45,True,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"42,43"
46,True,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"43,44"
47,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"44,45,46"
48,True,14,148,768,962,368,bridge row 2 (no known_k / no RSZ),"46,47"
49,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"46,47,48"
50,True,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"47,48"
51,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"48,49,50"
53,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"50,51,52"
54,True,14,148,768,962,368,bridge row 2 (no known_k / no RSZ),"52,53"
55,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"52,53,54"
56,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"53,54,55"
57,True,14,148,768,962,368,bridge row 2 (no known_k / no RSZ),"55,56"
58,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"55,56,57"
59,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"56,57,58"
60,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"57,58,59"
61,True,14,148,768,962,368,bridge row 2 (no known_k / no RSZ),"59,60"
62,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"59,60,61"
63,True,14,148,768,962,368,bridge row 2 (no known_k / no RSZ),"61,62"
64,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"61,62,63"
65,True,55,556,292,962,962,k*G_gen from known_k (hashkeys RSZ when available),"63,64"
66,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"63,64,65"
67,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"64,65,66"
68,True,29,292,776,962,219,bridge row 1 (no known_k / no RSZ),"65,66,67"
69,True,14,148,768,962,368,bridge row 2 (no known_k / no RSZ),"67,68"
70,True,10,101,760,962,294,k*G_gen from known_k (hashkeys RSZ when available),"67,68"
71,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"68,69"
72,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"69,70"
73,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"70,71"
74,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"71,72"
75,True,92,924,873,962,981,k*G_gen from known_k (hashkeys RSZ when available),"73,74"
76,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"73,74"
77,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"74,75"
78,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"75,76"
79,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"76,77"
80,True,80,804,268,962,472,k*G_gen from known_k (hashkeys RSZ when available),"77,78,79"
81,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"78,79"
82,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"79,80"
83,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"80,81"
84,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"81,82"
85,True,93,935,384,962,703,k*G_gen from known_k (hashkeys RSZ when available),"82,83,84"
86,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"83,84"
87,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"84,85"
88,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"85,86"
89,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"86,87"
90,True,61,611,532,962,142,k*G_gen from known_k (hashkeys RSZ when available),"87,88"
91,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"88,89"
92,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"89,90"
93,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"90,91"
94,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"91,92"
95,True,46,461,066,962,850,k*G_gen from known_k (hashkeys RSZ when available),"93,94"
96,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"93,94"
97,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"94,95"
98,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"95,96"
99,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"96,97"
100,True,35,355,078,962,660,k*G_gen from known_k (hashkeys RSZ when available),"97,98"
101,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"98,99"
102,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"99,100"
103,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"100,101"
104,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"101,102"
105,True,42,426,157,962,826,k*G_gen from known_k (hashkeys RSZ when available),"103,104"
106,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"103,104"
107,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"104,105"
108,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"105,106"
109,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"106,107"
110,True,10,101,216,962,400,k*G_gen from known_k (hashkeys RSZ when available),"107,108,109"
111,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"108,109"
112,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"109,110"
113,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"110,111"
114,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"111,112"
115,True,44,443,533,962,818,k*G_gen from known_k (hashkeys RSZ when available),"112,113,114"
116,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"113,114"
117,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"114,115"
118,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"115,116"
119,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"116,117"
120,True,10,103,486,962,490,hashkeys RSZ r -> R (puzzle 120 spend tx),"117,118"
121,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"118,119"
122,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"119,120"
123,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"120,121"
124,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"121,122"
125,True,10,102,075,962,500,hashkeys RSZ r -> R (puzzle 125 spend tx),"123,124"
126,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"123,124"
127,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"124,125"
128,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"125,126"
129,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"126,127"
130,True,78,781,927,962,032,hashkeys RSZ r -> R (puzzle 130 spend tx),"127,128,129"
131,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"128,129"
132,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"129,130"
133,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"130,131"
134,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"131,132"
135,False,14,148,768,962,368,hashkeys RSZ r -> R (puzzle 135 spend tx),"132,133,134"
136,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"133,134"
137,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"134,135"
138,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"135,136"
139,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"136,137"
