puzzle,idx,frac_target,anchor,d,d_bits,band_frac,offset_from_anchor,is_true_d,k_bits,rx_match,ry_match,lined_up,formula_roundtrip
130,0,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959709515776,130,0.494849,0,False,256,False,False,False,True
130,1,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959709599662,130,0.494849,83886,False,255,False,False,False,True
130,2,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959709431890,130,0.494849,-83886,False,256,False,False,False,True
130,3,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959709683548,130,0.494849,167772,False,253,False,False,False,True
130,4,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959709348004,130,0.494849,-167772,False,256,False,False,False,True
130,5,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959709767434,130,0.494849,251658,False,256,False,False,False,True
130,6,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959709264118,130,0.494849,-251658,False,254,False,False,False,True
130,7,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959709851320,130,0.494849,335544,False,256,False,False,False,True
130,8,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959709180232,130,0.494849,-335544,False,255,False,False,False,True
130,9,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959709935206,130,0.494849,419430,False,256,False,False,False,True
130,10,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959709096346,130,0.494849,-419430,False,256,False,False,False,True
130,11,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959710019092,130,0.494849,503316,False,255,False,False,False,True
130,12,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959709012460,130,0.494849,-503316,False,256,False,False,False,True
130,13,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959710102978,130,0.494849,587202,False,253,False,False,False,True
130,14,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959708928574,130,0.494849,-587202,False,256,False,False,False,True
130,15,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959710186864,130,0.494849,671088,False,256,False,False,False,True
130,16,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959708844688,130,0.494849,-671088,False,254,False,False,False,True
130,17,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959710270750,130,0.494849,754974,False,256,False,False,False,True
130,18,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959708760802,130,0.494849,-754974,False,255,False,False,False,True
130,19,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959710354636,130,0.494849,838860,False,255,False,False,False,True
130,20,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959708676916,130,0.494849,-838860,False,256,False,False,False,True
130,21,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959710438522,130,0.494849,922746,False,255,False,False,False,True
130,22,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959708593030,130,0.494849,-922746,False,256,False,False,False,True
130,23,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959710522408,130,0.494849,1006632,False,253,False,False,False,True
130,24,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959708509144,130,0.494849,-1006632,False,256,False,False,False,True
130,25,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959710606294,130,0.494849,1090518,False,256,False,False,False,True
130,26,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959708425258,130,0.494849,-1090518,False,254,False,False,False,True
130,27,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959710690180,130,0.494849,1174404,False,256,False,False,False,True
130,28,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959708341372,130,0.494849,-1174404,False,255,False,False,False,True
130,29,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959710774066,130,0.494849,1258290,False,255,False,False,False,True
130,30,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959708257486,130,0.494849,-1258290,False,256,False,False,False,True
130,31,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959710857952,130,0.494849,1342176,False,255,False,False,False,True
130,32,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959708173600,130,0.494849,-1342176,False,256,False,False,False,True
130,33,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959710941838,130,0.494849,1426062,False,252,False,False,False,True
130,34,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959708089714,130,0.494849,-1426062,False,256,False,False,False,True
130,35,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959711025724,130,0.494849,1509948,False,256,False,False,False,True
130,36,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959708005828,130,0.494849,-1509948,False,254,False,False,False,True
130,37,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959711109610,130,0.494849,1593834,False,256,False,False,False,True
130,38,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959707921942,130,0.494849,-1593834,False,255,False,False,False,True
130,39,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959711193496,130,0.494849,1677720,False,255,False,False,False,True
130,40,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959707838056,130,0.494849,-1677720,False,256,False,False,False,True
130,41,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959711277382,130,0.494849,1761606,False,254,False,False,False,True
130,42,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959707754170,130,0.494849,-1761606,False,256,False,False,False,True
130,43,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959711361268,130,0.494849,1845492,False,252,False,False,False,True
130,44,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959707670284,130,0.494849,-1845492,False,250,False,False,False,True
130,45,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959711445154,130,0.494849,1929378,False,256,False,False,False,True
130,46,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959707586398,130,0.494849,-1929378,False,254,False,False,False,True
130,47,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959711529040,130,0.494849,2013264,False,256,False,False,False,True
130,48,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959707502512,130,0.494849,-2013264,False,255,False,False,False,True
130,49,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959711612926,130,0.494849,2097150,False,255,False,False,False,True
130,50,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959707418626,130,0.494849,-2097150,False,256,False,False,False,True
130,51,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959711696812,130,0.494849,2181036,False,254,False,False,False,True
130,52,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959707334740,130,0.494849,-2181036,False,256,False,False,False,True
130,53,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959711780698,130,0.494849,2264922,False,250,False,False,False,True
130,54,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959707250854,130,0.494849,-2264922,False,251,False,False,False,True
130,55,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959711864584,130,0.494849,2348808,False,256,False,False,False,True
130,56,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959707166968,130,0.494849,-2348808,False,254,False,False,False,True
130,57,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959711948470,130,0.494849,2432694,False,256,False,False,False,True
130,58,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959707083082,130,0.494849,-2432694,False,255,False,False,False,True
130,59,0.58,1017341681030975397897345023959709515776,1017341681030975397897345023959712032356,130,0.494849,2516580,False,255,False,False,False,True
