family,param,n_used,r,close01,mae,p_perm
fixed,m=8,70,0.132690,0.271429,0.293214,0.303393
fixed,m=16,70,0.173325,0.285714,0.303612,0.155689
fixed,m=24,70,0.075306,0.271429,0.283269,0.542914
fixed,m=32,70,-0.182697,0.228571,0.313588,0.137725
fixed,m=40,70,-0.179579,0.185714,0.341721,0.133733
fixed,m=48,70,-0.194182,0.171429,0.341798,0.127745
fixed,m=56,70,-0.187044,0.228571,0.306799,0.143713
fixed,m=64,70,-0.229533,0.171429,0.319881,0.053892
fixed,m=72,70,-0.115602,0.271429,0.343503,0.325349
fixed,m=80,70,0.192830,0.314286,0.294856,0.089820
fixed,m=96,70,-0.262538,0.185714,0.342602,0.019960
fixed,m=112,70,0.060132,0.257143,0.283356,0.640719
fixed,m=128,70,0.180563,0.285714,0.287247,0.151697
fixed,m=160,70,0.183486,0.271429,0.309737,0.165669
fixed,m=192,70,0.104278,0.271429,0.299306,0.373253
fixed,m=224,70,0.001100,0.228571,0.301248,0.994012
fixed,m=256,70,-0.062273,0.171429,0.367430,0.556886
offset,c=0 (m=n-c),63,0.228500,0.253968,0.256970,0.063872
offset,c=1 (m=n-c),62,-0.050819,0.193548,0.324545,0.680639
offset,c=2 (m=n-c),61,-0.185888,0.213115,0.352714,0.185629
offset,c=3 (m=n-c),60,0.196397,0.333333,0.259639,0.141717
offset,c=4 (m=n-c),59,0.011498,0.271186,0.292152,0.938124
offset,c=5 (m=n-c),58,-0.039152,0.275862,0.312877,0.798403
offset,c=6 (m=n-c),57,-0.045672,0.245614,0.358474,0.744511
offset,c=7 (m=n-c),56,0.143708,0.250000,0.269193,0.329341
offset,c=8 (m=n-c),55,0.099055,0.345455,0.270173,0.512974
offset,c=9 (m=n-c),54,-0.092794,0.185185,0.341232,0.506986
offset,c=10 (m=n-c),53,-0.072066,0.245283,0.346764,0.610778
offset,c=11 (m=n-c),52,0.007095,0.288462,0.312345,0.954092
offset,c=12 (m=n-c),51,0.033143,0.274510,0.289050,0.812375
offset,c=13 (m=n-c),50,0.131824,0.300000,0.272208,0.355289
offset,c=14 (m=n-c),49,-0.195692,0.163265,0.390593,0.177645
