puzzle,d_max_k,d_frac,lower_max_k,lower_frac,Px_lo_max_k,Px_lo_frac,Px_hi_max_k,Px_hi_frac,Py_lo_frac,Px_lo_nm1_frac,map_lo_frac
1,1,1.000000,0,0.000000,0,0.000000,1,1.000000,0.000000,0.000000,0.000000
2,2,0.500000,1,1.000000,1,1.000000,2,0.500000,0.500000,1.000000,0.000000
3,3,0.333333,2,0.500000,2,1.000000,2,1.000000,0.500000,0.000000,1.000000
4,3,0.333333,0,0.000000,1,1.000000,3,0.333333,1.000000,1.000000,0.333333
5,3,1.000000,2,1.000000,3,1.000000,4,0.250000,0.666667,1.000000,1.000000
6,4,0.500000,3,0.666667,4,0.500000,4,0.500000,0.500000,0.666667,0.666667
7,4,0.750000,3,0.666667,4,0.250000,4,0.750000,1.000000,0.250000,1.000000
8,5,0.200000,4,1.000000,3,1.000000,5,0.200000,0.750000,1.000000,0.200000
9,5,0.600000,5,0.200000,5,0.400000,5,0.400000,0.250000,0.400000,0.750000
10,5,0.800000,2,0.500000,5,0.600000,5,1.000000,0.200000,0.600000,1.000000
11,6,0.166667,5,0.200000,6,0.333333,6,0.166667,0.166667,1.000000,0.166667
12,6,0.500000,5,1.000000,6,0.333333,6,0.500000,0.666667,0.250000,0.333333
13,7,0.142857,6,0.166667,6,0.333333,7,0.142857,0.666667,0.333333,0.500000
14,7,0.285714,6,0.500000,6,0.333333,7,0.285714,0.166667,0.333333,0.833333
15,7,0.714286,7,0.285714,7,0.571429,7,0.857143,0.142857,0.142857,0.333333
16,8,0.125000,7,0.428571,6,0.666667,8,0.125000,0.166667,0.666667,0.125000
17,8,0.250000,7,0.857143,8,0.125000,8,0.375000,0.285714,0.285714,0.714286
18,8,0.500000,8,0.125000,8,0.250000,8,0.625000,0.375000,0.250000,0.250000
19,8,1.000000,8,0.250000,7,1.000000,8,0.750000,0.111111,1.000000,0.875000
20,9,0.222222,8,1.000000,8,1.000000,9,0.222222,0.625000,1.000000,0.875000
21,9,0.444444,9,0.222222,9,0.111111,9,0.444444,0.111111,0.111111,0.444444
22,9,0.888889,9,0.222222,10,0.100000,10,0.100000,0.777778,0.444444,0.666667
23,10,0.100000,9,0.333333,9,0.777778,10,0.200000,0.200000,0.777778,0.100000
24,10,0.300000,10,0.100000,10,0.300000,10,0.300000,0.100000,0.100000,0.200000
25,10,0.900000,10,0.400000,10,0.800000,10,0.600000,0.400000,0.300000,0.400000
26,11,0.090909,10,0.500000,10,0.400000,11,0.090909,0.090909,0.400000,0.300000
27,11,0.181818,11,0.090909,10,0.400000,11,0.181818,0.300000,0.400000,0.181818
28,11,0.454545,11,0.181818,11,0.454545,11,0.545455,0.181818,0.181818,0.454545
29,11,0.909091,11,0.272727,12,0.083333,11,1.000000,0.454545,0.545455,0.545455
30,12,0.166667,12,0.083333,12,0.083333,12,0.083333,0.909091,0.090909,0.166667
31,12,0.333333,12,0.166667,11,0.727273,12,0.166667,1.000000,0.727273,0.250000
32,12,0.500000,12,0.083333,12,0.250000,12,0.416667,0.083333,0.250000,0.583333
33,13,0.076923,12,0.416667,13,0.076923,12,0.916667,0.500000,0.500000,0.272727
34,13,0.153846,12,0.916667,11,0.090909,13,0.153846,0.833333,0.090909,0.250000
35,13,0.230769,12,0.500000,13,0.384615,13,0.384615,0.230769,0.153846,0.230769
36,13,0.461538,13,0.076923,13,0.153846,13,0.538462,0.615385,0.153846,0.615385
37,14,0.071429,13,0.384615,13,0.384615,14,0.071429,0.692308,0.384615,0.071429
38,14,0.071429,13,0.076923,13,0.384615,14,0.142857,0.833333,0.384615,0.071429
39,14,0.214286,13,0.538462,12,0.500000,14,0.285714,0.153846,0.500000,1.000000
40,14,0.785714,14,0.357143,14,0.642857,14,0.571429,0.692308,0.214286,0.714286
41,15,0.066667,14,0.285714,15,0.066667,15,0.066667,0.857143,0.214286,0.066667
42,15,0.133333,14,0.500000,15,0.066667,15,0.200000,1.000000,0.142857,0.066667
43,15,0.333333,15,0.133333,15,0.333333,15,0.266667,0.066667,0.133333,0.333333
44,15,0.733333,15,0.333333,15,0.733333,15,0.600000,0.733333,0.266667,0.333333
45,15,1.000000,15,0.066667,16,0.062500,16,0.062500,0.062500,0.666667,0.062500
