P135 sqrt-fractional ladder
EX step0: s=248917971527329135823 r2=27021670877058826555117306596161562212987 n1=27021670877058826555366224567688891348810
  user n1=27021670877058826554937076559869210115698
=== ladder from y_135 start_bits=255 ===
  step 0: s_bits=128 r2_bits=252 n1_bits=252 in_band=False
  step 1: s_bits=126 r2_bits=249 n1_bits=249 in_band=False
  step 2: s_bits=125 r2_bits=249 n1_bits=249 in_band=False
  step 3: s_bits=125 r2_bits=244 n1_bits=244 in_band=False
  step 4: s_bits=122 r2_bits=240 n1_bits=240 in_band=False
  step 5: s_bits=120 r2_bits=239 n1_bits=239 in_band=False
  step 6: s_bits=120 r2_bits=237 n1_bits=237 in_band=False
  step 7: s_bits=119 r2_bits=237 n1_bits=237 in_band=False
  step 8: s_bits=119 r2_bits=237 n1_bits=237 in_band=False
  step 9: s_bits=119 r2_bits=237 n1_bits=237 in_band=False
  step 10: s_bits=119 r2_bits=236 n1_bits=236 in_band=False
  step 11: s_bits=118 r2_bits=236 n1_bits=236 in_band=False
  step 12: s_bits=118 r2_bits=234 n1_bits=234 in_band=False
  step 13: s_bits=117 r2_bits=234 n1_bits=234 in_band=False
  step 14: s_bits=117 r2_bits=234 n1_bits=234 in_band=False
  step 15: s_bits=117 r2_bits=232 n1_bits=232 in_band=False
  step 16: s_bits=116 r2_bits=231 n1_bits=231 in_band=False
  step 17: s_bits=116 r2_bits=228 n1_bits=228 in_band=False
  step 18: s_bits=114 r2_bits=228 n1_bits=228 in_band=False
  step 19: s_bits=114 r2_bits=227 n1_bits=227 in_band=False
  step 20: s_bits=114 r2_bits=227 n1_bits=227 in_band=False
  step 21: s_bits=114 r2_bits=226 n1_bits=226 in_band=False
  step 22: s_bits=113 r2_bits=226 n1_bits=226 in_band=False
  step 23: s_bits=113 r2_bits=226 n1_bits=226 in_band=False
  step 24: s_bits=113 r2_bits=224 n1_bits=224 in_band=False
  step 25: s_bits=112 r2_bits=224 n1_bits=224 in_band=False
  step 26: s_bits=112 r2_bits=223 n1_bits=223 in_band=False
  step 27: s_bits=112 r2_bits=223 n1_bits=223 in_band=False
  step 28: s_bits=112 r2_bits=221 n1_bits=221 in_band=False
  step 29: s_bits=111 r2_bits=220 n1_bits=220 in_band=False
  step 30: s_bits=110 r2_bits=218 n1_bits=218 in_band=False
  step 31: s_bits=109 r2_bits=215 n1_bits=215 in_band=False
  step 32: s_bits=108 r2_bits=213 n1_bits=213 in_band=False
  step 33: s_bits=107 r2_bits=211 n1_bits=211 in_band=False
  step 34: s_bits=106 r2_bits=211 n1_bits=211 in_band=False
  step 35: s_bits=106 r2_bits=210 n1_bits=210 in_band=False
  step 36: s_bits=105 r2_bits=209 n1_bits=209 in_band=False
  step 37: s_bits=105 r2_bits=208 n1_bits=208 in_band=False
  step 38: s_bits=104 r2_bits=208 n1_bits=208 in_band=False
  step 39: s_bits=104 r2_bits=208 n1_bits=208 in_band=False
  step 40: s_bits=104 r2_bits=208 n1_bits=208 in_band=False
  step 41: s_bits=104 r2_bits=207 n1_bits=207 in_band=False
  step 42: s_bits=104 r2_bits=207 n1_bits=207 in_band=False
  step 43: s_bits=104 r2_bits=204 n1_bits=204 in_band=False
  step 44: s_bits=102 r2_bits=202 n1_bits=202 in_band=False
  step 45: s_bits=101 r2_bits=201 n1_bits=201 in_band=False
  step 46: s_bits=101 r2_bits=201 n1_bits=201 in_band=False
  step 47: s_bits=101 r2_bits=201 n1_bits=201 in_band=False
  step 48: s_bits=101 r2_bits=200 n1_bits=200 in_band=False
  step 49: s_bits=100 r2_bits=199 n1_bits=199 in_band=False
  step 50: s_bits=100 r2_bits=199 n1_bits=199 in_band=False
  step 51: s_bits=100 r2_bits=199 n1_bits=199 in_band=False
  step 52: s_bits=100 r2_bits=196 n1_bits=196 in_band=False
  step 53: s_bits=98 r2_bits=193 n1_bits=193 in_band=False
  step 54: s_bits=97 r2_bits=193 n1_bits=193 in_band=False
  step 55: s_bits=97 r2_bits=192 n1_bits=192 in_band=False
  step 56: s_bits=96 r2_bits=191 n1_bits=191 in_band=False
  step 57: s_bits=96 r2_bits=189 n1_bits=189 in_band=False
  step 58: s_bits=95 r2_bits=188 n1_bits=188 in_band=False
  step 59: s_bits=94 r2_bits=186 n1_bits=186 in_band=False
  step 60: s_bits=93 r2_bits=185 n1_bits=185 in_band=False
  step 61: s_bits=93 r2_bits=185 n1_bits=185 in_band=False
  step 62: s_bits=93 r2_bits=184 n1_bits=184 in_band=False
  step 63: s_bits=92 r2_bits=183 n1_bits=183 in_band=False
  step 64: s_bits=92 r2_bits=183 n1_bits=183 in_band=False
  step 65: s_bits=92 r2_bits=182 n1_bits=182 in_band=False
  step 66: s_bits=91 r2_bits=182 n1_bits=182 in_band=False
  step 67: s_bits=91 r2_bits=182 n1_bits=182 in_band=False
  step 68: s_bits=91 r2_bits=181 n1_bits=181 in_band=False
  step 69: s_bits=91 r2_bits=175 n1_bits=175 in_band=False
  step 70: s_bits=88 r2_bits=175 n1_bits=175 in_band=False
  step 71: s_bits=88 r2_bits=175 n1_bits=175 in_band=False
  step 72: s_bits=88 r2_bits=172 n1_bits=172 in_band=False
