group	label	puzzle_n	lane3	lane5	scalar	mod	eq1_lhs	eq1_rhs	eq1_h2	eq1_h3	eq2_lhs	eq2_rhs	eq2_h2	eq2_h3
solved	P1	1	1	1	1	p	32748224938747404814623910738487752935528512903530129802856995983256684603122	32748224938747404814623910738487752935528512903530129802856995983256684603122	32->32	327->327	60300556597753154781239923047219078515410877540607532238537983597388018023497	28522264212469271830151728101663411104844712793013968865831688505076558508754	60->28	603->285
solved	P1	1	1	1	1	N	111932389028195315396815546971791166199071105959433453623911647478162028604238	21961766551009391820754038654052583481452545033103063662893245332585269910104	11->21	111->219	63864174655939162559187298403360374818927049174111034973644447360052720040543	78465346189582986982487856331495122141060040474514340295117675347218960436378	63->78	638->784
solved	P1	1	1	1	1	delta	3049210933116706156529343243383287657	56220668384168908396328960289896912350	30->56	304->562	126424704912520084442873408123707982202	289068747894390968550483386835227393463	12->28	126->289
solved	P2	2	2	2	3	p	104193826873522593991639737736096919049125888873761064059040146529970392609905	104193826873522593991639737736096919049125888873761064059040146529970392609905	10->10	104->104	34127961938143323518648504864655696834289988457762366459184325325612824696588	77726080072861252202718750487713923794914273153259980564912645881856150352797	34->77	341->777
solved	P2	2	2	2	3	N	106039085787720851727288613063833580830047371556249137770794716760761416515962	55059550318533131655175168820307508346826546327637408097393261730645925771300	10->55	106->550	49689783181094370105833173172729009022499404202577483562283577315651547217583	11830768734852992692946361688792811819684946715393138040958325736165297064421	49->11	496->118
solved	P2	2	2	2	3	delta	243014420729415847281797528203636459104	139371715287565888607955037945652855986	24->13	243->139	316576455279973784351848165530787452829	245054137619402979925460177126654282211	31->24	316->245
solved	P3	3	0	3	7	p	96450596166544446384344097527393051748536233860111093772726844804975283418792	96450596166544446384344097527393051748536233860111093772726844804975283418792	96->96	964->964	74157426359922080869902121248692622187243015158284150441887862630981325844409	40547498188754207847185421089104853109754439989408081422221661223714324829489	74->40	741->405
solved	P3	3	0	3	7	N	4661705979473571269269188715788187162552638291303845934478247623750177363809	61390824193325353259116074673106401412297051031721379497644366176713402224643	46->61	466->613	113773893901746200934350239128769824901598868831979267079567904882811740713144	100810608931719108512188524265254501257701055024697106531880665112260564984213	11->10	113->100
solved	P3	3	0	3	7	delta	359713862583604759030861608488286043749	231046535823753928670844241746221974768	35->23	359->231	321878716202086987060167117512083233082	381938047410539765337965540749812153167	32->38	321->381
solved	P4	4	1	4	8	p	82990125521313184298913304572568244533370608373326388832575356830610908273516	82990125521313184298913304572568244533370608373326388832575356830610908273516	82->82	829->829	58651623642036639619459573560403867331528864484006166486758302138518324681486	71979977390555669044859697725468350721956506997655101152877091586901152571197	58->71	586->719
