n,d,has_k,has_rsz,row,shelf2,offset,offset_bits,h_minus_10,h10_match,offset_eq_l2_l1,term_hits,n_term_hits,gap_mod_lo_bits,defect_lo_bits,defect_hi_bits,lambda_family_bits,C_floor,d_minus_lo_bits,shelf2_minus_lo_bits,m_bits
5,21,False,False,0,28,9,4,-5,False,False,P115-calibrated offset (shelf2->d)|L3-L1 mod LO,2,0,129,129,254,27,3,4,
10,514,False,False,1,851,175,8,0,False,False,P115-calibrated offset (shelf2->d),1,5,129,129,252,670,2,9,
15,26867,False,False,2,31640,11611,14,5,False,False,P115-calibrated offset (shelf2->d),1,13,129,129,256,24596,14,14,
20,863317,False,False,1,563591,299726,19,10,False,False,P115-calibrated offset (shelf2->d),1,14,129,129,255,817502,19,16,
25,33185509,False,False,0,31226526,1958983,21,15,False,False,P115-calibrated offset (shelf2->d),1,22,129,129,256,27397208,24,24,
30,1033162084,False,False,0,858998920,174163164,28,20,False,False,P115-calibrated offset (shelf2->d),1,28,129,129,256,830788817,29,29,
35,20112871792,False,False,2,26216768188,11075972788,34,25,False,False,P115-calibrated offset (shelf2->d),1,33,129,129,254,25506901263,32,34,
40,1003651412950,False,False,1,816623387713,187028025237,38,30,False,False,P115-calibrated offset (shelf2->d),1,35,129,129,254,829903455100,39,38,
45,19996463086597,False,False,2,32369346273419,5219302857594,43,35,False,False,P115-calibrated offset (shelf2->d),1,42,129,129,256,31822646857912,42,44,
50,611140496167764,False,False,2,640438131312561,533652318276515,49,40,False,False,P115-calibrated offset (shelf2->d),1,48,129,129,256,757564397894262,46,47,
55,30045390491869460,False,False,0,21638300771029740,8407089720839720,53,45,False,False,P115-calibrated offset (shelf2->d),1,54,129,129,256,22234869258326583,54,52,
60,1135041350219496382,False,False,0,759873055057288186,375168295162208196,59,50,False,False,P115-calibrated offset (shelf2->d),1,57,129,129,256,921442209851396150,59,58,
65,30568377312064202855,True,True,1,29361463802237623404,1206913509826579451,61,55,False,False,P115-calibrated offset (shelf2->d),1,64,129,129,254,30911017263178914318,64,64,256
70,970436974005023690481,True,True,2,922428805196605782052,48008168808417908429,66,60,False,False,P115-calibrated offset (shelf2->d),1,69,129,129,256,833878042443080790586,69,69,256
75,22538323240989823823367,True,True,1,25736341616689039171231,15691447555779365506920,74,65,False,False,P115-calibrated offset (shelf2->d),1,74,129,129,250,25158849984514364124409,72,73,256
80,1105520030589234487939456,True,True,0,1153614469607570438628610,556368470788978636663934,79,70,False,False,P115-calibrated offset (shelf2->d),1,76,129,129,256,877900955404444677870928,79,79,256
85,21090315766411506144426920,True,True,0,28651892654187029230407811,11781236226058543709317925,84,75,False,False,P115-calibrated offset (shelf2->d),1,83,129,129,256,29322066365268706981867475,81,83,255
90,868012190417726402719548863,True,True,2,887697637956932366737331528,599284572103484173431779447,89,80,False,False,P115-calibrated offset (shelf2->d),1,88,129,129,247,933057454077986645542074886,88,88,256
95,25525831956644113617013748212,True,True,1,27102580992590216209757754873,18230291592619981805641980923,94,85,False,False,P115-calibrated offset (shelf2->d),1,94,129,129,256,25124631289067127656150791263,93,93,255
100,868221233689326498340379183142,True,True,2,1196371026398900317050399589235,305675507404540882038331196595,98,90,False,False,P115-calibrated offset (shelf2->d),1,98,129,129,255,1024002484498873709245347838257,98,99,256
105,29083230144918045706788529192435,True,True,1,31641072941078348491082813512000,17724566807491367639652966966451,104,95,False,False,P115-calibrated offset (shelf2->d),1,103,129,129,255,35895174029461537329658660833846,103,104,250
110,1090246098153987172547740458951748,True,True,0,675088976322123842453649888130707,415157121831863330094090570821041,109,100,False,False,P115-calibrated offset (shelf2->d),1,109,129,129,255,923340181263839535010932591974751,109,105,253
115,31464123230573852164273674364426950,True,True,0,31430725853647386922072753534517673,33397376926465242200920829909277,105,105,True,False,P115-calibrated offset (shelf2->d),1,114,129,129,256,32009911430914981012371875037022265,114,114,254
120,919343500840980333540511050618764323,False,True,2,712847974125317909335724125400817298,206495526715662424204786925217947025,118,110,False,False,P115-calibrated offset (shelf2->d),1,119,129,129,256,1019313999204508152848813621476452084,118,116,
125,37650549717742544505774009877315221420,False,True,1,40699586342428181742940819365391578517,18218611307873016729294103476409156119,124,115,False,False,P115-calibrated offset (shelf2->d),1,116,129,129,256,36322688328071839984893459636034304711,124,124,
130,1103873984953507439627945351144005829577,False,True,0,971482688560753289275971365118233392492,132391296392754150351973986025772437085,127,120,False,False,P115-calibrated offset (shelf2->d),1,127,130,131,251,986495887983703220948369234350820364866,129,128,
135,,False,,2,35959002268835125861687979158600974388545,,,125,False,False,,0,134,135,136,252,36841725132675975009958411833737715658317,,134,
