puzzle,solved,true_slot,true_y,T1_slot_ok,T2_y_ok,T3_joint_ex_ok,T3_joint_ey_ok,T3_joint_sum_ok,T4_pred_bf,T4_bf_err,T4_ec_hit,T5_prefix_err,T5_loo_err
1,True,0,y,True,True,True,True,True,0.936724,0.063276,1,,0.463862
2,True,2,-y,False,False,False,False,False,0.970120,0.385157,3,0.275783,0.184674
3,True,1,-y,False,True,False,False,False,0.544170,0.263185,7,0.462063,0.143499
4,True,0,-y,False,True,False,True,False,0.563836,0.436164,8,0.105469,0.275117
5,True,0,y,False,True,False,True,False,0.741585,0.349267,21,0.471817,0.339665
6,True,2,y,False,False,False,False,False,0.932969,0.318259,49,0.061950,0.150812
7,True,1,y,False,False,False,False,False,0.240894,0.007033,76,0.388978,0.492331
8,True,0,-y,True,False,False,False,False,0.136071,0.328717,224,0.498715,0.350067
9,True,1,y,True,False,True,False,False,0.083171,0.215892,467,0.492788,0.407176
10,True,1,-y,False,False,False,False,False,0.398273,0.392649,514,0.150345,0.188466
11,True,2,-y,True,True,False,False,True,0.128192,0.045486,1155,0.416243,0.472867
12,True,0,y,True,True,True,True,True,0.128001,0.261630,2683,0.229670,0.142712
13,True,2,y,False,True,False,False,False,0.425641,0.076913,5216,0.458741,0.477523
14,True,1,-y,False,True,False,False,False,0.508426,0.144291,10544,0.034065,0.062754
15,True,2,-y,False,True,False,False,False,0.001373,0.287826,26867,0.396600,0.370765
16,True,1,y,False,False,False,False,False,0.308670,0.343895,51510,0.186021,0.184352
17,True,0,-y,False,False,False,False,False,0.995622,0.447537,95823,0.278678,0.289923
18,True,0,-y,False,False,False,False,False,0.697549,0.097542,198669,0.062717,0.039091
19,True,2,-y,False,True,False,False,False,0.068628,0.379097,none,0.320913,0.304002
20,True,1,-y,False,False,False,False,False,0.922870,0.203339,none,0.095241,0.092643
21,True,1,-y,False,True,False,False,False,0.734476,0.054487,none,0.038434,0.037862
22,True,1,-y,False,True,False,False,False,0.982844,0.462710,none,0.221994,0.223929
23,True,2,-y,False,False,False,False,False,0.964104,0.452583,none,0.245743,0.239367
24,True,2,y,False,False,False,False,False,0.798972,0.016537,none,0.499502,0.491916
25,True,0,y,True,False,True,False,False,0.468190,0.484140,none,0.245843,0.271396
26,True,1,y,True,True,True,False,True,0.300141,0.400640,none,0.321601,0.293098
27,True,0,y,False,True,False,True,False,0.738279,0.000000,111949941,0.009552,0.010282
28,True,2,-y,False,True,False,False,False,0.878767,0.116624,none,0.067510,0.048750
29,True,2,-y,False,False,False,False,False,0.772794,0.194815,none,0.104195,0.088328
30,True,0,-y,False,False,False,False,False,0.726771,0.217648,none,0.105630,0.120449
31,True,2,y,True,True,True,False,True,0.095008,0.125626,none,0.069528,0.053307
32,True,0,y,True,True,True,True,True,0.297603,0.228978,none,0.110016,0.126184
33,True,1,-y,False,True,False,False,False,0.360707,0.372052,none,0.321884,0.307568
34,True,0,-y,False,True,False,True,False,0.936577,0.218221,none,0.107267,0.100176
35,True,2,y,False,False,False,False,False,0.955380,0.272020,none,0.141009,0.147971
36,True,1,-y,False,True,False,False,False,0.500104,0.197175,none,0.097618,0.089523
37,True,2,-y,False,True,False,False,False,0.976787,0.431953,none,0.212295,0.208361
38,True,1,-y,False,False,False,False,False,0.596823,0.499923,none,0.240620,0.242844
39,True,0,-y,False,False,False,False,False,0.515799,0.279821,none,0.375841,0.374817
40,True,1,-y,False,True,False,False,False,0.357182,0.488787,none,0.261721,0.269044
41,True,1,y,False,False,False,False,False,0.495600,0.088223,none,0.455460,0.471799
42,True,2,y,False,True,False,False,False,0.908578,0.488309,none,0.267383,0.248722
43,True,1,-y,False,True,False,False,False,0.385755,0.366819,none,0.321762,0.310217
44,True,1,y,True,True,True,False,True,0.567825,0.240616,none,0.377380,0.374098
45,True,2,y,False,False,False,False,False,0.800729,0.384081,none,0.297071,0.301480
46,True,2,-y,False,False,False,False,False,0.993895,0.446818,none,0.205919,0.215885
47,True,0,y,False,True,False,True,False,0.868820,0.102806,none,0.470564,0.464417
48,True,1,y,False,True,False,False,False,0.196329,0.245799,none,0.134854,0.134699
49,True,0,-y,True,False,False,False,False,0.486614,0.052899,none,0.035595,0.037058
50,True,2,y,False,False,False,False,False,0.942324,0.176173,none,0.403495,0.406717
51,True,0,y,True,False,True,False,False,0.142660,0.271956,none,0.119490,0.127375
52,True,0,-y,True,True,False,True,True,0.876455,0.028511,none,0.466913,0.481459
53,True,0,y,False,True,False,True,False,0.978752,0.392021,none,0.331800,0.318024
54,True,1,y,True,True,True,False,True,0.236991,0.089831,none,0.476635,0.470985
55,True,0,-y,True,True,False,True,True,0.071195,0.333202,none,0.153877,0.158376
56,True,0,-y,False,False,False,False,False,0.990382,0.305126,none,0.331916,0.341445
57,True,1,y,False,True,False,False,False,0.376490,0.436477,none,0.196790,0.210651
58,True,0,y,False,True,False,True,False,0.124902,0.347707,none,0.301245,0.319891
59,True,0,y,False,True,False,True,False,0.034721,0.169432,none,0.445379,0.430693
60,True,0,-y,False,False,False,False,False,0.197011,0.219560,none,0.087234,0.100854
61,True,1,-y,True,False,False,False,False,0.211467,0.094998,none,0.071499,0.058367
62,True,0,-y,True,False,False,False,False,0.142548,0.381275,none,0.332190,0.323464
63,True,1,y,False,True,False,False,False,0.680349,0.283196,none,0.159068,0.153628
64,True,0,-y,True,True,False,True,True,0.011156,0.062672,none,0.016391,0.021441
65,True,1,-y,False,False,False,False,False,0.597857,0.130817,none,0.419391,0.429675
66,True,0,y,True,True,True,True,True,0.310712,0.018373,none,0.469160,0.486591
67,True,0,y,True,True,True,True,True,0.189122,0.342860,none,0.357332,0.342908
68,True,0,y,True,False,True,False,False,0.003406,0.428008,none,0.309425,0.299809
69,True,1,y,True,False,True,False,False,0.250681,0.240324,none,0.101284,0.111364
70,True,2,y,True,False,True,False,False,0.187940,0.470744,none,0.284974,0.278177
75,True,1,-y,False,False,False,False,False,0.847206,0.407592,none,0.279929,0.289579
80,True,0,y,True,True,True,True,True,0.987115,0.116115,none,0.462160,0.457680
85,True,0,y,False,True,False,True,False,0.393310,0.268527,none,0.379535,0.380534
90,True,2,-y,False,False,False,False,False,0.536053,0.048208,none,0.484496,0.492053
95,True,1,y,False,False,False,False,False,0.242428,0.123517,none,0.436189,0.433370
100,True,2,-y,False,False,False,False,False,0.723433,0.269455,none,0.126860,0.126109
105,True,1,y,False,True,False,False,False,0.571018,0.051060,none,0.484008,0.490610
110,True,0,y,False,True,False,True,False,0.270774,0.477507,none,0.242005,0.251983
115,True,0,y,True,True,True,True,True,0.195372,0.403891,none,0.202094,0.214720
120,True,2,-y,False,True,False,False,False,0.700512,0.232425,none,0.118622,0.107365
