source,tag,step,x,y,log2_sqrt_x,log2_sqrt_y,delta_x,delta_y,min_delta,closer,ratio_pmn_over_sqrt,is_p135_pubkey,x_eq_p135_px
00_Projects\patent\puzzle135da.txt,puzzle135da,0,9210836494447108270027136741376870869791784014198948301625976867708124077590,46351506704828816385393879789131775975171267756561783641521771795450741674800,126.17396964955003,127.33957572369161,2.1717324970588106,1.0061264229172318,1.0061264229172318,y,2.0085110839674436,True,True
00_Projects\patent\puzzle135da.txt,puzzle135da,1,66135406164325385060095891495657536334323340092839134970858076987573600092245,18001255490755148211396931233614335948899118184970256999612730580150292902845,127.59597902465818,126.65731637086172,0.7497231219506685,1.6883857757471255,0.7497231219506685,x,1.6814700964405087,False,False
00_Projects\patent\puzzle135da.txt,puzzle135da,2,109344736698857279586843786573489968957095068866232663724221449050639885326640,43272174790145337221510354499587258840722161011222938094283259408724798151076,127.95867354218038,127.28998742078089,0.38702860442845927,1.0557147258279593,0.38702860442845927,x,1.3076972760968444,False,False
00_Projects\patent\puzzle135da.txt,puzzle135da,3,76013374959556607443280118069621118804492499987295356045898139430054251341848,34302155782116638100070009803644310475619337609611213271735877754284606803015,127.69639425111701,127.12241722975607,0.6493078954918243,1.2232849168527726,0.6493078954918243,x,1.5684155988184523,False,False
00_Projects\patent\puzzle135da.txt,puzzle135da,4,111043121248979144190160020761239752631708838789824310947668416982217859512591,72488977945331606341283165653837897517536072723202996665415078684024079650758,127.96979166591676,127.66214842968031,0.3759104806920774,0.6835537169285247,0.3759104806920774,x,1.2976582446743925,False,False
00_Projects\patent\puzzle135da.txt,puzzle135da,5,108157905404509980937989848246545179005908593359563938978457667802027059418314,13677841400423764954426702026134455208160628007114430330082579741529691614284,127.95080121198569,126.45918788871806,0.3949009346231563,1.886514257890775,0.3949009346231563,x,1.3148524702796036,False,False
00_Projects\patent\puzzle135da.txt,puzzle135da,6,5631667576938923167887408450643946108568855977627685869886110623829484584264,102215460133416002599182629641755809412680133972016161893628836170274010847245,125.81908464720476,127.91003836368361,2.526617499404076,0.4356637829252302,0.4356637829252302,y,1.3525329893220666,False,False
00_Projects\patent\puzzle135da.txt,puzzle135da,7,72178410331515031671751563611173755062046126723130742830207139572439931595110,48694176165383451977078061593142205311256967982238680064438662251979110187906,127.6590512904428,127.37514222370375,0.6866508561660334,0.9705599229050975,0.6866508561660334,x,1.6095427057903176,False,False
00_Projects\patent\puzzle135da.txt,puzzle135da,8,13665249516995724664087472840690804982708467684151628516017291047631860793442,36823903076218835482529572391854237716998980525161643919155448507775035754942,126.45852350702413,127.1735888809088,1.8871786395847152,1.1721132657000515,1.1721132657000515,y,2.253415365241047,False,False
00_Projects\patent\puzzle135da.txt,puzzle135da,9,31060495513663202101987712317142807491737035248353699795193273662130634011067,57578491264096255265216760230142712481433200196073000378687709096357165001247,127.05080802846071,127.4960325988651,1.2948941181481282,0.8496695477437437,0.8496695477437437,y,1.8020881059704443,False,False
