puzzle,solved,ID01_H_minus_sqrt_y_eq_frac_Dy,ID04_curve_y2_eq_x3_plus_7,ID05_neg_scalar_same_x,ID06_y_plus_neg_y_eq_p,ID02_band_frac_eq_2_sqrt_d,ID03_band_frac_eq_log2d_minus_n1,S01_d_in_band,S02_complement_eq_height_minus_d,S03_px_is_cube_root_slot,S04_true_slot_index,H06_y_closer_hinge_than_x,H07_x_closer_hinge_than_y,H01_tight_Ex,H02_tight_Ey_plus_y,H03_tight_Ey_minus_y,H05_neg_y_beats_plus_y_on_Ey,H04_tight_Ex_minus_Ed,GZ01_P27_x_offset,GZ02_P27_y_offset,GZ03_P27_yx_offset,GZ01_tight_001,T01_tightest_xd_in_dataset,M01_mirror_sum_mod1,M03_mirror_sum_neg_mod1,M02_combined_mirror_ratio,ALG01_yx_link,L01_lambda_band_Ex_minus_Ed
1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,2,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
3,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES
4,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES
5,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO
6,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,2,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
7,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
8,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES
9,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO
10,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO
11,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,2,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
12,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
13,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,2,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
14,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
15,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,2,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO
16,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
17,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
18,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO
19,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,2,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO
