Percentile distances to d — 26 solved puzzles (5–130 step 5)
r1 = (k mod 2^(N-1)) + 2^(N-1);  r2 = k mod (2^N-1) band-lifted

=== RAW |d - result| ===
probe             min         p5        p25        p50        p75        p95        p99        max
kx_r1               5        596 4.9177e+10 5.3974e+19 9.1459e+27 2.3652e+36 1.7426e+38 2.3133e+38
kx_r2               2        928 6.5703e+10 1.8140e+20 1.8034e+29 7.2602e+36 1.1928e+38 1.5583e+38
ky_r1               9       2467 4.8718e+10 1.8105e+19 8.0549e+28 3.2944e+36 1.4085e+38 1.8636e+38
ky_r2               2        392 4.8287e+09 9.9387e+19 1.5100e+29 1.8678e+36 1.8622e+38 2.4748e+38
best                2        392 4.8287e+09 1.6029e+19 8.6971e+26 1.8678e+36 1.1749e+38 1.5583e+38

=== Distance (bits) ===
probe             min         p5        p25        p50        p75        p95        p99        max
kx_r1               3          8         35         65         93        121        126        128
kx_r2               2         10         35         66         96        122        126        127
ky_r1               4         10         34         64         96        121        126        128
ky_r2               2          7         33         65         97        120        126        128
best                2          7         33         64         90        120        126        127

=== Closest to d (min of 4 probes) ===
  kx_r1: 5/26
  kx_r2: 7/26
  ky_r1: 5/26
  ky_r2: 9/26

=== Per-puzzle distance bits ===
puzzle d_bits  kx_r1_b  kx_r2_b  ky_r1_b  ky_r2_b     best  gap
     5      5        3        2        4        2    kx_r2    3
    10     10        6        9        9        6    ky_r2    4
    15     15       12       12       14       11    ky_r2    4
    20     20       19       19       18       19    ky_r1    2
    25     25       19       21       20       23    kx_r1    6
    30     30       29       27       24       28    ky_r1    6
    35     35       34       34       33       33    ky_r2    2
    40     40       38       38       38       33    ky_r2    7
    45     45       43       43       44       44    kx_r2    2
    50     50       47       44       49       49    kx_r2    6
    55     55       51       52       53       53    kx_r1    4
    60     60       56       57       58       57    kx_r1    4
    65     65       63       62       63       62    kx_r2    3
    70     70       67       69       65       68    ky_r1    5
    75     75       73       71       74       73    kx_r2    4
    80     80       76       79       75       79    ky_r1    5
    85     85       84       84       81       79    ky_r2    6
    90     90       87       88       84       85    ky_r1    6
    95     95       94       89       93       94    kx_r2    6
   100    100       90       98       97       98    kx_r1   10
   105    105      101      103      104      103    kx_r1    4
   110    110      107      107      106      105    ky_r2    5
   115    115      111      113      112      110    ky_r2    5
   120    120      119      118      118      117    ky_r2    3
   125    125      122      123      122      121    ky_r2    4
   130    130      128      127      128      128    kx_r2    3
