puzzle,d,d_bits,kx,ky,kx_r1,kx_r1_dist,kx_r1_dist_bits,kx_r2,kx_r2_dist,kx_r2_dist_bits,ky_r1,ky_r1_dist,ky_r1_dist_bits,ky_r2,ky_r2_dist,ky_r2_dist_bits,best,best_dist,best_dist_bits,gap_n_minus_best
5,21,5,26385726332630874781476800586513928525574233829243857135400303793425296420816,11249007651700734183078835894361222957974759797827404606346069157345046635886,16,5,3,23,2,2,30,9,4,19,2,2,kx_r2,2,2,3
10,514,10,98824421861471239967613155739981662083112435051647179489538067611065354855993,57091829363590010388644241327704274255025921435937704059399272875749820135221,569,55,6,971,457,9,821,307,9,558,44,6,ky_r2,44,6,4
15,26867,15,66456920427396023514128149735292263328676615043819116137098661507612656136606,47077633765291928847359623335041911547230877212312901489009345412887098328576,29086,2219,12,24524,2343,12,17920,8947,14,25429,1438,11,ky_r2,1438,11,4
20,863317,20,76424825644597269559207132329907351758171194602430589990544927860278335931487,70640317082278756449077571117695596210531424682381432515789972369164828888633,558175,305142,19,551525,311792,19,1003065,139748,18,600208,263109,19,ky_r1,139748,18,2
25,33185509,25,104108685400526135303688082894805388990651820176009120165713412671263187761590,3839889034704148529427258191310118210421497592358503634744970076934976252933,32864694,320815,19,31487586,1697923,21,32451589,733920,20,25916373,7269136,23,kx_r1,320815,19,6
30,1033162084,30,46097337905531196585978633048002983422650445926779702873417153550647401498123,62577169093516166920840843665173711446445773599364217267891909380514321525695,552191499,480970585,29,945776163,87385921,27,1018686399,14475685,24,870419515,162742569,28,ky_r1,14475685,24,6
35,20112871792,35,9592696214454163326184367479016115162245305157104163435255529627653782804863,87641323199807037148315954587310303536236449659631465662843155033586748558098,32487938431,12375066639,34,29973678527,9860806735,34,24619715346,4506843554,33,24545240966,4432369174,33,ky_r2,4432369174,33,2
40,1003651412950,40,98433307381610705952514288766059244497026096514405070939977338619695076444470,99655010481223875013296366963233406172772033282271323283974921649796113565842,844070095158,159581317792,38,770420732445,233230680505,38,822301755538,181349657412,38,1009669197680,6017784730,33,ky_r2,6017784730,33,7
45,19996463086597,45,7229904308183887480494418075262116036930553789471251920539376827966441775106,106080054764382495554956325259446165707303579236390646729411109336076684395610,27627020476418,7630557389821,43,25451525238193,5455062151596,43,33984013960282,13987550873685,44,34768430866744,14771967780147,44,kx_r2,5455062151596,43,2
50,611140496167764,50,4218827226415397721739572389171845516677826576830594354668380455959235501203,42239762670985890531002574327490842544279165924361166786698892442197320369480,691112903285907,79972407118143,47,628222190544161,17081694376397,44,1046914212660552,435773716492788,49,1059113695012147,447973198844383,49,kx_r2,17081694376397,44,6
55,30045390491869460,55,3043263593448393551166544532160952080692582747295880073964864437271268657179,28281031932827721287410950922857775508466791817167852012650762288519289706950,32066821167482907,2021430675613447,51,33115343565965493,3069953074096033,52,21826403041745350,8218987450124110,53,35655557134964561,5610166643095101,53,kx_r1,2021430675613447,51,4
