puzzle,source,k_bits,k_mod_2_134,k_plus_2_134,k_mod_2_135_m1,dist_result1,dist_result1_bits,dist_result2,dist_result2_bits,circ_result1_mod_lo,circ_result1_bits,circ_result2_mod_lo,circ_result2_bits,result1_in_band,result2_in_band
5,k_x_map,254,14426991767278424543121562202751382089680,36205063250218486204777537078384547622864,14427597553845736075681976022588889515357,36205063250218486204777537078384547622843,135,14427597553845736075681976022588889515336,134,5,3,8,4,False,False
5,k_y_same,253,6668618549784783550892523999584185558382,28446690032724845212548498875217351091566,28446948297274589956677250814337264519431,28446690032724845212548498875217351091545,135,28446948297274589956677250814337264519410,135,7,3,2,2,False,False
5,k_y_opp,256,14677032546589618453911030009654011829202,36455104029529680115567004885287177362386,14679432738031443541528085684654659090488,36455104029529680115567004885287177362365,135,14679432738031443541528085684654659090467,134,3,2,3,2,False,False
10,k_x_map,256,15910026178036257811143663281575024698937,37688097660976319472799638157208190232121,15912295075489801522332107495658037549304,37688097660976319472799638157208190231607,135,15912295075489801522332107495658037548790,134,55,6,246,8,False,False
10,k_y_same,255,19230759549987812579077563749466190968629,41008831032927874240733538625099356501813,41010141797046917405792543612934018665094,41008831032927874240733538625099356501299,135,41010141797046917405792543612934018664580,135,205,8,132,8,False,False
10,k_y_opp,256,2114891546386589425725990259772006418955,23892963029326651087381965135405171952139,2116239238259116092412792886057904944825,23892963029326651087381965135405171951625,135,2116239238259116092412792886057904944311,131,9,4,183,8,False,False
15,k_x_map,256,3660216479893709664978925152012435583390,25438287962833771326634900027645601116574,25439813738898916840430580591763496151998,25438287962833771326634900027645601089707,135,25439813738898916840430580591763496125131,135,2219,12,715,10,False,False
15,k_y_same,255,19658161410682409190906744647011303851520,41436232893622470852562719522644469384704,19659242260146104136973357928200014645012,41436232893622470852562719522644469357837,135,19659242260146104136973357928200014618145,134,7437,13,7713,13,False,False
15,k_y_opp,256,1687489685691992813896809362226893536064,23465561168632054475552784237860059069248,23467138775159929361231978570791908964907,23465561168632054475552784237860059042381,135,23467138775159929361231978570791908938040,135,4685,13,4408,13,False,False
20,k_x_map,256,3207255947700329877068703861907273581663,24985327430640391538724678737540439114847,24987082058585856428916446629186749991577,24985327430640391538724678737540438251530,135,24987082058585856428916446629186749128260,135,219146,18,56900,16,False,False
20,k_y_same,256,13414390402461330844526376404474295963193,35192461885401392506182351280107461496377,13416012224603333067448771426275833359648,35192461885401392506182351280107460633060,135,13416012224603333067448771426275832496331,134,139748,18,130869,17,False,False
20,k_y_opp,255,7931260693913071160277177604763901424391,29709332176853132821933152480397066957575,29710368810702700430756565072716090250271,29709332176853132821933152480397066094258,135,29710368810702700430756565072716089386954,135,116402,17,137270,18,False,False
25,k_x_map,256,19549785779917876865508065703340463716790,41327857262857938527164040578973629249974,41330247481052466910573273405053356898261,41327857262857938527164040578973596064465,135,41330247481052466910573273405053323712752,135,320815,19,4450064,23,False,False
25,k_y_same,252,5238304441017768271678605278419990031365,27016375923957829933334580154053155564549,27016464083486503354688156831832911300637,27016375923957829933334580154053122379040,135,27016464083486503354688156831832878115128,135,733920,20,2910520,22,False,False
25,k_y_opp,256,16107346655356633733124948730818207356219,37885418138296695394780923606451372889403,16109916951819530143517179667159012309282,37885418138296695394780923606451339703894,135,16109916951819530143517179667158979123773,134,5027414,23,1382973,21,False,False
30,k_x_map,255,6973623599534204652392394334887102498315,28751695082474266314048369210520268031499,28752753425448795572260202983899522526142,28751695082474266314048369210519234869415,135,28752753425448795572260202983898489364058,135,55900327,26,111484506,27,False,False
30,k_y_same,256,19575449396129330854160604613582754671551,41353520879069392515816579489215920204735,41354957580412358908400148843861154635580,41353520879069392515816579489214887042651,135,41354957580412358908400148843860121473496,135,14475685,24,213265960,28,False,False
30,k_y_opp,255,1770201700245071150642949395655442716033,23548273183185132812298924271288608249217,1771423454893674589805187655130768974339,23548273183185132812298924271287575087133,135,1771423454893674589805187655129735812255,131,169244643,28,29545631,25,False,False
35,k_x_map,253,15475092619092508340662963782043023874431,37253164102032570002318938657676189407615,37253384339536656822857782243177567951151,37253164102032570002318938657656076535823,135,37253384339536656822857782243157455079359,135,4804802545,33,3831822401,32,False,False
35,k_y_same,256,17279008850818745061621776012677922097938,39057080333758806723277750888311087631122,39059092479858806009576718416827574773554,39057080333758806723277750888290974759330,135,39059092479858806009576718416807461901762,135,4506843554,33,5839508930,33,False,False
35,k_y_opp,254,4066642245555656943181777996560275289646,25844713728495718604837752872193440822830,4067288555447227488628618082164348836365,25844713728495718604837752872173327951038,135,4067288555447227488628618082144235964573,132,6879632194,33,8212297571,33,False,False
40,k_x_map,256,3034328709538149995664557019430605785398,24812400192478211657320531895063771318582,3036588627443615565152342902655628609977,24812400192478211657320531894060119905632,135,3036588627443615565152342901651977197027,132,159581317792,38,197291747869,38,False,False
40,k_y_same,256,19932362230525074229738907857838722320530,41710433713465135891394882733471887853714,19934650197358117482012119575700144156539,41710433713465135891394882732468236440764,135,19934650197358117482012119574696492743589,134,181349657412,38,185429967963,38,False,False
40,k_y_opp,254,1413288865849327775064646151399475067054,23191360348789389436720621027032640600238,23191730837947916016193216923291779453380,23191360348789389436720621026028989187288,135,23191730837947916016193216922288128040430,135,121652902696,37,117572592146,37,False,False
45,k_x_map,252,12903096507745057596013196378351003885570,34681167990685119257669171253984169418754,12903262498207386812389969540160610741297,34681167990685119257669171233987706332157,135,12903262498207386812389969520164147654700,134,7630557389821,43,7730084614100,43,False,False
45,k_y_same,256,20968081161614495112730222001846446490714,42746152644554556774386196877479612023898,42748588123169995260883094191042587784707,42746152644554556774386196857483148937301,135,42748588123169995260883094171046124698110,135,3604635170731,42,843622365694,40,False,False
45,k_y_opp,253,377569934759906892073332007391750896870,22155641417699968553729306883024916430054,377792912136038237322242307949335825212,22155641417699968553729306863028453343457,135,377792912136038237322242287952872738615,129,2798153531167,42,7246411067593,43,False,False
50,k_x_map,252,5475126625337021319861313657785158311059,27253198108277082981517288533418323844243,27253294967799968656511457820792002883338,27253198108277082981517287922277827676479,135,27253294967799968656511457209651506715574,135,79972407118143,47,279638130811978,48,False,False
50,k_y_same,255,10592804767395302646724500728834701755720,32370876250335364308380475604467867288904,32371846027725985754717054273931486700911,32370876250335364308380474993327371121140,135,32371846027725985754717053662790990533147,135,127176236928524,47,32684465820187,45,False,False
50,k_y_opp,256,10752846328979099358079053280403495631864,32530917811919161019735028156036661165048,10754535007580047743488282225060436909008,32530917811919161019735027544896164997284,135,10754535007580047743488281613919940741244,133,134754033084580,47,25106669664132,45,False,False
