n,y_d,frac_d,log_pos,h160_hex,checksum,address
1,0.000000000000,0.000000000000,0.000000000000,751e76e8199196d454941c45d1b3a323f1433bd6,510d1634,1BgGZ9tcN4rm9KBzDn7KprQz87SZ26SAMH
2,0.006191259768,0.500000000000,0.584962500721,7dd65592d0ab2fe0d0257d571abf032cd9db93dc,ac074bec,1CUNEBjYrCn2y1SdiUMohaKUi4wpP326Lb
3,0.010966230164,0.750000000000,0.807354922058,5dedfbf9ea599dd4e3ca6a80b333c472fd0b3f69,40910b7f,19ZewH8Kk1PDbSNdJ97FP4EiCjTRaZMZQA
4,0.011718750000,0.000000000000,0.000000000000,9652d86bedf43ad264362e6e6eba6eb764508127,4e02d7e9,1EhqbyUMvvs7BfL8goY6qcPbD6YKfPqb7e
5,0.017157489933,0.312500000000,0.392317422779,8f9dff39a81ee4abcbad2ad8bafff090415a2be8,c13898f3,1E6NuFjCi27W5zoXg8TRdcSRq84zJeBW3k
6,0.021932460329,0.531250000000,0.614709844115,f93ec34e9e34a8f8ff7d600cdad83047b1bcb45c,7c419e15,1PitScNLyp2HCygzadCh7FveTnfmpPbfp8
7,0.024405966849,0.187500000000,0.247927513444,e2192e8a7dd8dd1c88321959b477968b941aa973,4f595951,1McVt1vMtCC7yn5b9wgX1833yCcLXzueeC
8,0.030497480164,0.750000000000,0.807354922058,dce76b2613052ea012204404a97b3c25eac31715,5d79aa30,1M92tSqNmQLYw33fuBvjmeadirh1ysMBxK
9,0.034637807577,0.824218750000,0.867278739710,7d0f6c64afb419bbd7e971e943d7404b0e0daab4,89291a1c,1CQFwcjw1dwhtkVWBttNLDtqL7ivBonGPV
10,0.035178220895,0.003906250000,0.005624549194,d7729816650e581d7462d52ad6f732da0e2ec93b,abcb389d,1LeBZP5QCwwgXRtmVUvTVrraqPUokyLHqe
11,0.039740926314,0.127929687500,0.173677136303,f8c698da3164ef8fa4258692d118cc9a902c5acc,6078c6be,1PgQVLmst3Z314JrQn5TNiys8Hc38TcXJu
12,0.044490747419,0.310058593750,0.389631339261,85a1f9ba4da24c24e582d9b891dacbd1b043f971,881319cb,1DBaumZxUkM4qMQRt2LVWyFJq5kDtSZQot
13,0.048237219352,0.273437500000,0.348728154231,f932d0188616c964416b91fb9cf76ba9790a921e,4f507c8e,1Pie8JkxBT6MGPz9Nvi3fsPkr2D8q3GBc1
14,0.052203650996,0.287109375000,0.364134655008,97f9281a1383879d72ac52a6a3e9e8b9a4a4f655,468715ff,1ErZWg5cFCe4Vw5BzgfzB74VNLaXEiEkhk
15,0.057474795379,0.639831542969,0.713547616913,fe7c45126731f7384640b0b0045fd40bac72e2a2,9849ab37,1QCbW9HWnwQWiQqVo5exhAnmfqKRrCRsvW
