n,d,d_minus_LO,d_minus_LO_bits,shelf2_modLO_dist,shelf2_modLO_bits,shelf2_mod2n_modLO_bits,shelf2_plusLO_dist,shelf2_plusLO_bits,shelf2_plus2n_modLO_bits,shelf3_modLO_dist,shelf3_modLO_bits,shelf3_mod2n_modLO_bits,shelf3_plusLO_dist,shelf3_plusLO_bits,shelf3_plus2n_modLO_bits,shelf_y_modLO_dist,shelf_y_modLO_bits,shelf_y_mod2n_modLO_bits,shelf_y_plusLO_dist,shelf_y_plusLO_bits,shelf_y_plus2n_modLO_bits,C_floor_modLO_dist,C_floor_modLO_bits,C_floor_mod2n_modLO_bits,C_floor_plusLO_dist,C_floor_plusLO_bits,C_floor_plus2n_modLO_bits,res2_modLO_dist,res2_modLO_bits,res2_mod2n_modLO_bits,res2_plusLO_dist,res2_plusLO_bits,res2_plus2n_modLO_bits,lift2_modLO_dist,lift2_modLO_bits,lift2_mod2n_modLO_bits,lift2_plusLO_dist,lift2_plusLO_bits,lift2_plus2n_modLO_bits,res3_modLO_dist,res3_modLO_bits,res3_mod2n_modLO_bits,res3_plusLO_dist,res3_plusLO_bits,res3_plus2n_modLO_bits,lift3_modLO_dist,lift3_modLO_bits,lift3_mod2n_modLO_bits,lift3_plusLO_dist,lift3_plusLO_bits,lift3_plus2n_modLO_bits,res_y_modLO_dist,res_y_modLO_bits,res_y_mod2n_modLO_bits,res_y_plusLO_dist,res_y_plusLO_bits,res_y_plus2n_modLO_bits,GAP_modLO_dist,GAP_modLO_bits,GAP_mod2n_modLO_bits,GAP_plusLO_dist,GAP_plusLO_bits,GAP_plus2n_modLO_bits,best_modLO_name,best_modLO_dist,best_modLO_bits,best_plusLO_name,best_plusLO_dist,best_plusLO_bits
5,21,5,3,7,3,3,7,3,,5,3,3,5,3,,8,4,4,8,4,,6,3,3,6,3,,5,3,3,5,3,,5,3,3,5,3,,3,2,2,3,2,,3,2,2,3,2,,0,0,0,0,0,,5,3,3,5,3,,res_y,0,0,res_y,0,0
10,514,2,2,175,8,8,175,8,,36,6,6,36,6,,95,7,7,95,7,,156,8,8,156,8,,137,8,8,137,8,,137,8,8,137,8,,86,7,7,86,7,,86,7,7,86,7,,225,8,8,225,8,,175,8,8,175,8,,shelf3,36,6,shelf3,36,6
15,26867,10483,14,4773,13,13,4773,13,,4916,13,13,4916,13,,6668,13,13,6668,13,,2271,12,12,2271,12,,4851,13,13,4851,13,,4851,13,13,4851,13,,6068,13,13,6068,13,,6068,13,13,6068,13,,2300,12,12,2300,12,,4916,13,13,4916,13,,C_floor,2271,12,C_floor,2271,12
20,863317,339029,19,224562,18,18,224562,18,,151179,18,18,151179,18,,11102,14,14,11102,14,,45815,16,16,45815,16,,145794,18,18,145794,18,,145794,18,18,145794,18,,109653,17,17,109653,17,,109653,17,17,109653,17,,187306,18,18,187306,18,,224562,18,18,224562,18,,shelf_y,11102,14,shelf_y,11102,14
25,33185509,16408293,24,1958983,21,21,1958983,21,,4049258,22,22,4049258,22,,2677960,22,22,2677960,22,,5788301,23,23,5788301,23,,5994349,23,23,5994349,23,,5994349,23,23,5994349,23,,6463242,23,23,6463242,23,,6463242,23,23,6463242,23,,3028576,22,22,3028576,22,,368923,19,19,368923,19,,GAP,368923,19,GAP,368923,19
30,1033162084,496291172,29,174163164,28,28,174163164,28,,49867541,26,26,49867541,26,,153781817,28,28,153781817,28,,202373267,28,28,202373267,28,,205024100,28,28,205024100,28,,205024100,28,28,205024100,28,,228024693,28,28,228024693,28,,228024693,28,28,228024693,28,,157368417,28,28,157368417,28,,40579740,26,26,40579740,26,,GAP,40579740,26,GAP,40579740,26
35,20112871792,2933002608,32,6103896396,33,33,6103896396,33,,7148794341,33,33,7148794341,33,,2929397676,32,32,2929397676,32,,5394029471,33,33,5394029471,33,,6540643760,33,33,6540643760,33,,6540643760,33,33,6540643760,33,,3285208701,32,32,3285208701,32,,3285208701,32,32,3285208701,32,,4393438128,33,33,4393438128,33,,7148794341,33,33,7148794341,33,,shelf_y,2929397676,32,shelf_y,2929397676,32
40,1003651412950,453895599062,39,187028025237,38,38,187028025237,38,,176591614761,38,38,176591614761,38,,38948350816,36,36,38948350816,36,,173747957850,38,38,173747957850,38,,50594510613,36,36,50594510613,36,,50594510613,36,36,50594510613,36,,250891338025,38,38,250891338025,38,,250891338025,38,38,250891338025,38,,222267410242,38,38,222267410242,38,,187028025237,38,38,187028025237,38,,shelf_y,38948350816,36,shelf_y,38948350816,36
45,19996463086597,2404277042181,42,5219302857594,43,43,5219302857594,43,,7989254190489,43,43,7989254190489,43,,2475772107780,42,42,2475772107780,42,,5766002273101,43,43,5766002273101,43,,5111578861906,43,43,5111578861906,43,,5111578861906,43,43,5111578861906,43,,503184965773,39,39,503184965773,39,,503184965773,39,39,503184965773,39,,4181929008132,42,42,4181929008132,42,,7989254190489,43,43,7989254190489,43,,res3,503184965773,39,res3,503184965773,39
50,611140496167764,48190542746452,46,29297635144797,45,45,29297635144797,45,,134437969429744,47,47,134437969429744,47,,18537913956870,45,45,18537913956870,45,,146423901726498,48,48,146423901726498,48,,198662272499389,48,48,198662272499389,48,,198662272499389,48,48,198662272499389,48,,129555978694932,47,47,129555978694932,47,,129555978694932,47,47,129555978694932,47,,57279817061988,46,46,57279817061988,46,,134437969429744,47,47,134437969429744,47,,shelf_y,18537913956870,45,shelf_y,18537913956870,45
55,30045390491869460,12030991982387476,54,8407089720839720,53,53,8407089720839720,53,,7579599662429571,53,53,7579599662429571,53,,4589675132736496,53,53,4589675132736496,53,,7810521233542877,53,53,7810521233542877,53,,5695718612987988,53,53,5695718612987988,53,,5695718612987988,53,53,5695718612987988,53,,4862638479641075,53,53,4862638479641075,53,,4862638479641075,53,53,4862638479641075,53,,6258480098163412,53,53,6258480098163412,53,,5983406527094508,53,53,5983406527094508,53,,shelf_y,4589675132736496,53,shelf_y,4589675132736496,53
60,1135041350219496382,558580597916072894,59,201292457141215292,58,58,201292457141215292,58,,219889701642027982,58,58,219889701642027982,58,,45739424300064517,56,56,45739424300064517,56,,213599140368100232,58,58,213599140368100232,58,,102241736740613270,57,57,102241736740613270,57,,102241736740613270,57,57,102241736740613270,57,,156427408804770882,58,58,156427408804770882,58,,156427408804770882,58,58,156427408804770882,58,,85382992097528533,57,57,85382992097528533,57,,17880154387350594,54,54,17880154387350594,54,,GAP,17880154387350594,54,GAP,17880154387350594,54
65,30568377312064202855,12121633238354651239,64,1206913509826579451,61,61,1206913509826579451,61,,2239998626591307245,61,61,2239998626591307245,61,,4474831989762021087,62,62,4474831989762021087,62,,342639951114711463,59,59,342639951114711463,59,,4801845387402669991,63,63,4801845387402669991,63,,4801845387402669991,63,63,4801845387402669991,63,,3518928819294004417,62,62,3518928819294004417,62,,3518928819294004417,62,62,3518928819294004417,62,,3842312568727771279,62,62,3842312568727771279,62,,1206913509826579451,61,61,1206913509826579451,61,,C_floor,342639951114711463,59,C_floor,342639951114711463,59
70,970436974005023690481,380141163646318038769,69,48008168808417908429,66,66,48008168808417908429,66,,165087263289215980971,68,68,165087263289215980971,68,,196581362588194810283,68,68,196581362588194810283,68,,136558931561942899895,67,67,136558931561942899895,67,,32090310587543525553,65,65,32090310587543525553,65,,32090310587543525553,65,65,32090310587543525553,65,,130556007124655536359,67,67,130556007124655536359,67,,130556007124655536359,67,67,130556007124655536359,67,,85570698746138036455,67,67,85570698746138036455,67,,165087263289215980971,68,68,165087263289215980971,68,,res2,32090310587543525553,65,res2,32090310587543525553,65
75,22538323240989823823367,3648857309511242968583,72,3198018375699215347864,72,72,3198018375699215347864,72,,5722392774845254964289,73,73,5722392774845254964289,73,,1058830919970849409025,70,70,1058830919970849409025,70,,2620526743524540301042,72,72,2620526743524540301042,72,,6446871998557707533864,73,73,6446871998557707533864,73,,6446871998557707533864,73,73,6446871998557707533864,73,,7889502130030364605447,73,73,7889502130030364605447,73,,7889502130030364605447,73,73,7889502130030364605447,73,,5310441954521479813841,73,73,5310441954521479813841,73,,3198018375699215347864,72,72,3198018375699215347864,72,,shelf_y,1058830919970849409025,70,shelf_y,1058830919970849409025,70
80,1105520030589234487939456,501057120781919900586368,79,48094439018335950689154,76,76,48094439018335950689154,76,,134054555136075016247520,77,77,134054555136075016247520,77,,260543309901465809789169,78,78,260543309901465809789169,78,,227619075184789810068528,78,78,227619075184789810068528,78,,168571640376884813043064,78,78,168571640376884813043064,78,,168571640376884813043064,78,78,168571640376884813043064,78,,273419901125813080862336,78,78,273419901125813080862336,78,,273419901125813080862336,78,78,273419901125813080862336,78,,160029503142273331307217,78,78,160029503142273331307217,78,,103405789025394686766720,77,77,103405789025394686766720,77,,shelf2,48094439018335950689154,76,shelf2,48094439018335950689154,76
85,21090315766411506144426920,1747502652577439349128104,81,7561576887775523085980891,83,83,7561576887775523085980891,83,,1605627106706271793182341,81,81,1605627106706271793182341,81,,3814765311744259162140381,82,82,3814765311744259162140381,82,,8231750598857200837440555,83,83,8231750598857200837440555,83,,2246371887025874181946893,81,81,2246371887025874181946893,81,,2246371887025874181946893,81,81,2246371887025874181946893,81,,1788412982505935403831731,81,81,1788412982505935403831731,81,,1788412982505935403831731,81,81,1788412982505935403831731,81,,1522028567659269991911989,81,81,1522028567659269991911989,81,,1747502652577439349128104,81,81,1747502652577439349128104,81,,res_y,1522028567659269991911989,81,res_y,1522028567659269991911989,81
90,868012190417726402719548863,249042170775036265269986751,88,19685447539205964017782665,85,85,19685447539205964017782665,85,,280280284648723629698733707,88,88,280280284648723629698733707,88,,163239391552391743301033000,88,88,163239391552391743301033000,88,,65045263660260242822526023,86,86,65045263660260242822526023,86,,309356238094340526321626177,88,88,309356238094340526321626177,88,,309356238094340526321626177,88,88,309356238094340526321626177,88,,300722068634528098603176063,88,88,300722068634528098603176063,88,,300722068634528098603176063,88,88,300722068634528098603176063,88,,123868495358995866274369976,87,87,123868495358995866274369976,87,,280280284648723629698733707,88,88,280280284648723629698733707,88,,shelf2,19685447539205964017782665,85,shelf2,19685447539205964017782665,85
95,25525831956644113617013748212,5718791328078029218627760628,93,1576749035946102592744006661,91,91,1576749035946102592744006661,91,,1325831167761585394743621447,91,91,1325831167761585394743621447,91,,4106182206438645870076498953,92,92,4106182206438645870076498953,92,,401200667576985960862956949,89,89,401200667576985960862956949,89,,8773496421959943746447027893,93,93,8773496421959943746447027893,93,,8773496421959943746447027893,93,93,8773496421959943746447027893,93,,7328980599033142217200415567,93,93,7328980599033142217200415567,93,,7328980599033142217200415567,93,93,7328980599033142217200415567,93,,7292048041094048917766687777,93,93,7292048041094048917766687777,93,,1576749035946102592744006661,91,91,1576749035946102592744006661,91,,C_floor,401200667576985960862956949,89,C_floor,401200667576985960862956949,89
100,868221233689326498340379183142,234395933575211797592027580454,98,305675507404540882038331196595,98,98,305675507404540882038331196595,98,,284702766628439001088584373025,98,98,284702766628439001088584373025,98,,209928573766607885654881670410,98,98,209928573766607885654881670410,98,,155781250809547210904968655115,97,97,155781250809547210904968655115,97,,122591059696799632708700822981,97,97,122591059696799632708700822981,97,,122591059696799632708700822981,97,97,122591059696799632708700822981,97,,143095721562196127767307091799,97,97,143095721562196127767307091799,97,,143095721562196127767307091799,97,97,143095721562196127767307091799,97,,47148327707459427165040894566,96,96,47148327707459427165040894566,96,,284702766628439001088584373025,98,98,284702766628439001088584373025,98,,res_y,47148327707459427165040894566,96,res_y,47148327707459427165040894566,96
105,29083230144918045706788529192435,8800820541266375282841277906419,103,2557842796160302784294284319565,102,102,2557842796160302784294284319565,102,,7265984647730157558274821449561,103,103,7265984647730157558274821449561,103,,9670405393911655897905962130908,103,103,9670405393911655897905962130908,103,,6811943884543491622870131641411,103,103,6811943884543491622870131641411,103,,2485124679484785524994650194445,101,101,2485124679484785524994650194445,101,,2485124679484785524994650194445,101,101,2485124679484785524994650194445,101,,6846451856454238073150046725325,103,103,6846451856454238073150046725325,103,,6846451856454238073150046725325,103,103,6846451856454238073150046725325,103,,532133849300237357679573610092,99,99,532133849300237357679573610092,99,,2557842796160302784294284319565,102,102,2557842796160302784294284319565,102,,res_y,532133849300237357679573610092,99,res_y,532133849300237357679573610092,99
