n,row,d,shelf2,offset,offset_bits,h_minus_offset,h_minus_offset_minus_row,h_minus_10,h10_match,offset_eq_l2_l1,n_term_hits
5,0,21,28,9,4,1,1,-5,False,False,2
25,0,33185509,31226526,1958983,21,4,4,15,False,False,1
30,0,1033162084,858998920,174163164,28,2,2,20,False,False,1
55,0,30045390491869460,21638300771029740,8407089720839720,53,2,2,45,False,False,1
60,0,1135041350219496382,759873055057288186,375168295162208196,59,1,1,50,False,False,1
80,0,1105520030589234487939456,1153614469607570438628610,556368470788978636663934,79,1,1,70,False,False,1
85,0,21090315766411506144426920,28651892654187029230407811,11781236226058543709317925,84,1,1,75,False,False,1
110,0,1090246098153987172547740458951748,675088976322123842453649888130707,415157121831863330094090570821041,109,1,1,100,False,False,1
115,0,31464123230573852164273674364426950,31430725853647386922072753534517673,33397376926465242200920829909277,105,10,10,105,True,False,1
130,0,1103873984953507439627945351144005829577,971482688560753289275971365118233392492,132391296392754150351973986025772437085,127,3,3,120,False,False,1
10,1,514,851,175,8,2,1,0,False,False,1
20,1,863317,563591,299726,19,1,0,10,False,False,1
40,1,1003651412950,816623387713,187028025237,38,2,1,30,False,False,1
65,1,30568377312064202855,29361463802237623404,1206913509826579451,61,4,3,55,False,False,1
75,1,22538323240989823823367,25736341616689039171231,15691447555779365506920,74,1,0,65,False,False,1
95,1,25525831956644113617013748212,27102580992590216209757754873,18230291592619981805641980923,94,1,0,85,False,False,1
105,1,29083230144918045706788529192435,31641072941078348491082813512000,17724566807491367639652966966451,104,1,0,95,False,False,1
125,1,37650549717742544505774009877315221420,40699586342428181742940819365391578517,18218611307873016729294103476409156119,124,1,0,115,False,False,1
15,2,26867,31640,11611,14,1,-1,5,False,False,1
35,2,20112871792,26216768188,11075972788,34,1,-1,25,False,False,1
45,2,19996463086597,32369346273419,5219302857594,43,2,0,35,False,False,1
50,2,611140496167764,640438131312561,533652318276515,49,1,-1,40,False,False,1
70,2,970436974005023690481,922428805196605782052,48008168808417908429,66,4,2,60,False,False,1
90,2,868012190417726402719548863,887697637956932366737331528,599284572103484173431779447,89,1,-1,80,False,False,1
100,2,868221233689326498340379183142,1196371026398900317050399589235,305675507404540882038331196595,98,2,0,90,False,False,1
120,2,919343500840980333540511050618764323,712847974125317909335724125400817298,206495526715662424204786925217947025,118,2,0,110,False,False,1
