n,d,d_hex,offset_bits,gap_bits,row,ec_hit,source
135,28361861571790128400064008565935617710722,000000000000000000000000000000535917d91467feb4a1e614713530a99a82,134,133,2,False,align:shelf2 (LO+(L2-L1 mod LO)) + (L2-L1 mod LO)
135,31555214318705735702687228502948652721391,0000000000000000000000000000005cbb81373e5b184faaed491972f3af24ef,134,133,2,False,align:shelf2 (LO+(L2-L1 mod LO)) + (L3-L2 mod LO)
135,23958073621660738241063257910283296043568,00000000000000000000000000000046680d23c88f17a9fbe053520d8c03f230,133,133,2,False,align:shelf2 (LO+(L2-L1 mod LO)) + (L3-L1 mod LO)
135,35413818113442066003876057246998163187192,0000000000000000000000000000006812654664d5b312bef7b43300260965f8,134,133,2,False,align:shelf2 (LO+(L2-L1 mod LO)) + (dy_mod mod LO)
135,30589153469019228022882028317786154113192,00000000000000000000000000000059e4b8a9f83d487eb7c33b6af214d298a8,134,133,2,False,align:shelf2 (LO+(L2-L1 mod LO)) + (dy residue (shelf_y^3 mod LO))
135,40687772133956537862758795302859366065410,000000000000000000000000000000779213df504eb2fd5a3483daa63f35e502,132,133,2,False,align:shelf2 (LO+(L2-L1 mod LO)) + (d2 residue (shelf2^3 mod LO))
135,35217418395992143789782817722730415393040,000000000000000000000000000000677ea410b68d36db946ee799b2ccc40910,134,133,2,False,align:shelf2 (LO+(L2-L1 mod LO)) + (d3 residue (shelf3^3 mod LO))
135,35959002268835125861687979158600974388544,00000000000000000000000000000069ac8bec8a33ff5a50f30a389a9854cd40,134,133,2,False,align:shelf2 (LO+(L2-L1 mod LO)) + (C_minus1 - C_floor)
135,43010958810487063465500027839663519865015,0000000000000000000000000000007e65d959daa1b3b86e04a9fa658db498b7,133,133,2,False,align:shelf2 (LO+(L2-L1 mod LO)) + (shelf_y - shelf2)
135,25749439046503792163804304664890519054739,0000000000000000000000000000004babb99232882faae1c5937db474dbe993,134,133,2,False,align:shelf2 (LO+(L2-L1 mod LO)) + ((N-GAP) mod LO)
135,26506841348061473662726791019891557210049,0000000000000000000000000000004de587f2c61ab3a3094179a20ba6e117c1,134,133,2,False,align:shelf2 (LO+(L2-L1 mod LO)) + (cube lift - shelf (d2))
135,25440275560226469748751564095414928204833,0000000000000000000000000000004ac322d978321e8be9819e803fd914e421,134,133,2,False,align:shelf2 (LO+(L2-L1 mod LO)) + (cube lift - shelf (d3))
135,31134337624412287880693950229388965314545,0000000000000000000000000000005b7edf501d9b94c649be91708c871dfff1,134,133,2,False,align:shelf2 (LO+(L2-L1 mod LO)) + (cube lift - shelf (dy))
135,27480144799013509077690748705992024324577,00000000000000000000000000000050c1c35fdc118404bb18adbdadce78f9e1,134,133,2,False,align:shelf2 (LO+(L2-L1 mod LO)) + (matrix t1 col2-col1)
135,27151426368576345543686477847296331054237,0000000000000000000000000000004fca7681f282314504e787fa4b4f097c9d,134,133,2,False,align:shelf3 (LO+(L3-L1 mod LO)) + (L3-L2 mod LO)
135,41332357154471409743718482130264139909598,0000000000000000000000000000007977026e7cb6309f55da9232e5e75e49de,132,133,2,False,align:shelf3 (LO+(L3-L1 mod LO)) + (L3-L1 mod LO)
