d,d_bits,source,defect,defect_bits,defect_in_window,x_carry_base_3,x_carry_shift_3,x_row1,x_row2,x_row3,y_carry_ok,k_dist_bits,k_best,ec_hit,score
41801603053930647568733200253825181988352,135,kx_r1_as_d,42234023440496307225585621120215855165678,135,True,1,0,False,False,False,True,0,kx_r1,False,15
41803840434911310256182854297322974665351,135,kx_r2_as_d,42236260821476969913035275163713647842677,135,True,1,0,False,False,False,True,0,kx_r2,False,15
39453718915967245899425488224188689063891,135,ky_r1_as_d,39886139302532905556277909090579362241217,135,True,1,0,False,False,False,True,0,ky_r1,False,15
39455943547756286944147207739338130386180,135,ky_r2_as_d,39888363934321946600999628605728803563506,135,True,1,0,False,False,False,True,0,ky_r2,False,15
40687772133956537862758795302859366065410,135,shelf2+d2 residue (shelf2^3 mod LO),41120192520522197519611216169250039242736,135,True,1,0,False,False,False,True,130,kx_r1,False,-115
43010958810487063465500027839663519865015,135,shelf2+shelf_y - shelf2,43443379197052723122352448706054193042341,135,True,1,0,False,False,False,True,130,kx_r2,False,-115
42814559093037141251406788315395772070863,135,cube_lift3,43246979479602800908259209181786445248189,135,True,1,0,False,False,False,True,130,kx_r2,False,-115
36999273644368695484148942511458025942209,135,shelf2+matrix t0 col2-col1,37431694030934355141001363377848699119535,135,True,1,0,False,False,False,True,131,ky_r1,False,-116
43556142965880123323311949751266331066367,135,TOP,43988563352445782980164370617657004243693,136,True,1,0,False,False,False,True,131,kx_r2,False,-116
35959002268835125861687979158600974388546,135,shelf2+C_plus1 - C_floor,36391422655400785518540400024991647565872,135,True,1,0,False,False,False,True,132,ky_r1,False,-117
35959002268835125861687979158600974388545,135,shelf2+shrink (N-q) mod LO,36391422655400785518540400024991647565871,135,True,1,0,False,False,False,True,132,ky_r1,False,-117
36017800734558118843104684593548285280081,135,shelf2+matrix t2 col2-col1,36450221121123778499957105459938958457407,135,True,1,0,False,False,False,True,132,ky_r1,False,-117
31555214318705735702687228502948652721391,135,shelf3,31987634705271395359539649369339325898717,135,True,1,0,False,False,False,True,133,ky_r1,False,-118
26506841348061473662726791019891557210049,135,cube_lift2,26939261734627133319579211886282230387375,135,True,1,0,False,False,False,True,134,ky_r1,False,-119
21778071482940061661655974875633165533184,135,LO,22210491869505721318508395742023838710510,135,True,1,0,False,False,False,True,134,ky_r1,False,-119
