d,d_bits,gap_target,gap_observed,offset,offset_bits,o_probe,direction,source,ec_hit,in_gap_tier
25069966527365095030859991720784391621953,135,1,1,10889035741470030830827987437816582766592,134,10889035741470030830827987437816582766592,+,sample:g1:+:o=10889035741470030830827987437816582766592,False,True
25112668628312036328235787749952299789665,135,1,1,10931737842416972128203783466984490934304,134,10931737842416972128203783466984490934304,+,sample:g1:+:o=10931737842416972128203783466984490934304,False,True
25155370729258977625611583779120207957377,135,1,1,10974439943363913425579579496152399102016,134,10974439943363913425579579496152399102016,+,sample:g1:+:o=10974439943363913425579579496152399102016,False,True
25198072830205918922987379808288116125089,135,1,1,11017142044310854722955375525320307269728,134,11017142044310854722955375525320307269728,+,sample:g1:+:o=11017142044310854722955375525320307269728,False,True
25240774931152860220363175837456024292801,135,1,1,11059844145257796020331171554488215437440,134,11059844145257796020331171554488215437440,+,sample:g1:+:o=11059844145257796020331171554488215437440,False,True
25283477032099801517738971866623932460513,135,1,1,11102546246204737317706967583656123605152,134,11102546246204737317706967583656123605152,+,sample:g1:+:o=11102546246204737317706967583656123605152,False,True
25326179133046742815114767895791840628225,135,1,1,11145248347151678615082763612824031772864,134,11145248347151678615082763612824031772864,+,sample:g1:+:o=11145248347151678615082763612824031772864,False,True
25368881233993684112490563924959748795937,135,1,1,11187950448098619912458559641991939940576,134,11187950448098619912458559641991939940576,+,sample:g1:+:o=11187950448098619912458559641991939940576,False,True
25411583334940625409866359954127656963649,135,1,1,11230652549045561209834355671159848108288,134,11230652549045561209834355671159848108288,+,sample:g1:+:o=11230652549045561209834355671159848108288,False,True
25440275560226469748751564095414928204833,135,1,1,11259344774331405548719559812447119349472,134,11259344774331405548719559812447119349472,+,bridge:cube lift - shelf (d3),False,True
25454285435887566707242155983295565131361,135,1,1,11273354649992502507210151700327756276000,134,11273354649992502507210151700327756276000,+,sample:g1:+:o=11273354649992502507210151700327756276000,False,True
25496987536834508004617952012463473299073,135,1,1,11316056750939443804585947729495664443712,134,11316056750939443804585947729495664443712,+,sample:g1:+:o=11316056750939443804585947729495664443712,False,True
25539689637781449301993748041631381466785,135,1,1,11358758851886385101961743758663572611424,134,11358758851886385101961743758663572611424,+,sample:g1:+:o=11358758851886385101961743758663572611424,False,True
25582391738728390599369544070799289634497,135,1,1,11401460952833326399337539787831480779136,134,11401460952833326399337539787831480779136,+,sample:g1:+:o=11401460952833326399337539787831480779136,False,True
25625093839675331896745340099967197802209,135,1,1,11444163053780267696713335816999388946848,134,11444163053780267696713335816999388946848,+,sample:g1:+:o=11444163053780267696713335816999388946848,False,True
25667795940622273194121136129135105969921,135,1,1,11486865154727208994089131846167297114560,134,11486865154727208994089131846167297114560,+,sample:g1:+:o=11486865154727208994089131846167297114560,False,True
25710498041569214491496932158303014137633,135,1,1,11529567255674150291464927875335205282272,134,11529567255674150291464927875335205282272,+,sample:g1:+:o=11529567255674150291464927875335205282272,False,True
25749439046503792163804304664890519054739,135,1,1,11568508260608727963772300381922710199378,134,11568508260608727963772300381922710199378,+,bridge:(N-GAP) mod LO,False,True
25753200142516155788872728187470922305345,135,1,1,11572269356621091588840723904503113449984,134,11572269356621091588840723904503113449984,+,sample:g1:+:o=11572269356621091588840723904503113449984,False,True
25795902243463097086248524216638830473057,135,1,1,11614971457568032886216519933671021617696,134,11614971457568032886216519933671021617696,+,sample:g1:+:o=11614971457568032886216519933671021617696,False,True
25838604344410038383624320245806738640769,135,1,1,11657673558514974183592315962838929785408,134,11657673558514974183592315962838929785408,+,sample:g1:+:o=11657673558514974183592315962838929785408,False,True
25881306445356979681000116274974646808481,135,1,1,11700375659461915480968111992006837953120,134,11700375659461915480968111992006837953120,+,sample:g1:+:o=11700375659461915480968111992006837953120,False,True
25924008546303920978375912304142554976193,135,1,1,11743077760408856778343908021174746120832,134,11743077760408856778343908021174746120832,+,sample:g1:+:o=11743077760408856778343908021174746120832,False,True
25966710647250862275751708333310463143905,135,1,1,11785779861355798075719704050342654288544,134,11785779861355798075719704050342654288544,+,sample:g1:+:o=11785779861355798075719704050342654288544,False,True
26009412748197803573127504362478371311617,135,1,1,11828481962302739373095500079510562456256,134,11828481962302739373095500079510562456256,+,sample:g1:+:o=11828481962302739373095500079510562456256,False,True
26052114849144744870503300391646279479329,135,1,1,11871184063249680670471296108678470623968,134,11871184063249680670471296108678470623968,+,sample:g1:+:o=11871184063249680670471296108678470623968,False,True
26094816950091686167879096420814187647041,135,1,1,11913886164196621967847092137846378791680,134,11913886164196621967847092137846378791680,+,sample:g1:+:o=11913886164196621967847092137846378791680,False,True
26137519051038627465254892449982095814753,135,1,1,11956588265143563265222888167014286959392,134,11956588265143563265222888167014286959392,+,sample:g1:+:o=11956588265143563265222888167014286959392,False,True
26180221151985568762630688479150003982465,135,1,1,11999290366090504562598684196182195127104,134,11999290366090504562598684196182195127104,+,sample:g1:+:o=11999290366090504562598684196182195127104,False,True
26222923252932510060006484508317912150177,135,1,1,12041992467037445859974480225350103294816,134,12041992467037445859974480225350103294816,+,sample:g1:+:o=12041992467037445859974480225350103294816,False,True
26265625353879451357382280537485820317889,135,1,1,12084694567984387157350276254518011462528,134,12084694567984387157350276254518011462528,+,sample:g1:+:o=12084694567984387157350276254518011462528,False,True
26308327454826392654758076566653728485601,135,1,1,12127396668931328454726072283685919630240,134,12127396668931328454726072283685919630240,+,sample:g1:+:o=12127396668931328454726072283685919630240,False,True
26351029555773333952133872595821636653313,135,1,1,12170098769878269752101868312853827797952,134,12170098769878269752101868312853827797952,+,sample:g1:+:o=12170098769878269752101868312853827797952,False,True
26393731656720275249509668624989544821025,135,1,1,12212800870825211049477664342021735965664,134,12212800870825211049477664342021735965664,+,sample:g1:+:o=12212800870825211049477664342021735965664,False,True
26436433757667216546885464654157452988737,135,1,1,12255502971772152346853460371189644133376,134,12255502971772152346853460371189644133376,+,sample:g1:+:o=12255502971772152346853460371189644133376,False,True
26479135858614157844261260683325361156449,135,1,1,12298205072719093644229256400357552301088,134,12298205072719093644229256400357552301088,+,sample:g1:+:o=12298205072719093644229256400357552301088,False,True
26506841348061473662726791019891557210049,135,1,1,12325910562166409462694786736923748354688,134,12325910562166409462694786736923748354688,+,bridge:cube lift - shelf (d2),False,True
26521837959561099141637056712493269324161,135,1,1,12340907173666034941605052429525460468800,134,12340907173666034941605052429525460468800,+,sample:g1:+:o=12340907173666034941605052429525460468800,False,True
26564540060508040439012852741661177491873,135,1,1,12383609274612976238980848458693368636512,134,12383609274612976238980848458693368636512,+,sample:g1:+:o=12383609274612976238980848458693368636512,False,True
