n,d,d_hex,offset_bits,gap_bits,px_slot,offset_law_row,ec_hit,source
135,28361861571790128400064008565935617710722,000000000000000000000000000000535917d91467feb4a1e614713530a99a82,134,133,2,0,False,align:shelf2 (LO+(L2-L1 mod LO)) + (L2-L1 mod LO)
135,31555214318705735702687228502948652721391,0000000000000000000000000000005cbb81373e5b184faaed491972f3af24ef,134,133,2,0,False,align:shelf2 (LO+(L2-L1 mod LO)) + (L3-L2 mod LO)
135,23958073621660738241063257910283296043568,00000000000000000000000000000046680d23c88f17a9fbe053520d8c03f230,133,133,2,0,False,align:shelf2 (LO+(L2-L1 mod LO)) + (L3-L1 mod LO)
135,35413818113442066003876057246998163187192,0000000000000000000000000000006812654664d5b312bef7b43300260965f8,134,133,2,0,False,align:shelf2 (LO+(L2-L1 mod LO)) + (dy_mod mod LO)
135,30589153469019228022882028317786154113192,00000000000000000000000000000059e4b8a9f83d487eb7c33b6af214d298a8,134,133,2,0,False,align:shelf2 (LO+(L2-L1 mod LO)) + (dy residue (shelf_y^3 mod LO))
135,40687772133956537862758795302859366065410,000000000000000000000000000000779213df504eb2fd5a3483daa63f35e502,132,133,2,0,False,align:shelf2 (LO+(L2-L1 mod LO)) + (d2 residue (shelf2^3 mod LO))
135,35217418395992143789782817722730415393040,000000000000000000000000000000677ea410b68d36db946ee799b2ccc40910,134,133,2,0,False,align:shelf2 (LO+(L2-L1 mod LO)) + (d3 residue (shelf3^3 mod LO))
135,35959002268835125861687979158600974388544,00000000000000000000000000000069ac8bec8a33ff5a50f30a389a9854cd40,134,133,2,0,False,align:shelf2 (LO+(L2-L1 mod LO)) + (C_minus1 - C_floor)
135,43010958810487063465500027839663519865015,0000000000000000000000000000007e65d959daa1b3b86e04a9fa658db498b7,133,133,2,0,False,align:shelf2 (LO+(L2-L1 mod LO)) + (shelf_y - shelf2)
135,25749439046503792163804304664890519054739,0000000000000000000000000000004babb99232882faae1c5937db474dbe993,134,133,2,0,False,align:shelf2 (LO+(L2-L1 mod LO)) + ((N-GAP) mod LO)
135,26506841348061473662726791019891557210049,0000000000000000000000000000004de587f2c61ab3a3094179a20ba6e117c1,134,133,2,0,False,align:shelf2 (LO+(L2-L1 mod LO)) + (cube lift - shelf (d2))
135,25440275560226469748751564095414928204833,0000000000000000000000000000004ac322d978321e8be9819e803fd914e421,134,133,2,0,False,align:shelf2 (LO+(L2-L1 mod LO)) + (cube lift - shelf (d3))
135,31134337624412287880693950229388965314545,0000000000000000000000000000005b7edf501d9b94c649be91708c871dfff1,134,133,2,0,False,align:shelf2 (LO+(L2-L1 mod LO)) + (cube lift - shelf (dy))
135,27480144799013509077690748705992024324577,00000000000000000000000000000050c1c35fdc118404bb18adbdadce78f9e1,134,133,2,0,False,align:shelf2 (LO+(L2-L1 mod LO)) + (matrix t1 col2-col1)
135,27151426368576345543686477847296331054237,0000000000000000000000000000004fca7681f282314504e787fa4b4f097c9d,134,133,2,0,False,align:shelf3 (LO+(L3-L1 mod LO)) + (L3-L2 mod LO)
135,41332357154471409743718482130264139909598,0000000000000000000000000000007977026e7cb6309f55da9232e5e75e49de,132,133,2,0,False,align:shelf3 (LO+(L3-L1 mod LO)) + (L3-L1 mod LO)
135,31010030163312675844875306591345841520038,0000000000000000000000000000005b215a9118fccc0818f1f313d88163bda6,134,133,2,0,False,align:shelf3 (LO+(L3-L1 mod LO)) + (dy_mod mod LO)
135,26185365518889837863881277662133832446038,0000000000000000000000000000004cf3adf4ac64617411bd7a4bca702cf056,134,133,2,0,False,align:shelf3 (LO+(L3-L1 mod LO)) + (dy residue (shelf_y^3 mod LO))
135,30813630445862753630782067067078093725886,0000000000000000000000000000005a8d995b6ab44fd0ee69267a8b281e60be,134,133,2,0,False,align:shelf3 (LO+(L3-L1 mod LO)) + (d3 residue (shelf3^3 mod LO))
135,31555214318705735702687228502948652721392,0000000000000000000000000000005cbb81373e5b184faaed491972f3af24f0,134,133,2,0,False,align:shelf3 (LO+(L3-L1 mod LO)) + (C_plus1 - C_floor)
135,31555214318705735702687228502948652721390,0000000000000000000000000000005cbb81373e5b184faaed491972f3af24ee,134,133,2,0,False,align:shelf3 (LO+(L3-L1 mod LO)) + (C_minus1 - C_floor)
135,43123722579314463666459528884871362920769,0000000000000000000000000000007ebaaedce6af48a03bbfd25e8cd0364141,133,133,2,0,False,align:shelf3 (LO+(L3-L1 mod LO)) + ((N-GAP) mod LO)
135,22103053397932083503726040364239235542895,00000000000000000000000000000040f47d3d7a41cc98633bb882e4023b6f6f,133,133,2,0,False,align:shelf3 (LO+(L3-L1 mod LO)) + (cube lift - shelf (d2))
135,42814559093037141251406788315395772070863,0000000000000000000000000000007dd218242c593781437bdd6118346f3bcf,133,133,2,0,False,align:shelf3 (LO+(L3-L1 mod LO)) + (cube lift - shelf (d3))
135,26730549674282897721693199573736643647391,0000000000000000000000000000004e8dd49ad1c2adbba3b8d05164e278579f,134,133,2,0,False,align:shelf3 (LO+(L3-L1 mod LO)) + (cube lift - shelf (dy))
135,32595485694239305325148191855805704275055,0000000000000000000000000000005fca1e31ee04bf1e3bd362ad0c0b09846f,134,133,2,0,False,align:shelf3 (LO+(L3-L1 mod LO)) + (matrix t0 col2-col1)
135,23076356848884118918689998050339702657423,00000000000000000000000000000043d0b8aa90389cfa1512ec9e8629d3518f,133,133,2,0,False,align:shelf3 (LO+(L3-L1 mod LO)) + (matrix t1 col2-col1)
135,31614012784428728684103933937895963612927,0000000000000000000000000000005ce7bd636cb07bd8c9a1b6d7da57ebd6ff,134,133,2,0,False,align:shelf3 (LO+(L3-L1 mod LO)) + (matrix t2 col2-col1)
135,42465774655094003607688105928060708663662,0000000000000000000000000000007ccbb2b3b5436770dc0953f4cb1b69316e,133,133,2,0,False,align:shelf_y (LO+(lambda_yN-L1 mod LO)) + (dy_mod mod LO)
135,25961657192668413804914869108288746008696,0000000000000000000000000000004c4b614ca0bc675b7746239c713495b078,134,133,2,0,False,align:shelf_y (LO+(lambda_yN-L1 mod LO)) + (d2 residue (shelf2^3 mod LO))
135,42269374937644081393594866403792960869510,0000000000000000000000000000007c37f17e06faeb39b180875b7dc223d486,133,133,2,0,False,align:shelf_y (LO+(lambda_yN-L1 mod LO)) + (d3 residue (shelf3^3 mod LO))
135,43010958810487063465500027839663519865016,0000000000000000000000000000007e65d959daa1b3b86e04a9fa658db498b8,133,133,2,0,False,align:shelf_y (LO+(lambda_yN-L1 mod LO)) + (C_plus1 - C_floor)
135,43010958810487063465500027839663519865014,0000000000000000000000000000007e65d959daa1b3b86e04a9fa658db498b6,133,133,2,0,False,align:shelf_y (LO+(lambda_yN-L1 mod LO)) + (C_minus1 - C_floor)
135,28284843869198939407656101645092899808301,000000000000000000000000000000531f26c72b0f68168b1649bc308314642d,134,133,2,0,False,align:shelf_y (LO+(lambda_yN-L1 mod LO)) + (shelf_y - shelf2)
135,32801395588155729767616353345953064531209,000000000000000000000000000000606506ff82f5e408fed7333f7f6a3bb509,134,133,2,0,False,align:shelf_y (LO+(lambda_yN-L1 mod LO)) + ((N-GAP) mod LO)
135,33558797889713411266538839700954102686519,000000000000000000000000000000629ed5601688680126531963d69c40e337,134,133,2,0,False,align:shelf_y (LO+(lambda_yN-L1 mod LO)) + (cube lift - shelf (d2))
