d,d_bits,tier,tier_prio,offset_bits,gap_obs,k_gap_bits,k_best,ec_hit,source
21778071482940061661655974875633165533184,135,1,1,133,2,134,ky_r1,False,tier1:shelf2-(L2-L1 mod LO)
22659788255716680984029234735576758919329,135,1,1,133,2,134,ky_r1,False,tier1:shelf2-(matrix t1 col2-col1)
23633091706668716398993192421677226033857,135,1,1,133,2,134,ky_r1,False,tier1:shelf2-(cube lift - shelf (d2))
24390494008226397897915678776678264189167,135,1,1,133,2,134,ky_r1,False,tier1:shelf2-((N-GAP) mod LO)
24699657494503720312968419346153855039073,135,1,1,133,2,134,ky_r1,False,tier1:shelf2-(cube lift - shelf (d3))
25317171493778957353276777685393567173597,135,1,1,134,1,134,ky_r1,False,align:C_floor (cube1 v1) + (cube lift - shelf (d3))
25440275560226469748751564095414928204833,135,1,1,134,1,134,ky_r1,False,align:shelf2 (LO+(L2-L1 mod LO)) + (cube lift - shelf (d3))
25626334980056279768329518254869158023503,135,1,1,134,1,134,ky_r1,False,align:C_floor (cube1 v1) + ((N-GAP) mod LO)
25749439046503792163804304664890519054739,135,1,1,134,1,134,ky_r1,False,align:shelf2 (LO+(L2-L1 mod LO)) + ((N-GAP) mod LO)
25765257475218491590821629584020998214544,135,1,1,134,1,134,ky_r1,False,align:d_cube_lift2 (1x cube on shelf2) + (d3 residue (shelf3^3 mod LO))
25856844153393907683412327410177871942927,135,1,1,134,1,134,ky_r1,False,align:matrix track1 col2 + (matrix t1 col2-col1)
25961657192668413804914869108288746008696,135,1,1,134,1,134,ky_r1,False,align:shelf_y (LO+(lambda_yN-L1 mod LO)) + (d2 residue (shelf2^3 mod LO))
26185365518889837863881277662133832446038,135,1,1,134,1,134,ky_r1,False,align:shelf3 (LO+(L3-L1 mod LO)) + (dy residue (shelf_y^3 mod LO))
26244163984612830845297983097081143337574,135,1,1,134,1,134,ky_r1,False,align:matrix track2 col2 + (L3-L1 mod LO)
26322998424067318897021996770551669474605,135,1,1,134,1,134,ky_r1,False,align:C_floor (shelf v0) + (cube lift - shelf (d3))
26383737281613961267252004609870196178813,135,1,1,134,1,134,ky_r1,False,align:C_floor (cube1 v1) + (cube lift - shelf (d2))
26506841348061473662726791019891557210048,135,1,1,134,1,134,ky_r1,False,align:d_cube_lift2 (1x cube on shelf2) + (C_minus1 - C_floor)
26506841348061473662726791019891557210049,135,1,1,134,1,134,ky_r1,False,align:shelf2 (LO+(L2-L1 mod LO)) + (cube lift - shelf (d2))
26506841348061473662726791019891557210050,135,1,1,134,1,134,ky_r1,False,align:d_cube_lift2 (1x cube on shelf2) + (C_plus1 - C_floor)
26565639813784466644143496454838868101585,135,1,1,134,1,134,ky_r1,False,align:d_cube_lift2 (1x cube on shelf2) + (matrix t2 col2-col1)
26632161910344641312074737340027260324511,135,1,1,134,1,134,ky_r1,False,align:C_floor (shelf v0) + ((N-GAP) mod LO)
26730549674282897721693199573736643647391,135,1,1,134,1,134,ky_r1,False,align:shelf3 (LO+(L3-L1 mod LO)) + (cube lift - shelf (dy))
26738560926170527005785587270121465329072,135,1,1,134,1,134,ky_r1,False,align:matrix track1 col2 + (L2-L1 mod LO)
26805528850752061213282592936878049768208,135,1,1,134,1,134,ky_r1,False,align:matrix track0 col2 + (d3 residue (shelf3^3 mod LO))
27001928568201983427375832461145797562360,135,1,1,134,1,134,ky_r1,False,align:matrix track0 col2 + (dy_mod mod LO)
27151426368576345543686477847296331054237,135,1,1,134,1,134,ky_r1,False,align:shelf3 (LO+(L3-L1 mod LO)) + (L3-L2 mod LO)
27357040732565996682215962295970663293341,135,1,1,134,1,134,ky_r1,False,align:C_floor (cube1 v1) + (matrix t1 col2-col1)
27389564211902322810997223695028298479821,135,1,1,134,1,134,ky_r1,False,align:C_floor (shelf v0) + (cube lift - shelf (d2))
27480144799013509077690748705992024324577,135,1,1,134,1,134,ky_r1,False,align:shelf2 (LO+(L2-L1 mod LO)) + (matrix t1 col2-col1)
27547112723595043285187754372748608763712,135,1,1,134,1,134,ky_r1,False,align:matrix track0 col2 + (C_minus1 - C_floor)
27547112723595043285187754372748608763713,135,1,1,134,1,134,ky_r1,False,align:d_cube_lift2 (1x cube on shelf2) + (matrix t0 col2-col1)
27547112723595043285187754372748608763714,135,1,1,134,1,134,ky_r1,False,align:matrix track0 col2 + (C_plus1 - C_floor)
27605911189318036266604459807695919655249,135,1,1,134,1,134,ky_r1,False,align:matrix track0 col2 + (matrix t2 col2-col1)
27667567457455569371569583847265464607303,135,1,1,134,1,134,ky_r1,False,align:matrix track2 col1 + (cube lift - shelf (d3))
27726365923178562352986289282212775498839,135,1,1,134,1,134,ky_r1,False,align:matrix track2 col2 + (cube lift - shelf (d3))
27976730943732891786622324416741055457209,135,1,1,134,1,134,ky_r1,False,align:matrix track2 col1 + ((N-GAP) mod LO)
28035529409455884768039029851688366348745,135,1,1,134,1,134,ky_r1,False,align:matrix track2 col2 + ((N-GAP) mod LO)
28088444151749017193562862120825152014149,135,1,1,134,1,134,ky_r1,False,align:d_cube_lift3 (1x cube on shelf3) + (shelf_y - shelf2)
28238757505342616004589222155914256679486,135,1,1,134,1,134,ky_r1,False,align:C_floor (cube1 v1) + (L2-L1 mod LO)
28284843869198939407656101645092899808301,135,1,1,134,1,134,ky_r1,False,align:shelf_y (LO+(lambda_yN-L1 mod LO)) + (shelf_y - shelf2)
28361861571790128400064008565935617710722,135,1,1,134,1,134,ky_r1,False,align:shelf2 (LO+(L2-L1 mod LO)) + (L2-L1 mod LO)
28362867662854358225961181381128765594349,135,1,1,134,1,134,ky_r1,False,align:C_floor (shelf v0) + (matrix t1 col2-col1)
28587384099128612907648717725605660317377,135,1,1,134,1,133,ky_r1,False,align:matrix track0 col2 + (matrix t0 col2-col1)
28734133245290573285544810771742093612519,135,1,1,134,1,133,ky_r1,False,align:matrix track2 col1 + (cube lift - shelf (d2))
28792931711013566266961516206689404504055,135,1,1,134,1,133,ky_r1,False,align:matrix track2 col2 + (cube lift - shelf (d2))
28965852823399626628603607021972001731542,135,1,1,134,1,133,ky_r1,False,align:matrix track1 col2 + (dy residue (shelf_y^3 mod LO))
29244584435630977548334441241072358980494,135,1,1,134,1,133,ky_r1,False,align:C_floor (shelf v0) + (L2-L1 mod LO)
29511036978792686486415528933574812932895,135,1,1,134,1,133,ky_r1,False,align:matrix track1 col2 + (cube lift - shelf (dy))
29707436696242608700508768457842560727047,135,1,1,134,1,133,ky_r1,False,align:matrix track2 col1 + (matrix t1 col2-col1)
29766235161965601681925473892789871618583,135,1,1,134,1,133,ky_r1,False,align:matrix track2 col2 + (matrix t1 col2-col1)
29931913673086134308408807207134500339741,135,1,1,134,1,133,ky_r1,False,align:matrix track1 col2 + (L3-L2 mod LO)
30466049402571715627407241907764793081956,135,1,1,134,1,133,ky_r1,False,align:C_floor (cube1 v1) + (dy residue (shelf_y^3 mod LO))
30589153469019228022882028317786154113192,135,1,1,134,1,133,ky_r1,False,align:shelf2 (LO+(L2-L1 mod LO)) + (dy residue (shelf_y^3 mod LO))
30647951934742221004298733752733465004728,135,1,1,134,1,133,ky_r1,False,align:matrix track2 col2 + (L2-L1 mod LO)
30813630445862753630782067067078093725886,135,1,1,134,1,133,ky_r1,False,align:shelf3 (LO+(L3-L1 mod LO)) + (d3 residue (shelf3^3 mod LO))
31010030163312675844875306591345841520038,135,1,1,134,1,133,ky_r1,False,align:shelf3 (LO+(L3-L1 mod LO)) + (dy_mod mod LO)
31011233557964775485219163819367604283309,135,1,1,134,1,133,ky_r1,False,align:C_floor (cube1 v1) + (cube lift - shelf (dy))
31134337624412287880693950229388965314545,135,1,1,134,1,133,ky_r1,False,align:shelf2 (LO+(L2-L1 mod LO)) + (cube lift - shelf (dy))
31235611213182885663797607164149948886914,135,1,1,134,1,133,ky_r1,False,align:d_cube_lift2 (1x cube on shelf2) + (d2 residue (shelf2^3 mod LO))
31432110252258223307212442092927291690155,135,1,1,134,1,133,ky_r1,False,align:C_floor (cube1 v1) + (L3-L2 mod LO)
31471876332860077171152460992922895382964,135,1,1,134,1,133,ky_r1,False,align:C_floor (shelf v0) + (dy residue (shelf_y^3 mod LO))
31555214318705735702687228502948652721390,135,1,1,134,1,133,ky_r1,False,align:shelf3 (LO+(L3-L1 mod LO)) + (C_minus1 - C_floor)
31555214318705735702687228502948652721391,135,1,1,134,1,133,ky_r1,False,align:shelf2 (LO+(L2-L1 mod LO)) + (L3-L2 mod LO)
31555214318705735702687228502948652721392,135,1,1,134,1,133,ky_r1,False,align:shelf3 (LO+(L3-L1 mod LO)) + (C_plus1 - C_floor)
31614012784428728684103933937895963612927,135,1,1,134,1,133,ky_r1,False,align:shelf3 (LO+(L3-L1 mod LO)) + (matrix t2 col2-col1)
32017060488253137028964382904525706584317,135,1,1,134,1,133,ky_r1,False,align:C_floor (shelf v0) + (cube lift - shelf (dy))
32275882588716455286258570517007000440578,135,1,1,134,1,133,ky_r1,False,align:matrix track0 col2 + (d2 residue (shelf2^3 mod LO))
32295832384428485138470373252209725887151,135,1,1,134,1,133,ky_r1,False,align:d_cube_lift3 (1x cube on shelf3) + (cube lift - shelf (d3))
32437937182546584850957661178085393991163,135,1,1,134,1,133,ky_r1,False,align:C_floor (shelf v0) + (L3-L2 mod LO)
32492232101878407352563612776477473681303,135,1,1,134,1,133,ky_r1,False,align:shelf_y (LO+(lambda_yN-L1 mod LO)) + (cube lift - shelf (d3))
32595485694239305325148191855805704275055,135,1,1,134,1,133,ky_r1,False,align:shelf3 (LO+(L3-L1 mod LO)) + (matrix t0 col2-col1)
32604995870705807553523113821685316737057,135,1,1,134,1,133,ky_r1,False,align:d_cube_lift3 (1x cube on shelf3) + ((N-GAP) mod LO)
32801395588155729767616353345953064531209,135,1,1,134,1,133,ky_r1,False,align:shelf_y (LO+(lambda_yN-L1 mod LO)) + ((N-GAP) mod LO)
32816445366248327645700048069636690515662,135,1,1,134,1,133,ky_r1,False,align:matrix track2 col1 + (dy residue (shelf_y^3 mod LO))
32875243831971320627116753504584001407198,135,1,1,134,1,133,ky_r1,False,align:matrix track2 col2 + (dy residue (shelf_y^3 mod LO))
33361629521641387503511969981239501717015,135,1,1,134,1,133,ky_r1,False,align:matrix track2 col1 + (cube lift - shelf (dy))
33362398172263489052445600176686354892367,135,1,1,134,1,133,ky_r1,False,align:d_cube_lift3 (1x cube on shelf3) + (cube lift - shelf (d2))
33420427987364380484928675416186812608551,135,1,1,134,1,133,ky_r1,False,align:matrix track2 col2 + (cube lift - shelf (dy))
33558797889713411266538839700954102686519,135,1,1,134,1,133,ky_r1,False,align:shelf_y (LO+(lambda_yN-L1 mod LO)) + (cube lift - shelf (d2))
33594117750372542395504396426916263011390,135,1,1,134,1,133,ky_r1,False,align:matrix track1 col2 + (d3 residue (shelf3^3 mod LO))
