# offset_in_band	d	left5	hash160_decimal	dist_l5_P160
0	730750818665451459101842416358141509827966271488	27479	274791798091809663590095633913874831533136048269	14219
1	730750818665451459101842416358141509827966271489	88792	887922795179458224311755378260801985061974457627	75532
2	730750818665451459101842416358141509827966271490	90600	906006113655907062439575192806492894599241794753	77340
3	730750818665451459101842416358141509827966271491	52283	522838580053510608096656801177629666103428220635	39023
4	730750818665451459101842416358141509827966271492	29436	294365000037986231735059320920282620866158981928	16176
5	730750818665451459101842416358141509827966271493	13491	1349176395293453526411335924320549584358331101300	231
6	730750818665451459101842416358141509827966271494	64503	64503949127991569690056778194062134956423428886	51243
7	730750818665451459101842416358141509827966271495	12944	1294426530120876742496697909287462608689427139057	316
8	730750818665451459101842416358141509827966271496	14108	1410818796992848669184267757644767072255857324088	848
9	730750818665451459101842416358141509827966271497	65503	655034169935336989359810763935283329970084738154	52243
10	730750818665451459101842416358141509827966271498	25642	256426411226129008150607433706112158100338745732	12382
11	730750818665451459101842416358141509827966271499	52135	521352034247337887948602766579697511094687784490	38875
12	730750818665451459101842416358141509827966271500	93346	933468890422347115062723057584925589784091017736	80086
13	730750818665451459101842416358141509827966271501	11202	1120229463278756844624884736536073432433690099825	2058
14	730750818665451459101842416358141509827966271502	12565	1256590562254032275004179774762608137905595838523	695
15	730750818665451459101842416358141509827966271503	52586	525862934705302706966852444559492323179359681161	39326
16	730750818665451459101842416358141509827966271504	25426	254264941340812160075342694675176576793796918282	12166
17	730750818665451459101842416358141509827966271505	45314	453141020529830246342672781918452957088245403554	32054
18	730750818665451459101842416358141509827966271506	42816	428162128950308818904558989867753886445082601137	29556
19	730750818665451459101842416358141509827966271507	12645	1264546375951639087852349087898641288577749526525	615
20	730750818665451459101842416358141509827966271508	63612	636128728036179161086634051976834792796289625283	50352
21	730750818665451459101842416358141509827966271509	65235	652354471723664723579330985471274169912096267971	51975
22	730750818665451459101842416358141509827966271510	11048	1104876499530627403007532795377470715439113942653	2212
23	730750818665451459101842416358141509827966271511	72733	727335909041008165448090486917948298230693039341	59473
24	730750818665451459101842416358141509827966271512	10655	1065566078634392979099318311642875638818790549036	2605
25	730750818665451459101842416358141509827966271513	72115	721156159065991254211181109974743799971813590494	58855
26	730750818665451459101842416358141509827966271514	35789	357891747280386397432345196804584454010229559607	22529
27	730750818665451459101842416358141509827966271515	28429	284290247795302546021669869488797585921200579301	15169
28	730750818665451459101842416358141509827966271516	91600	916002511542660359277251452384321771364033382834	78340
29	730750818665451459101842416358141509827966271517	45209	452090215243842607026619085640422223065147181478	31949
30	730750818665451459101842416358141509827966271518	12821	1282119607801827711864366652786308710858733791411	439
31	730750818665451459101842416358141509827966271519	13607	1360749883211776087213845527209369370336113281183	347
32	730750818665451459101842416358141509827966271520	11930	1193077208891209740776184467584549647998224802823	1330
33	730750818665451459101842416358141509827966271521	35124	351246422042455806411176645012909453806768197449	21864
34	730750818665451459101842416358141509827966271522	14706	147061896159900380750801612830178658899925171650	1446
35	730750818665451459101842416358141509827966271523	10280	1028084998676775284712243258157083672750806759183	2980
36	730750818665451459101842416358141509827966271524	95554	955543159210859306602963750030236349772992333178	82294
37	730750818665451459101842416358141509827966271525	59636	596362462721308336082458949854086834874518169715	46376
38	730750818665451459101842416358141509827966271526	71685	716858730463190634576928900737373812736806304135	58425
39	730750818665451459101842416358141509827966271527	25944	259440119713088583021015427995832409935637815072	12684
40	730750818665451459101842416358141509827966271528	62315	623156569112608868916439747232029908753077424031	49055
41	730750818665451459101842416358141509827966271529	48150	481508936130985087056187056573109216544858994181	34890
42	730750818665451459101842416358141509827966271530	11966	119669301088864141666975796617828899078145337473	1294
43	730750818665451459101842416358141509827966271531	14356	1435694589733241976436446208168519804884078978545	1096
44	730750818665451459101842416358141509827966271532	97383	973830338216200725866473706411668730062155276605	84123
45	730750818665451459101842416358141509827966271533	12151	1215153719506416701878546836531155387082381227433	1109
46	730750818665451459101842416358141509827966271534	10416	1041631919952137896424825196250322350167300197117	2844
