puzzle,anchor_k,num_indices,first_minus1,count_minus1,max_streak_minus1,ladder,gaps
4,1,1,0,0,0,1,
5,2,2,1,1,1,2 1,1
6,3,1,0,0,0,3,
7,4,3,0,1,1,4 2 1,"2,1"
8,5,2,0,0,0,5 3,2
9,6,5,1,3,2,6 5 4 2 1,"1,1,2,1"
10,7,3,1,1,1,7 6 2,"1,4"
11,8,3,0,0,0,8 5 3,"3,2"
12,9,5,1,3,2,9 8 6 5 4,"1,2,1,1"
13,10,5,0,1,1,10 8 7 5 1,"2,1,2,4"
14,11,3,0,0,0,11 6 1,"5,5"
15,12,3,0,1,1,12 4 3,"8,1"
16,13,7,1,3,2,13 12 10 8 7 6 2,"1,2,2,1,1,4"
17,14,5,0,2,1,14 9 8 2 1,"5,1,6,1"
18,15,7,1,2,1,15 14 11 10 8 6 2,"1,3,1,2,2,4"
19,16,6,0,1,1,16 14 13 10 8 2,"2,1,3,2,6"
20,17,7,0,3,2,17 8 6 5 3 2 1,"9,2,1,2,1,1"
21,18,6,0,2,2,18 14 11 10 9 1,"4,3,1,1,8"
22,19,7,1,3,2,19 18 17 13 11 2 1,"1,1,4,2,9,1"
23,20,7,0,1,1,20 18 14 13 10 5 2,"2,4,1,3,5,3"
24,21,9,1,4,3,21 20 19 18 15 10 6 2 1,"1,1,1,3,5,4,4,1"
25,22,9,0,3,2,22 17 12 11 8 7 6 4 1,"5,5,1,3,1,1,2,3"
26,23,10,1,4,1,23 22 19 15 14 11 10 7 4 3,"1,3,4,1,3,1,3,3,1"
27,24,13,1,4,3,24 23 22 21 19 15 13 11 10 7 5 3 1,"1,1,1,2,4,2,2,1,3,2,2,2"
28,25,10,0,3,2,25 23 19 16 13 12 10 8 7 6,"2,4,3,3,1,2,2,1,1"
29,26,13,0,5,3,26 23 20 19 15 11 10 8 6 5 4 3 1,"3,3,1,4,4,1,2,2,1,1,1,2"
30,27,16,0,7,3,27 24 22 20 19 15 14 13 11 10 8 6 5 4 3 1,"3,2,2,1,4,1,1,2,1,2,2,1,1,1,2"
31,28,11,0,1,1,28 25 23 21 16 14 10 7 5 4 2,"3,2,2,5,2,4,3,2,1,2"
32,29,11,1,4,1,29 28 22 18 15 14 10 7 6 4 3,"1,6,4,3,1,4,3,1,2,1"
33,30,16,1,7,2,30 29 28 26 23 22 20 19 14 13 12 9 6 4 2 1,"1,1,2,3,1,2,1,5,1,1,3,3,2,2,1"
34,31,16,0,4,1,31 29 27 26 24 23 21 16 14 13 11 9 6 4 2 1,"2,2,1,2,1,2,5,2,1,2,2,3,2,2,1"
35,32,14,0,4,1,32 29 27 23 21 19 18 16 15 12 5 4 2 1,"3,2,4,2,2,1,2,1,3,7,1,2,1"
36,33,15,1,5,1,33 32 30 28 25 23 20 19 17 16 14 13 11 5 4,"1,2,2,3,2,3,1,2,1,2,1,2,6,1"
