n,d,d_bits,row,row_eq_n_mod3,shelf2,offset,offset_bits,gap,h_minus_10,h10,h_minus_1,h1,h_minus_2,h2,gap1,gap2,gap10,has_rsz,lambda_unified,law_p,law_n,bridge_ok,d_minus_lo,shelf2_minus_lo,d_mod3,shelf2_mod3,offset_mod3
1,1,1,0,False,1,0,0,1,-9,False,0,True,-1,False,True,False,False,False,True,True,True,True,0,0,1,1,0
2,3,2,2,True,3,0,0,2,-8,False,1,False,0,True,False,True,False,False,False,True,True,True,1,1,0,0,0
3,7,3,1,False,6,1,1,2,-7,False,2,False,1,True,False,True,False,False,False,True,True,True,3,2,1,0,1
4,8,4,0,False,9,7,3,1,-6,False,3,True,2,False,True,False,False,False,True,True,True,True,0,1,2,0,1
5,21,5,0,False,28,9,4,1,-5,False,4,True,3,False,True,False,False,False,False,True,True,True,5,12,0,1,0
6,49,6,2,False,41,8,4,2,-4,False,5,False,4,True,False,True,False,False,False,True,True,True,17,9,1,2,2
7,76,7,1,True,68,8,4,3,-3,False,6,False,5,False,False,False,False,False,False,True,True,True,12,4,1,2,2
8,224,8,0,False,191,33,6,2,-2,False,7,False,6,True,False,True,False,False,False,True,True,True,96,63,2,2,0
9,467,9,1,False,346,121,7,2,-1,False,8,False,7,True,False,True,False,False,True,True,True,True,211,90,2,1,1
10,514,10,1,True,851,175,8,2,0,False,9,False,8,True,False,True,False,False,False,True,True,True,2,339,1,2,1
11,1155,11,2,True,1415,764,10,1,1,False,10,True,9,False,True,False,False,False,False,True,True,True,131,391,0,2,2
12,2683,12,0,True,4087,644,10,2,2,False,11,False,10,True,False,True,False,False,False,True,True,True,635,2039,1,1,2
13,5216,13,2,False,6305,3007,12,1,3,False,12,True,11,False,True,False,False,False,False,True,True,True,1120,2209,2,2,1
14,10544,14,1,False,9970,574,10,4,4,False,13,False,12,False,False,False,False,False,False,True,True,True,2352,1778,2,1,1
15,26867,15,2,False,31640,11611,14,1,5,False,14,True,13,False,True,False,False,False,False,True,True,True,10483,15256,2,2,1
16,51510,16,1,True,60700,23578,15,1,6,False,15,True,14,False,True,False,False,False,False,True,True,True,18742,27932,0,1,1
17,95823,17,0,False,90760,5063,13,4,7,False,16,False,15,False,False,False,False,False,True,True,True,True,30287,25224,0,1,2
18,198669,18,0,True,215955,113786,17,1,8,False,17,True,16,False,True,False,False,False,False,True,True,True,67597,84883,0,0,2
19,357535,19,2,False,429283,190396,18,1,9,False,18,True,17,False,True,False,False,False,False,True,True,True,95391,167139,1,1,1
20,863317,20,1,False,563591,299726,19,1,10,False,19,True,18,False,True,False,False,False,True,True,True,True,339029,39303,1,2,2
21,1811764,21,1,False,1716831,94933,17,4,11,False,20,False,19,False,False,False,False,False,False,True,True,True,763188,668255,1,0,1
22,3007503,22,1,True,3043451,2061204,21,1,12,False,21,True,20,False,True,False,False,False,False,True,True,True,910351,946299,0,2,0
23,5598802,23,2,True,6706916,3086190,22,1,13,False,22,True,21,False,True,False,False,False,True,True,True,True,1404498,2512612,1,2,0
24,14428676,24,2,False,15605549,7211735,23,1,14,False,23,True,22,False,True,False,False,False,False,True,True,True,6040068,7216941,2,2,2
25,33185509,25,0,False,31226526,1958983,21,4,15,False,24,False,23,False,False,False,False,False,True,True,True,True,16408293,14449310,1,0,1
26,54538862,26,1,False,58003184,30090110,25,1,16,False,25,True,24,False,True,False,False,False,True,True,True,True,20984430,24448752,2,2,2
