height = 2^n - 1
result = height - d
complement = N - result

P   n   height              d                       result                  complement
----------------------------------------------------------------------------------------------------
P01  1 1 1 0 115792089237316195423570985008687907852837564279074904382605163141518161494337
P02  2 3 3 0 115792089237316195423570985008687907852837564279074904382605163141518161494337
P03  3 7 7 0 115792089237316195423570985008687907852837564279074904382605163141518161494337
P04  4 15 8 7 115792089237316195423570985008687907852837564279074904382605163141518161494330
P05  5 31 21 10 115792089237316195423570985008687907852837564279074904382605163141518161494327
P06  6 63 49 14 115792089237316195423570985008687907852837564279074904382605163141518161494323
P07  7 127 76 51 115792089237316195423570985008687907852837564279074904382605163141518161494286
P08  8 255 224 31 115792089237316195423570985008687907852837564279074904382605163141518161494306
P09  9 511 467 44 115792089237316195423570985008687907852837564279074904382605163141518161494293
P10 10 1023 514 509 115792089237316195423570985008687907852837564279074904382605163141518161493828
P11 11 2047 1155 892 115792089237316195423570985008687907852837564279074904382605163141518161493445
P12 12 4095 2683 1412 115792089237316195423570985008687907852837564279074904382605163141518161492925
P13 13 8191 5216 2975 115792089237316195423570985008687907852837564279074904382605163141518161491362
P14 14 16383 10544 5839 115792089237316195423570985008687907852837564279074904382605163141518161488498
P15 15 32767 26867 5900 115792089237316195423570985008687907852837564279074904382605163141518161488437
P16 16 65535 51510 14025 115792089237316195423570985008687907852837564279074904382605163141518161480312
P17 17 131071 95823 35248 115792089237316195423570985008687907852837564279074904382605163141518161459089
P18 18 262143 198669 63474 115792089237316195423570985008687907852837564279074904382605163141518161430863
P19 19 524287 357535 166752 115792089237316195423570985008687907852837564279074904382605163141518161327585
P20 20 1048575 863317 185258 115792089237316195423570985008687907852837564279074904382605163141518161309079
P21 21 2097151 1811764 285387 115792089237316195423570985008687907852837564279074904382605163141518161208950
P22 22 4194303 3007503 1186800 115792089237316195423570985008687907852837564279074904382605163141518160307537
P23 23 8388607 5598802 2789805 115792089237316195423570985008687907852837564279074904382605163141518158704532
P24 24 16777215 14428676 2348539 115792089237316195423570985008687907852837564279074904382605163141518159145798
P25 25 33554431 33185509 368922 115792089237316195423570985008687907852837564279074904382605163141518161125415
P26 26 67108863 54538862 12570001 115792089237316195423570985008687907852837564279074904382605163141518148924336
P27 27 134217727 111949941 22267786 115792089237316195423570985008687907852837564279074904382605163141518139226551
P28 28 268435455 227634408 40801047 115792089237316195423570985008687907852837564279074904382605163141518120693290
P29 29 536870911 400708894 136162017 115792089237316195423570985008687907852837564279074904382605163141518025332320
P30 30 1073741823 1033162084 40579739 115792089237316195423570985008687907852837564279074904382605163141518120914598
P31 31 2147483647 2102388551 45095096 115792089237316195423570985008687907852837564279074904382605163141518116399241
P32 32 4294967295 3093472814 1201494481 115792089237316195423570985008687907852837564279074904382605163141516959999856
P33 33 8589934591 7137437912 1452496679 115792089237316195423570985008687907852837564279074904382605163141516708997658
P34 34 17179869183 14133072157 3046797026 115792089237316195423570985008687907852837564279074904382605163141515114697311
P35 35 34359738367 20112871792 14246866575 115792089237316195423570985008687907852837564279074904382605163141503914627762
P36 36 68719476735 42387769980 26331706755 115792089237316195423570985008687907852837564279074904382605163141491829787582
P37 37 137438953471 100251560595 37187392876 115792089237316195423570985008687907852837564279074904382605163141480974101461
P38 38 274877906943 146971536592 127906370351 115792089237316195423570985008687907852837564279074904382605163141390255123986
P39 39 549755813887 323724968937 226030844950 115792089237316195423570985008687907852837564279074904382605163141292130649387
P40 40 1099511627775 1003651412950 95860214825 115792089237316195423570985008687907852837564279074904382605163141422301279512
P41 41 2199023255551 1458252205147 740771050404 115792089237316195423570985008687907852837564279074904382605163140777390443933
P42 42 4398046511103 2895374552463 1502671958640 115792089237316195423570985008687907852837564279074904382605163140015489535697
P43 43 8796093022207 7409811047825 1386281974382 115792089237316195423570985008687907852837564279074904382605163140131879519955
P44 44 17592186044415 15404761757071 2187424287344 115792089237316195423570985008687907852837564279074904382605163139330737206993
P45 45 35184372088831 19996463086597 15187909002234 115792089237316195423570985008687907852837564279074904382605163126330252492103
P46 46 70368744177663 51408670348612 18960073829051 115792089237316195423570985008687907852837564279074904382605163122558087665286
P47 47 140737488355327 119666659114170 21070829241157 115792089237316195423570985008687907852837564279074904382605163120447332253180
P48 48 281474976710655 191206974700443 90268002010212 115792089237316195423570985008687907852837564279074904382605163051250159484125
P49 49 562949953421311 409118905032525 153831048388786 115792089237316195423570985008687907852837564279074904382605162987687113105551
P50 50 1125899906842623 611140496167764 514759410674859 115792089237316195423570985008687907852837564279074904382605162626758750819478
P51 51 2251799813685247 2058769515153876 193030298531371 115792089237316195423570985008687907852837564279074904382605162948487862962966
P52 52 4503599627370495 4216495639600700 287103987769795 115792089237316195423570985008687907852837564279074904382605162854414173724542
P53 53 9007199254740991 6763683971478124 2243515283262867 115792089237316195423570985008687907852837564279074904382605160898002878231470
P54 54 18014398509481983 9974455244496707 8039943264985276 115792089237316195423570985008687907852837564279074904382605155101574896509061
P55 55 36028797018963967 30045390491869460 5983406527094507 115792089237316195423570985008687907852837564279074904382605157158111634399830
P56 56 72057594037927935 44218742292676575 27838851745251360 115792089237316195423570985008687907852837564279074904382605135302666416242977
P57 57 144115188075855871 138245758910846492 5869429165009379 115792089237316195423570985008687907852837564279074904382605157272088996484958
P58 58 288230376151711743 199976667976342049 88253708175369694 115792089237316195423570985008687907852837564279074904382605074887809986124643
P59 59 576460752303423487 525070384258266191 51390368045157296 115792089237316195423570985008687907852837564279074904382605111751150116337041
P60 60 1152921504606846975 1135041350219496382 17880154387350593 115792089237316195423570985008687907852837564279074904382605145261363774143744
P61 61 2305843009213693951 1425787542618654982 880055466595038969 115792089237316195423570985008687907852837564279074904382604283086051566455368
P62 62 4611686018427387903 3908372542507822062 703313475919565841 115792089237316195423570985008687907852837564279074904382604459828042241928496
P63 63 9223372036854775807 8993229949524469768 230142087330306039 115792089237316195423570985008687907852837564279074904382604932999430831188298
P64 64 18446744073709551615 17799667357578236628 647076716131314987 115792089237316195423570985008687907852837564279074904382604516064802030179350
P65 65 36893488147419103231 30568377312064202855 6325110835354900376 115792089237316195423570985008687907852837564279074904382598838030682806593961
P66 66 73786976294838206463 46346217550346335726 27440758744491870737 115792089237316195423570985008687907852837564279074904382577722382773669623600
P67 67 147573952589676412927 132656943602386256302 14917008987290156625 115792089237316195423570985008687907852837564279074904382590246132530871337712
P68 68 295147905179352825855 219898266213316039825 75249638966036786030 115792089237316195423570985008687907852837564279074904382529913502552124708307
P69 69 590295810358705651711 297274491920375905804 293021318438329745907 115792089237316195423570985008687907852837564279074904382312141823079831748430
P70 70 1180591620717411303423 970436974005023690481 210154646712387612942 115792089237316195423570985008687907852837564279074904382395008494805773881395
