puzzle,d,height,result,complement,d_over_height,result_over_height,d_over_lo,result_over_d,d_over_prev_d,result_over_prev_result
1,1,1,0,115792089237316195423570985008687907852837564279074904382605163141518161494337,1.0,0.0,1.0,0.0,,
2,3,3,0,115792089237316195423570985008687907852837564279074904382605163141518161494337,1.0,0.0,1.5,0.0,3.0,
3,7,7,0,115792089237316195423570985008687907852837564279074904382605163141518161494337,1.0,0.0,1.75,0.0,2.3333333333333335,
4,8,15,7,115792089237316195423570985008687907852837564279074904382605163141518161494330,0.5333333333333333,0.4666666666666667,1.0,0.875,1.1428571428571428,
5,21,31,10,115792089237316195423570985008687907852837564279074904382605163141518161494327,0.6774193548387096,0.3225806451612903,1.3125,0.47619047619047616,2.625,1.4285714285714286
6,49,63,14,115792089237316195423570985008687907852837564279074904382605163141518161494323,0.7777777777777778,0.2222222222222222,1.53125,0.2857142857142857,2.3333333333333335,1.4
7,76,127,51,115792089237316195423570985008687907852837564279074904382605163141518161494286,0.5984251968503937,0.4015748031496063,1.1875,0.6710526315789473,1.5510204081632653,3.642857142857143
8,224,255,31,115792089237316195423570985008687907852837564279074904382605163141518161494306,0.8784313725490196,0.12156862745098039,1.75,0.13839285714285715,2.9473684210526314,0.6078431372549019
9,467,511,44,115792089237316195423570985008687907852837564279074904382605163141518161494293,0.913894324853229,0.08610567514677103,1.82421875,0.09421841541755889,2.0848214285714284,1.4193548387096775
10,514,1023,509,115792089237316195423570985008687907852837564279074904382605163141518161493828,0.5024437927663734,0.4975562072336266,1.00390625,0.9902723735408561,1.100642398286938,11.568181818181818
11,1155,2047,892,115792089237316195423570985008687907852837564279074904382605163141518161493445,0.5642403517342452,0.43575964826575475,1.1279296875,0.7722943722943723,2.247081712062257,1.7524557956777995
12,2683,4095,1412,115792089237316195423570985008687907852837564279074904382605163141518161492925,0.6551892551892552,0.3448107448107448,1.31005859375,0.5262765560939248,2.322943722943723,1.5829596412556053
13,5216,8191,2975,115792089237316195423570985008687907852837564279074904382605163141518161491362,0.6367964839457941,0.3632035160542058,1.2734375,0.5703604294478528,1.9440924338427135,2.106940509915014
14,10544,16383,5839,115792089237316195423570985008687907852837564279074904382605163141518161488498,0.6435939693584813,0.35640603064151866,1.287109375,0.5537746585735963,2.021472392638037,1.9626890756302522
15,26867,32767,5900,115792089237316195423570985008687907852837564279074904382605163141518161488437,0.8199407940916166,0.18005920590838342,1.63983154296875,0.2196002530985968,2.5480842185128982,1.0104469943483474
16,51510,65535,14025,115792089237316195423570985008687907852837564279074904382605163141518161480312,0.7859922178988327,0.2140077821011673,1.57196044921875,0.2722772277227723,1.9172218706963933,2.3771186440677967
17,95823,131071,35248,115792089237316195423570985008687907852837564279074904382605163141518161459089,0.7310770498432148,0.26892295015678525,1.4621429443359375,0.3678448806653935,1.8602795573675015,2.5132263814616755
18,198669,262143,63474,115792089237316195423570985008687907852837564279074904382605163141518161430863,0.757864982089928,0.24213501791007197,1.5157241821289062,0.31949624752729416,2.073291380983689,1.8007830231502497
19,357535,524287,166752,115792089237316195423570985008687907852837564279074904382605163141518161327585,0.6819451941398509,0.3180548058601491,1.3638877868652344,0.4663934999370691,1.7996516819433328,2.6270914075054352
20,863317,1048575,185258,115792089237316195423570985008687907852837564279074904382605163141518161309079,0.8233240349998808,0.1766759650001192,1.646646499633789,0.21458861576917865,2.414636329310417,1.1109791786605259
21,1811764,2097151,285387,115792089237316195423570985008687907852837564279074904382605163141518161208950,0.8639168090423627,0.1360831909576373,1.7278327941894531,0.15751886007228313,2.098608043163751,1.5404840816590917
