PUZZLE NUMERIC RATIOS (solved only, through P130)
  height = 2^n - 1
  result = height - d
  complement = N - result

P    n   d/height   result/height   d/LO      result/d    d/d_prev   result/result_prev
---  --  --------   -------------   ------    --------    --------   ------------------
P01   1  1.000000   0.000000      1.000000  0.000000   -  -
P02   2  1.000000   0.000000      1.500000  0.000000   3.000000  -
P03   3  1.000000   0.000000      1.750000  0.000000   2.333333  -
P04   4  0.533333   0.466667      1.000000  0.875000   1.142857  -
P05   5  0.677419   0.322581      1.312500  0.476190   2.625000  1.428571
P06   6  0.777778   0.222222      1.531250  0.285714   2.333333  1.400000
P07   7  0.598425   0.401575      1.187500  0.671053   1.551020  3.642857
P08   8  0.878431   0.121569      1.750000  0.138393   2.947368  0.607843
P09   9  0.913894   0.086106      1.824219  0.094218   2.084821  1.419355
P10  10  0.502444   0.497556      1.003906  0.990272   1.100642  11.568182
P11  11  0.564240   0.435760      1.127930  0.772294   2.247082  1.752456
P12  12  0.655189   0.344811      1.310059  0.526277   2.322944  1.582960
P13  13  0.636796   0.363204      1.273438  0.570360   1.944092  2.106941
P14  14  0.643594   0.356406      1.287109  0.553775   2.021472  1.962689
P15  15  0.819941   0.180059      1.639832  0.219600   2.548084  1.010447
P16  16  0.785992   0.214008      1.571960  0.272277   1.917222  2.377119
P17  17  0.731077   0.268923      1.462143  0.367845   1.860280  2.513226
P18  18  0.757865   0.242135      1.515724  0.319496   2.073291  1.800783
P19  19  0.681945   0.318055      1.363888  0.466393   1.799652  2.627091
P20  20  0.823324   0.176676      1.646646  0.214589   2.414636  1.110979
P21  21  0.863917   0.136083      1.727833  0.157519   2.098608  1.540484
P22  22  0.717045   0.282955      1.434089  0.394613   1.659986  4.158564
P23  23  0.667429   0.332571      1.334858  0.498286   1.861611  2.350695
P24  24  0.860016   0.139984      1.720032  0.162769   2.577101  0.841829
P25  25  0.989005   0.010995      1.978010  0.011117   2.299969  0.157086
P26  26  0.812692   0.187308      1.625385  0.230478   1.643454  34.072246
P27  27  0.834092   0.165908      1.668184  0.198908   2.052664  1.771502
P28  28  0.848004   0.151996      1.696009  0.179239   2.033359  1.832290
P29  29  0.746378   0.253622      1.492757  0.339803   1.760318  3.337219
P30  30  0.962207   0.037793      1.924414  0.039277   2.578336  0.298025
P31  31  0.979001   0.020999      1.958002  0.021449   2.034907  1.111271
P32  32  0.720255   0.279745      1.440511  0.388397   1.471409  26.643573
P33  33  0.830907   0.169093      1.661814  0.203504   2.307257  1.208908
P34  34  0.822653   0.177347      1.645306  0.215579   1.980132  2.097628
P35  35  0.585362   0.414638      1.170723  0.708346   1.423107  4.676014
P36  36  0.616823   0.383177      1.233646  0.621210   2.107495  1.848245
P37  37  0.729426   0.270574      1.458852  0.370941   2.365106  1.412267
P38  38  0.534679   0.465321      1.069359  0.870280   1.466027  3.439509
P39  39  0.588852   0.411148      1.177705  0.698219   2.202637  1.767159
P40  40  0.912816   0.087184      1.825631  0.095511   3.100321  0.424102
P41  41  0.663136   0.336864      1.326273  0.507986   1.452947  7.727617
P42  42  0.658332   0.341668      1.316664  0.518991   1.985510  2.028524
P43  43  0.842398   0.157602      1.684796  0.187087   2.559189  0.922545
P44  44  0.875659   0.124341      1.751319  0.141997   2.078968  1.577907
P45  45  0.568334   0.431666      1.136667  0.759530   1.298070  6.943284
P46  46  0.730561   0.269439      1.461122  0.368811   2.570888  1.248366
P47  47  0.850283   0.149717      1.700566  0.176079   2.327752  1.111326
P48  48  0.679304   0.320696      1.358607  0.472096   1.597830  4.284027
P49  49  0.726741   0.273259      1.453482  0.376006   2.139665  1.704159
P50  50  0.542802   0.457198      1.085604  0.842293   1.493797  3.346265
P51  51  0.914277   0.085723      1.828555  0.093760   3.368734  0.374991
P52  52  0.936250   0.063750      1.872500  0.068091   2.048066  1.487352
P53  53  0.750920   0.249080      1.501840  0.331700   1.604101  7.814295
P54  54  0.553693   0.446307      1.107387  0.806053   1.474707  3.583637
P55  55  0.833927   0.166073      1.667854  0.199146   3.012234  0.744210
P56  56  0.613658   0.386342      1.227317  0.629571   1.471731  4.652676
P57  57  0.959273   0.040727      1.918545  0.042456   3.126406  0.210836
P58  58  0.693808   0.306192      1.387617  0.441320   1.446530  15.036165
P59  59  0.910852   0.089148      1.821704  0.097873   2.625658  0.582303
P60  60  0.984491   0.015509      1.968983  0.015753   2.161694  0.347928
P61  61  0.618337   0.381663      1.236674  0.617242   1.256155  49.219679
P62  62  0.847493   0.152507      1.694986  0.179950   2.741203  0.799169
P63  63  0.975048   0.024952      1.950096  0.025591   2.301017  0.327225
