n,solved,rsz,bridge_row,lane3,lane5,gap_h2,gap_h3,lhs_tail,rhs_tail,rx_tail,gap,lhs_n,rhs_n,r_source
1,True,True,1,1,1,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
2,True,True,3,2,2,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
3,True,True,2,0,3,14,148,768,962,368,14891216110272241377756063318957640422262002593900921218990858127611733871194,24879821969881342698453870499117630300356777343725767668138372196708140311768,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 2 (no known_k / no RSZ)
4,True,True,1,1,4,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
5,True,True,1,2,0,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
6,True,True,3,0,1,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
7,True,True,2,1,2,14,148,768,962,368,14891216110272241377756063318957640422262002593900921218990858127611733871194,24879821969881342698453870499117630300356777343725767668138372196708140311768,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 2 (no known_k / no RSZ)
8,True,True,1,2,3,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
9,True,True,2,0,4,14,148,768,962,368,14891216110272241377756063318957640422262002593900921218990858127611733871194,24879821969881342698453870499117630300356777343725767668138372196708140311768,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 2 (no known_k / no RSZ)
10,True,True,2,1,0,14,148,768,962,368,14891216110272241377756063318957640422262002593900921218990858127611733871194,24879821969881342698453870499117630300356777343725767668138372196708140311768,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 2 (no known_k / no RSZ)
11,True,True,3,2,1,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
