n,d,d_hex,offset,gap_tail,gap_head2,gap_head3,px_tail,py_tail,ec_hit
135,25067298700269299394328256205184548560007,00000000000000000000000000000049aa8a1e823d298da6f2fc755ef4015c87,-10891703568565826467359722953416425828538,294,14,148,728,935,False
135,25065338664035653620549838275356092432863,00000000000000000000000000000049a910a142eb14501a60a9344d41ce81df,-10893663604799472241138140883244881955682,363,14,145,837,737,False
135,25061473037019296677820180691527748404329,00000000000000000000000000000049a62823227af8a4efce4c1ea33ecdc469,-10897529231815829183867798467073225984216,911,14,142,742,856,False
135,25055157364710882517867500695413834216865,00000000000000000000000000000049a167c872e4426cd58506f7a31d0d75a1,-10903844904124243343820478463187140171680,917,14,145,845,640,False
135,25044703838131438391049271736328734872097,00000000000000000000000000000049998a81cbd92679e7cdf59c9a11539221,-10914298430703687470638707422272239516448,072,14,146,572,681,False
135,25023034548659465669832317956558581022005,00000000000000000000000000000049893d2756ea1f35005fcef7e4a65a3d35,-10935967720175660191855661202042393366540,542,14,148,753,888,False
135,25020584503367408452609295544273010863075,0000000000000000000000000000004987654ac7c384a810a8e6e68e879aabe3,-10938417765467717409078683614327963525470,477,14,146,383,298,False
135,25006809804280953431333191759645249747313,000000000000000000000000000000497d0861ae50e1294a1656b29946d1b971,-10952192464554172430354787398955724641232,792,14,141,292,154,False
135,24996029604995901675551893145588741048021,0000000000000000000000000000004974ec30d20d6c56c4f18cccb7f2ba06d5,-10962972663839224186136086013012233340524,639,14,142,776,832,False
135,24994886250526274974181149353188808307187,00000000000000000000000000000049740ffd17c8354832f186e6c2f571b1f3,-10964116018308850887506829805412166081358,863,14,141,574,373,False
135,24983997160339354008745494187475163156387,000000000000000000000000000000496bded37f1ca2d5d0a82a27eede900fa3,-10975005108495771852942484971125811232158,826,14,140,659,676,False
135,24980185978773931670843014879475387353607,000000000000000000000000000000496900d1bce095fa94a8167ebe3cf44a07,-10978816290061194190844964279125587034938,426,14,148,287,181,False
135,24978661506147762735682023156275477032495,0000000000000000000000000000004967db376f2ef73c7ca80ea17795e92e2f,-10980340762687363126005956002325497356050,716,14,142,258,900,False
135,24977572597129070639138457639704112517415,00000000000000000000000000000049670980131dcefdd93a5227fbfa05d127,-10981429671706055222549521518896861871130,621,14,146,217,537,False
135,24974414760974863559162117641647155423683,0000000000000000000000000000004964a952bb5273e1cc15af947be925a9c3,-10984587507860262302525861516953818964862,413,14,144,946,095,False
135,24966302388785607439912554543190489786337,000000000000000000000000000000495e8eefe705d4dbf0f0f371d6396167e1,-10992699880049518421775424615410484602208,330,14,144,680,705,False
135,24963198998082334964763392820962100918359,000000000000000000000000000000495c393eed6e888fd25e9a4acf89e63857,-10995803270752790896924586337638873470186,533,14,147,600,594,False
135,24958680025654762764107595927190938180777,0000000000000000000000000000004958d2ec628dbb2578f0cc1f74f629dca9,-11000322243180363097580383231410036207768,430,14,140,043,287,False
135,24955794416755228708267147308276822215815,0000000000000000000000000000004956a72ce1c6aa1914a798aa53cc428c87,-11003207852079897153420831850324152172730,494,14,147,713,177,False
135,24940331908689800937348516972963446101679,000000000000000000000000000000494b053460063b6c6a5e2453abc03f96af,-11018670360145324924339462185637528286866,189,14,148,780,276,False
135,24932328427402414027753310426163916915841,0000000000000000000000000000004944ffca4821ba066c5dfb09f8d3454481,-11026673841432711833934668732437057472704,411,14,143,745,903,False
135,24924978291526242376084243189307206439051,000000000000000000000000000000493f78349aadea5f9d3942d5f67706908b,-11034023977308883485603735969293767949494,553,14,143,144,446,False
135,24899388929586978107310453549880140334671,000000000000000000000000000000492c37dfa71ab89f9ca675af1da7a7864f,-11059613339248147754377525608720834053874,879,14,146,010,369,False
135,24895359966217817350099261138566091628875,00000000000000000000000000000049292fec6c0e7084a65d3c54078077e14b,-11063642302617308511588718020034882759670,047,14,143,232,210,False
135,24861277113932754728285660469882382306871,000000000000000000000000000000490f8bce10c2380f44a5b113375791ce37,-11097725154902371133402318688718592081674,486,14,146,611,164,False
140,1062554749152540407991215665072714701011127,00000000000000000000000000000c329158e4f5bafe6261dd71ef32f6eaf8b7,348485731070069041030359399366928496238262,828,11,110,638,552,False
140,1062573913951269388890382418164370716476865,00000000000000000000000000000c329fc3e67d4f5c4a6b02671618e1bfc5c1,348504895868798021929526152458584511704000,526,11,114,787,445,False
140,1062641861874035775714700906398423862219027,00000000000000000000000000000c32d2e231bb1791f5742857e5d3adf81113,348572843791564408753844640692637657446162,086,11,112,709,550,False
140,1062654057655045127195988840184023144788133,00000000000000000000000000000c32dc0f0428a487e6342896d008e650f0a5,348585039572573760235132574478236940015268,827,11,112,860,541,False
140,1062702840779082533121140575326420275064557,00000000000000000000000000000c3300c24dded85fa934299278ddc7b46eed,348633822696611166160284309620634070291692,938,11,115,861,998,False
140,1062718521068951699311367918765047924081979,00000000000000000000000000000c330c8e37d969099598bc2c816b594b453b,348649502986480332350511653059261719309114,760,11,110,964,712,False
140,1062723747832241421374777033244590473754453,00000000000000000000000000000c33107cdb2cee978f0f97b52eefdf283755,348654729749770054413920767538804268981588,265,11,115,910,229,False
140,1062749881648690031691822605642303222116823,00000000000000000000000000000c3324260bce8a5d6e61e16092867c78f1d7,348680863566218664730966339936517017343958,994,11,113,772,713,False
