puzzle,source,txid,pub_compressed,input_index,note,low_S,s,k,k_star,k_star_bit_length,byte_bin,era_proxy,sighash,segwit
1,blockstream spend tx,e99c1e6bf13d614c5fc9a06045c145d27aa4ed83172fe1ceaea834811cf1a83a,0279be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798,0,,True,53838611629141934132508112112095976415603258045912231068386825495345712767215,107739790103963997972578847686919999700122689534728864342460615095621784255312,8052299133352197450992137321767908152714874744346040040144548045896377239025,253,35,early_n_le_50,unknown,unknown
2,blockstream spend tx,a37f2f87bd371d621178605a79062010298c31fc884ed966a2041684eb8198f1,02f9308a019258c31049344f85f89d5229b531c845836f99b08601f113bce036f9,0,,True,40843310415722312397111702337835502775911585069833619710507378970032701663180,98457247962379289817178057135924528696646735981230610320556661500311489520485,17334841274936905606392927872763379156190828297844294062048501641206671973852,254,76,early_n_le_50,unknown,unknown
3,blockstream spend tx,c2e9cced187a6222901f0dae0942ae95c3c1f92e2cae4b68780c09958d9ad43d,025cbdf0646e5db4eaa398f365f2ea7a0e3d419b7e0330e39ce92bddedcac4f9bc,0,,True,12389004682791058150207000065005331243812510650606936715239865212278441724251,99269389310267800933741058599005703119238520601857206466515401881125082298523,16522699927048394489829926409682204733599043677217697916089761260393079195814,254,73,early_n_le_50,unknown,unknown
4,blockstream spend tx,c6221443b07867173425b972f6b2005130491c3752e1fbac653e16cc967018a7,022f01e5e15cca351daff3843fb70f3c2f0a1bdd05e5af888a67784ef3e10a2a01,0,,True,48285960684144183851432312852448314123839041552886325699662719466225652891693,65391201288719248743779553100377382748137230515455705605460087089450137830309,50400887948596946679791431908310525104700333763619198777145076052068023664028,255,222,early_n_le_50,unknown,unknown
5,blockstream spend tx,4f5a32521f352d48cc4491c6de3485764997c0cd089f63e822f4e7ed05015d20,02352bbf4a4cdd12564f93fa332ce333301d9ad40271f8107181340aef25be59d5,0,,True,22078949034186379494818867612980518423666667041582454703550520815507989938740,69753958823701014786816777110860098832158559884527594668980071680790185258358,46038130413615180636754207897827809020679004394547309713625091460727976235979,255,203,early_n_le_50,unknown,unknown
6,blockstream spend tx,6cdd5ab14126f5555d6a288cbbebdd62f56c5ccf11ba051179004111deb2a961,03f2dac991cc4ce4b9ea44887e5c7c0bce58c80074ab9d4dbaeb28531b7739f530,0,,True,610834535854703359651178011186068005231472389190330319589476518687129965605,32510240108976560123669041826963792006186821164826580805921650158282420365658,32510240108976560123669041826963792006186821164826580805921650158282420365658,255,143,early_n_le_50,unknown,unknown
7,blockstream spend tx,09817b72199818d5610d44f9427f87c84ef3905004b751c5198059188e2de9b4,0296516a8f65774275278d0d7420a88df0ac44bd64c7bae07c3fe397c5b3300b23,0,,True,9322106992035102879135399198935471517312480572852046969272153240755838405632,19069363971791595067622420737223154572022265071209975656006710066539120532688,19069363971791595067622420737223154572022265071209975656006710066539120532688,254,84,early_n_le_50,unknown,unknown
8,blockstream spend tx,0827fb603364998f7f24724e2f4f4befd6ada60dbef28f91307fe7a79e98a4f8,0308bc89c2f919ed158885c35600844d49890905c79b357322609c45706ce6b514,0,,True,6966696036697703611872434978165500549292929354066344742107571568131922606386,35148566345469271269525390229790860566318764231880263811977792996346826198027,35148566345469271269525390229790860566318764231880263811977792996346826198027,255,155,early_n_le_50,unknown,unknown
9,blockstream spend tx,7e7103a6b2e720ed69353ca9bef3fdbfbb3218bb8c062e04ac2c356e1c99e260,0243601d61c836387485e9514ab5c8924dd2cfd466af34ac95002727e1659d60f7,0,,True,31036779035396389852727556353925779275816209952349824253120236473478926273798,22594381084384132490131090396285935793432474481566057966594736240641124268963,22594381084384132490131090396285935793432474481566057966594736240641124268963,254,99,early_n_le_50,unknown,unknown
10,blockstream spend tx,5948535316e87697333271a6ad9862b0564132451bcc07e97733f91e79dfd8fa,03a7a4c30291ac1db24b4ab00c442aa832f7794b5a0959bec6e8d7fee802289dcd,0,,True,24874493422724600963014213776711322526938132905198045543258857007994567849313,82810546987692329793559346678031727466886911767274028628639212961231022235278,32981542249623865630011638330656180385950652511800875753965950180287139259059,255,145,early_n_le_50,unknown,unknown
