split,puzzle_a,puzzle_b,d_a,d_b,d_c,x_match,y_match,x_rate,y_rate,overflow_x,overflow_y
train,28,67,227634408,132656943602386256302,132656943602613890710,11,11,0.1410,0.1410,0,0
train,24,33,14428676,7137437912,7151866588,5,8,0.0641,0.1026,0,0
train,34,63,14133072157,8993229949524469768,8993229963657541925,11,7,0.1410,0.0897,0,0
train,17,23,95823,5598802,5694625,5,8,0.0641,0.1026,0,0
train,51,68,2058769515153876,219898266213316039825,219900324982831193701,7,2,0.0897,0.0256,0,0
train,42,85,2895374552463,21090315766411506144426920,21090315766414401518979383,8,9,0.1026,0.1154,0,0
train,46,47,51408670348612,119666659114170,171075329462782,8,11,0.1026,0.1410,0,0
train,61,130,1425787542618654982,1103873984953507439627945351144005829577,1103873984953507439629371138686624484559,8,6,0.1026,0.0769,0,0
train,16,90,51510,868012190417726402719548863,868012190417726402719600373,4,6,0.0513,0.0769,0,0
train,16,95,51510,25525831956644113617013748212,25525831956644113617013799722,8,6,0.1026,0.0769,0,0
train,63,110,8993229949524469768,1090246098153987172547740458951748,1090246098153996165777689983421516,8,9,0.1026,0.1154,0,0
train,8,80,224,1105520030589234487939456,1105520030589234487939680,6,11,0.0769,0.1410,0,0
train,21,66,1811764,46346217550346335726,46346217550348147490,7,4,0.0897,0.0513,0,0
train,18,58,198669,199976667976342049,199976667976540718,5,5,0.0641,0.0641,0,0
train,16,110,51510,1090246098153987172547740458951748,1090246098153987172547740459003258,7,5,0.0897,0.0641,0,0
train,7,48,76,191206974700443,191206974700519,9,3,0.1154,0.0385,0,0
train,31,67,2102388551,132656943602386256302,132656943604488644853,8,8,0.1026,0.1026,0,0
train,37,50,100251560595,611140496167764,611240747728359,9,7,0.1154,0.0897,0,0
train,19,100,357535,868221233689326498340379183142,868221233689326498340379540677,11,7,0.1410,0.0897,0,0
train,1,59,1,525070384258266191,525070384258266192,14,5,0.1795,0.0641,0,0
train,46,62,51408670348612,3908372542507822062,3908423951178170674,5,5,0.0641,0.0641,0,0
train,80,130,1105520030589234487939456,1103873984953507439627945351144005829577,1103873984953508545147975940378493769033,3,12,0.0385,0.1538,0,0
train,3,29,7,400708894,400708901,8,12,0.1026,0.1538,0,0
train,20,57,863317,138245758910846492,138245758911709809,8,7,0.1026,0.0897,0,0
train,25,33,33185509,7137437912,7170623421,7,13,0.0897,0.1667,0,0
train,18,125,198669,37650549717742544505774009877315221420,37650549717742544505774009877315420089,5,6,0.0641,0.0769,0,0
train,25,46,33185509,51408670348612,51408703534121,5,11,0.0641,0.1410,0,0
train,48,58,191206974700443,199976667976342049,200167874951042492,9,9,0.1154,0.1154,0,0
train,19,54,357535,9974455244496707,9974455244854242,10,7,0.1282,0.0897,0,0
train,48,61,191206974700443,1425787542618654982,1425978749593355425,10,9,0.1282,0.1154,0,0
train,21,56,1811764,44218742292676575,44218742294488339,13,9,0.1667,0.1154,0,0
train,8,41,224,1458252205147,1458252205371,10,3,0.1282,0.0385,0,0
train,10,23,514,5598802,5599316,8,4,0.1026,0.0513,0,0
train,51,80,2058769515153876,1105520030589234487939456,1105520032648004003093332,5,5,0.0641,0.0641,0,0
train,5,44,21,15404761757071,15404761757092,7,10,0.0897,0.1282,0,0
train,19,105,357535,29083230144918045706788529192435,29083230144918045706788529549970,5,10,0.0641,0.1282,0,0
train,4,38,8,146971536592,146971536600,9,8,0.1154,0.1026,0,0
train,26,63,54538862,8993229949524469768,8993229949579008630,8,7,0.1026,0.0897,0,0
train,14,52,10544,4216495639600700,4216495639611244,6,9,0.0769,0.1154,0,0
train,16,58,51510,199976667976342049,199976667976393559,8,9,0.1026,0.1154,0,0
train,41,44,1458252205147,15404761757071,16863013962218,10,13,0.1282,0.1667,0,0
train,90,115,868012190417726402719548863,31464123230573852164273674364426950,31464124098586042582000077083975813,9,7,0.1154,0.0897,0,0
train,47,70,119666659114170,970436974005023690481,970437093671682804651,8,6,0.1026,0.0769,0,0
train,59,66,525070384258266191,46346217550346335726,46871287934604601917,8,9,0.1026,0.1154,0,0
train,44,53,15404761757071,6763683971478124,6779088733235195,3,8,0.0385,0.1026,0,0
train,29,125,400708894,37650549717742544505774009877315221420,37650549717742544505774009877715930314,9,8,0.1154,0.1026,0,0
train,10,22,514,3007503,3008017,10,4,0.1282,0.0513,0,0
train,20,32,863317,3093472814,3094336131,8,9,0.1026,0.1154,0,0
train,2,29,3,400708894,400708897,5,7,0.0641,0.0897,0,0
train,58,115,199976667976342049,31464123230573852164273674364426950,31464123230573852364250342340768999,12,5,0.1538,0.0641,0,0
train,28,44,227634408,15404761757071,15404989391479,9,10,0.1154,0.1282,0,0
train,40,54,1003651412950,9974455244496707,9975458895909657,4,8,0.0513,0.1026,0,0
train,23,67,5598802,132656943602386256302,132656943602391855104,4,5,0.0513,0.0641,0,0
train,43,43,7409811047825,7409811047825,14819622095650,8,7,0.1026,0.0897,0,0
train,18,26,198669,54538862,54737531,6,9,0.0769,0.1154,0,0
train,14,45,10544,19996463086597,19996463097141,9,10,0.1154,0.1282,0,0
train,59,68,525070384258266191,219898266213316039825,220423336597574306016,7,4,0.0897,0.0513,0,0
train,23,61,5598802,1425787542618654982,1425787542624253784,4,10,0.0513,0.1282,0,0
train,30,33,1033162084,7137437912,8170599996,9,7,0.1154,0.0897,0,0
train,6,15,49,26867,26916,6,11,0.0769,0.1410,0,0
train,2,34,3,14133072157,14133072160,10,6,0.1282,0.0769,0,0
train,24,55,14428676,30045390491869460,30045390506298136,14,3,0.1795,0.0385,0,0
train,46,61,51408670348612,1425787542618654982,1425838951289003594,9,8,0.1154,0.1026,0,0
train,28,48,227634408,191206974700443,191207202334851,5,6,0.0641,0.0769,0,0
train,32,42,3093472814,2895374552463,2898468025277,6,9,0.0769,0.1154,0,0
train,64,85,17799667357578236628,21090315766411506144426920,21090333566078863722663548,9,9,0.1154,0.1154,0,0
train,32,64,3093472814,17799667357578236628,17799667360671709442,10,6,0.1282,0.0769,0,0
train,62,100,3908372542507822062,868221233689326498340379183142,868221233693234870882887005204,8,5,0.1026,0.0641,0,0
train,56,69,44218742292676575,297274491920375905804,297318710662668582379,7,7,0.0897,0.0897,0,0
train,51,55,2058769515153876,30045390491869460,32104160007023336,11,7,0.1410,0.0897,0,0
train,12,125,2683,37650549717742544505774009877315221420,37650549717742544505774009877315224103,6,8,0.0769,0.1026,0,0
train,3,54,7,9974455244496707,9974455244496714,5,8,0.0641,0.1026,0,0
train,31,85,2102388551,21090315766411506144426920,21090315766411508246815471,10,12,0.1282,0.1538,0,0
train,47,53,119666659114170,6763683971478124,6883350630592294,10,11,0.1282,0.1410,0,0
train,26,65,54538862,30568377312064202855,30568377312118741717,8,9,0.1026,0.1154,0,0
train,20,48,863317,191206974700443,191206975563760,9,7,0.1154,0.0897,0,0
train,34,53,14133072157,6763683971478124,6763698104550281,5,6,0.0641,0.0769,0,0
train,65,110,30568377312064202855,1090246098153987172547740458951748,1090246098154017740925052523154603,11,11,0.1410,0.1410,0,0
train,45,57,19996463086597,138245758910846492,138265755373933089,5,4,0.0641,0.0513,0,0
train,26,43,54538862,7409811047825,7409865586687,5,10,0.0641,0.1282,0,0
train,5,34,21,14133072157,14133072178,10,7,0.1282,0.0897,0,0
train,8,120,224,919343500840980333540511050618764323,919343500840980333540511050618764547,9,10,0.1154,0.1282,0,0
train,14,43,10544,7409811047825,7409811058369,9,8,0.1154,0.1026,0,0
train,3,11,7,1155,1162,5,7,0.0641,0.0897,0,0
train,8,21,224,1811764,1811988,9,9,0.1154,0.1154,0,0
train,58,90,199976667976342049,868012190417726402719548863,868012190617703070695890912,8,4,0.1026,0.0513,0,0
train,14,49,10544,409118905032525,409118905043069,5,4,0.0641,0.0513,0,0
train,3,60,7,1135041350219496382,1135041350219496389,6,7,0.0769,0.0897,0,0
train,95,95,25525831956644113617013748212,25525831956644113617013748212,51051663913288227234027496424,7,5,0.0897,0.0641,0,0
train,43,70,7409811047825,970436974005023690481,970436981414834738306,7,8,0.0897,0.1026,0,0
train,6,6,49,49,98,4,6,0.0513,0.0769,0,0
train,6,13,49,5216,5265,6,9,0.0769,0.1154,0,0
train,42,52,2895374552463,4216495639600700,4219391014153163,13,10,0.1667,0.1282,0,0
train,62,95,3908372542507822062,25525831956644113617013748212,25525831960552486159521570274,8,8,0.1026,0.1026,0,0
train,44,100,15404761757071,868221233689326498340379183142,868221233689326513745140940213,13,6,0.1667,0.0769,0,0
train,20,36,863317,42387769980,42388633297,11,4,0.1410,0.0513,0,0
train,90,125,868012190417726402719548863,37650549717742544505774009877315221420,37650549718610556696191736280034770283,7,10,0.0897,0.1282,0,0
train,49,53,409118905032525,6763683971478124,7172802876510649,8,8,0.1026,0.1026,0,0
train,3,13,7,5216,5223,10,8,0.1282,0.1026,0,0
train,17,50,95823,611140496167764,611140496263587,7,11,0.0897,0.1410,0,0
train,30,37,1033162084,100251560595,101284722679,9,9,0.1154,0.1154,0,0
train,7,8,76,224,300,7,10,0.0897,0.1282,0,0
train,2,7,3,76,79,11,10,0.1410,0.1282,0,0
train,17,49,95823,409118905032525,409118905128348,10,8,0.1282,0.1026,0,0
train,33,43,7137437912,7409811047825,7416948485737,11,6,0.1410,0.0769,0,0
train,18,67,198669,132656943602386256302,132656943602386454971,11,6,0.1410,0.0769,0,0
train,5,51,21,2058769515153876,2058769515153897,8,4,0.1026,0.0513,0,0
train,17,125,95823,37650549717742544505774009877315221420,37650549717742544505774009877315317243,10,12,0.1282,0.1538,0,0
train,21,30,1811764,1033162084,1034973848,9,7,0.1154,0.0897,0,0
train,5,80,21,1105520030589234487939456,1105520030589234487939477,9,13,0.1154,0.1667,0,0
train,17,40,95823,1003651412950,1003651508773,11,7,0.1410,0.0897,0,0
train,1,29,1,400708894,400708895,15,8,0.1923,0.1026,0,0
train,23,47,5598802,119666659114170,119666664712972,8,4,0.1026,0.0513,0,0
train,18,27,198669,111949941,112148610,7,8,0.0897,0.1026,0,0
train,6,12,49,2683,2732,6,7,0.0769,0.0897,0,0
train,49,70,409118905032525,970436974005023690481,970437383123928723006,7,4,0.0897,0.0513,0,0
train,70,95,970436974005023690481,25525831956644113617013748212,25525832927081087622037438693,15,4,0.1923,0.0513,0,0
train,41,43,1458252205147,7409811047825,8868063252972,11,9,0.1410,0.1154,0,0
train,11,25,1155,33185509,33186664,11,16,0.1410,0.2051,0,0
train,65,66,30568377312064202855,46346217550346335726,76914594862410538581,9,15,0.1154,0.1923,0,0
train,6,70,49,970436974005023690481,970436974005023690530,6,12,0.0769,0.1538,0,0
train,30,47,1033162084,119666659114170,119667692276254,10,12,0.1282,0.1538,0,0
train,16,75,51510,22538323240989823823367,22538323240989823874877,8,8,0.1026,0.1026,0,0
train,12,62,2683,3908372542507822062,3908372542507824745,6,5,0.0769,0.0641,0,0
train,41,125,1458252205147,37650549717742544505774009877315221420,37650549717742544505774011335567426567,9,9,0.1154,0.1154,0,0
train,4,56,8,44218742292676575,44218742292676583,12,9,0.1538,0.1154,0,0
train,64,130,17799667357578236628,1103873984953507439627945351144005829577,1103873984953507439645745018501584066205,8,14,0.1026,0.1795,0,0
train,10,20,514,863317,863831,8,9,0.1026,0.1154,0,0
