max_k,n0,n1,da,k_factorial_dec,a0_times_kfact_dec,a1_times_kfact_dec,Delta_lead_dec,rem0_dec,rem1_dec,Delta_full_dec,P0_0_x_y,P1_0_x_y,T_kfactG_0_x_y
3,3,4,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,0.000000000000000000000000000000000000000000000000000000000000000000000000000000041948375291644419605210209193538855353224492619856392092318293986323063962044.000000000000000000000000000000000000000000000000000000000000000000000000000000048361766907851246668144012348516735800090617714386977531302791340517493990618,0.000000000000000000000000000000000000000000000000000000000000000000000000000000021262057306151627953595685090280431278183829487175876377991189246716355947009.000000000000000000000000000000000000000000000000000000000000000000000000000000041749993296225487051377864631615517161996906063147759678534462689479575333124,0.000000000000000000000000000000000000000000000000000000000000000000000000000000115780575977492633039504758427830329241728645270042306223540962614150928364886.000000000000000000000000000000000000000000000000000000000000000000000000000000078735063515800386211891312544505775871260717697865196436804966483607426560663
3,4,5,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013,0.000000000000000000000000000000000000000000000000000000000000000000000000000000021262057306151627953595685090280431278183829487175876377991189246716355947009.000000000000000000000000000000000000000000000000000000000000000000000000000000041749993296225487051377864631615517161996906063147759678534462689479575333124,0.000000000000000000000000000000000000000000000000000000000000000000000000000000024049875635381557237058143631624836741422505207761609709712554171343558302165.000000000000000000000000000000000000000000000000000000000000000000000000000000022669890352939653242079781319904043788036611953081321775127194249638113810828,0.000000000000000000000000000000000000000000000000000000000000000000000000000000115780575977492633039504758427830329241728645270042306223540962614150928364886.000000000000000000000000000000000000000000000000000000000000000000000000000000078735063515800386211891312544505775871260717697865196436804966483607426560663
4,6,7,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000048,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000072,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000027,0.000000000000000000000000000000000000000000000000000000000000000000000000000000109846273198995465046214558810696509369395695668678477567979041624391316796720.000000000000000000000000000000000000000000000000000000000000000000000000000000101711840700253487202274292900077312932162220876743713596510869779955653950519,0.000000000000000000000000000000000000000000000000000000000000000000000000000000067990777350807742601404023085488753338978132210207570380931332031538910989091.000000000000000000000000000000000000000000000000000000000000000000000000000000085792528080009126161701413187313528408286619337671538805045464108358228475888,0.000000000000000000000000000000000000000000000000000000000000000000000000000000115090238283566018960826468250608273126387416636633736439689841211757211870926.000000000000000000000000000000000000000000000000000000000000000000000000000000047185183227829754668635270747409548752084785367264057948864458978444304762303
5,8,9,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000120,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000120,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000360,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000240,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000243,0.000000000000000000000000000000000000000000000000000000000000000000000000000000003951620832557057103848397037937330228967155552456836977045923180329637950740.000000000000000000000000000000000000000000000000000000000000000000000000000000095473263819178136898129622939316779429655166328021079992747693728567241822551,0.000000000000000000000000000000000000000000000000000000000000000000000000000000030474780960141219921807662305060768687772753653098971817340717083315339616503.000000000000000000000000000000000000000000000000000000000000000000000000000000061319752531495161980867220483083814171916864550579329528527835522023988931626,0.000000000000000000000000000000000000000000000000000000000000000000000000000000100123071679209893182588265588059937212528901448156035976966973357987233384486.000000000000000000000000000000000000000000000000000000000000000000000000000000097120429522865428736604364081867499884484173130052754040658916206897719370828
5,9,10,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000120,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000360,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000480,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000120,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000034,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000047,0.000000000000000000000000000000000000000000000000000000000000000000000000000000030474780960141219921807662305060768687772753653098971817340717083315339616503.000000000000000000000000000000000000000000000000000000000000000000000000000000061319752531495161980867220483083814171916864550579329528527835522023988931626,0.000000000000000000000000000000000000000000000000000000000000000000000000000000075827354541827746090915769557428734838962266972502112805530189196736906960333.000000000000000000000000000000000000000000000000000000000000000000000000000000096570036462163023759491147881411408314153451204876534252590428078766327205003,0.000000000000000000000000000000000000000000000000000000000000000000000000000000100123071679209893182588265588059937212528901448156035976966973357987233384486.000000000000000000000000000000000000000000000000000000000000000000000000000000097120429522865428736604364081867499884484173130052754040658916206897719370828
6,11,12,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000720,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000720,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002160,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001440,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000435,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000523,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001528,0.000000000000000000000000000000000000000000000000000000000000000000000000000000062881537490095887219700399231850374465934748632261627566823792868512270937739.000000000000000000000000000000000000000000000000000000000000000000000000000000013147057280235047456932561657169493651618639731944681771959256397716727593785,0.000000000000000000000000000000000000000000000000000000000000000000000000000000062873230362895154212630786022242768049765907075202803363316800197224716728348.000000000000000000000000000000000000000000000000000000000000000000000000000000044287605905639058437764882210076840571916049925678373415089141948008474303433,0.000000000000000000000000000000000000000000000000000000000000000000000000000000069833512014389286027692213629836361571815608233587748191633371062216697432096.000000000000000000000000000000000000000000000000000000000000000000000000000000108784264905963323717913763252039525319075864070762765946577999070510935902805
7,13,14,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005040,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005040,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010080,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005040,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000176,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000464,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005328,0.000000000000000000000000000000000000000000000000000000000000000000000000000000077279535011188034078516592160190105278519663645387310740933932046966334391965.000000000000000000000000000000000000000000000000000000000000000000000000000000021187662028949108981404481381270595331275020854904259675645205037069861834225,0.000000000000000000000000000000000000000000000000000000000000000000000000000000081843657467215387495831064399406566332608612828066495589872347702422424340313.000000000000000000000000000000000000000000000000000000000000000000000000000000054485907183099442435241830545487744604431707282385107218140713089194934994051,0.000000000000000000000000000000000000000000000000000000000000000000000000000000095727035810075188029548511638072317186879898880824057384688927882283203010100.000000000000000000000000000000000000000000000000000000000000000000000000000000035290789834288110269677884175492163190544477242337447665927755671425665811167
7,14,15,3,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005040,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010080,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000025200,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015120,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000464,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001667,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016323,0.000000000000000000000000000000000000000000000000000000000000000000000000000000081843657467215387495831064399406566332608612828066495589872347702422424340313.000000000000000000000000000000000000000000000000000000000000000000000000000000054485907183099442435241830545487744604431707282385107218140713089194934994051,0.000000000000000000000000000000000000000000000000000000000000000000000000000000115179987075229906903259602194857104773352008368264866291918996865985783521068.000000000000000000000000000000000000000000000000000000000000000000000000000000090040672269639781867601170828097460642155183514693739441068299505511569496110,0.000000000000000000000000000000000000000000000000000000000000000000000000000000095727035810075188029548511638072317186879898880824057384688927882283203010100.000000000000000000000000000000000000000000000000000000000000000000000000000000035290789834288110269677884175492163190544477242337447665927755671425665811167
8,16,17,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040320,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040320,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080640,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040320,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011190,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015183,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044313,0.000000000000000000000000000000000000000000000000000000000000000000000000000000071261119111627271268814301300816751730184609798722377831958734823956300761978.000000000000000000000000000000000000000000000000000000000000000000000000000000059596021694081902311438976720015207351957060174440251698640379092733344351048,0.000000000000000000000000000000000000000000000000000000000000000000000000000000028680425603065441115290152280488699295594719576682295038107311098738046478531.000000000000000000000000000000000000000000000000000000000000000000000000000000025891784853872784916698406928566284655180782352356802345945352320731968056623,0.000000000000000000000000000000000000000000000000000000000000000000000000000000011572017830429915581702013990316292295592343062838578091915585487382859347807.000000000000000000000000000000000000000000000000000000000000000000000000000000080780575496434691230244400615998209724903702272982639025039283954711537323536
8,17,18,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040320,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080640,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000161280,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080640,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015183,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000037389,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102846,0.000000000000000000000000000000000000000000000000000000000000000000000000000000028680425603065441115290152280488699295594719576682295038107311098738046478531.000000000000000000000000000000000000000000000000000000000000000000000000000000025891784853872784916698406928566284655180782352356802345945352320731968056623,0.000000000000000000000000000000000000000000000000000000000000000000000000000000005831721406635063654683117253506846208566679410118154188144422804291796683505.000000000000000000000000000000000000000000000000000000000000000000000000000000061770026510604113021686089777374557608174938587526483912023179154647723408296,0.000000000000000000000000000000000000000000000000000000000000000000000000000000011572017830429915581702013990316292295592343062838578091915585487382859347807.000000000000000000000000000000000000000000000000000000000000000000000000000000080780575496434691230244400615998209724903702272982639025039283954711537323536
