puzzle,max_k,lead_a,d_dec,x_dec,y_dec,affine_0_x_y,jacobi_0_X_Y_Z
1,1,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,000000000000000000000000000000000000000000000000000000000000000000000000000000055066263022277343669578718895168534326250603453777594175500187360389116729240,000000000000000000000000000000000000000000000000000000000000000000000000000000032670510020758816978083085130507043184471273380659243275938904335757337482424,0.000000000000000000000000000000000000000000000000000000000000000000000000000000055066263022277343669578718895168534326250603453777594175500187360389116729240.000000000000000000000000000000000000000000000000000000000000000000000000000000032670510020758816978083085130507043184471273380659243275938904335757337482424,0.000000000000000000000000000000000000000000000000000000000000000000000000000000055066263022277343669578718895168534326250603453777594175500187360389116729240.000000000000000000000000000000000000000000000000000000000000000000000000000000032670510020758816978083085130507043184471273380659243275938904335757337482424.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
2,2,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003,000000000000000000000000000000000000000000000000000000000000000000000000000000112711660439710606056748659173929673102114977341539408544630613555209775888121,000000000000000000000000000000000000000000000000000000000000000000000000000000025583027980570883691656905877401976406448868254816295069919888960541586679410,0.000000000000000000000000000000000000000000000000000000000000000000000000000000112711660439710606056748659173929673102114977341539408544630613555209775888121.000000000000000000000000000000000000000000000000000000000000000000000000000000025583027980570883691656905877401976406448868254816295069919888960541586679410,0.000000000000000000000000000000000000000000000000000000000000000000000000000000112711660439710606056748659173929673102114977341539408544630613555209775888121.000000000000000000000000000000000000000000000000000000000000000000000000000000025583027980570883691656905877401976406448868254816295069919888960541586679410.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
3,3,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007,000000000000000000000000000000000000000000000000000000000000000000000000000000041948375291644419605210209193538855353224492619856392092318293986323063962044,000000000000000000000000000000000000000000000000000000000000000000000000000000048361766907851246668144012348516735800090617714386977531302791340517493990618,0.000000000000000000000000000000000000000000000000000000000000000000000000000000041948375291644419605210209193538855353224492619856392092318293986323063962044.000000000000000000000000000000000000000000000000000000000000000000000000000000048361766907851246668144012348516735800090617714386977531302791340517493990618,0.000000000000000000000000000000000000000000000000000000000000000000000000000000041948375291644419605210209193538855353224492619856392092318293986323063962044.000000000000000000000000000000000000000000000000000000000000000000000000000000048361766907851246668144012348516735800090617714386977531302791340517493990618.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
4,3,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008,000000000000000000000000000000000000000000000000000000000000000000000000000000021262057306151627953595685090280431278183829487175876377991189246716355947009,000000000000000000000000000000000000000000000000000000000000000000000000000000041749993296225487051377864631615517161996906063147759678534462689479575333124,0.000000000000000000000000000000000000000000000000000000000000000000000000000000021262057306151627953595685090280431278183829487175876377991189246716355947009.000000000000000000000000000000000000000000000000000000000000000000000000000000041749993296225487051377864631615517161996906063147759678534462689479575333124,0.000000000000000000000000000000000000000000000000000000000000000000000000000000021262057306151627953595685090280431278183829487175876377991189246716355947009.000000000000000000000000000000000000000000000000000000000000000000000000000000041749993296225487051377864631615517161996906063147759678534462689479575333124.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
5,3,3,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021,000000000000000000000000000000000000000000000000000000000000000000000000000000024049875635381557237058143631624836741422505207761609709712554171343558302165,000000000000000000000000000000000000000000000000000000000000000000000000000000022669890352939653242079781319904043788036611953081321775127194249638113810828,0.000000000000000000000000000000000000000000000000000000000000000000000000000000024049875635381557237058143631624836741422505207761609709712554171343558302165.000000000000000000000000000000000000000000000000000000000000000000000000000000022669890352939653242079781319904043788036611953081321775127194249638113810828,0.000000000000000000000000000000000000000000000000000000000000000000000000000000024049875635381557237058143631624836741422505207761609709712554171343558302165.000000000000000000000000000000000000000000000000000000000000000000000000000000022669890352939653242079781319904043788036611953081321775127194249638113810828.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
6,4,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000049,000000000000000000000000000000000000000000000000000000000000000000000000000000109846273198995465046214558810696509369395695668678477567979041624391316796720,000000000000000000000000000000000000000000000000000000000000000000000000000000101711840700253487202274292900077312932162220876743713596510869779955653950519,0.000000000000000000000000000000000000000000000000000000000000000000000000000000109846273198995465046214558810696509369395695668678477567979041624391316796720.000000000000000000000000000000000000000000000000000000000000000000000000000000101711840700253487202274292900077312932162220876743713596510869779955653950519,0.000000000000000000000000000000000000000000000000000000000000000000000000000000109846273198995465046214558810696509369395695668678477567979041624391316796720.000000000000000000000000000000000000000000000000000000000000000000000000000000101711840700253487202274292900077312932162220876743713596510869779955653950519.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
7,4,3,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000076,000000000000000000000000000000000000000000000000000000000000000000000000000000067990777350807742601404023085488753338978132210207570380931332031538910989091,000000000000000000000000000000000000000000000000000000000000000000000000000000085792528080009126161701413187313528408286619337671538805045464108358228475888,0.000000000000000000000000000000000000000000000000000000000000000000000000000000067990777350807742601404023085488753338978132210207570380931332031538910989091.000000000000000000000000000000000000000000000000000000000000000000000000000000085792528080009126161701413187313528408286619337671538805045464108358228475888,0.000000000000000000000000000000000000000000000000000000000000000000000000000000067990777350807742601404023085488753338978132210207570380931332031538910989091.000000000000000000000000000000000000000000000000000000000000000000000000000000085792528080009126161701413187313528408286619337671538805045464108358228475888.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
8,5,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000224,000000000000000000000000000000000000000000000000000000000000000000000000000000003951620832557057103848397037937330228967155552456836977045923180329637950740,000000000000000000000000000000000000000000000000000000000000000000000000000000095473263819178136898129622939316779429655166328021079992747693728567241822551,0.000000000000000000000000000000000000000000000000000000000000000000000000000000003951620832557057103848397037937330228967155552456836977045923180329637950740.000000000000000000000000000000000000000000000000000000000000000000000000000000095473263819178136898129622939316779429655166328021079992747693728567241822551,0.000000000000000000000000000000000000000000000000000000000000000000000000000000003951620832557057103848397037937330228967155552456836977045923180329637950740.000000000000000000000000000000000000000000000000000000000000000000000000000000095473263819178136898129622939316779429655166328021079992747693728567241822551.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
9,5,3,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000467,000000000000000000000000000000000000000000000000000000000000000000000000000000030474780960141219921807662305060768687772753653098971817340717083315339616503,000000000000000000000000000000000000000000000000000000000000000000000000000000061319752531495161980867220483083814171916864550579329528527835522023988931626,0.000000000000000000000000000000000000000000000000000000000000000000000000000000030474780960141219921807662305060768687772753653098971817340717083315339616503.000000000000000000000000000000000000000000000000000000000000000000000000000000061319752531495161980867220483083814171916864550579329528527835522023988931626,0.000000000000000000000000000000000000000000000000000000000000000000000000000000030474780960141219921807662305060768687772753653098971817340717083315339616503.000000000000000000000000000000000000000000000000000000000000000000000000000000061319752531495161980867220483083814171916864550579329528527835522023988931626.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
10,5,4,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000514,000000000000000000000000000000000000000000000000000000000000000000000000000000075827354541827746090915769557428734838962266972502112805530189196736906960333,000000000000000000000000000000000000000000000000000000000000000000000000000000096570036462163023759491147881411408314153451204876534252590428078766327205003,0.000000000000000000000000000000000000000000000000000000000000000000000000000000075827354541827746090915769557428734838962266972502112805530189196736906960333.000000000000000000000000000000000000000000000000000000000000000000000000000000096570036462163023759491147881411408314153451204876534252590428078766327205003,0.000000000000000000000000000000000000000000000000000000000000000000000000000000075827354541827746090915769557428734838962266972502112805530189196736906960333.000000000000000000000000000000000000000000000000000000000000000000000000000000096570036462163023759491147881411408314153451204876534252590428078766327205003.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
