puzzle,bits,max_k,leading_a,nonzero,density,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34
1,1,1,1,1,1.0000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,2,1.0000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,1,2,0.6667,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,3,1,2,0.6667,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,3,3,3,1.0000,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,4,2,2,0.5000,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,4,3,2,0.5000,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,5,1,4,0.8000,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,5,3,5,1.0000,0,1,2,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,5,4,4,0.8000,0,0,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,6,1,5,0.8333,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,6,3,5,0.8333,0,1,0,3,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,7,1,5,0.7143,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,7,2,5,0.7143,0,0,1,1,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,7,5,7,1.0000,0,1,2,1,4,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,8,1,6,0.7500,0,0,0,1,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,8,2,6,0.7500,0,1,1,2,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,8,4,8,1.0000,0,1,1,3,2,5,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,8,8,7,0.8750,0,1,0,1,2,3,6,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,9,2,7,0.7778,0,1,0,2,1,0,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,9,4,6,0.6667,0,0,2,0,0,2,3,7,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,9,8,8,0.8889,0,1,1,2,2,0,5,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,10,1,8,0.8000,0,0,2,1,3,0,6,6,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,10,3,9,0.9000,0,0,1,3,4,4,5,6,6,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,10,9,8,0.8000,0,1,0,2,4,5,2,0,4,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,11,1,9,0.8182,0,0,1,2,2,2,1,5,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,11,2,9,0.8182,0,1,1,3,0,0,2,4,4,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,11,5,8,0.7273,0,0,0,0,2,5,3,5,2,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,11,10,8,0.7273,0,0,2,3,3,0,5,1,2,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,12,2,8,0.6667,0,0,2,0,0,2,3,0,1,7,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,12,4,11,0.9167,0,1,2,3,2,0,4,4,5,3,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,12,6,8,0.6667,0,0,1,2,0,0,2,0,7,4,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,13,1,12,0.9231,0,0,1,1,1,1,2,6,7,8,8,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,13,2,11,0.8462,0,1,0,2,1,5,6,4,8,6,0,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,13,3,11,0.8462,0,0,2,2,4,0,1,1,6,5,9,11,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,13,6,11,0.8462,0,0,0,2,2,4,5,7,2,9,9,5,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,14,1,13,0.9286,0,1,1,0,3,3,4,6,3,6,5,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,14,1,12,0.8571,0,0,2,2,4,0,1,3,1,4,10,9,7,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,14,3,13,0.9286,0,1,1,1,2,2,4,0,2,9,10,9,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,14,11,12,0.8571,0,0,2,3,2,4,0,1,2,4,6,3,2,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,15,1,14,0.9333,0,1,0,3,2,5,6,2,1,2,3,4,2,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,15,2,13,0.8667,0,1,1,2,2,0,6,5,0,6,2,7,12,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,15,5,14,0.9333,0,1,2,2,2,0,5,4,7,2,4,3,12,13,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,15,11,14,0.9333,0,1,0,1,1,2,4,4,6,3,8,1,11,9,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,15,15,13,0.8667,0,1,0,2,1,0,5,7,5,1,6,1,3,5,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,46,16,2,14,0.8750,0,0,2,0,2,4,4,5,8,3,6,7,9,9,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,47,16,5,12,0.7500,0,0,0,3,3,0,6,0,5,2,1,2,4,9,7,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,16,9,13,0.8125,0,1,1,0,0,3,4,5,8,3,9,1,0,4,3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,49,17,1,16,0.9412,0,1,1,3,1,0,1,7,5,6,1,7,7,12,12,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,17,1,15,0.8824,0,0,0,2,3,2,6,1,3,4,10,1,4,3,5,3,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,51,17,5,14,0.8235,0,0,0,2,1,2,3,7,6,3,0,1,9,8,5,6,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,52,17,11,15,0.8824,0,0,1,3,0,5,3,2,6,4,8,5,11,4,6,8,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,53,18,1,14,0.7778,0,0,2,0,0,5,4,7,1,3,10,7,12,6,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,54,18,1,17,0.9444,0,1,2,1,4,5,1,1,7,5,9,9,1,6,9,11,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,55,18,4,12,0.6667,0,0,1,3,0,2,0,3,3,9,0,7,5,0,3,0,8,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,18,6,17,0.9444,0,1,1,2,0,4,4,1,2,4,6,8,2,13,11,6,5,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,57,19,1,16,0.8421,0,0,1,3,3,4,2,4,7,6,0,4,0,13,11,6,11,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,19,1,18,0.9474,0,1,2,2,3,5,1,6,2,7,7,0,10,6,6,13,3,4,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,59,19,4,17,0.8947,0,1,2,3,2,1,0,3,5,6,4,4,2,11,13,9,3,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,19,9,16,0.8421,0,0,2,3,0,3,6,2,2,2,7,11,12,7,10,0,2,5,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,19,11,16,0.8421,0,0,2,3,0,0,4,1,4,2,3,4,6,2,1,3,9,12,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,62,20,1,18,0.9000,0,0,0,1,4,3,5,3,8,4,6,9,11,1,7,12,3,8,2,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,63,20,3,18,0.9000,0,0,2,2,3,0,4,5,5,5,7,2,12,11,2,6,1,12,17,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,64,20,7,15,0.7500,0,0,0,2,4,5,0,3,4,4,9,10,9,13,0,1,0,3,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,65,20,12,18,0.9000,0,1,2,3,3,3,1,7,0,0,10,8,9,6,9,10,11,9,5,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,66,20,19,17,0.8500,0,0,2,3,1,0,5,1,1,9,5,6,1,13,5,15,6,16,18,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,67,21,2,17,0.8095,0,0,2,3,0,5,2,6,0,5,4,0,9,11,11,8,5,17,9,10,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0
68,68,21,4,18,0.8571,0,1,0,0,1,5,2,0,1,8,7,10,7,1,9,12,9,6,13,7,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0
69,69,21,5,18,0.8571,0,0,2,0,0,1,4,7,2,1,4,4,2,7,4,15,8,16,14,3,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0
70,70,21,18,21,1.0000,0,1,1,1,3,2,5,6,4,3,10,5,2,6,2,3,1,10,11,17,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0
75,75,22,20,22,1.0000,0,1,1,2,3,2,5,1,5,5,1,5,1,11,6,6,6,6,6,19,2,1,20,0,0,0,0,0,0,0,0,0,0,0,0
80,80,24,1,21,0.8750,0,0,2,2,0,2,1,1,5,3,8,6,11,6,3,0,14,11,17,16,5,12,17,18,1,0,0,0,0,0,0,0,0,0,0
85,85,25,1,24,0.9600,0,0,1,1,3,3,4,1,5,7,9,2,3,8,14,8,15,15,2,13,10,13,18,23,8,1,0,0,0,0,0,0,0,0,0
90,90,26,2,22,0.8462,0,1,2,3,0,5,1,0,6,5,7,3,5,9,5,7,4,16,0,7,9,7,4,0,24,3,2,0,0,0,0,0,0,0,0
95,95,27,2,24,0.8889,0,0,2,0,2,2,1,0,3,3,8,1,3,8,11,12,13,13,3,2,10,4,14,22,15,7,9,2,0,0,0,0,0,0,0
100,100,28,2,25,0.8929,0,0,0,1,4,2,6,5,8,9,1,7,8,0,3,11,10,10,2,14,20,18,17,18,19,21,19,23,2,0,0,0,0,0,0
105,105,29,3,26,0.8966,0,1,0,3,4,2,6,1,6,0,10,9,2,5,2,2,12,8,9,0,11,17,2,17,9,17,24,10,8,3,0,0,0,0,0
110,110,30,4,28,0.9333,0,0,2,0,1,5,5,4,3,5,5,6,6,11,14,3,3,17,9,15,5,20,5,3,23,3,22,24,8,3,4,0,0,0,0
115,115,31,3,28,0.9032,0,0,0,1,1,3,4,0,2,8,1,4,4,3,11,11,16,1,1,1,18,7,12,7,2,10,13,23,16,18,25,3,0,0,0
