definition,family,param,n_used,r,close,mae,p
def256,fixed,m=32,70,-0.182697,0.228571,0.313588,0.157107
def256,fixed,m=40,70,-0.179579,0.185714,0.341721,0.162095
def256,fixed,m=48,70,-0.194182,0.171429,0.341798,0.134663
def256,fixed,m=56,70,-0.187044,0.228571,0.306799,0.132170
def256,fixed,m=64,70,-0.229533,0.171429,0.319881,0.054863
def256,fixed,m=80,70,0.192830,0.314286,0.294856,0.097257
def256,fixed,m=96,70,-0.262538,0.185714,0.342602,0.027431
def256,fixed,m=128,70,0.180563,0.285714,0.287247,0.149626
def256,fixed,m=160,70,0.183486,0.271429,0.309737,0.092269
def256,fixed,m=192,70,0.104278,0.271429,0.299306,0.366584
def256,fixed,m=256,70,-0.062273,0.171429,0.367430,0.576060
def256,offset,c=0,63,0.228500,0.253968,0.256970,0.099751
def256,offset,c=1,62,-0.050819,0.193548,0.324545,0.690773
def256,offset,c=2,61,-0.185888,0.213115,0.352714,0.162095
def256,offset,c=3,60,0.196397,0.333333,0.259639,0.162095
def256,offset,c=4,59,0.011498,0.271186,0.292152,0.922693
def256,offset,c=5,58,-0.039152,0.275862,0.312877,0.788030
def256,offset,c=6,57,-0.045672,0.245614,0.358474,0.743142
def256,offset,c=7,56,0.143708,0.250000,0.269193,0.296758
def256,offset,c=8,55,0.099055,0.345455,0.270173,0.493766
def256,offset,c=9,54,-0.092794,0.185185,0.341232,0.518703
def256,offset,c=10,53,-0.072066,0.245283,0.346764,0.603491
def256,offset,c=11,52,0.007095,0.288462,0.312345,0.967581
def256,offset,c=12,51,0.033143,0.274510,0.289050,0.847880
def256,offset,c=13,50,0.131824,0.300000,0.272208,0.346633
def256,offset,c=14,49,-0.195692,0.163265,0.390593,0.177057
def256,offset,c=15,48,0.134102,0.333333,0.305759,0.361596
def256,proportional,a=0.5,70,0.043797,0.357143,0.278679,0.753117
def256,proportional,a=0.75,70,0.078485,0.328571,0.274769,0.551122
def256,proportional,a=1.0,70,0.188489,0.271429,0.267702,0.129676
def256,ridge_n_ge_m,m=20,51,0.126432,0.294118,0.295495,0.361596
def256,ridge_n_ge_m,m=21,50,-0.346104,0.240000,0.315043,0.009975
def256,ridge_n_ge_m,m=22,49,-0.020125,0.285714,0.319721,0.890274
def256,ridge_n_ge_m,m=23,48,0.190736,0.333333,0.276763,0.164589
def256,ridge_n_ge_m,m=24,47,0.002878,0.234043,0.278045,0.977556
def256,ridge_n_ge_m,m=25,46,-0.241982,0.152174,0.345522,0.082294
def256,ridge_n_ge_m,m=26,45,0.377017,0.377778,0.255711,0.009975
def256,ridge_n_ge_m,m=27,44,-0.146806,0.136364,0.344320,0.346633
def256,ridge_n_ge_m,m=28,43,-0.344206,0.232558,0.321558,0.034913
def256,ridge_n_ge_m,m=29,42,-0.034028,0.309524,0.330795,0.855362
def256,ridge_n_ge_m,m=30,41,0.287655,0.390244,0.236341,0.064838
def256,ridge_n_ge_m,m=31,40,-0.170624,0.200000,0.287360,0.251870
def256,ridge_n_ge_m,m=32,39,-0.253122,0.179487,0.302591,0.129676
def256,ridge_n_ge_m,m=33,38,0.309660,0.368421,0.264951,0.077307
def256,ridge_n_ge_m,m=34,37,0.000918,0.324324,0.311831,0.987531
def256,ridge_n_ge_m,m=35,36,-0.331533,0.194444,0.320331,0.047382
def256,ridge_n_ge_m,m=36,35,-0.236669,0.114286,0.338455,0.172070
def256,ridge_n_ge_m,m=37,34,0.442443,0.441176,0.217825,0.014963
def256,ridge_n_ge_m,m=38,33,0.074520,0.303030,0.324565,0.695761
def256,ridge_n_ge_m,m=39,32,-0.398994,0.218750,0.338028,0.019950
def256,ridge_n_ge_m,m=40,31,-0.284910,0.129032,0.370878,0.119701
def256,ridge_n_ge_m,m=41,30,0.553413,0.466667,0.212847,0.002494
def256,ridge_n_ge_m,m=42,29,-0.124339,0.206897,0.376545,0.491272
def256,ridge_n_ge_m,m=43,28,-0.408508,0.250000,0.354410,0.027431
def256,ridge_n_ge_m,m=44,27,-0.298085,0.148148,0.374439,0.099751
def256,ridge_n_ge_m,m=45,26,0.553254,0.384615,0.221797,0.004988
def256,ridge_n_ge_m,m=46,25,-0.015565,0.200000,0.363315,0.937656
def256,ridge_n_ge_m,m=47,24,-0.384175,0.208333,0.338801,0.049875
def256,ridge_n_ge_m,m=48,23,-0.267307,0.130435,0.353275,0.236908
def256,ridge_n_ge_m,m=49,22,0.492807,0.409091,0.208272,0.017456
def256,ridge_n_ge_m,m=50,21,0.259472,0.238095,0.319645,0.224439
def256,ridge_n_ge_m,m=51,20,-0.448702,0.200000,0.354159,0.044888
def256,ridge_n_ge_m,m=52,19,-0.299916,0.157895,0.360247,0.239401
def256,ridge_n_ge_m,m=53,18,0.244405,0.388889,0.233575,0.334165
def256,ridge_n_ge_m,m=54,17,0.308786,0.294118,0.286094,0.226933
def256,ridge_n_ge_m,m=55,16,-0.462814,0.125000,0.362506,0.084788
def256,ridge_n_ge_m,m=56,15,-0.266121,0.266667,0.350240,0.311721
def256,ridge_n_ge_m,m=57,14,0.269672,0.357143,0.234718,0.346633
def256,ridge_n_ge_m,m=58,13,0.099722,0.230769,0.303284,0.745636
def256,ridge_n_ge_m,m=59,12,-0.231678,0.166667,0.389488,0.476309
defNative,fixed,m=32,70,0.013028,0.157143,0.296047,0.907731
defNative,fixed,m=40,70,-0.008180,0.142857,0.355540,0.950125
defNative,fixed,m=48,70,-0.003323,0.100000,0.337186,0.982544
defNative,fixed,m=56,70,-0.013007,0.185714,0.273356,0.892768
defNative,fixed,m=64,70,-0.044550,0.214286,0.254497,0.710723
defNative,fixed,m=80,70,-0.062270,0.242857,0.359231,0.683292
defNative,fixed,m=96,70,0.027107,0.371429,0.264112,0.832918
defNative,fixed,m=128,70,0.119505,0.185714,0.378907,0.341646
defNative,fixed,m=160,70,-0.089576,0.185714,0.419404,0.466334
defNative,fixed,m=192,70,0.122135,0.200000,0.376366,0.309227
defNative,fixed,m=256,70,-0.062273,0.171429,0.367430,0.620948
defNative,offset,c=0,63,0.634472,0.603175,0.127419,0.002494
defNative,offset,c=1,62,-0.025430,0.209677,0.320116,0.840399
defNative,offset,c=2,61,-0.379594,0.032787,0.429019,0.004988
defNative,offset,c=3,60,0.096798,0.233333,0.285740,0.486284
defNative,offset,c=4,59,0.389998,0.491525,0.184809,0.002494
defNative,offset,c=5,58,-0.130345,0.224138,0.344206,0.364090
defNative,offset,c=6,57,-0.141304,0.105263,0.380234,0.319202
defNative,offset,c=7,56,0.208580,0.250000,0.271915,0.124688
defNative,offset,c=8,55,0.073077,0.454545,0.264970,0.581047
defNative,offset,c=9,54,-0.033528,0.185185,0.324063,0.817955
defNative,offset,c=10,53,-0.164830,0.188679,0.370291,0.206983
defNative,offset,c=11,52,-0.004310,0.173077,0.310574,0.985037
defNative,offset,c=12,51,-0.024016,0.392157,0.277293,0.852868
defNative,offset,c=13,50,0.095267,0.320000,0.288604,0.511222
defNative,offset,c=14,49,-0.233468,0.122449,0.384545,0.109726
defNative,offset,c=15,48,0.157279,0.270833,0.283000,0.304239
defNative,proportional,a=0.5,70,0.000640,0.314286,0.289122,0.992519
defNative,proportional,a=0.75,70,-0.034347,0.257143,0.315342,0.812968
defNative,proportional,a=1.0,70,0.561380,0.571429,0.149201,0.002494
defNative,ridge_n_ge_m,m=20,51,-0.078096,0.392157,0.238993,0.593516
defNative,ridge_n_ge_m,m=21,50,-0.059878,0.160000,0.275484,0.653367
defNative,ridge_n_ge_m,m=22,49,0.061273,0.224490,0.388736,0.715711
defNative,ridge_n_ge_m,m=23,48,-0.123740,0.375000,0.244277,0.408978
defNative,ridge_n_ge_m,m=24,47,-0.066141,0.212766,0.239288,0.680798
defNative,ridge_n_ge_m,m=25,46,-0.095228,0.152174,0.378470,0.583541
defNative,ridge_n_ge_m,m=26,45,-0.023743,0.355556,0.377948,0.875312
defNative,ridge_n_ge_m,m=27,44,-0.102584,0.272727,0.237458,0.481297
defNative,ridge_n_ge_m,m=28,43,-0.087736,0.209302,0.270233,0.586035
defNative,ridge_n_ge_m,m=29,42,0.311078,0.285714,0.331724,0.044888
defNative,ridge_n_ge_m,m=30,41,-0.236966,0.414634,0.237614,0.102244
defNative,ridge_n_ge_m,m=31,40,-0.206313,0.200000,0.235974,0.197007
defNative,ridge_n_ge_m,m=32,39,-0.117582,0.205128,0.310902,0.471322
