m,n_used,r,close01,mae,p_perm
8,63,0.200110,0.2540,0.285317,0.1018
9,62,-0.115476,0.2419,0.315111,0.3992
10,61,0.157738,0.2131,0.337430,0.2196
11,60,-0.043853,0.2167,0.331653,0.7365
12,59,-0.137652,0.2203,0.319787,0.2635
13,58,0.230176,0.3621,0.274663,0.0758
14,57,-0.117653,0.1754,0.355959,0.3852
15,56,-0.141992,0.1964,0.344581,0.2794
16,55,0.220310,0.3273,0.288406,0.0998
17,54,-0.103866,0.2037,0.361824,0.4491
18,53,-0.324855,0.2075,0.352495,0.0180
19,52,0.131578,0.3077,0.319897,0.3593
20,51,0.126432,0.2941,0.295495,0.3852
21,50,-0.346104,0.2400,0.315043,0.0160
22,49,-0.020125,0.2857,0.319721,0.9022
23,48,0.190736,0.3333,0.276763,0.1876
24,47,0.002878,0.2340,0.278045,0.9860
25,46,-0.241982,0.1522,0.345522,0.1058
26,45,0.377017,0.3778,0.255711,0.0080
27,44,-0.146806,0.1364,0.344320,0.3054
28,43,-0.344206,0.2326,0.321558,0.0359
29,42,-0.034028,0.3095,0.330795,0.8084
30,41,0.287655,0.3902,0.236341,0.0639
31,40,-0.170624,0.2000,0.287360,0.2794
32,39,-0.253122,0.1795,0.302591,0.0938
33,38,0.309660,0.3684,0.264951,0.0519
34,37,0.000918,0.3243,0.311831,0.9980
35,36,-0.331533,0.1944,0.320331,0.0299
36,35,-0.236669,0.1143,0.338455,0.1677
37,34,0.442443,0.4412,0.217825,0.0060
38,33,0.074520,0.3030,0.324565,0.6946
39,32,-0.398994,0.2188,0.338028,0.0200
40,31,-0.284910,0.1290,0.370878,0.1238
41,30,0.553413,0.4667,0.212847,0.0020
42,29,-0.124339,0.2069,0.376545,0.5509
43,28,-0.408508,0.2500,0.354410,0.0319
44,27,-0.298085,0.1481,0.374439,0.1337
45,26,0.553254,0.3846,0.221797,0.0020
46,25,-0.015565,0.2000,0.363315,0.9461
47,24,-0.384175,0.2083,0.338801,0.0439
48,23,-0.267307,0.1304,0.353275,0.2036
49,22,0.492807,0.4091,0.208272,0.0220
50,21,0.259472,0.2381,0.319645,0.2894
51,20,-0.448702,0.2000,0.354159,0.0459
52,19,-0.299916,0.1579,0.360247,0.2076
53,18,0.244405,0.3889,0.233575,0.2774
54,17,0.308786,0.2941,0.286094,0.2735
55,16,-0.462814,0.1250,0.362506,0.0539
56,15,-0.266121,0.2667,0.350240,0.3713
57,14,0.269672,0.3571,0.234718,0.3054
58,13,0.099722,0.2308,0.303284,0.7425
59,12,-0.231678,0.1667,0.389488,0.4571
60,11,-0.194182,0.1818,0.358358,0.5449
61,10,0.542578,0.4000,0.249950,0.1058
