puzzle,d,x,y,y_over_p,x_dot_y_over_p,x_dot_y_over_p__over_p,y_over_N,x_dot_y_over_N,x_dot_y_over_N__over_N,y_over_p_digits,nested_p_frac_digits
1,1,55066263022277343669578718895168534326250603453777594175500187360389116729240,32670510020758816978083085130507043184471273380659243275938904335757337482424,0.282148031320175246505212885071570977550907651627602429753671258322280125106404508771731396770462118762648692837735596666835002450904764093369905557992909847,55066263022277343669578718895168534326250603453777594175500187360389116729240.282148031320175246505212885071570977550907651627602429753671258322280125106404508771731396770462118762648692837735596666835002450904764093369905557992909847,0.475561529159551572470709345884621936100985485829132436550464858155768637484948207099828506631441898832019256820875428694573342539094874985122282636430258328,0.282148031320175246505212885071570977551961320851258609381509162545846277909393492360483899368001184307073624725659099330656547172388131964106708724906783276,55066263022277343669578718895168534326250603453777594175500187360389116729240.282148031320175246505212885071570977551961320851258609381509162545846277909393492360483899368001184307073624725659099330656547172388131964106708724906783276,0.475561529159551572470709345884621936102761449123597783537139123641550837324692502929861443999331537668850316656015794330888003530446349598268716916363092829,156,156
2,3,112711660439710606056748659173929673102114977341539408544630613555209775888121,25583027980570883691656905877401976406448868254816295069919888960541586679410,0.220939341789907596180323261299559091201231792535464013095513200023333844114295095880677291538930471036967336492161784296132941802283416338810533587720639803,112711660439710606056748659173929673102114977341539408544630613555209775888121.220939341789907596180323261299559091201231792535464013095513200023333844114295095880677291538930471036967336492161784296132941802283416338810533587720639803,0.973396897681911219874187479164064370527739225341089540308236126418910194056434798769185005885149815534871068998350300876839250866270924559700152781533302982,0.220939341789907596180323261299559091202056880641340982598418907582038794669615675698281182863422529511021039328545004217513038975145365487521270815881434388,112711660439710606056748659173929673102114977341539408544630613555209775888121.220939341789907596180323261299559091202056880641340982598418907582038794669615675698281182863422529511021039328545004217513038975145365487521270815881434388,0.973396897681911219874187479164064370531374332588483238232898025646293040244785947328088283320511425926638960901130287836630121174238152794745956691751680938,156,156
3,7,41948375291644419605210209193538855353224492619856392092318293986323063962044,48361766907851246668144012348516735800090617714386977531302791340517493990618,0.417660370638392028051607918936314344360951243480469738197990241306346337520704035201045044632074912064741855509748206938687191395271978563116658097295431159,41948375291644419605210209193538855353224492619856392092318293986323063962044.417660370638392028051607918936314344360951243480469738197990241306346337520704035201045044632074912064741855509748206938687191395271978563116658097295431159,0.362273239631000289425727378580545974174493600017426021792629067243388265731024404039021754996428687772470035064639795416864041323770714100633891839969616240,0.417660370638392028051607918936314344362510977484011724814469783526271807671317358677115864454467806801431071839474531215881141669736391330147455748023293104,41948375291644419605210209193538855353224492619856392092318293986323063962044.417660370638392028051607918936314344362510977484011724814469783526271807671317358677115864454467806801431071839474531215881141669736391330147455748023293104,0.362273239631000289425727378580545974175846493253531016180711581252793165703167874029028400665489442318829954935258165994487333719131614858480179886216741333,156,156
4,8,21262057306151627953595685090280431278183829487175876377991189246716355947009,41749993296225487051377864631615517161996906063147759678534462689479575333124,0.360559979280266413939413901676515237545485709671163346656466754396809422686186465380825347519967207618187686067764283761896579522656557091093688883409717020,21262057306151627953595685090280431278183829487175876377991189246716355947009.360559979280266413939413901676515237545485709671163346656466754396809422686186465380825347519967207618187686067764283761896579522656557091093688883409717020,0.183622710724002784432124690902779585679549799804520186859146846942513299663074517108663358557978668655170305037068910019120906807536341381527521281884081802,0.360559979280266413939413901676515237546832204812994097588314207278711649746254366445369316545395068091231651248808888465514354020661802328722180070309126771,21262057306151627953595685090280431278183829487175876377991189246716355947009.360559979280266413939413901676515237546832204812994097588314207278711649746254366445369316545395068091231651248808888465514354020661802328722180070309126771,0.183622710724002784432124690902779585680235530618054197419186603548439314321612143100059877855679114104541928588605596712768455697817100980341268185155240285,156,156
5,21,24049875635381557237058143631624836741422505207761609709712554171343558302165,22669890352939653242079781319904043788036611953081321775127194249638113810828,0.195780994213496334443786267801649000465876728641501444277063068452748856151665369372199527521912998039398686754302220512577544871085705175876957410523214162,24049875635381557237058143631624836741422505207761609709712554171343558302165.195780994213496334443786267801649000465876728641501444277063068452748856151665369372199527521912998039398686754302220512577544871085705175876957410523214162,0.207698779716214231532586182895129518964716185657870912377650994773187063968942752531850411704110078521674980426770499744988065965252915779610830087075574548,0.195780994213496334443786267801649000466607864021799307238693761091347189273476718480650989941442685783145766927985876731338835041498178844371785736968655059,24049875635381557237058143631624836741422505207761609709712554171343558302165.195780994213496334443786267801649000466607864021799307238693761091347189273476718480650989941442685783145766927985876731338835041498178844371785736968655059,0.207698779716214231532586182895129518965491827475940442012316038212715114021982726928122705514827804007635923316120255915778917799706981243788469421398369722,156,156
6,49,109846273198995465046214558810696509369395695668678477567979041624391316796720,101711840700253487202274292900077312932162220876743713596510869779955653950519,0.878400600336304483397667909955668974080215869418931287744582187854406447717725835455792052697198366001770436522387626432722049146045815471843474335460988126,109846273198995465046214558810696509369395695668678477567979041624391316796720.878400600336304483397667909955668974080215869418931287744582187854406447717725835455792052697198366001770436522387626432722049146045815471843474335460988126,0.948650930495478282942085783929239237947982550527399861880358191985084504596420883284658341560314347639774434210075211821654571589872760397411345061183663656,0.878400600336304483397667909955668974083496217235943662684032078802681437310690151719797943958868248382517426176393223621725793669207151079230360332604370609,109846273198995465046214558810696509369395695668678477567979041624391316796720.878400600336304483397667909955668974083496217235943662684032078802681437310690151719797943958868248382517426176393223621725793669207151079230360332604370609,0.948650930495478282942085783929239237951525245065365997553782712217977743716892546025258266963520194620344418663257753975282702751197015286100727615098904470,156,156
7,76,67990777350807742601404023085488753338978132210207570380931332031538910989091,85792528080009126161701413187313528408286619337671538805045464108358228475888,0.740918733266631982646178124822326111845952961151252933959521611518453090246634996065290810216330520948445695391868980359624511325752243758137476187193154023,67990777350807742601404023085488753338978132210207570380931332031538910989091.740918733266631982646178124822326111845952961151252933959521611518453090246634996065290810216330520948445695391868980359624511325752243758137476187193154023,0.587179813393473394001403217201209963415533686243256090381644053278908729880760419400920187306415287912070964315499374448860873827651361359793910969936502091,0.740918733266631982646178124822326111848719889074940873222885938064298679835080852415885669289964062180289599782941534810937987891176984840077400525995389273,67990777350807742601404023085488753338978132210207570380931332031538910989091.740918733266631982646178124822326111848719889074940873222885938064298679835080852415885669289964062180289599782941534810937987891176984840077400525995389273,0.587179813393473394001403217201209963417726483035883015650315961296668953964957855474847939279289958183998207119475295224994792839140595973903265995246124685,156,156
8,224,3951620832557057103848397037937330228967155552456836977045923180329637950740,95473263819178136898129622939316779429655166328021079992747693728567241822551,0.824523198847422368458926908214250223048352172807543035949970661305427104018637059879440206778237899435299273721691283441765903070587069670824488812902742435,3951620832557057103848397037937330228967155552456836977045923180329637950740.824523198847422368458926908214250223048352172807543035949970661305427104018637059879440206778237899435299273721691283441765903070587069670824488812902742435,0.034126863575785386152794651105205346152060077193853107535598482031109317894681140358215020933100747193355827096403129966858936944891102885281547053218840381,0.824523198847422368458926908214250223051431317874588381793351022417165668717344323496336890952470967094832179393069272223375291389171481464972793275526162696,3951620832557057103848397037937330228967155552456836977045923180329637950740.824523198847422368458926908214250223051431317874588381793351022417165668717344323496336890952470967094832179393069272223375291389171481464972793275526162696,0.034126863575785386152794651105205346152187522441943154736245631006813276973754976324517374918573326620345480940944858158963623979728544960852241352228484570,156,156
9,467,30474780960141219921807662305060768687772753653098971817340717083315339616503,61319752531495161980867220483083814171916864550579329528527835522023988931626,0.529567718618671486090417863045860280296736623666205417918686108162566359949610249255689499769753416158915566969688647027928885610803214546593513267341275268,30474780960141219921807662305060768687772753653098971817340717083315339616503.529567718618671486090417863045860280296736623666205417918686108162566359949610249255689499769753416158915566969688647027928885610803214546593513267341275268,0.263185345051362491119566557811966991604092738945334335622807367120464004257125376084806776031387252771251753813257944143721549672391288742065681658553115215,0.529567718618671486090417863045860280298714270663561625418431147692998889703027151658824683967565696902590173922771991108102852047894375106194515633156798386,30474780960141219921807662305060768687772753653098971817340717083315339616503.529567718618671486090417863045860280298714270663561625418431147692998889703027151658824683967565696902590173922771991108102852047894375106194515633156798386,0.263185345051362491119566557811966991605075592863897628298143722311379102725876401544133128605576624301084133273709172273331094944488543252270233617710676063,156,156
10,514,75827354541827746090915769557428734838962266972502112805530189196736906960333,96570036462163023759491147881411408314153451204876534252590428078766327205003,0.833995112258856273992650661079990497697438488198129759636840612321592720163907596833428131791547942131856542254197000397850829115316805598337412979701557146,75827354541827746090915769557428734838962266972502112805530189196736906960333.833995112258856273992650661079990497697438488198129759636840612321592720163907596833428131791547942131856542254197000397850829115316805598337412979701557146,0.654857814910130699110631948178105550871745050827360574597826485914776085988975622664674705700811665933597394459806495202037201779825170632083699527112751260,0.833995112258856273992650661079990497700553005702842192160075393207000159966716587529424093658942810837693336679757993415962973943019036816850897575844365692,75827354541827746090915769557428734838962266972502112805530189196736906960333.833995112258856273992650661079990497700553005702842192160075393207000159966716587529424093658942810837693336679757993415962973943019036816850897575844365692,0.654857814910130699110631948178105550874190588094493015045348181759409963461628845141873388231257796879499686662630816210259837813647777934678273343841904761,156,156
