puzzle,d_max_k,d_lead_frac,d_nnz,lower_max_k,lower_lead_frac,Px_max_k,Px_lead_frac,Px_nnz,Py_max_k,Py_lead_frac,Px_bits,Py_bits
1,1,1.000000,1,0,0.000000,57,0.017544,50,56,0.803571,255,255
2,2,0.500000,2,1,1.000000,57,0.035088,54,56,0.625000,256,254
3,3,0.333333,2,2,0.500000,57,0.017544,53,57,0.017544,255,255
4,3,0.333333,2,0,0.000000,56,0.517857,52,57,0.017544,254,255
5,3,1.000000,3,2,1.000000,56,0.589286,52,56,0.553571,254,254
6,4,0.500000,2,3,0.666667,57,0.035088,53,57,0.035088,256,256
7,4,0.750000,2,3,0.666667,57,0.017544,55,57,0.035088,256,256
8,5,0.200000,4,4,1.000000,56,0.089286,50,57,0.035088,252,256
9,5,0.600000,5,5,0.200000,56,0.750000,54,57,0.017544,255,256
10,5,0.800000,4,2,0.500000,57,0.017544,52,57,0.035088,256,256
11,6,0.166667,5,5,0.200000,57,0.017544,50,56,0.321429,256,253
12,6,0.500000,5,5,1.000000,57,0.017544,55,57,0.017544,256,255
13,7,0.142857,5,6,0.166667,57,0.017544,55,56,0.517857,256,254
14,7,0.285714,5,6,0.500000,57,0.035088,54,57,0.017544,256,255
15,7,0.714286,7,7,0.285714,57,0.035088,52,57,0.035088,256,256
16,8,0.125000,6,7,0.428571,57,0.017544,53,57,0.017544,256,256
17,8,0.250000,6,7,0.857143,56,0.714286,52,56,0.642857,254,254
18,8,0.500000,8,8,0.125000,56,0.142857,53,57,0.017544,252,256
19,8,1.000000,7,8,0.250000,57,0.017544,56,56,0.785714,256,255
20,9,0.222222,7,8,1.000000,56,0.678571,52,57,0.017544,254,256
21,9,0.444444,6,9,0.222222,56,0.285714,50,56,0.500000,253,254
22,9,0.888889,8,9,0.222222,56,0.696429,52,57,0.017544,254,255
23,10,0.100000,8,9,0.333333,57,0.035088,55,57,0.017544,256,256
24,10,0.300000,9,10,0.100000,57,0.017544,54,57,0.035088,255,256
25,10,0.900000,8,10,0.400000,56,0.053571,47,57,0.035088,251,256
26,11,0.090909,9,10,0.500000,56,0.875000,51,56,0.071429,255,251
27,11,0.181818,9,11,0.090909,56,0.285714,51,56,0.035714,253,250
28,11,0.454545,8,11,0.181818,57,0.035088,53,56,0.107143,256,252
29,11,0.909091,8,11,0.272727,57,0.017544,56,57,0.035088,255,256
30,12,0.166667,8,12,0.083333,56,0.142857,50,57,0.017544,252,256
31,12,0.333333,11,12,0.166667,57,0.017544,54,56,0.767857,256,255
32,12,0.500000,8,12,0.083333,56,0.107143,56,56,0.892857,252,255
33,13,0.076923,12,12,0.416667,57,0.017544,55,56,0.035714,256,251
34,13,0.153846,11,12,0.916667,56,0.678571,53,57,0.035088,254,256
35,13,0.230769,11,12,0.500000,57,0.035088,55,57,0.017544,256,256
36,13,0.461538,11,13,0.076923,57,0.035088,51,57,0.017544,256,255
37,14,0.071429,13,13,0.384615,57,0.017544,53,57,0.017544,255,255
38,14,0.071429,12,13,0.076923,57,0.035088,54,56,0.625000,256,254
39,14,0.214286,13,13,0.538462,56,0.500000,51,56,0.607143,254,254
40,14,0.785714,12,14,0.357143,57,0.017544,54,57,0.017544,256,255
41,15,0.066667,14,14,0.285714,57,0.035088,55,57,0.017544,256,256
42,15,0.133333,13,14,0.500000,57,0.035088,52,56,0.446429,256,254
43,15,0.333333,14,15,0.133333,57,0.017544,54,57,0.035088,256,256
44,15,0.733333,14,15,0.333333,57,0.017544,55,57,0.017544,255,255
45,15,1.000000,13,15,0.066667,57,0.017544,53,57,0.017544,255,256
46,16,0.125000,14,15,0.800000,57,0.035088,56,57,0.017544,256,256
47,16,0.312500,12,16,0.125000,56,0.642857,52,57,0.035088,254,256
48,16,0.562500,13,16,0.125000,57,0.017544,49,57,0.017544,256,255
49,17,0.058824,16,16,0.375000,56,1.000000,53,57,0.035088,255,256
50,17,0.058824,15,16,0.125000,57,0.035088,53,57,0.035088,256,256
51,17,0.294118,14,17,0.117647,57,0.017544,53,57,0.017544,256,256
52,17,0.647059,15,17,0.294118,57,0.017544,55,57,0.035088,255,256
53,18,0.055556,14,17,0.352941,56,0.160714,53,57,0.017544,252,255
54,18,0.055556,17,17,0.117647,56,0.839286,52,55,0.236364,255,247
55,18,0.222222,12,18,0.055556,57,0.017544,53,56,0.160714,256,252
56,18,0.333333,17,18,0.055556,56,0.714286,51,57,0.035088,254,256
57,19,0.052632,16,18,0.555556,57,0.017544,51,57,0.017544,256,255
58,19,0.052632,18,18,0.444444,56,0.196429,51,56,0.928571,253,255
59,19,0.210526,17,19,0.052632,56,0.732143,54,56,0.142857,255,252
60,19,0.473684,16,19,0.210526,56,0.821429,53,57,0.035088,255,256
61,19,0.578947,16,19,0.105263,56,0.821429,53,57,0.035088,255,256
62,20,0.050000,18,19,0.684211,56,0.392857,54,56,0.678571,254,254
63,20,0.150000,18,20,0.050000,57,0.017544,52,57,0.017544,255,255
64,20,0.350000,15,20,0.150000,56,0.178571,51,56,0.910714,253,255
65,20,0.600000,18,20,0.200000,56,0.535714,52,57,0.035088,254,256
66,20,0.950000,17,20,0.150000,56,0.892857,55,57,0.017544,255,255
67,21,0.095238,17,21,0.047619,56,0.196429,50,57,0.035088,253,256
68,21,0.190476,18,21,0.047619,56,0.357143,52,56,0.160714,253,252
69,21,0.238095,18,19,0.894737,56,0.857143,54,57,0.035088,255,256
70,21,0.857143,21,21,0.333333,57,0.017544,49,57,0.035088,256,256
