max_k,n0,n1,da,k_factorial,k_fact_over_N,k_fact_over_p,Delta_lead,Delta_lead_over_N,Delta_lead_over_p,rem0_over_N,rem1_over_N,P0_x_over_p,P0_y_over_p,P1_x_over_p,P1_y_over_p,P0_x_dot,P0_y_dot,P1_x_dot,P1_y_dot,T_x_over_p,T_y_over_p
3,3,4,0,6,0.000000000000000000000000000000000000000000000000000000000000000000000000000051817011330566667752318111176802397426889510501545128196256990309822900928550059,0.000000000000000000000000000000000000000000000000000000000000000000000000000051817011330566667752318111176802397426696002186617688310142220821013472819183146,0,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000000008636168555094444625386351862800399571148251750257521366042831718303816821425009,0.000000000000000000000000000000000000000000000000000000000000000000000000000017272337110188889250772703725600799142296503500515042732085663436607633642850019,0.362273239631000289425727378580545974174493600017426021792629067243388265731020797053662138624143022130435421905990624143875909888473087431060230232532116934,0.417660370638392028051607918936314344360951243480469738197990241306346337520704035201045044632074912064741855509748206938687191395271978563116658097295431159,0.183622710724002784432124690902779585679549799804520186859146846942513299663071403251908072816690410039606505647272118640168344207073616638226179137973512415,0.360559979280266413939413901676515237545485709671163346656466754396809422686186465380825347519967207618187686067764283761896579522656557091093688883409717020,x.362273239631000289425727378580545974174493600017426021792629067243388265731020797053662138624143022130435421905990624143875909888473087431060230232532116934,y.417660370638392028051607918936314344360951243480469738197990241306346337520704035201045044632074912064741855509748206938687191395271978563116658097295431159,x.183622710724002784432124690902779585679549799804520186859146846942513299663071403251908072816690410039606505647272118640168344207073616638226179137973512415,y.360559979280266413939413901676515237545485709671163346656466754396809422686186465380825347519967207618187686067764283761896579522656557091093688883409717020,0.999900569547545118325135408879985635590189926257714631088624966168819282158741321539276427081131339035347350990527830621377008502209399670950421093295646689,0.679969279718519144638511707982212321852404194252103160006027059468944021514666122208404894382205738581541654348184559064044533966431269227220839627727745687
3,4,5,2,6,0.000000000000000000000000000000000000000000000000000000000000000000000000000051817011330566667752318111176802397426889510501545128196256990309822900928550059,0.000000000000000000000000000000000000000000000000000000000000000000000000000051817011330566667752318111176802397426696002186617688310142220821013472819183146,12,0.000000000000000000000000000000000000000000000000000000000000000000000000000103634022661133335504636222353604794853779021003090256392513980619645801857100119,0.000000000000000000000000000000000000000000000000000000000000000000000000000103634022661133335504636222353604794853392004373235376620284441642026945638366292,0.000000000000000000000000000000000000000000000000000000000000000000000000000017272337110188889250772703725600799142296503500515042732085663436607633642850019,0.000000000000000000000000000000000000000000000000000000000000000000000000000025908505665283333876159055588401198713444755250772564098128495154911450464275029,0.183622710724002784432124690902779585679549799804520186859146846942513299663071403251908072816690410039606505647272118640168344207073616638226179137973512415,0.360559979280266413939413901676515237545485709671163346656466754396809422686186465380825347519967207618187686067764283761896579522656557091093688883409717020,0.207698779716214231532586182895129518964716185657870912377650994773187063968941061734184499979647291070110790300159742805545362798196740861353283629324550242,0.195780994213496334443786267801649000465876728641501444277063068452748856151665369372199527521912998039398686754302220512577544871085705175876957410523214162,x.183622710724002784432124690902779585679549799804520186859146846942513299663071403251908072816690410039606505647272118640168344207073616638226179137973512415,y.360559979280266413939413901676515237545485709671163346656466754396809422686186465380825347519967207618187686067764283761896579522656557091093688883409717020,x.207698779716214231532586182895129518964716185657870912377650994773187063968941061734184499979647291070110790300159742805545362798196740861353283629324550242,y.195780994213496334443786267801649000465876728641501444277063068452748856151665369372199527521912998039398686754302220512577544871085705175876957410523214162,0.999900569547545118325135408879985635590189926257714631088624966168819282158741321539276427081131339035347350990527830621377008502209399670950421093295646689,0.679969279718519144638511707982212321852404194252103160006027059468944021514666122208404894382205738581541654348184559064044533966431269227220839627727745687
4,6,7,1,24,0.000000000000000000000000000000000000000000000000000000000000000000000000000207268045322266671009272444707209589707558042006180512785027961239291603714200239,0.000000000000000000000000000000000000000000000000000000000000000000000000000207268045322266671009272444707209589706784008746470753240568883284053891276732584,24,0.000000000000000000000000000000000000000000000000000000000000000000000000000207268045322266671009272444707209589707558042006180512785027961239291603714200239,0.000000000000000000000000000000000000000000000000000000000000000000000000000207268045322266671009272444707209589706784008746470753240568883284053891276732584,0.000000000000000000000000000000000000000000000000000000000000000000000000000008636168555094444625386351862800399571148251750257521366042831718303816821425009,0.000000000000000000000000000000000000000000000000000000000000000000000000000034544674220377778501545407451201598284593007001030085464171326873215267285700039,0.948650930495478282942085783929239237947982550527399861880358191985084504596413297269014941084894285271751097258238504001955136737919998817738697314286892601,0.878400600336304483397667909955668974080215869418931287744582187854406447717725835455792052697198366001770436522387626432722049146045815471843474335460988126,0.587179813393473394001403217201209963415533686243256090381644053278908729880754020701854069611063796585443049577324310443996198989580504227036741652168644129,0.740918733266631982646178124822326111845952961151252933959521611518453090246634996065290810216330520948445695391868980359624511325752243758137476187193154023,x.948650930495478282942085783929239237947982550527399861880358191985084504596413297269014941084894285271751097258238504001955136737919998817738697314286892601,y.878400600336304483397667909955668974080215869418931287744582187854406447717725835455792052697198366001770436522387626432722049146045815471843474335460988126,x.587179813393473394001403217201209963415533686243256090381644053278908729880754020701854069611063796585443049577324310443996198989580504227036741652168644129,y.740918733266631982646178124822326111845952961151252933959521611518453090246634996065290810216330520948445695391868980359624511325752243758137476187193154023,0.993938696862859680656340686192104766268208791260181254788338032755618742047817048993589278282529331358238194589690969424974383231172618084752653456390974097,0.407499195658553115116371124172861146400821937836367541423368144490707958369229634240811678085345521693344352661982284250752227655612506676130566227800380127
5,8,9,2,120,0.000000000000000000000000000000000000000000000000000000000000000000000000001036340226611333355046362223536047948537790210030902563925139806196458018571001199,0.000000000000000000000000000000000000000000000000000000000000000000000000001036340226611333355046362223536047948533920043732353766202844416420269456383662921,240,0.000000000000000000000000000000000000000000000000000000000000000000000000002072680453222666710092724447072095897075580420061805127850279612392916037142002398,0.000000000000000000000000000000000000000000000000000000000000000000000000002072680453222666710092724447072095897067840087464707532405688832840538912767325842,0.000000000000000000000000000000000000000000000000000000000000000000000000000898161529729822241040180593731241555399418182026782222068454498703596949428201039,0.000000000000000000000000000000000000000000000000000000000000000000000000000924070035395105574916339649319642754112862937277554786166582993858508399892476069,0.034126863575785386152794651105205346152060077193853107535598482031109317894674019636892188940014821083670461256343502121266365270483949776535355472054630874,0.824523198847422368458926908214250223048352172807543035949970661305427104018637059879440206778237899435299273721691283441765903070587069670824488812902742435,0.263185345051362491119566557811966991604092738945334335622807367120464004257120802648727448357838401939195037574379676709730995712122939994942374341843743838,0.529567718618671486090417863045860280296736623666205417918686108162566359949610249255689499769753416158915566969688647027928885610803214546593513267341275268,x.034126863575785386152794651105205346152060077193853107535598482031109317894674019636892188940014821083670461256343502121266365270483949776535355472054630874,y.824523198847422368458926908214250223048352172807543035949970661305427104018637059879440206778237899435299273721691283441765903070587069670824488812902742435,x.263185345051362491119566557811966991604092738945334335622807367120464004257120802648727448357838401939195037574379676709730995712122939994942374341843743838,y.529567718618671486090417863045860280296736623666205417918686108162566359949610249255689499769753416158915566969688647027928885610803214546593513267341275268,0.864679723275459612745651486694072091033751419277685183419259390034121203439237851208112505811788703531616955233249549572303918328810716408878174361147554505,0.838748399502636571735304599764222351222442426397940376575095309175984037837662763154214493055088364983646375631308480070180902063321294030390831485209368934
5,9,10,1,120,0.000000000000000000000000000000000000000000000000000000000000000000000000001036340226611333355046362223536047948537790210030902563925139806196458018571001199,0.000000000000000000000000000000000000000000000000000000000000000000000000001036340226611333355046362223536047948533920043732353766202844416420269456383662921,120,0.000000000000000000000000000000000000000000000000000000000000000000000000001036340226611333355046362223536047948537790210030902563925139806196458018571001199,0.000000000000000000000000000000000000000000000000000000000000000000000000001036340226611333355046362223536047948533920043732353766202844416420269456383662921,0.000000000000000000000000000000000000000000000000000000000000000000000000000924070035395105574916339649319642754112862937277554786166582993858508399892476069,0.000000000000000000000000000000000000000000000000000000000000000000000000000293629730873211117263135963335213585419040559508755726445456278422329771928450339,0.263185345051362491119566557811966991604092738945334335622807367120464004257120802648727448357838401939195037574379676709730995712122939994942374341843743838,0.529567718618671486090417863045860280296736623666205417918686108162566359949610249255689499769753416158915566969688647027928885610803214546593513267341275268,0.654857814910130699110631948178105550871745050827360574597826485914776085988968420142311113304881994803508161712908527810166981489005011674731575663286954204,0.833995112258856273992650661079990497697438488198129759636840612321592720163907596833428131791547942131856542254197000397850829115316805598337412979701557146,x.263185345051362491119566557811966991604092738945334335622807367120464004257120802648727448357838401939195037574379676709730995712122939994942374341843743838,y.529567718618671486090417863045860280296736623666205417918686108162566359949610249255689499769753416158915566969688647027928885610803214546593513267341275268,x.654857814910130699110631948178105550871745050827360574597826485914776085988968420142311113304881994803508161712908527810166981489005011674731575663286954204,y.833995112258856273992650661079990497697438488198129759636840612321592720163907596833428131791547942131856542254197000397850829115316805598337412979701557146,0.864679723275459612745651486694072091033751419277685183419259390034121203439237851208112505811788703531616955233249549572303918328810716408878174361147554505,0.838748399502636571735304599764222351222442426397940376575095309175984037837662763154214493055088364983646375631308480070180902063321294030390831485209368934
6,11,12,2,720,0.000000000000000000000000000000000000000000000000000000000000000000000000006218041359668000130278173341216287691226741260185415383550838837178748111426007195,0.000000000000000000000000000000000000000000000000000000000000000000000000006218041359668000130278173341216287691203520262394122597217066498521616738301977527,1440,0.000000000000000000000000000000000000000000000000000000000000000000000000012436082719336000260556346682432575382453482520370830767101677674357496222852014390,0.000000000000000000000000000000000000000000000000000000000000000000000000012436082719336000260556346682432575382407040524788245194434132997043233476603955054,0.000000000000000000000000000000000000000000000000000000000000000000000000003756733321466083412043063060318173813449489511362021794228631797462160317319879347,0.000000000000000000000000000000000000000000000000000000000000000000000000004516716154314394539077062024244608975710535665384683674440400988672896197605280226,0.543055556767958548393572910794610963469543689962358066889768090866543490762655442870029875325934168025344031412664023928358318357584207074809428930137062968,0.113540202675591408756258414778735436206563654898403927508967741387013996408662950918152718095697176593059504635457752731982038072501741826077944154559024925,0.542983815017244408261451214495138794014838783164708293857423809602787249691183839232053597003804923962589340832114734231570638007718165561743388512174066787,0.382475229502695060009048965526065932119414705536522395310794883281934985673401156371900700941876491744162022493806043695963638930475482034640219790068025083,x.543055556767958548393572910794610963469543689962358066889768090866543490762655442870029875325934168025344031412664023928358318357584207074809428930137062968,y.113540202675591408756258414778735436206563654898403927508967741387013996408662950918152718095697176593059504635457752731982038072501741826077944154559024925,x.542983815017244408261451214495138794014838783164708293857423809602787249691183839232053597003804923962589340832114734231570638007718165561743388512174066787,y.382475229502695060009048965526065932119414705536522395310794883281934985673401156371900700941876491744162022493806043695963638930475482034640219790068025083,0.603093980550478859402868652743891710849304827571008932172167529169880219046332482298240326598325872924170746007072471166383371279792756085775608741991361047,0.939479247869944577422905902161061323327434131608743487571811961531529867377891851900365059005889162653181738972387800821164308540583581053286835255555824293
7,13,14,1,5040,0.000000000000000000000000000000000000000000000000000000000000000000000000043526289517676000911947213388514013838587188821297907684855871860251236779982050366,0.000000000000000000000000000000000000000000000000000000000000000000000000043526289517676000911947213388514013838424641836758858180519465489651317168113842689,5040,0.000000000000000000000000000000000000000000000000000000000000000000000000043526289517676000911947213388514013838587188821297907684855871860251236779982050366,0.000000000000000000000000000000000000000000000000000000000000000000000000043526289517676000911947213388514013838424641836758858180519465489651317168113842689,0.000000000000000000000000000000000000000000000000000000000000000000000000001519965665696622254067997927852870324522092308045323760423538382421471760570801758,0.000000000000000000000000000000000000000000000000000000000000000000000000004007182209563822306179267264339385401012788812119489913843873917292971005141204636,0.667399090215942309835316511250547224608691307025737162728933565442213599787817927733951420393476832420405112648603290081129671176367781547769812322646698778,0.182980220570378855483610192276114741322588904246939883084725951920321391087217167091279168854463608730573378529812201745975843586318409647634567340848929078,0.706815621052286166473376488545464900012138862385148090455126664569420504086829731163887300294903233337994302046768075901212129077309287073826106581086077118,0.470549478310477933290011485692645399818082652475285453586771390015736138594106350292114870742122368456985611006751940074657712209663665188522856028556430778,x.667399090215942309835316511250547224608691307025737162728933565442213599787817927733951420393476832420405112648603290081129671176367781547769812322646698778,y.182980220570378855483610192276114741322588904246939883084725951920321391087217167091279168854463608730573378529812201745975843586318409647634567340848929078,x.706815621052286166473376488545464900012138862385148090455126664569420504086829731163887300294903233337994302046768075901212129077309287073826106581086077118,y.470549478310477933290011485692645399818082652475285453586771390015736138594106350292114870742122368456985611006751940074657712209663665188522856028556430778,0.826714816535371195082927708016609990268090484503414898163839979101669026227470530836148021195290963272286742981237331554055763156898301480421272011211574914,0.304777209451325664146852528403870513931716960955851796887381782656191525764160512193784233287008067961897103501344682437753037732732981109575527215301699525
7,14,15,3,5040,0.000000000000000000000000000000000000000000000000000000000000000000000000043526289517676000911947213388514013838587188821297907684855871860251236779982050366,0.000000000000000000000000000000000000000000000000000000000000000000000000043526289517676000911947213388514013838424641836758858180519465489651317168113842689,15120,0.000000000000000000000000000000000000000000000000000000000000000000000000130578868553028002735841640165542041515761566463893723054567615580753710339946151100,0.000000000000000000000000000000000000000000000000000000000000000000000000130578868553028002735841640165542041515273925510276574541558396468953951504341528067,0.000000000000000000000000000000000000000000000000000000000000000000000000004007182209563822306179267264339385401012788812119489913843873917292971005141204636,0.000000000000000000000000000000000000000000000000000000000000000000000000014396492981342439190519048555288266085104135667679288117193400474412462641315491658,0.706815621052286166473376488545464900012138862385148090455126664569420504086829731163887300294903233337994302046768075901212129077309287073826106581086077118,0.470549478310477933290011485692645399818082652475285453586771390015736138594106350292114870742122368456985611006751940074657712209663665188522856028556430778,0.994713782555285072124832941387138196235226956670604940829053645026164296327716131328013975071282145241406035340126771243402278635376749646855790107012696884,0.777606422534627422904077814329541603562988885785196140333430198592517107917059272874892800457593588289623463121504100010354592507247661426843494343401639059,x.706815621052286166473376488545464900012138862385148090455126664569420504086829731163887300294903233337994302046768075901212129077309287073826106581086077118,y.470549478310477933290011485692645399818082652475285453586771390015736138594106350292114870742122368456985611006751940074657712209663665188522856028556430778,x.994713782555285072124832941387138196235226956670604940829053645026164296327716131328013975071282145241406035340126771243402278635376749646855790107012696884,y.777606422534627422904077814329541603562988885785196140333430198592517107917059272874892800457593588289623463121504100010354592507247661426843494343401639059,0.826714816535371195082927708016609990268090484503414898163839979101669026227470530836148021195290963272286742981237331554055763156898301480421272011211574914,0.304777209451325664146852528403870513931716960955851796887381782656191525764160512193784233287008067961897103501344682437753037732732981109575527215301699525
8,16,17,1,40320,0.000000000000000000000000000000000000000000000000000000000000000000000000348210316141408007295577707108112110708697510570383261478846974882009894239856402933,0.000000000000000000000000000000000000000000000000000000000000000000000000348210316141408007295577707108112110707397134694070865444155723917210537344910741512,40320,0.000000000000000000000000000000000000000000000000000000000000000000000000348210316141408007295577707108112110708697510570383261478846974882009894239856402933,0.000000000000000000000000000000000000000000000000000000000000000000000000348210316141408007295577707108112110707397134694070865444155723917210537344910741512,0.000000000000000000000000000000000000000000000000000000000000000000000000096638726131506835358073277344736471201148937085381664086019286927819710231745861826,0.000000000000000000000000000000000000000000000000000000000000000000000000131122947171998952747240980332898466688743906324159946900628313979006850799695926729,0.615423036072675204711298857917184019269333014461891651695858827954910805324514528469706757778323657303803389419086810016687636093328354566856810455345962156,0.514681288563156478280045571530864427764171507680954769599020774780540453270142660138954365842231082796696344147410771046429045760746764512375862698630006483,0.247688989739919386219075593120163811522651059433474356234742639956179312182644120413395686331651425162386192328235900154916933239391865356200574176216419799,0.223605818190286754988977110613762437908876610557765544182651535865085764240851948277279531318581427906835969230533995497282601921418295110654677949830579342,x.615423036072675204711298857917184019269333014461891651695858827954910805324514528469706757778323657303803389419086810016687636093328354566856810455345962156,y.514681288563156478280045571530864427764171507680954769599020774780540453270142660138954365842231082796696344147410771046429045760746764512375862698630006483,x.247688989739919386219075593120163811522651059433474356234742639956179312182644120413395686331651425162386192328235900154916933239391865356200574176216419799,y.223605818190286754988977110613762437908876610557765544182651535865085764240851948277279531318581427906835969230533995497282601921418295110654677949830579342,0.099937896506151073966958604214381177854359733812368798547323595744213098927359077754163130974937769924750515235260975130158195375962755373697393121381525975,0.697634665964742086205025646636073445137086283871383478570856098541970741657689722376615762076125412012942076910082688141318220595927414486861729733277122251
8,17,18,2,40320,0.000000000000000000000000000000000000000000000000000000000000000000000000348210316141408007295577707108112110708697510570383261478846974882009894239856402933,0.000000000000000000000000000000000000000000000000000000000000000000000000348210316141408007295577707108112110707397134694070865444155723917210537344910741512,80640,0.000000000000000000000000000000000000000000000000000000000000000000000000696420632282816014591155414216224221417395021140766522957693949764019788479712805867,0.000000000000000000000000000000000000000000000000000000000000000000000000696420632282816014591155414216224221414794269388141730888311447834421074689821483024,0.000000000000000000000000000000000000000000000000000000000000000000000000131122947171998952747240980332898466688743906324159946900628313979006850799695926729,0.000000000000000000000000000000000000000000000000000000000000000000000000322897706106426190098570309798244139565661984690378466354975435115661407136259698643,0.247688989739919386219075593120163811522651059433474356234742639956179312182644120413395686331651425162386192328235900154916933239391865356200574176216419799,0.223605818190286754988977110613762437908876610557765544182651535865085764240851948277279531318581427906835969230533995497282601921418295110654677949830579342,0.050363729034052879838604933241617888516697063049612390003220740892482537378373267733097788748326870653082386513705430950346428808110914373640927536395938527,0.533456360598229461945450470401661829027195260911347040047257639962501113476296597308318315097503801165160746642482042284541722846520789009652676241214574090,x.247688989739919386219075593120163811522651059433474356234742639956179312182644120413395686331651425162386192328235900154916933239391865356200574176216419799,y.223605818190286754988977110613762437908876610557765544182651535865085764240851948277279531318581427906835969230533995497282601921418295110654677949830579342,x.050363729034052879838604933241617888516697063049612390003220740892482537378373267733097788748326870653082386513705430950346428808110914373640927536395938527,y.533456360598229461945450470401661829027195260911347040047257639962501113476296597308318315097503801165160746642482042284541722846520789009652676241214574090,0.099937896506151073966958604214381177854359733812368798547323595744213098927359077754163130974937769924750515235260975130158195375962755373697393121381525975,0.697634665964742086205025646636073445137086283871383478570856098541970741657689722376615762076125412012942076910082688141318220595927414486861729733277122251
