n0,n1,verify,Delta,Delta_modN,Delta_over_N,P0_x_over_p,P0_y_over_p,P0_x_over_N,P0_y_over_N,P1_x_over_p,P1_y_over_p,P1_x_over_N,P1_y_over_N,P0_x_dot,P0_y_dot,P1_x_dot,P1_y_dot,Padd_x_over_p,Padd_y_over_p
1,2,True,2,2,0.000000000000000000000000000000000000000000000000000000000000000000000000000017272337110188889250772703725600799142296503500515042732085663436607633642850019,0.475561529159551572470709345884621936100985485829132436550464858155768637484945770421872537531475819608234044408095263692285252160773485750623503717641387937,0.282148031320175246505212885071570977550907651627602429753671258322280125106404508771731396770462118762648692837735596666835002450904764093369905557992909847,0.475561529159551572470709345884621936102761449123597783537139123641550837324690066251905474899365458445065104243235611129269879531576903414475590232564089577,0.282148031320175246505212885071570977551961320851258609381509162545846277909393492360483899368001184307073624725659099330656547172388131964106708724906783276,0.973396897681911219874187479164064370527739225341089540308236126418910194056432890699788856621217958934034126370661708702348212656516135170171650505398146137,0.220939341789907596180323261299559091201231792535464013095513200023333844114295095880677291538930471036967336492161784296132941802283416338810533587720639803,0.973396897681911219874187479164064370531374332588483238232898025646293040244784039258692134056579569325802018273441681410939172650243649888141942351822632320,0.220939341789907596180323261299559091202056880641340982598418907582038794669615675698281182863422529511021039328545004217513038975145365487521270815881434388,x.475561529159551572470709345884621936100985485829132436550464858155768637484945770421872537531475819608234044408095263692285252160773485750623503717641387937,y.282148031320175246505212885071570977550907651627602429753671258322280125106404508771731396770462118762648692837735596666835002450904764093369905557992909847,x.973396897681911219874187479164064370527739225341089540308236126418910194056432890699788856621217958934034126370661708702348212656516135170171650505398146137,y.220939341789907596180323261299559091201231792535464013095513200023333844114295095880677291538930471036967336492161784296132941802283416338810533587720639803,0.973396897681911219874187479164064370527739225341089540308236126418910194056432890699788856621217958934034126370661708702348212656516135170171650505398146137,0.220939341789907596180323261299559091201231792535464013095513200023333844114295095880677291538930471036967336492161784296132941802283416338810533587720639803
2,3,True,4,4,0.000000000000000000000000000000000000000000000000000000000000000000000000000034544674220377778501545407451201598284593007001030085464171326873215267285700039,0.973396897681911219874187479164064370527739225341089540308236126418910194056432890699788856621217958934034126370661708702348212656516135170171650505398146137,0.220939341789907596180323261299559091201231792535464013095513200023333844114295095880677291538930471036967336492161784296132941802283416338810533587720639803,0.973396897681911219874187479164064370531374332588483238232898025646293040244784039258692134056579569325802018273441681410939172650243649888141942351822632320,0.220939341789907596180323261299559091202056880641340982598418907582038794669615675698281182863422529511021039328545004217513038975145365487521270815881434388,0.362273239631000289425727378580545974174493600017426021792629067243388265731020797053662138624143022130435421905990624143875909888473087431060230232532116934,0.417660370638392028051607918936314344360951243480469738197990241306346337520704035201045044632074912064741855509748206938687191395271978563116658097295431159,0.362273239631000289425727378580545974175846493253531016180711581252793165703164267043668784293203776676795341776608967781247690882090121912216406268298251185,0.417660370638392028051607918936314344362510977484011724814469783526271807671317358677115864454467806801431071839474531215881141669736391330147455748023293104,x.973396897681911219874187479164064370527739225341089540308236126418910194056432890699788856621217958934034126370661708702348212656516135170171650505398146137,y.220939341789907596180323261299559091201231792535464013095513200023333844114295095880677291538930471036967336492161784296132941802283416338810533587720639803,x.362273239631000289425727378580545974174493600017426021792629067243388265731020797053662138624143022130435421905990624143875909888473087431060230232532116934,y.417660370638392028051607918936314344360951243480469738197990241306346337520704035201045044632074912064741855509748206938687191395271978563116658097295431159,0.362273239631000289425727378580545974174493600017426021792629067243388265731020797053662138624143022130435421905990624143875909888473087431060230232532116934,0.417660370638392028051607918936314344360951243480469738197990241306346337520704035201045044632074912064741855509748206938687191395271978563116658097295431159
3,4,True,1,1,0.000000000000000000000000000000000000000000000000000000000000000000000000000008636168555094444625386351862800399571148251750257521366042831718303816821425009,0.362273239631000289425727378580545974174493600017426021792629067243388265731020797053662138624143022130435421905990624143875909888473087431060230232532116934,0.417660370638392028051607918936314344360951243480469738197990241306346337520704035201045044632074912064741855509748206938687191395271978563116658097295431159,0.362273239631000289425727378580545974175846493253531016180711581252793165703164267043668784293203776676795341776608967781247690882090121912216406268298251185,0.417660370638392028051607918936314344362510977484011724814469783526271807671317358677115864454467806801431071839474531215881141669736391330147455748023293104,0.183622710724002784432124690902779585679549799804520186859146846942513299663071403251908072816690410039606505647272118640168344207073616638226179137973512415,0.360559979280266413939413901676515237545485709671163346656466754396809422686186465380825347519967207618187686067764283761896579522656557091093688883409717020,0.183622710724002784432124690902779585680235530618054197419186603548439314321609029243304592114390855488978129198808782076697886165023258411702671935496649508,0.360559979280266413939413901676515237546832204812994097588314207278711649746254366445369316545395068091231651248808888465514354020661802328722180070309126771,x.362273239631000289425727378580545974174493600017426021792629067243388265731020797053662138624143022130435421905990624143875909888473087431060230232532116934,y.417660370638392028051607918936314344360951243480469738197990241306346337520704035201045044632074912064741855509748206938687191395271978563116658097295431159,x.183622710724002784432124690902779585679549799804520186859146846942513299663071403251908072816690410039606505647272118640168344207073616638226179137973512415,y.360559979280266413939413901676515237545485709671163346656466754396809422686186465380825347519967207618187686067764283761896579522656557091093688883409717020,0.183622710724002784432124690902779585679549799804520186859146846942513299663071403251908072816690410039606505647272118640168344207073616638226179137973512415,0.360559979280266413939413901676515237545485709671163346656466754396809422686186465380825347519967207618187686067764283761896579522656557091093688883409717020
4,5,True,13,13,0.000000000000000000000000000000000000000000000000000000000000000000000000000112270191216227780130022574216405194424927272753347777758556812337949618678525129,0.183622710724002784432124690902779585679549799804520186859146846942513299663071403251908072816690410039606505647272118640168344207073616638226179137973512415,0.360559979280266413939413901676515237545485709671163346656466754396809422686186465380825347519967207618187686067764283761896579522656557091093688883409717020,0.183622710724002784432124690902779585680235530618054197419186603548439314321609029243304592114390855488978129198808782076697886165023258411702671935496649508,0.360559979280266413939413901676515237546832204812994097588314207278711649746254366445369316545395068091231651248808888465514354020661802328722180070309126771,0.207698779716214231532586182895129518964716185657870912377650994773187063968941061734184499979647291070110790300159742805545362798196740861353283629324550242,0.195780994213496334443786267801649000465876728641501444277063068452748856151665369372199527521912998039398686754302220512577544871085705175876957410523214162,0.207698779716214231532586182895129518965491827475940442012316038212715114021981036130456793790365016556071733189509486347919452941805906259333202597923642572,0.195780994213496334443786267801649000466607864021799307238693761091347189273476718480650989941442685783145766927985876731338835041498178844371785736968655059,x.183622710724002784432124690902779585679549799804520186859146846942513299663071403251908072816690410039606505647272118640168344207073616638226179137973512415,y.360559979280266413939413901676515237545485709671163346656466754396809422686186465380825347519967207618187686067764283761896579522656557091093688883409717020,x.207698779716214231532586182895129518964716185657870912377650994773187063968941061734184499979647291070110790300159742805545362798196740861353283629324550242,y.195780994213496334443786267801649000465876728641501444277063068452748856151665369372199527521912998039398686754302220512577544871085705175876957410523214162,0.207698779716214231532586182895129518964716185657870912377650994773187063968941061734184499979647291070110790300159742805545362798196740861353283629324550242,0.195780994213496334443786267801649000465876728641501444277063068452748856151665369372199527521912998039398686754302220512577544871085705175876957410523214162
5,6,True,28,28,0.000000000000000000000000000000000000000000000000000000000000000000000000000241812719542644449510817852158411187992151049007210598249199288112506870999900279,0.207698779716214231532586182895129518964716185657870912377650994773187063968941061734184499979647291070110790300159742805545362798196740861353283629324550242,0.195780994213496334443786267801649000465876728641501444277063068452748856151665369372199527521912998039398686754302220512577544871085705175876957410523214162,0.207698779716214231532586182895129518965491827475940442012316038212715114021981036130456793790365016556071733189509486347919452941805906259333202597923642572,0.195780994213496334443786267801649000466607864021799307238693761091347189273476718480650989941442685783145766927985876731338835041498178844371785736968655059,0.948650930495478282942085783929239237947982550527399861880358191985084504596413297269014941084894285271751097258238504001955136737919998817738697314286892601,0.878400600336304483397667909955668974080215869418931287744582187854406447717725835455792052697198366001770436522387626432722049146045815471843474335460988126,0.948650930495478282942085783929239237951525245065365997553782712217977743716884960009614866488100132252321081711420989496309933789288816382731946021612946594,0.878400600336304483397667909955668974083496217235943662684032078802681437310690151719797943958868248382517426176393223621725793669207151079230360332604370609,x.207698779716214231532586182895129518964716185657870912377650994773187063968941061734184499979647291070110790300159742805545362798196740861353283629324550242,y.195780994213496334443786267801649000465876728641501444277063068452748856151665369372199527521912998039398686754302220512577544871085705175876957410523214162,x.948650930495478282942085783929239237947982550527399861880358191985084504596413297269014941084894285271751097258238504001955136737919998817738697314286892601,y.878400600336304483397667909955668974080215869418931287744582187854406447717725835455792052697198366001770436522387626432722049146045815471843474335460988126,0.948650930495478282942085783929239237947982550527399861880358191985084504596413297269014941084894285271751097258238504001955136737919998817738697314286892601,0.878400600336304483397667909955668974080215869418931287744582187854406447717725835455792052697198366001770436522387626432722049146045815471843474335460988126
6,7,True,27,27,0.000000000000000000000000000000000000000000000000000000000000000000000000000233176550987550004885431500295610788421002797256953076883156456394203054178475269,0.948650930495478282942085783929239237947982550527399861880358191985084504596413297269014941084894285271751097258238504001955136737919998817738697314286892601,0.878400600336304483397667909955668974080215869418931287744582187854406447717725835455792052697198366001770436522387626432722049146045815471843474335460988126,0.948650930495478282942085783929239237951525245065365997553782712217977743716884960009614866488100132252321081711420989496309933789288816382731946021612946594,0.878400600336304483397667909955668974083496217235943662684032078802681437310690151719797943958868248382517426176393223621725793669207151079230360332604370609,0.587179813393473394001403217201209963415533686243256090381644053278908729880754020701854069611063796585443049577324310443996198989580504227036741652168644129,0.740918733266631982646178124822326111845952961151252933959521611518453090246634996065290810216330520948445695391868980359624511325752243758137476187193154023,0.587179813393473394001403217201209963417726483035883015650315961296668953964951456775781821583938466857370292381300183428818260467985398359937652105590440746,0.740918733266631982646178124822326111848719889074940873222885938064298679835080852415885669289964062180289599782941534810937987891176984840077400525995389273,x.948650930495478282942085783929239237947982550527399861880358191985084504596413297269014941084894285271751097258238504001955136737919998817738697314286892601,y.878400600336304483397667909955668974080215869418931287744582187854406447717725835455792052697198366001770436522387626432722049146045815471843474335460988126,x.587179813393473394001403217201209963415533686243256090381644053278908729880754020701854069611063796585443049577324310443996198989580504227036741652168644129,y.740918733266631982646178124822326111845952961151252933959521611518453090246634996065290810216330520948445695391868980359624511325752243758137476187193154023,0.587179813393473394001403217201209963415533686243256090381644053278908729880754020701854069611063796585443049577324310443996198989580504227036741652168644129,0.740918733266631982646178124822326111845952961151252933959521611518453090246634996065290810216330520948445695391868980359624511325752243758137476187193154023
7,8,True,148,148,0.000000000000000000000000000000000000000000000000000000000000000000000000001278152946153977804557180075694459136529941259038113162174339094308964889570901479,0.587179813393473394001403217201209963415533686243256090381644053278908729880754020701854069611063796585443049577324310443996198989580504227036741652168644129,0.740918733266631982646178124822326111845952961151252933959521611518453090246634996065290810216330520948445695391868980359624511325752243758137476187193154023,0.587179813393473394001403217201209963417726483035883015650315961296668953964951456775781821583938466857370292381300183428818260467985398359937652105590440746,0.740918733266631982646178124822326111848719889074940873222885938064298679835080852415885669289964062180289599782941534810937987891176984840077400525995389273,0.034126863575785386152794651105205346152060077193853107535598482031109317894674019636892188940014821083670461256343502121266365270483949776535355472054630874,0.824523198847422368458926908214250223048352172807543035949970661305427104018637059879440206778237899435299273721691283441765903070587069670824488812902742435,0.034126863575785386152794651105205346152187522441943154736245631006813276973747855603194542925487400510660115100885177129339443122938923714585016970201544039,0.824523198847422368458926908214250223051431317874588381793351022417165668717344323496336890952470967094832179393069272223375291389171481464972793275526162696,x.587179813393473394001403217201209963415533686243256090381644053278908729880754020701854069611063796585443049577324310443996198989580504227036741652168644129,y.740918733266631982646178124822326111845952961151252933959521611518453090246634996065290810216330520948445695391868980359624511325752243758137476187193154023,x.034126863575785386152794651105205346152060077193853107535598482031109317894674019636892188940014821083670461256343502121266365270483949776535355472054630874,y.824523198847422368458926908214250223048352172807543035949970661305427104018637059879440206778237899435299273721691283441765903070587069670824488812902742435,0.034126863575785386152794651105205346152060077193853107535598482031109317894674019636892188940014821083670461256343502121266365270483949776535355472054630874,0.824523198847422368458926908214250223048352172807543035949970661305427104018637059879440206778237899435299273721691283441765903070587069670824488812902742435
8,9,True,243,243,0.000000000000000000000000000000000000000000000000000000000000000000000000002098588958887950043968883502660497095789025175312577691948408107547827487606277428,0.034126863575785386152794651105205346152060077193853107535598482031109317894674019636892188940014821083670461256343502121266365270483949776535355472054630874,0.824523198847422368458926908214250223048352172807543035949970661305427104018637059879440206778237899435299273721691283441765903070587069670824488812902742435,0.034126863575785386152794651105205346152187522441943154736245631006813276973747855603194542925487400510660115100885177129339443122938923714585016970201544039,0.824523198847422368458926908214250223051431317874588381793351022417165668717344323496336890952470967094832179393069272223375291389171481464972793275526162696,0.263185345051362491119566557811966991604092738945334335622807367120464004257120802648727448357838401939195037574379676709730995712122939994942374341843743838,0.529567718618671486090417863045860280296736623666205417918686108162566359949610249255689499769753416158915566969688647027928885610803214546593513267341275268,0.263185345051362491119566557811966991605075592863897628298143722311379102725871828108053800932027773469027417034830870680754917694969248175083886142652278801,0.529567718618671486090417863045860280298714270663561625418431147692998889703027151658824683967565696902590173922771991108102852047894375106194515633156798386,x.034126863575785386152794651105205346152060077193853107535598482031109317894674019636892188940014821083670461256343502121266365270483949776535355472054630874,y.824523198847422368458926908214250223048352172807543035949970661305427104018637059879440206778237899435299273721691283441765903070587069670824488812902742435,x.263185345051362491119566557811966991604092738945334335622807367120464004257120802648727448357838401939195037574379676709730995712122939994942374341843743838,y.529567718618671486090417863045860280296736623666205417918686108162566359949610249255689499769753416158915566969688647027928885610803214546593513267341275268,0.263185345051362491119566557811966991604092738945334335622807367120464004257120802648727448357838401939195037574379676709730995712122939994942374341843743838,0.529567718618671486090417863045860280296736623666205417918686108162566359949610249255689499769753416158915566969688647027928885610803214546593513267341275268
9,10,True,47,47,0.000000000000000000000000000000000000000000000000000000000000000000000000000405899922089438897393158537551618779843967832262103504204013090760279390606975469,0.263185345051362491119566557811966991604092738945334335622807367120464004257120802648727448357838401939195037574379676709730995712122939994942374341843743838,0.529567718618671486090417863045860280296736623666205417918686108162566359949610249255689499769753416158915566969688647027928885610803214546593513267341275268,0.263185345051362491119566557811966991605075592863897628298143722311379102725871828108053800932027773469027417034830870680754917694969248175083886142652278801,0.529567718618671486090417863045860280298714270663561625418431147692998889703027151658824683967565696902590173922771991108102852047894375106194515633156798386,0.654857814910130699110631948178105550871745050827360574597826485914776085988968420142311113304881994803508161712908527810166981489005011674731575663286954204,0.833995112258856273992650661079990497697438488198129759636840612321592720163907596833428131791547942131856542254197000397850829115316805598337412979701557146,0.654857814910130699110631948178105550874190588094493015045348181759409963461621642619509795835328125749410453915732795023393340545380591554680895408809686284,0.833995112258856273992650661079990497700553005702842192160075393207000159966716587529424093658942810837693336679757993415962973943019036816850897575844365692,x.263185345051362491119566557811966991604092738945334335622807367120464004257120802648727448357838401939195037574379676709730995712122939994942374341843743838,y.529567718618671486090417863045860280296736623666205417918686108162566359949610249255689499769753416158915566969688647027928885610803214546593513267341275268,x.654857814910130699110631948178105550871745050827360574597826485914776085988968420142311113304881994803508161712908527810166981489005011674731575663286954204,y.833995112258856273992650661079990497697438488198129759636840612321592720163907596833428131791547942131856542254197000397850829115316805598337412979701557146,0.654857814910130699110631948178105550871745050827360574597826485914776085988968420142311113304881994803508161712908527810166981489005011674731575663286954204,0.833995112258856273992650661079990497697438488198129759636840612321592720163907596833428131791547942131856542254197000397850829115316805598337412979701557146
10,11,True,641,641,0.000000000000000000000000000000000000000000000000000000000000000000000000005535784043815539004872651544055056125106029371915071195633455131432746582533431405,0.654857814910130699110631948178105550871745050827360574597826485914776085988968420142311113304881994803508161712908527810166981489005011674731575663286954204,0.833995112258856273992650661079990497697438488198129759636840612321592720163907596833428131791547942131856542254197000397850829115316805598337412979701557146,0.654857814910130699110631948178105550874190588094493015045348181759409963461621642619509795835328125749410453915732795023393340545380591554680895408809686284,0.833995112258856273992650661079990497700553005702842192160075393207000159966716587529424093658942810837693336679757993415962973943019036816850897575844365692,0.543055556767958548393572910794610963469543689962358066889768090866543490762655442870029875325934168025344031412664023928358318357584207074809428930137062968,0.113540202675591408756258414778735436206563654898403927508967741387013996408662950918152718095697176593059504635457752731982038072501741826077944154559024925,0.543055556767958548393572910794610963471571706688983915690227175787523365818108321427491734949817819238961983707189049428604509872373113324753326181111296987,0.113540202675591408756258414778735436206987665715162729986272166575021144118019400984422798298669337308471534564338025546823888669592419518380642734997401118,x.654857814910130699110631948178105550871745050827360574597826485914776085988968420142311113304881994803508161712908527810166981489005011674731575663286954204,y.833995112258856273992650661079990497697438488198129759636840612321592720163907596833428131791547942131856542254197000397850829115316805598337412979701557146,x.543055556767958548393572910794610963469543689962358066889768090866543490762655442870029875325934168025344031412664023928358318357584207074809428930137062968,y.113540202675591408756258414778735436206563654898403927508967741387013996408662950918152718095697176593059504635457752731982038072501741826077944154559024925,0.543055556767958548393572910794610963469543689962358066889768090866543490762655442870029875325934168025344031412664023928358318357584207074809428930137062968,0.113540202675591408756258414778735436206563654898403927508967741387013996408662950918152718095697176593059504635457752731982038072501741826077944154559024925
