n0,n1,max_k,delta_signed,delta_abs,delta_bits,affine,classic
3,4,3,1,1,1,"0,8;1,1;2,-6;3,-13",1d+1
4,5,3,13,13,4,"0,21;1,13;2,5;3,-3;4,-11",
6,7,4,27,27,5,"0,76;1,27;2,-22;3,-71;4,-120",
8,9,5,243,243,8,"0,467;1,243;2,19;3,-205;4,-429",
9,10,5,47,47,6,"0,514;1,47;2,-420;3,-887",
11,12,6,1528,1528,11,"0,2683;1,1528;2,373;3,-782;4,-1937",
13,14,7,5328,5328,13,"0,10544;1,5328;2,112;3,-5104;4,-10320",
14,15,7,16323,16323,14,"0,26867;1,16323;2,5779;3,-4765;4,-15309",
16,17,8,44313,44313,16,"0,95823;1,44313;2,-7197;3,-58707;4,-110217",
17,18,8,102846,102846,17,"0,198669;1,102846;2,7023;3,-88800;4,-184623",
18,19,8,158866,158866,18,"0,357535;1,158866;2,-39803;3,-238472;4,-437141",
20,21,9,948447,948447,20,"0,1811764;1,948447;2,85130;3,-778187;4,-1641504",
21,22,9,1195739,1195739,21,"0,3007503;1,1195739;2,-616025;3,-2427789",
23,24,10,8829874,8829874,24,"0,14428676;1,8829874;2,3231072;3,-2367730;4,-7966532",
24,25,10,18756833,18756833,25,"0,33185509;1,18756833;2,4328157;3,-10100519;4,-24529195",
26,27,11,57411079,57411079,26,"0,111949941;1,57411079;2,2872217;3,-51666645;4,-106205507",
27,28,11,115684467,115684467,27,"0,227634408;1,115684467;2,3734526;3,-108215415;4,-220165356",
28,29,11,173074486,173074486,28,"0,400708894;1,173074486;2,-54559922;3,-282194330;4,-509828738",
30,31,12,1069226467,1069226467,30,"0,2102388551;1,1069226467;2,36064383;3,-997097701;4,-2030259785",
31,32,12,991084263,991084263,30,"0,3093472814;1,991084263;2,-1111304288;3,-3213692839",
33,34,13,6995634245,6995634245,33,"0,14133072157;1,6995634245;2,-141803667;3,-7279241579;4,-14416679491",
34,35,13,5979799635,5979799635,33,"0,20112871792;1,5979799635;2,-8153272522;3,-22286344679",
35,36,13,22274898188,22274898188,35,"0,42387769980;1,22274898188;2,2162026396;3,-17950845396;4,-38063717188",
37,38,14,46719975997,46719975997,36,"0,146971536592;1,46719975997;2,-53531584598;3,-153783145193;4,-254034705788",
38,39,14,176753432345,176753432345,38,"0,323724968937;1,176753432345;2,29781895753;3,-117189640839;4,-264161177431",
39,40,14,679926444013,679926444013,40,"0,1003651412950;1,679926444013;2,356201475076;3,32476506139;4,-291248462798",
41,42,15,1437122347316,1437122347316,41,"0,2895374552463;1,1437122347316;2,-21129857831;3,-1479382062978;4,-2937634268125",
42,43,15,4514436495362,4514436495362,43,"0,7409811047825;1,4514436495362;2,1619061942899;3,-1276312609564;4,-4171687162027",
43,44,15,7994950709246,7994950709246,43,"0,15404761757071;1,7994950709246;2,585139661421;3,-6824671386404;4,-14234482434229",
44,45,15,4591701329526,4591701329526,43,"0,19996463086597;1,4591701329526;2,-10813060427545;3,-26217822184616",
46,47,16,68257988765558,68257988765558,46,"0,119666659114170;1,68257988765558;2,16849318416946;3,-34559351931666;4,-85968022280278",
47,48,16,71540315586273,71540315586273,47,"0,191206974700443;1,71540315586273;2,-48126343527897;3,-167793002642067",
49,50,17,202021591135239,202021591135239,48,"1,202021591135239;2,-207097313897286",
50,51,17,1447629018986112,1447629018986112,51,"3,225348026650584",
51,52,17,2157726124446824,2157726124446824,51,"2,98956609292948",
53,54,18,3210771273018583,3210771273018583,52,,
54,55,18,20070935247372753,20070935247372753,55,"3,122024758379339",
55,56,18,14173351800807115,14173351800807115,54,,
57,58,19,61730909065495557,61730909065495557,56,,
58,59,19,325093716281924142,325093716281924142,59,,
59,60,19,609970965961230191,609970965961230191,60,,
60,61,19,290746192399158600,290746192399158600,59,,
62,63,20,5084857407016647706,5084857407016647706,63,,
63,64,20,8806437408053766860,8806437408053766860,63,,
64,65,20,12768709954485966227,12768709954485966227,64,,
65,66,20,15777840238282132871,15777840238282132871,64,,
67,68,21,87241322610929783523,87241322610929783523,67,,
68,69,21,77376225707059865979,77376225707059865979,67,,
69,70,21,673162482084647784677,673162482084647784677,70,,
