address_payload / 2^32 == rmd160
Because payload = 0x00 || rmd160(20) || checksum4(4)
so  payload = rmd160 * 2^32 + checksum4

integer:  payload // 2^32 == rmd160
integer:  payload %  2^32 == checksum4

verified: div 160/160  mod 160/160  bad=0

n  payload//2^32  rmd160  payload%2^32  checksum4  match
  1  668631300771580858519448973337422070966705667030  668631300771580858519448973337422070966705667030  1359812148  1359812148  Y
  2  718403660328363540930262193232206719102664545244  718403660328363540930262193232206719102664545244  2886159340  2886159340  Y
  3  536243368524251735213067994289559226314232905577  536243368524251735213067994289559226314232905577  1083247487  1083247487  Y
  4  858196129710125108969461473765761556086357262631  858196129710125108969461473765761556086357262631  1308809193  1308809193  Y
  5  819909130476456583353010126295286803050480151528  819909130476456583353010126295286803050480151528  3241711859  3241711859  Y
  6  1422938361785517703193252764698103288189985535068  1422938361785517703193252764698103288189985535068  2084675093  2084675093  Y
  7  1290793487127550014383702103624146352199914137971  1290793487127550014383702103624146352199914137971  1331255633  1331255633  Y
  8  1261138775692712149696202787394399959843747338005  1261138775692712149696202787394399959843747338005  1568254512  1568254512  Y
  9  713967799919625256716374725165889542310020885172  713967799919625256716374725165889542310020885172  2301172252  2301172252  Y
 10  1229988549367758195482375056171272785889114114363  1229988549367758195482375056171272785889114114363  2882222237  2882222237  Y
 11  1420258574028295142069556855955870240178449439436  1420258574028295142069556855955870240178449439436  1618527934  1618527934  Y
 12  762907946851444594797659748021439920693586426225  762907946851444594797659748021439920693586426225  2282953163  2282953163  Y
 13  1422671866895548051598414881052213069570634322462  1422671866895548051598414881052213069570634322462  1330674830  1330674830  Y
 14  867613985313550977083702122789251856133557384789  867613985313550977083702122789251856133557384789  1183258111  1183258111  Y
 15  1452854965203854852784285833963984442409559974562  1452854965203854852784285833963984442409559974562  2554964791  2554964791  Y
 16  640247855682826274945079107018173139769079882717  640247855682826274945079107018173139769079882717  617679621  617679621  Y
 17  1041817548089532888577328303730085035514779282770  1041817548089532888577328303730085035514779282770  4104647536  4104647536  Y
 18  988336026286508223333488648011074333196565168020  988336026286508223333488648011074333196565168020  3519583217  3519583217  Y
 19  1347230398123039564363063653660119426004095827438  1347230398123039564363063653660119426004095827438  2142989316  2142989316  Y
 20  1056336440057890977469245144395901775033009645672  1056336440057890977469245144395901775033009645672  773854600  773854600  Y
 21  237804177383854528740903125868242177373381939030  237804177383854528740903125868242177373381939030  778347854  778347854  Y
 22  730490441222236681983475761756490845119937558635  730490441222236681983475761756490845119937558635  3982540055  3982540055  Y
 23  1191208063599878572513231033350390464373258344350  1191208063599878572513231033350390464373258344350  3840733353  3840733353  Y
 24  53385893695830736954287151536774605509274148399  53385893695830736954287151536774605509274148399  7373750  7373750  Y
 25  269603043908408876625075787454789060252112076219  269603043908408876625075787454789060252112076219  2127369292  2127369292  Y
 26  1095673872063665820899832388566612622792828680495  1095673872063665820899832388566612622792828680495  997484431  997484431  Y
 27  71243861791265191137214191320679822682818958688  71243861791265191137214191320679822682818958688  3268418873  3268418873  Y
 28  108620822813522492266376581819639427924697199066  108620822813522492266376581819639427924697199066  1826579559  1826579559  Y
 29  515268194363014992560971554439871005288137993708  515268194363014992560971554439871005288137993708  3468760472  3468760472  Y
 30  1208082155364218401054824993407966429168167979528  1208082155364218401054824993407966429168167979528  211619208  211619208  Y
 31  1233275022303565415848271542199699492273185697565  1233275022303565415848271542199699492273185697565  1466732701  1466732701  Y
