puzzle_n,d,Px,Py,Pmy,r,s,z,Ry,rmd160,address_payload,address_base58_lex,sha256_pubkey,sha256_vh,sha256_chk,checksum4,n,log2d
1,1,51,26,63,11,82,76,54,65,65,63,3,132,51,51,1,1
2,3,86,21,68,37,64,59,80,73,73,71,81,46,112,112,2,2
3,7,41,40,49,31,18,74,33,50,50,48,57,98,42,42,3,3
4,8,20,31,58,62,70,69,13,87,87,85,66,33,48,48,4,4
5,21,23,18,71,47,35,20,28,84,84,82,79,78,120,120,5,5
6,49,82,81,8,30,1,19,65,157,157,155,32,145,81,81,6,6
7,76,62,66,23,69,9,9,52,134,134,132,9,89,50,50,7,7
8,224,2,74,15,36,4,64,26,129,129,127,29,69,57,57,8,8
9,467,31,51,38,3,50,3,18,72,72,70,65,42,91,91,9,9
10,514,69,77,12,56,41,24,51,124,124,122,45,135,111,111,10,10
11,1155,58,12,77,9,84,14,49,154,154,152,20,155,60,60,11,11
12,2683,57,35,54,16,37,83,36,79,79,77,72,149,89,89,12,12
13,5216,70,17,72,86,33,30,12,156,156,154,78,66,49,49,13,13
14,10544,74,45,44,70,58,41,58,88,88,86,41,19,44,44,14,14
15,26867,88,70,19,61,83,28,16,159,159,157,75,100,101,101,15,15
16,51510,64,49,40,60,52,48,63,62,62,60,77,6,27,27,16,16
17,95823,29,22,67,33,88,42,8,105,105,103,87,15,156,156,17,17
18,198669,5,53,36,5,85,68,67,99,99,97,7,43,130,130,18,18
19,357535,54,25,64,17,55,79,32,140,140,138,15,131,84,84,19,19
20,863317,25,52,37,18,29,22,20,106,106,104,44,121,30,30,20,20
21,1811764,13,16,73,44,74,78,9,18,18,15,1,120,31,31,21,21
22,3007503,27,43,46,7,10,72,44,77,77,75,54,14,153,153,22,22
23,5598802,85,55,34,1,53,57,73,121,121,119,27,138,143,143,23,23
24,14428676,47,76,13,52,20,36,72,3,3,160,83,51,1,1,24,24
25,33185509,1,64,25,12,78,56,40,22,22,19,13,54,83,83,25,25
26,54538862,37,6,83,23,49,75,82,110,110,108,88,49,41,41,26,26
27,111949941,14,3,86,68,48,8,70,5,5,2,47,47,122,122,27,27
28,227634408,80,7,82,79,71,21,81,9,9,6,64,160,66,66,28,28
29,400708894,46,85,4,73,60,27,27,46,46,44,71,122,128,128,29,29
30,1033162084,6,63,26,66,2,32,50,123,123,121,18,105,10,10,30,30
31,2102388551,56,24,65,39,51,63,11,125,125,123,11,88,55,55,31,31
32,3093472814,4,27,62,81,59,45,57,91,91,89,10,35,14,14,32,32
33,7137437912,66,4,85,65,17,65,19,40,40,38,42,110,28,28,33,33
34,14133072157,26,71,18,8,24,23,25,148,148,146,16,25,155,155,34,34
35,20112871792,84,54,35,29,86,53,60,149,149,147,33,153,125,125,35,35
36,42387769980,73,41,48,26,87,84,64,64,64,62,43,154,152,152,36,36
37,100251560595,52,34,55,63,36,39,48,17,17,14,69,86,126,126,37,37
38,146971536592,76,20,69,88,66,50,55,104,104,102,53,56,137,137,38,38
39,323724968937,19,19,70,46,3,26,53,4,4,1,63,13,58,58,39,39
40,1003651412950,65,47,42,75,40,60,7,86,86,84,51,146,117,117,40,40
41,1458252205147,72,56,33,50,77,70,37,122,122,120,67,148,113,113,41,41
42,2895374552463,81,13,76,82,27,34,71,83,83,81,86,119,16,16,42,42
43,7409811047825,68,69,20,27,25,5,46,155,155,153,14,55,114,114,43,43
44,15404761757071,43,44,45,24,65,52,74,78,78,76,34,140,34,34,44,44
45,19996463086597,48,61,28,72,57,86,30,146,146,144,8,113,109,109,45,45
46,51408670348612,87,59,30,64,79,43,17,90,90,88,39,71,88,88,46,46
47,119666659114170,24,67,22,67,42,15,15,153,153,151,61,16,149,149,47,47
48,191206974700443,61,32,57,59,14,80,68,80,80,78,35,4,115,115,48,48
49,409118905032525,39,65,24,49,61,10,5,6,6,3,38,108,13,13,49,49
50,611140496167764,83,83,6,25,43,13,75,130,130,128,55,82,102,102,50,50
51,2058769515153876,59,48,41,85,39,49,43,145,145,143,21,2,53,53,51,51
52,4216495639600700,50,79,10,43,54,73,6,29,29,26,49,10,124,124,52,52
53,6763683971478124,7,37,52,45,62,6,14,23,23,20,23,109,76,76,53,53
54,9974455244496707,35,1,88,14,75,35,3,116,116,114,12,123,99,99,54,54
55,30045390491869460,55,10,79,74,26,33,2,127,127,125,74,137,107,107,55,55
56,44218742292676575,28,80,9,41,68,38,29,36,36,33,4,27,62,62,56,56
57,138245758910846492,67,42,47,83,63,44,56,25,25,22,17,41,18,18,57,57
58,199976667976342049,9,29,60,21,31,77,42,82,82,80,76,11,118,118,58,58
59,525070384258266191,30,8,81,53,11,17,61,102,102,100,22,84,68,68,59,59
60,1135041350219496382,33,72,17,77,67,61,1,118,118,116,58,40,116,116,60,60
61,1425787542618654982,34,75,14,38,12,81,38,56,56,54,31,60,74,74,61,61
62,3908372542507822062,17,23,66,48,73,71,78,136,136,134,56,21,159,159,62,62
63,8993229949524469768,45,30,59,76,8,12,10,144,144,142,73,23,98,98,63,63
64,17799667357578236628,8,28,61,28,69,82,31,32,32,29,5,8,43,43,64,64
65,30568377312064202855,21,82,7,35,46,18,66,43,43,41,40,159,158,158,65,65
66,46346217550346335726,38,46,43,20,23,31,22,14,14,11,36,67,154,154,66,66
67,132656943602386256302,10,84,5,42,76,4,41,63,63,61,62,79,71,71,67,67
68,219898266213316039825,16,11,78,32,13,16,4,132,132,130,2,36,35,35,68,68
69,297274491920375905804,36,73,16,6,6,55,77,52,52,50,70,144,127,127,69,69
70,970436974005023690481,60,78,11,22,45,87,59,49,49,47,82,76,45,45,70,70
75,22538323240989823823367,49,57,32,13,47,85,35,108,108,106,80,157,110,110,75,71
80,1105520030589234487939456,53,36,53,51,28,25,23,61,61,59,50,74,70,70,80,72
85,21090315766411506144426920,18,9,80,4,81,29,62,117,117,115,28,124,5,5,85,73
90,868012190417726402719548863,40,60,29,2,80,67,39,120,120,118,37,20,132,132,90,74
95,25525831956644113617013748212,63,58,31,78,44,40,21,51,51,49,24,80,78,78,95,75
100,868221233689326498340379183142,78,50,39,34,56,11,76,114,114,112,30,97,47,47,100,76
