puzzle_n	Px	d	log2d	n	Py	Pmy	r	s	z	Ry	rmd160	address_payload	address_base58_lex	sha256_pubkey	sha256_vh	sha256_chk	checksum4	d_value
25	1	25	25	25	64	25	12	78	56	40	22	22	19	13	54	83	83	33185509
8	2	8	8	8	74	15	36	4	64	26	129	129	127	29	69	57	57	224
110	3	78	78	110	2	87	19	38	2	69	7	7	4	19	92	46	46	1090246098153987172547740458951748
32	4	32	32	32	27	62	81	59	45	57	91	91	89	10	35	14	14	3093472814
18	5	18	18	18	53	36	5	85	68	67	99	99	97	7	43	130	130	198669
30	6	30	30	30	63	26	66	2	32	50	123	123	121	18	105	10	10	1033162084
53	7	53	53	53	37	52	45	62	6	14	23	23	20	23	109	76	76	6763683971478124
64	8	64	64	64	28	61	28	69	82	31	32	32	29	5	8	43	43	17799667357578236628
58	9	58	58	58	29	60	21	31	77	42	82	82	80	76	11	118	118	199976667976342049
67	10	67	67	67	84	5	42	76	4	41	63	63	61	62	79	71	71	132656943602386256302
150	11			150	87	2	87	32	66		131	131	129	60	58	7	7	
135	12			135	38	51	71	22	54		31	31	28	68	85	79	79	
21	13	21	21	21	16	73	44	74	78	9	18	18	15	1	120	31	31	1811764
27	14	27	27	27	3	86	68	48	8	70	5	5	2	47	47	122	122	111949941
140	15			140	88	1	80	21	88		160	160	158	26	118	72	72	
68	16	68	68	68	11	78	32	13	16	4	132	132	130	2	36	35	35	219898266213316039825
62	17	62	62	62	23	66	48	73	71	78	136	136	134	56	21	159	159	3908372542507822062
85	18	73	73	85	9	80	4	81	29	62	117	117	115	28	124	5	5	21090315766411506144426920
39	19	39	39	39	19	70	46	3	26	53	4	4	1	63	13	58	58	323724968937
4	20	4	4	4	31	58	62	70	69	13	87	87	85	66	33	48	48	8
65	21	65	65	65	82	7	35	46	18	66	43	43	41	40	159	158	158	30568377312064202855
125	22	81	81	125	14	75	10	72	37	79	151	151	149	85	38	82	82	37650549717742544505774009877315221420
5	23	5	5	5	18	71	47	35	20	28	84	84	82	79	78	120	120	21
47	24	47	47	47	67	22	67	42	15	15	153	153	151	61	16	149	149	119666659114170
20	25	20	20	20	52	37	18	29	22	20	106	106	104	44	121	30	30	863317
34	26	34	34	34	71	18	8	24	23	25	148	148	146	16	25	155	155	14133072157
22	27	22	22	22	43	46	7	10	72	44	77	77	75	54	14	153	153	3007503
56	28	56	56	56	80	9	41	68	38	29	36	36	33	4	27	62	62	44218742292676575
17	29	17	17	17	22	67	33	88	42	8	105	105	103	87	15	156	156	95823
59	30	59	59	59	8	81	53	11	17	61	102	102	100	22	84	68	68	525070384258266191
9	31	9	9	9	51	38	3	50	3	18	72	72	70	65	42	91	91	467
115	32	79	79	115	39	50	55	5	1	47	139	139	137	25	91	94	94	31464123230573852164273674364426950
