puzzle_n	rmd160	d	log2d	n	Px	Py	Pmy	r	s	z	Ry	address_payload	address_base58_lex	sha256_pubkey	sha256_vh	sha256_chk	checksum4	d_value
133	1			133								1	35		156	8	8	
136	2			136								2	159		32	147	147	
24	3	24	24	24	47	76	13	52	20	36	72	3	160	83	51	1	1	14428676
39	4	39	39	39	19	19	70	46	3	26	53	4	1	63	13	58	58	323724968937
27	5	27	27	27	14	3	86	68	48	8	70	5	2	47	47	122	122	111949941
49	6	49	49	49	39	65	24	49	61	10	5	6	3	38	108	13	13	409118905032525
110	7	78	78	110	3	2	87	19	38	2	69	7	4	19	92	46	46	1090246098153987172547740458951748
73	8			73								8	5		114	17	17	
28	9	28	28	28	80	7	82	79	71	21	81	9	6	64	160	66	66	227634408
134	10			134								10	7		141	21	21	
143	11			143								11	8		3	54	54	
151	12			151								12	9		142	119	119	
82	13			82								13	10		12	131	131	
66	14	66	66	66	38	46	43	20	23	31	22	14	11	36	67	154	154	46346217550346335726
157	15			157								15	12		45	150	150	
83	16			83								16	13		63	69	69	
37	17	37	37	37	52	34	55	63	36	39	48	17	14	69	86	126	126	100251560595
21	18	21	21	21	13	16	73	44	74	78	9	18	15	1	120	31	31	1811764
159	19			159								19	16		96	138	138	
96	20			96								20	17		111	63	63	
107	21			107								21	18		151	77	77	
25	22	25	25	25	1	64	25	12	78	56	40	22	19	13	54	83	83	33185509
53	23	53	53	53	7	37	52	45	62	6	14	23	20	23	109	76	76	6763683971478124
142	24			142								24	21		103	121	121	
57	25	57	57	57	67	42	47	83	63	44	56	25	22	17	41	18	18	138245758910846492
137	26			137								26	23		130	23	23	
78	27			78								27	24		136	157	157	
81	28			81								28	25		39	129	129	
52	29	52	52	52	50	79	10	43	54	73	6	29	26	49	10	124	124	4216495639600700
88	30			88								30	27		65	3	3	
135	31			135	12	38	51	71	22	54		31	28	68	85	79	79	
64	32	64	64	64	8	28	61	28	69	82	31	32	29	5	8	43	43	17799667357578236628
131	33			131								33	30		5	36	36	
114	34			114								34	31		50	59	59	
93	35			93								35	32		26	104	104	
56	36	56	56	56	28	80	9	41	68	38	29	36	33	4	27	62	62	44218742292676575
120	37	80	80	120	77	15	74	58	15	46	34	37	34	59	64	160	160	919343500840980333540511050618764323
153	38			153								38	36		152	65	65	
111	39			111								39	37		147	93	93	
33	40	33	33	33	66	4	85	65	17	65	19	40	38	42	110	28	28	7137437912
112	41			112								41	39		150	145	145	
106	42			106								42	40		94	19	19	
65	43	65	65	65	21	82	7	35	46	18	66	43	41	40	159	158	158	30568377312064202855
147	44			147								44	42		99	25	25	
97	45			97								45	43		44	151	151	
29	46	29	29	29	46	85	4	73	60	27	27	46	44	71	122	128	128	400708894
145	47			145	71	33	56	54	7	7		47	45	84	102	75	75	
89	48			89								48	46		139	67	67	
70	49	70	70	70	60	78	11	22	45	87	59	49	47	82	76	45	45	970436974005023690481
3	50	3	3	3	41	40	49	31	18	74	33	50	48	57	98	42	42	7
95	51	75	75	95	63	58	31	78	44	40	21	51	49	24	80	78	78	25525831956644113617013748212
69	52	69	69	69	36	73	16	6	6	55	77	52	50	70	144	127	127	297274491920375905804
158	53			158								53	51		68	9	9	
92	54			92								54	52		117	2	2	
79	55			79								55	53		57	136	136	
61	56	61	61	61	34	75	14	38	12	81	38	56	54	31	60	74	74	1425787542618654982
126	57			126								57	55		70	38	38	
138	58			138								58	56		22	85	85	
103	59			103								59	57		158	86	86	
155	60			155	42	86	3	84	16	47		60	58	48	62	135	135	
80	61	72	72	80	53	36	53	51	28	25	23	61	59	50	74	70	70	1105520030589234487939456
16	62	16	16	16	64	49	40	60	52	48	63	62	60	77	6	27	27	51510
67	63	67	67	67	10	84	5	42	76	4	41	63	61	62	79	71	71	132656943602386256302
36	64	36	36	36	73	41	48	26	87	84	64	64	62	43	154	152	152	42387769980
1	65	1	1	1	51	26	63	11	82	76	54	65	63	3	132	51	51	1
124	66			124								66	64		127	24	24	
77	67			77								67	65		24	37	37	
141	68			141								68	66		61	33	33	
101	69			101								69	67		31	11	11	
105	70	77	77	105	75	5	84	15	34	58	24	70	68	6	87	64	64	29083230144918045706788529192435
84	71			84								71	69		125	148	148	
9	72	9	9	9	31	51	38	3	50	3	18	72	70	65	42	91	91	467
2	73	2	2	2	86	21	68	37	64	59	80	73	71	81	46	112	112	3
149	74			149								74	72		128	39	39	
98	75			98								75	73		9	141	141	
123	76			123								76	74		75	146	146	
22	77	22	22	22	27	43	46	7	10	72	44	77	75	54	14	153	153	3007503
44	78	44	44	44	43	44	45	24	65	52	74	78	76	34	140	34	34	15404761757071
12	79	12	12	12	57	35	54	16	37	83	36	79	77	72	149	89	89	2683
48	80	48	48	48	61	32	57	59	14	80	68	80	78	35	4	115	115	191206974700443
76	81			76								81	79		77	103	103	
58	82	58	58	58	9	29	60	21	31	77	42	82	80	76	11	118	118	199976667976342049
42	83	42	42	42	81	13	76	82	27	34	71	83	81	86	119	16	16	2895374552463
5	84	5	5	5	23	18	71	47	35	20	28	84	82	79	78	120	120	21
104	85			104								85	83		107	87	87	
40	86	40	40	40	65	47	42	75	40	60	7	86	84	51	146	117	117	1003651412950
4	87	4	4	4	20	31	58	62	70	69	13	87	85	66	33	48	48	8
14	88	14	14	14	74	45	44	70	58	41	58	88	86	41	19	44	44	10544
91	89			91								89	87		126	52	52	
46	90	46	46	46	87	59	30	64	79	43	17	90	88	39	71	88	88	51408670348612
32	91	32	32	32	4	27	62	81	59	45	57	91	89	10	35	14	14	3093472814
156	92			156								92	90		30	140	140	
74	93			74								93	91		83	95	95	
130	94	82	82	130	44	62	27	57	19	51	45	94	92	52	93	12	12	1103873984953507439627945351144005829577
148	95			148								95	93		28	139	139	
139	96			139								96	94		72	40	40	
127	97			127								97	95		143	20	20	
121	98			121								98	96		1	142	142	
18	99	18	18	18	5	53	36	5	85	68	67	99	97	7	43	130	130	198669
119	100			119								100	98		95	90	90	
109	101			109								101	99		129	100	100	
59	102	59	59	59	30	8	81	53	11	17	61	102	100	22	84	68	68	525070384258266191
108	103			108								103	101		133	6	6	
38	104	38	38	38	76	20	69	88	66	50	55	104	102	53	56	137	137	146971536592
17	105	17	17	17	29	22	67	33	88	42	8	105	103	87	15	156	156	95823
20	106	20	20	20	25	52	37	18	29	22	20	106	104	44	121	30	30	863317
129	107			129								107	105		134	105	105	
75	108	71	71	75	49	57	32	13	47	85	35	108	106	80	157	110	110	22538323240989823823367
72	109			72								109	107		34	15	15	
26	110	26	26	26	37	6	83	23	49	75	82	110	108	88	49	41	41	54538862
99	111			99								111	109		17	26	26	
86	112			86								112	110		7	29	29	
94	113			94								113	111		52	97	97	
100	114	76	76	100	78	50	39	34	56	11	76	114	112	30	97	47	47	868221233689326498340379183142
117	115			117								115	113		29	96	96	
54	116	54	54	54	35	1	88	14	75	35	3	116	114	12	123	99	99	9974455244496707
85	117	73	73	85	18	9	80	4	81	29	62	117	115	28	124	5	5	21090315766411506144426920
60	118	60	60	60	33	72	17	77	67	61	1	118	116	58	40	116	116	1135041350219496382
132	119			132								119	117		59	4	4	
90	120	74	74	90	40	60	29	2	80	67	39	120	118	37	20	132	132	868012190417726402719548863
23	121	23	23	23	85	55	34	1	53	57	73	121	119	27	138	143	143	5598802
41	122	41	41	41	72	56	33	50	77	70	37	122	120	67	148	113	113	1458252205147
30	123	30	30	30	6	63	26	66	2	32	50	123	121	18	105	10	10	1033162084
10	124	10	10	10	69	77	12	56	41	24	51	124	122	45	135	111	111	514
31	125	31	31	31	56	24	65	39	51	63	11	125	123	11	88	55	55	2102388551
152	126			152								126	124		53	73	73	
55	127	55	55	55	55	10	79	74	26	33	2	127	125	74	137	107	107	30045390491869460
146	128			146								128	126		18	92	92	
8	129	8	8	8	2	74	15	36	4	64	26	129	127	29	69	57	57	224
50	130	50	50	50	83	83	6	25	43	13	75	130	128	55	82	102	102	611140496167764
150	131			150	11	87	2	87	32	66		131	129	60	58	7	7	
68	132	68	68	68	16	11	78	32	13	16	4	132	130	2	36	35	35	219898266213316039825
128	133			128								133	131		112	22	22	
7	134	7	7	7	62	66	23	69	9	9	52	134	132	9	89	50	50	76
122	135			122								135	133		73	133	133	
62	136	62	62	62	17	23	66	48	73	71	78	136	134	56	21	159	159	3908372542507822062
116	137			116								137	135		81	61	61	
160	138			160	79	68	21	40	30	62		138	136	46	101	56	56	
115	139	79	79	115	32	39	50	55	5	1	47	139	137	25	91	94	94	31464123230573852164273674364426950
19	140	19	19	19	54	25	64	17	55	79	32	140	138	15	131	84	84	357535
113	141			113								141	139		37	134	134	
144	142			144								142	140		104	80	80	
154	143			154								143	141		116	106	106	
63	144	63	63	63	45	30	59	76	8	12	10	144	142	73	23	98	98	8993229949524469768
51	145	51	51	51	59	48	41	85	39	49	43	145	143	21	2	53	53	2058769515153876
45	146	45	45	45	48	61	28	72	57	86	30	146	144	8	113	109	109	19996463086597
118	147			118								147	145		48	144	144	
34	148	34	34	34	26	71	18	8	24	23	25	148	146	16	25	155	155	14133072157
35	149	35	35	35	84	54	35	29	86	53	60	149	147	33	153	125	125	20112871792
71	150			71								150	148		90	108	108	
125	151	81	81	125	22	14	75	10	72	37	79	151	149	85	38	82	82	37650549717742544505774009877315221420
102	152			102								152	150		115	123	123	
47	153	47	47	47	24	67	22	67	42	15	15	153	151	61	16	149	149	119666659114170
11	154	11	11	11	58	12	77	9	84	14	49	154	152	20	155	60	60	1155
43	155	43	43	43	68	69	20	27	25	5	46	155	153	14	55	114	114	7409811047825
13	156	13	13	13	70	17	72	86	33	30	12	156	154	78	66	49	49	5216
6	157	6	6	6	82	81	8	30	1	19	65	157	155	32	145	81	81	49
87	158			87								158	156		106	32	32	
15	159	15	15	15	88	70	19	61	83	28	16	159	157	75	100	101	101	26867
140	160			140	15	88	1	80	21	88		160	158	26	118	72	72	
