rmd160^3+7 mod p  vs  address_payload^2 mod p
eq_count=0/160
spearman=-0.000712

n  h3_rank  a2_rank  equal
 28     1   153  
114     2    57  
 96     3   126  
 67     4    65  
132     5    83  
140     6   111  
 94     7   159  
143     8    39  
 66     9    54  
122    10    63  
144    11   149  
 39    12    75  
 23    13    49  
 53    14    99  
 18    15    12  
 55    16   147  
117    17   157  
148    18   155  
151    19    85  
 92    20    67  
 90    21   118  
102    22    92  
101    23    27  
 17    24   142  
141    25    18  
 21    26   148  
123    27    69  
 71    28    94  
111    29    29  
 34    30    84  
 45    31   122  
 27    32    51  
 31    33    55  
 72    34    44  
112    35     8  
 59    36    98  
 81    37    56  
159    38    25  
160    39   156  
  3    40    17  
127    41    91  
 80    42   117  
 47    43   115  
 97    44   119  
 74    45    37  
104    46    32  
 93    47    19  
 32    48     6  
142    49    93  
116    50   138  
109    51    90  
155    52   108  
  2    53    23  
 11    54   121  
 87    55    16  
125    56   103  
 26    57    42  
 43    58    45  
 75    59   136  
 61    60    24  
136    61   124  
 14    62    10  
 56    63   139  
 64    64   101  
 24    65    97  
 29    66    72  
 98    67   131  
135    68    21  
119    69    35  
 42    70    71  
 22    71    64  
 10    72   114  
 48    73     9  
156    74     5  
 44    75    50  
 15    76   134  
134    77   151  
107    78    66  
 54    79   125  
 77    80     2  
 49    81   127  
  4    82    20  
118    83    88  
 12    84    81  
153    85   107  
 95    86    22  
133    87   152  
157    88    59  
 91    89     7  
 30    90   110  
 52    91   102  
 73    92    76  
 36    93     1  
 13    94   140  
 19    95    78  
150    96   135  
  5    97    15  
 51    98   104  
 85    99   128  
 83   100    60  
 68   101   105  
 89   102    80  
 25   103    53  
129   104   132  
 46   105    86  
 20   106    73  
145   107   133  
106   108     4  
 82   109    95  
 50   110    82  
124   111    52  
154   112   130  
 69   113    79  
 37   114    34  
 40   115    40  
130   116    28  
 79   117   106  
 99   118    13  
 16   119   145  
 63   120   109  
126   121    43  
 76   122    48  
139   123    14  
  7   124    62  
  6   125     3  
 57   126   100  
146   127   141  
  1   128    31  
147   129    70  
 86   130    96  
105   131    33  
 58   132   120  
 78   133   113  
 60   134   146  
 62   135    68  
 35   136    74  
138   137   158  
158   138    30  
  8   139   112  
121   140   129  
108   141    36  
120   142   160  
149   143    89  
113   144    41  
152   145    77  
128   146    87  
 65   147   137  
 41   148    38  
137   149   143  
115   150    26  
 84   151    47  
100   152    61  
 33   153   150  
 38   154   154  
 70   155   116  
  9   156    46  
110   157    58  
131   158    11  
 88   159   144  
103   160   123  
