rmd160^2 mod p  vs  address_payload^3+7 mod p
eq_count=0/160
spearman=-0.031182

n  h2_rank  a3_rank  equal
112     1    96  
  1     2    94  
 99     3   125  
154     4    88  
 39     5    20  
 76     6   152  
 86     7   138  
155     8   112  
125     9    23  
 79    10   111  
 28    11    71  
120    12   102  
 63    13    18  
122    14    47  
 91    15    79  
145    16   126  
115    17   154  
142    18   118  
 37    19   106  
 47    20   100  
 52    21    55  
131    22    86  
 96    23    45  
 49    24    77  
 90    25    59  
113    26    42  
 84    27    16  
 93    28   151  
 13    29    11  
  4    30    64  
 23    31    85  
  9    32    17  
116    33    27  
156    34    65  
 43    35    75  
 41    36   139  
137    37    62  
 34    38   141  
147    39   114  
127    40   158  
 22    41    21  
158    42     9  
136    43   150  
117    44   157  
 60    45     1  
 48    46    46  
  6    47   134  
111    48   121  
 65    49     3  
  8    50    24  
  5    51    98  
 42    52   144  
 38    53   101  
 24    54   127  
 20    55    61  
151    56   115  
109    57   135  
 30    58    66  
 18    59   119  
 98    60    63  
 87    61    67  
133    62    30  
 35    63    15  
135    64    39  
108    65   159  
138    66    73  
101    67    93  
  3    68   149  
150    69    68  
 88    70     5  
104    71    37  
157    72   110  
 32    73   129  
  7    74    28  
 50    75   147  
159    76   160  
105    77    33  
 36    78   136  
 82    79    43  
 92    80   109  
100    81   137  
 17    82   116  
132    83    51  
144    84    19  
121    85    95  
124    86    38  
146    87    57  
 33    88   122  
 10    89   153  
102    90    25  
 21    91   142  
143    92    49  
 55    93    52  
 70    94   108  
114    95    78  
 19    96    81  
 71    97     6  
 44    98    70  
 59    99    50  
 89   100   128  
 14   101    58  
 56   102    56  
119   103    40  
 26   104    87  
 73   105    60  
 53   106     7  
 27   107    10  
139   108    53  
 25   109    44  
 58   110   130  
 83   111    32  
106   112    35  
 72   113   133  
 95   114   105  
 62   115    90  
 66   116    54  
 12   117    14  
149   118    69  
 80   119   140  
 40   120    26  
 15   121   123  
160   122    34  
 16   123   143  
 51   124    22  
 54   125     2  
141   126   104  
 57   127    83  
 46   128   146  
123   129   131  
129   130    13  
 64   131    76  
 67   132    41  
140   133   103  
118   134   155  
134   135     8  
152   136   145  
 94   137    36  
 68   138    99  
 78   139    82  
 29   140   113  
 11   141    72  
130   142    92  
 74   143   117  
 81   144    80  
 85   145   124  
 97   146    12  
103   147    29  
 61   148    74  
126   149    84  
148   150    31  
153   151    89  
  2   152   132  
128   153    97  
 77   154   148  
107   155   120  
 69   156    91  
 31   157   107  
 45   158     4  
110   159    48  
 75   160   156  
