puzzle_n,SORT=y2_mod_p,n,d,log2d,Px,Py,Pmy,neg_y,x3_plus_7_mod_p,y2_full,x3plus7_full,p_carry,rmd160,address_payload,address_payload_div_2_32,checksum4,address_base58_lex,rmd160_sq_mod_p,rmd160_cubed_plus_7_mod_p,address_payload_sq_mod_p,address_payload_cubed_plus_7_mod_p,r,s,z,Ry,sha256_pubkey,sha256_vh,sha256_chk
16,1271602034777058394657085276496461443109823647464934225465040684311727435239,16,51510,15.652564919610652,71261119111627271268814301300816751730184609798722377831958734823956300761978,59596021694081902311438976720015207351957060174440251698640379092733344351048,56196067543234293112132008288672700501312924491200312340817204915175490320615,56196067543234293112132008288672700501312924491200312340817204915175490320615,1271602034777058394657085276496461443109823647464934225465040684311727435239,3551685801761480733494618709914993569851164094460063586027054427896911865570884604285931317565638609353010920838417025930649161402840688914046012258698304,361874445148640687717469941990299701551474554164846089170564719890528940661133201265607083082874075718808705154160549449133853832033440411343262860082743900746976093100741742994046382346246366493349197804365571296617917754202413359,3125208704084940104668145942168557299348192514728340638596155405365972395333230004472450709457713793686816690364439749994047863141186989437156161505329985,640247855682826274945079107018173139769079882717,2749843601491866599738618960775937712973835088281648302853,640247855682826274945079107018173139769079882717,617679621,1BDyrQ6WoF8VN3g9SAS1iKZcPzFfnDVieY,90033141070398371281388120257950291050505787397295082069119227837305249211744,84781891677612123696046105999693092565306593818487467133047966516296163717848,101790437256396977260965062888719048602232253913287848207917648519604360668258,108363934196555107946788817914540586082393939950678384407817253879570521100391,77328696697827657741506212766470184884329035443497635709688932020669061808688,32322526735325002156370446510125958977310249396671539294644588247615411593489,60228512618196036048030296526714000837757745323573161887033875778366047833544,87354834276836867063665555300152074369434429354186472823144077651480965380891,104054842082247390067033345430751496246692279502477242952791042448772222449299,4529082722148195253563608884624975007407374229639373309769632773212962938621,16652609663205771127096610194319263015356164406640762245296904895558536289257
33,1438416677028868026774013204191445639109550806706890850161076011768854899538,33,7137437912,32.73275914462786,73878352155540948447620718403427774498001293452248256430485902449521386501497,1848435387922639343210666794185885301104293211960891296513791058289918232927,113943653849393556080360318214502022552165691453679672742943792949618916438736,113943653849393556080360318214502022552165691453679672742943792949618916438736,1438416677028868026774013204191445639109550806706890850161076011768854899538,3416713383324718192709332754118283087172194867565808949104000792720494475921539209295196889664477478282288822943608917915183962126160115315514226987329,403228852611027465492918957395765398090259697278297552095070177741522063711091213154898932156102160315202672443119964436195255843918864674950971354632032342850022643592656711361850690941917345226095593141604425959902103270290290480,3482352337426167841661111253209011215948585183138067744813496642908555131033249039971054764424137209027749340069435901348050283674809968880033309494067777,445789552854827258519679623158235196608435468663,1914651550409946511071361353862224402509360455634673858958,445789552854827258519679623158235196608435468663,656013710,187swFMjz1G54ycVU56B7jZFHFTNVQFDiu,58769855391488727646970101709430241195609788160242210440832375643456414319977,112264479676260510877937108990103794335700436940621260329949898494171839353466,108043721355860382861818135435396252158205221664720421548583929675996738751946,98897304748898408831281937252139018090259588622965625568569204700527916696429,83317792308128879621005366117908081533762916115753362165175250191836850817572,11792888275466351688511086481600527956584781909565558307143426424570846023738,79452763189152799627141287923607318821919520016616155119891422884225899397454,27563362949985515139152178432492842850960684166566172176340398680851990226736,53571386546832682634080104685829085706829623280628045840305730891166888642084,67356266531502106216479058617386932400718524628756414226968121876343942141615,17686094659843842751530129310556081790506268005430244697772026196830205493343
9,2568621595033825728409218013079588026113191208417633224157170797387184903017,9,467,8.867278739709661,30474780960141219921807662305060768687772753653098971817340717083315339616503,61319752531495161980867220483083814171916864550579329528527835522023988931626,54472336705821033442703764525604093681353120115061234510929748485884845740037,54472336705821033442703764525604093681353120115061234510929748485884845740037,2568621595033825728409218013079588026113191208417633224157170797387184903017,3760112050523807326220320618972323863130818395522858992861279901262213100003363235177732229881394687998924181338042699079782566609550639506384556903003876,28302303142472183852451981136707068673463179524934051858798000970010919539326890599165763074759781702077933484261688450517927796818831546321833562619454103328691631396204451946725541338994198992361652484938472362759401609944895534,244423460435768959566586313657794356224382568290874005284823301866159183155525980570390198248180770803311997296254943661158352852146849319295018850801366,713967799919625256716374725165889542310020885172,3066468351051861906172433792268483758969947994893012507164,713967799919625256716374725165889542310020885172,2301172252,1CQFwcjw1dwhtkVWBttNLDtqL7ivBonGPV,18035266810084611444063057423238406450615354870382187115557416179931384624774,113347023586030418990446016594199066992208726583468611229842204987863537889469,33973222791328497708625433938969546979955428068211841908085319468389989847555,18141461053787913401595370360862737471252445104308491184819298204907459221938,5559953256992725815341410818909107381383680633465975979594294109073735401585,31036779035396389852727556353925779275816209952349824253120236473478926273798,3509405797705064402227656270461710032898180936270195030079035765862177290928,27321320412892830808638563739923850113090221151629719270236687785906067248513,85682580606424679211633461721716400214132237819770708278842285092559901300910,26121744859767283975327072643229190202685317921924502536049319402452505580852,62039481188978082786650403826927621849299223274681512209434087412517516452312
27,4465398825630579147054643457259554384309080880128448850348566809658493516250,27,111949941,26.738278526958638,11997413897869137388527643229179287173219648582998689290732186100840539639502,1470943697971973524954639516409046856461552667680474329056749594236581993569,114321145539344221898616345492278860996808431997960089710400834413672252678094,114321145539344221898616345492278860996808431997960089710400834413672252678094,4465398825630579147054643457259554384309080880128448850348566809658493516250,2163675362603464470310530948350778341318420042118072524741518174455936402401004426366534688450951766166581359441438912146711880623473761653082357357761,1726883044627444021815479804501688523158307886117494037257322211476902800608017611349272863556347291729537079530192104708766019412582222122433533929414016087054373803307672187254204777231810500006552888167965878865389156112174015,14913653048337288573461462396354123219851881492828779941053382497568702105374760569835155679873254486547127990694146863406659893777788411500247680674658,71243861791265191137214191320679822682818958688,305990056434227974397524000269406886909786408657003486521,71243861791265191137214191320679822682818958688,3268418873,128z5d7nN7PkCuX5qoA4Ys6pmxUYnEy86k,75650464013430947133974734251828947903498074818052940229331111994829015786180,24126570247617324328622261444486158975543232335351410749024555868845964743819,35595477528100285469237858900883226798823694836652029887894779949979683461682,8271094085765691988358148739240359601902585328010555831082498467351651108580,87448165153517620566221688428222216006033706501655154615448618991715641015096,29560268960222360830969520444858187218711867321415533471948460706701776094032,8874964626682263028864267149777324353240450254380786016587219364584867791430,100403750155731458625048914635084210604516664875202574607537886164284704563271,62661263891505452387992666934456622190605818887286238829834985816159497640053,28576168421570610780191674256247910289271994108142840026454309351085901707753,88116398517566405797542533635125049550890630189186198424001799186085573264169
56,4653074775535436335422391252689659562064343767772860763176793597702144394247,56,44218742292676575,55.29550750956807,28576446286465130798687394270835338936156158272521290958787272130765482596762,101338706018188911277721114497155019368847601339832684197459624859833147765647,14453383219127284145849870511532888484422383325807879841997959148075686906016,14453383219127284145849870511532888484422383325807879841997959148075686906016,4653074775535436335422391252689659562064343767772860763176793597702144394247,10269533337440917465196965237507871034436047500513399199600787400890929124616507789038536412618072466705243926351560570216882873491235470036948588433328609,23335905600266732761773362033185954103293598971809759307235129493221860472467196953633523460750883807746657579780225467933543535792358697020459433120803766990748606031194160437164648136935904998778301071147007158259186973633922735,201532814149675907952283877302089631539975391149374694035222519095114851329294962748827197802127086287167150925997686735907483370481155000816317070931602,411789911050205055549480569502908195550632201421,1768624200783379727678882355802445676780338017229369035653,411789911050205055549480569502908195550632201421,1689308037,17aPYR1m6pVAacXg1PTDDU7XafvK1dxvhi,72481036223339921282763585641053349606429313179504254391353680638349431775950,46704487273111081943879677671829391808544226376934763303770685199949829353693,94272665411098409291535975484344109618035078844767117699136621347994149456789,50097141912648518627041418154893201798250167329499221890907390079880682156837,42123113505281327494176028548992726324334985130965735220192877486593458227507,47608216067294371352914554574916025662829567623311450383888709368455004040248,44702088458034431483562750875608847001483326873789008917060082756234059530109,46776690127387711510454110261397929508257035433099015557995532909793559848234,8445122304381543876220721248233415463561902705101615045676347894891934309406,20371369277266900530799677770763130647116909543501693047438246531435345019683,45543654591954939064030436708371476218274829912059973737438820161152602475859
23,4851446481394088661653065050832460411529653764036649776966087770294398087843,23,5598802,22.41668672978782,112242605370855911626219397372182973708357660307191681275644769547017645510731,68390115887979834732633364824402183781075100352900279452463611034517340924735,47401973349336360690937620184285724072194884312740284586993972973391493746928,47401973349336360690937620184285724072194884312740284586993972973391493746928,4851446481394088661653065050832460411529653764036649776966087770294398087843,4677207951171311818599767038150504206097549733781488360965251156807679295041640112732436365125443844413926769633580992749201437168801460684385664934820225,1414077515670128057782443039447297587935482528102204478772229045626057157346762044911410988098647892571174405573847839611211558668282322164601483125829156323879741871727779259815259196864679955653450311556903534825240629316797947898,12212211775296431706678685958795932363070062047226553067082907273629081183044340502995409217312012023184938689463682353688757195478212374580922429075789271,1191208063599878572513231033350390464373258344350,5116199675892966498515491815532212353313397725946197110953,1191208063599878572513231033350390464373258344350,3840733353,1L2GM8eE7mJWLdo3HZS6su1832NX2txaac,17884327692678816512399093570930339565388524064163318694911050024549424936989,7760240849012336397955056383230061772848408152309750807656114391432871796761,34531507001692014380111576844095525608240988439344436185094029258036386254124,75005820867596983122845013953938287313286905944828399354793613325880713361596,96400037579702318810172272230268295122040207875080160735605252651452673767,32634859632536744790102832400520698632099658778886269286074803246399953916419,70089053313560906711575993528795630031409965782321861408304685707218335221422,104461629888634162447613297906246808452792566055674740282476506817277871774166,37121654851329916420656353682116696589162582381814828333193895490882063051347,94572838009850022940592178471621210923308916681800731866616646372039856699130,103545966385728468753551309216754575500340720775863034312785513697783036632726
54,5102856924807840152832933637517227984938558168758752600471386459542121297349,54,9974455244496707,53.14715947391618,33903532250825920011423262729318037347523984276123141340942803818961706296726,168743002427289881765681417490337978467882455308235152692948563217619698893,115623346234888905541805303591197569874802102210332328886764635444691214972770,115623346234888905541805303591197569874802102210332328886764635444691214972770,5102856924807840152832933637517227984938558168758752600471386459542121297349,28474200868176358929308928985199878075547392212342228840799070873896382144078408668879836002838956267935440560142189828319657776152414864279985425449,38970398162849180528117657094264527607422676004454419199002878885663273816488793186481310562324642552813841399854511391218946788677024599162539488333914453893615892448300476259060707117027959470342085518949975233800237543042145183,336554927193508406740095269248585408353276154859278508310183126445531478638987643803547880906186241510628740684935774614167906168855003669084831206464618,1161210102483809148056434056724088437972988960914,4987359413952768660408006236010568736505712118497157723352,1161210102483809148056434056724088437972988960914,2505454808,1KYUv7nSvXx4642TKeuC2SNdTk326uUpFy,91556908241316611758998712912714671992090131857619124241248361384462995561100,58440906381054312329945840043651019713141634797609147282405351599131956665012,86554374071373129711981925474287812926047926476021759584151955460199557537323,1719230447291439985280777336690787000850842732399589199641550129973069341143,12171189726291686375975486690681257517515303482946697492183029795826005271429,50495885557781061987608397256584933629056809423127502580116919247401085359929,41050710617363191772280133159887103185556931841188986518768758908379047298843,2451938344427527464512926636380498936306195231560120393721840614625164253154,23823346002962226320446985430416581655727251000078957598134279002421434866984,75510824469103813821389796951397767006366855468431495239555958464119572246780,67546928010318233673602362433683727799566270741737827192593238950381837676328
140,6259097416800668626316462978500484916753590877278978460415054454530496301553,140,,,14209337303565764460094546138159026146027198320188098929659045244992519759424,112811665967762242085501977147851451381351584829682616476865345769307248405225,2980423269553953338069007860836456471918399835957947562592238238601586266438,2980423269553953338069007860836456471918399835957947562592238238601586266438,6259097416800668626316462978500484916753590877278978460415054454530496301553,12726471978421965644160858012039881013379204709783800035386835959841524930418929241634367664078687154273171329625353977698770572550281304068563305807300625,2868940036578210925258291033707924265987328756245657338326922396879063433373788186427107903609284309854470418599063338113079684589804651557056591372763378989217831507180117874097068317980875097119376995614193529354579974690177031,24776649730348250957883644019748381199497637894089700706098492796022687240167097842783120643276649185057531316186944754201385319719121073744056239709162,1459967559939888260982347273241848146976503119130,6270512923162739806813494371888513689862282177107268851654,1459967559939888260982347273241848146976503119130,1926879174,1QKBaU6WAeycb3DbKbLBkX7vJiaS8r42Xo,97000297471182675475810779511433774589705981032032909108445144648694266372097,4271600114112783130752631064970998014254876156553017589216579515208968972686,73980995065977639015586402772638399706294449231363411570710264087416836113997,83467995330863228735349744038294564434481045280269234272255760183039721669582,103156088317849197759996882435181365194174551366286995120913712587868633841000,15017469962149945200885750723848273514585811077818809131821534176221677769123,114127494999609483589900034258620576750389929574496287636294793597914174465998,,37077939699050317798192522210280668316536099421679831602581691498206585526890,72896654916618305010578321274610027642792967263965444244162153121593156239671,51948559788046272429413324879780557025991410136904262532639165422542065060860
40,6303854738565845060822456677171761170118701265060332668389682537205909861394,40,1003651412950,39.86839541975735,73698089885969865917178217585365130397293864653143545863290470632977971667156,55920112788027504860697624221258924004816541552996850637631037640326076931751,59871976449288690562873360787428983848453443112643713401826546367582757739912,59871976449288690562873360787428983848453443112643713401826546367582757739912,6303854738565845060822456677171761170118701265060332668389682537205909861394,3127059014225717282768859506150241391115286668794438490887817127605390455802462392343539668150254187841653958906712981092866282985821510380700146311926001,400284428364855236846220257087936770376045982086661596879954122757049990278175384963921355547905057626924460073195246172528667773947075229476881723793181985436838076472841206752663357960508382131893855334488140833035680878520132423,3456923793338517576463313505438837781901569322638149872471331702386159178127223268831783795073441265073967553773309020678553863641628826100154063226662794,854237606288993386296614577933893851507448784938,3668922582024550518904254167742917342159972831706793520845,854237606288993386296614577933893851507448784938,3146133197,1EeAxcprB2PpCnr34VfZdFrkUWuxyiNEFv,88670817121214053147580529231067143093520798241034943695653512582662697510885,81577657065324435692425725888689088106346812392201723293920702663592694462322,30694921443918112495562487742307027208738796422761697808464320258268350173221,25354589318384426242755323201556873705265652482131603310469212503197644916130,97653031127733207558752226139736245550084832706802830187036594769038137167199,24337517223686299831138066645649586865279007018880487193792301900857366512850,75974737837598005136774250057191984032693441380068644350782116546254929006117,7137105482588534759071661337750161783356101840159295830880069079429442193695,65901123792484100323370731398096253545550436587650177133799604824694812894467,103453936150398760482199244862443999696531033325512927477434038961273935598319,84819583200212469977809797921504461604488503115390316471409509303786558005540
31,6834238154976450849129580588611804041168048088511414771764122407555173426620,31,2102388551,30.969382178280593,61451719815341661281682897810187322803922811401468501217986913974289877761320,30947091983295757773862695542244568955870624650687256254668336429089021717649,84844997254020437649708289466443338897399360014953307784789247578819812954014,84844997254020437649708289466443338897399360014953307784789247578819812954014,6834238154976450849129580588611804041168048088511414771764122407555173426620,957722502222568558353919776977133692873475783695046640263780672119919534016918410902144807182203601027327949974912707874539659808453882737055178278087201,232060981767302585984425000682067455242605012895007987898265570509356592708961805154796403710700847666343639403205301807929786579116207462405314840876764251075299038957980166440025027410288017462096573696334110411973390725371968007,2004117753603123832738676833230240699476902585802770380404728228788736389935604007974028547390281612420631662075460740211911347999114602784580142198707962,1233275022303565415848271542199699492273185697565,5296875887767484045264966371875193220341137268778088566941,1233275022303565415848271542199699492273185697565,1466732701,1LhE6sCTuGae42Axu1L1ZB7L96yi9irEBE,113719810226030718760886976698061817874162775512907439534061300680897576436947,24127477309685077017622379558555898886650301578117924700873666028804767595809,37226143387344817815567552977827548357753594291138911070428431366505489850983,88020065331711305753457274168468911850483804105385240836008980205557421288357,40360189735098567858998013256279597550176100826734437376568222350568678502856,31883243464606713062609853403229355484189527632635017714230549297770992790912,78439780762199561826939124280152761501606335863790945949894905948454903053141,13487132434966198524116735592505128050332086809506200414661145774159938539180,18709599715547705449766541778028745550921987968240364761085076317366232780628,53024704027703849351743955867976923744553820787185085163562566358403396509376,39543035406436362584219823856514654508171381532903882808704319119904454462481
