puzzle_n,address_payload,n,d,log2d,Px,Py,Pmy,neg_y,y2_mod_p,x3_plus_7_mod_p,y2_full,x3plus7_full,p_carry,rmd160_cubed_plus_7_mod_p,address_payload_sq_mod_p,rmd160_sq_mod_p,address_payload_cubed_plus_7_mod_p,r,s,z,Ry,rmd160,address_base58_lex,sha256_pubkey,sha256_vh,sha256_chk,checksum4,d_value
133,1,133,,,,,,,,,,,,87,152,62,30,,,,,1,35,,156,8,8,
136,2,136,,,,,,,,,,,,61,124,43,150,,,,,2,159,,32,147,147,
24,3,24,24,24,47,76,13,13,48,48,76,47,47,65,97,54,127,52,20,36,72,3,160,83,51,1,1,14428676
39,4,39,39,39,19,19,70,70,32,32,19,19,19,12,75,5,20,46,3,26,53,4,1,63,13,58,58,323724968937
27,5,27,27,27,14,3,86,86,4,4,3,14,14,32,51,107,10,68,48,8,70,5,2,47,47,122,122,111949941
49,6,49,49,49,39,65,24,24,17,17,65,39,39,81,127,24,77,49,61,10,5,6,3,38,108,13,13,409118905032525
110,7,110,78,78,3,2,87,87,72,72,2,3,3,157,58,159,48,19,38,2,69,7,4,19,92,46,46,1090246098153987172547740458951748
73,8,73,,,,,,,,,,,,92,76,105,60,,,,,8,5,,114,17,17,
28,9,28,28,28,80,7,82,82,49,49,7,80,80,1,153,11,71,79,71,21,81,9,6,64,160,66,66,227634408
134,10,134,,,,,,,,,,,,77,151,135,8,,,,,10,7,,141,21,21,
143,11,143,,,,,,,,,,,,8,39,92,49,,,,,11,8,,3,54,54,
151,12,151,,,,,,,,,,,,19,85,56,115,,,,,12,9,,142,119,119,
82,13,82,,,,,,,,,,,,109,95,79,43,,,,,13,10,,12,131,131,
66,14,66,66,66,38,46,43,43,39,39,46,38,38,9,54,116,54,20,23,31,22,14,11,36,67,154,154,46346217550346335726
157,15,157,,,,,,,,,,,,88,59,72,110,,,,,15,12,,45,150,150,
83,16,83,,,,,,,,,,,,100,60,111,32,,,,,16,13,,63,69,69,
37,17,37,37,37,52,34,55,55,84,84,34,52,52,114,34,19,106,63,36,39,48,17,14,69,86,126,126,100251560595
21,18,21,21,21,13,16,73,73,22,22,16,13,13,26,148,91,142,44,74,78,9,18,15,1,120,31,31,1811764
159,19,159,,,,,,,,,,,,38,25,76,160,,,,,19,16,,96,138,138,
96,20,96,,,,,,,,,,,,3,126,23,45,,,,,20,17,,111,63,63,
107,21,107,,,,,,,,,,,,78,66,155,120,,,,,21,18,,151,77,77,
25,22,25,25,25,1,64,25,25,61,61,64,1,1,103,53,109,44,12,78,56,40,22,19,13,54,83,83,33185509
53,23,53,53,53,7,37,52,52,29,29,37,7,7,14,99,106,7,45,62,6,14,23,20,23,109,76,76,6763683971478124
142,24,142,,,,,,,,,,,,49,93,18,118,,,,,24,21,,103,121,121,
57,25,57,57,57,67,42,47,47,44,44,42,67,67,126,100,127,83,83,63,44,56,25,22,17,41,18,18,138245758910846492
137,26,137,,,,,,,,,,,,149,143,37,62,,,,,26,23,,130,23,23,
78,27,78,,,,,,,,,,,,133,113,139,82,,,,,27,24,,136,157,157,
81,28,81,,,,,,,,,,,,37,56,144,80,,,,,28,25,,39,129,129,
52,29,52,52,52,50,79,10,10,40,40,79,50,50,91,102,21,55,43,54,73,6,29,26,49,10,124,124,4216495639600700
88,30,88,,,,,,,,,,,,159,144,70,5,,,,,30,27,,65,3,3,
135,31,135,,,12,38,51,51,59,59,38,12,12,68,21,64,39,71,22,54,,31,28,68,85,79,79,
64,32,64,64,64,8,28,61,61,45,45,28,8,8,64,101,131,76,28,69,82,31,32,29,5,8,43,43,17799667357578236628
131,33,131,,,,,,,,,,,,158,11,22,86,,,,,33,30,,5,36,36,
114,34,114,,,,,,,,,,,,2,57,95,78,,,,,34,31,,50,59,59,
93,35,93,,,,,,,,,,,,47,19,28,151,,,,,35,32,,26,104,104,
56,36,56,56,56,28,80,9,9,5,5,80,28,28,63,139,102,56,41,68,38,29,36,33,4,27,62,62,44218742292676575
120,37,120,80,80,77,15,74,74,66,66,15,77,77,142,160,12,102,58,15,46,34,37,34,59,64,160,160,919343500840980333540511050618764323
153,38,153,,,,,,,,,,,,85,107,151,89,,,,,38,36,,152,65,65,
111,39,111,,,,,,,,,,,,29,29,48,121,,,,,39,37,,147,93,93,
33,40,33,33,33,66,4,85,85,2,2,4,66,66,153,150,88,122,65,17,65,19,40,38,42,110,28,28,7137437912
112,41,112,,,,,,,,,,,,35,8,1,96,,,,,41,39,,150,145,145,
106,42,106,,,,,,,,,,,,108,4,112,35,,,,,42,40,,94,19,19,
65,43,65,65,65,21,82,7,7,13,13,82,21,21,147,137,49,3,35,46,18,66,43,41,40,159,158,158,30568377312064202855
147,44,147,,,,,,,,,,,,129,70,39,114,,,,,44,42,,99,25,25,
97,45,97,,,,,,,,,,,,44,119,146,12,,,,,45,43,,44,151,151,
29,46,29,29,29,46,85,4,4,43,43,85,46,46,66,72,140,113,73,60,27,27,46,44,71,122,128,128,400708894
145,47,145,,,71,33,56,56,33,33,33,71,71,107,133,16,126,54,7,7,,47,45,84,102,75,75,
89,48,89,,,,,,,,,,,,102,80,100,128,,,,,48,46,,139,67,67,
70,49,70,70,70,60,78,11,11,31,31,78,60,60,155,116,94,108,22,45,87,59,49,47,82,76,45,45,970436974005023690481
3,50,3,3,3,41,40,49,49,73,73,40,41,41,40,17,68,149,31,18,74,33,50,48,57,98,42,42,7
95,51,95,75,75,63,58,31,31,12,12,58,63,63,86,22,114,105,78,44,40,21,51,49,24,80,78,78,25525831956644113617013748212
69,52,69,69,69,36,73,16,16,86,86,73,36,36,113,79,156,91,6,6,55,77,52,50,70,144,127,127,297274491920375905804
158,53,158,,,,,,,,,,,,138,30,42,9,,,,,53,51,,68,9,9,
92,54,92,,,,,,,,,,,,20,67,80,109,,,,,54,52,,117,2,2,
79,55,79,,,,,,,,,,,,117,106,10,111,,,,,55,53,,57,136,136,
61,56,61,61,61,34,75,14,14,67,67,75,34,34,60,24,148,74,38,12,81,38,56,54,31,60,74,74,1425787542618654982
126,57,126,,,,,,,,,,,,121,43,149,84,,,,,57,55,,70,38,38,
138,58,138,,,,,,,,,,,,137,158,66,73,,,,,58,56,,22,85,85,
103,59,103,,,,,,,,,,,,160,123,147,29,,,,,59,57,,158,86,86,
155,60,155,,,42,86,3,3,88,88,86,42,42,52,108,8,112,84,16,47,,60,58,48,62,135,135,
80,61,80,72,72,53,36,53,53,15,15,36,53,53,42,117,119,140,51,28,25,23,61,59,50,74,70,70,1105520030589234487939456
16,62,16,16,16,64,49,40,40,1,1,49,64,64,119,145,123,143,60,52,48,63,62,60,77,6,27,27,51510
67,63,67,67,67,10,84,5,5,38,38,84,10,10,4,65,132,41,42,76,4,41,63,61,62,79,71,71,132656943602386256302
36,64,36,36,36,73,41,48,48,53,53,41,73,73,93,1,78,136,26,87,84,64,64,62,43,154,152,152,42387769980
1,65,1,1,1,51,26,63,63,24,24,26,51,51,128,31,2,94,11,82,76,54,65,63,3,132,51,51,1
124,66,124,,,,,,,,,,,,111,52,86,38,,,,,66,64,,127,24,24,
77,67,77,,,,,,,,,,,,80,2,154,148,,,,,67,65,,24,37,37,
141,68,141,,,,,,,,,,,,25,18,126,104,,,,,68,66,,61,33,33,
101,69,101,,,,,,,,,,,,23,27,67,93,,,,,69,67,,31,11,11,
