n,solved,wt,wt_rank,sCHK_rank,sVH_rank,Delta_Rk_full,s_r_inv,s_r_inv_rank,s_inv_z,s_inv_z_rank,s_inv_r
1,1,78,44,51,132,25,89276461333806111211556418557040385704121971189185727287354684474142444423705,72,67781946355481445104232598860980477544836972964966023106971638486708726890867,48,39957843748482552868346248825939522155285716569762841235488976608913057364445
2,1,86,122,112,46,65,33075621077252530744948850944244189244109334351738621379303726841588030080362,31,41614640586067567945657825695444458613296457966567650601385370172397797446391,27,96142261950314704239554067152618628596341802190937589494793872536983338354256
3,1,92,150,42,98,1,11130818444172092116315419396669907617117336686474854764851208684989639976775,9,26617914390366977775763159782371659358533029169280320581188282945765946448919,16,43462236199219030572159981262001408495197231427246670664362492174056494119754
4,1,83,99,48,33,-11,4154327222180660960352075411851191039206340240129547465518943479522918724861,2,88972098449219489379029619335314392855389501553145511862522550992262776677359,63,26000410164266518776486487972804850699802857190057500313518482797527960517703
5,1,88,137,120,78,5,66621834751213183322492970411345904115204796363343360317181962381706955846036,56,86629033244844452404316579910043995679329357255591835935726646319402336611957,61,109474605253580022421615233208313060009980023248115897446921747056750051358721
6,1,85,114,81,145,1,5739481529626534093027547370753925964027656026796984799468579061489489595042,5,7075217909657592005663401081514794914186447204833730557046412181278588810790,5,24150120705560835150075826343516899502456653403076365185202589171269090744862
7,1,78,45,50,89,-4,44992853358959402599024837551106116691260131163566063000792773927251005861524,38,34255592104768602541514969354033627629617887055939661982696352718713339482835,18,34842524004280203779845264560302781678390373110973593611489856705299256518679
8,1,69,4,57,69,-72,31533712650661929016176715269568006932075579100007381739386930943489950399854,28,63178551950587358476767882800462001111744979195113503521407820980357849768297,43,48466189297779483404501920081455322310809396550311641840426139764815607843292
9,1,84,107,91,42,-20,92458669797157621424808244199452246271355129101580921522151475756496698545643,76,102445890082824322728185148447479790116617235699114551434246186049349908431673,74,23384147684253957976447943292878281352668916156947681847708434793652069716915
10,1,81,77,111,135,-8,19165225908373820682097077848702125891925136882733379982034442828244725676722,18,93661377205223620800817103039668189988299059514444745274010448220607119822921,66,97523587178094127096106962553307835871123060671385725449460436585638108617627
11,1,74,19,60,155,46,87369073321236771466537185907279130528335866789424799475341877338976038016678,70,97134464549609278963835053507499051003005686367896562959463979608204557844681,67,54274353752347744814456159653006772969719619279981422277932093344617870466532
12,1,78,46,89,149,22,55957308690621999137013528958999355152891032363901767461197141891729074743863,45,26011968727318789279969538521422701401354638244899398875475817663173900204341,14,110295491612282464853136343568383890709037413192319449243193585129591983680837
13,1,78,47,49,66,53,95032570700481692521880029878418380793459282886689806367745374894148604229812,77,66316984943029541970255633331025331468043264590906790184206559934545150540375,47,66992073722481622465214229513948668927980293772558600999002052550949028631698
14,1,80,65,44,19,29,88743607050154929746284644671290030847106948371794769838535893318696877091960,71,77434922773457898616973485635512187506569838307055636995632643458559148107485,53,70649952872100865195734986275366179950146045801537354689848791325856771874760
15,1,74,20,101,100,18,9432944967012894758022335535618007629520516047918983073436281384526437978202,8,103746646086583013662773163451247295324451236572460651491808649633413479277147,75,76321917406245791486947908804987781318543788088165132540585038882988264934499
16,1,96,157,27,6,15,33983429762099228046049024408304202383718015649538804209687266511548170578807,32,111793144164320895625059414978503181173684885709330012791884709233868874789389,85,97457801914025613300418294943679185508666617588313967143455171285340753587902
17,1,86,123,156,15,7,35138018708013831708754086081722580740688970032597855587673779396732563215210,34,80142552468332802408104964991942224764577091150709770663487752128383022534065,56,24085603929943318092272976688618536138368929715876045536793261121994252717842
18,1,79,58,130,43,-48,60190751692492309195284734323492219764431665106541802867225529154234928143578,52,78234847922583562027332165545158109524625008441203855300076795211677791951385,54,17489209309465984117413188178061176054461369592066533913367793406211149255799
19,1,93,153,84,131,29,63040020006744406510282480819559134855145859385547481129896452638818721465083,54,39953741755783662693355897164393655365078093461095198408859012849476959710545,23,41923536289170391403768686688660696274834909875509016006948948797927857498448
20,1,80,66,30,121,-27,103726149177761847811027636763068780759977997249849803253882852157638691132126,82,60974175708468220471556996306942291713540910752310940254080885723788959622330,38,66803705967955714100833182936987184813794697829253585532341689332193408544815
21,1,73,14,31,120,-3,54539987758791494684670757964721649283861940721764569242255692123480497295862,43,16416261973622519255734840460337383920494766444808556230551598996768169725942,11,107377251159500820449435188990992910483690429812607950364957555777397553669729
22,1,83,100,153,14,-16,83081471033452021672456457552386356156151397554275688082259512753915896142739,66,25886245891803210160649175706628352343128595625615108245675988811408331132995,13,114314581305298998441056965262362012261501917052450408356666808230805162009864
23,1,82,86,143,138,30,59895064822205023976754957883503586824153096029677037312563412947218348019255,50,69050001600874591220049251846138397787663227577368982497556615918236502616212,49,82089795165640222736341080928638648120391298843438479642977745476731948216127
24,1,76,30,1,51,-29,23954383371816377449182023365528228688806341744597884130959097089058608745654,22,101118423293936754045504160815644217104671895349622682848658989831816616208886,70,41430930649309872906602364953336668433598150727329894225070799785915096362337
25,1,80,67,83,54,-63,14197607032820568143285737937686290395260657420471920959853963104868911799827,11,104213240248901959095958872339932722299837251700840585656226103422155694192771,76,76550578177945556461285882602219899406818955929064567595278970496403490406087
26,1,81,78,41,49,31,75133039406169516950197948311316627935281633552647428213880993432341121139307,61,589604533252806544542794354962618941066322879327895322099471346501293978136,1,60411546980909964675234719953721715155627159732409975114761935059031730110407
27,1,84,108,122,47,11,73425012024331232527064930082399524265631608378329265487331091059406343603336,60,60910477358587110666095971883933487282675461604624485121161412594182890060699,37,9548557619691454543162367561543031925283341578062870667340606154268503522783
28,1,80,68,66,160,73,105559531410344272044059577551191509339231314231903344322537578261562247514843,84,61587979920562148281507068033820751922783237507801115180015361970437519686860,41,81572185971595744060663836127130509740233981110810184229313764085783130876358
29,1,84,109,128,122,-39,71901528523336670785250349260964822637221712783786497989423683809077389350444,58,107390826255441763167270775491929793448752673247097456368569321125721230319023,79,113595897802081527600884735613501564181581313496370627937161758031853886895061
30,1,78,48,10,105,-57,67567535993803347063288769968720682662163681068293902826085693116466640140757,57,84949597035979646393210411509349625736797014648831003571090174583682778560782,59,73659972640463390426842122437480178556155848238674349020737945506049103033977
31,1,89,142,55,88,32,3147152490804684223744157974331853390357697779420080292370338315034205382565,1,56656734376772080263876536562829295878324191299634867776245421142666182919241,35,9444165137250362220588373223923686676368622722353556381471990760825020075042
