puzzle_n,status,r_h160,r_Px,r_Py,r_neg_y,r_Y2p,r_X3p,r_y2_full,r_x3plus7_full,r_p_carry,r_r,r_s,r_z,r_Ry,r_sVH,r_sCHK,r_checksum4,r_addr_y,r_h160_hamming,r_s_inv_z_mod_N,r_sha256_pubkey,r_d,r_n
133,unsolved,1,,,,,,,,,,,,,156,8,8,8,43,,,,133
136,unsolved,2,,,,,,,,,,,,,32,147,147,147,82,,,,136
24,solved,3,47,76,13,48,48,76,47,47,52,20,36,72,51,1,1,1,30,70,83,24,24
39,solved,4,19,19,70,32,32,19,19,19,46,3,26,53,13,58,58,58,38,30,63,39,39
27,solved,5,14,3,86,4,4,3,14,14,68,48,8,70,47,122,122,122,108,37,47,27,27
49,solved,6,39,65,24,17,17,65,39,39,49,61,10,5,108,13,13,13,144,81,38,49,49
110,solved,7,3,2,87,72,72,2,3,3,19,38,2,69,92,46,46,46,26,6,19,78,110
73,unsolved,8,,,,,,,,,,,,,114,17,17,17,119,,,,73
28,solved,9,80,7,82,49,49,7,80,80,79,71,21,81,160,66,66,66,68,41,64,28,28
134,unsolved,10,,,,,,,,,,,,,141,21,21,21,106,,,,134
143,unsolved,11,,,,,,,,,,,,,3,54,54,54,97,,,,143
151,unsolved,12,,,,,,,,,,,,,142,119,119,119,56,,,,151
82,unsolved,13,,,,,,,,,,,,,12,131,131,131,53,,,,82
66,solved,14,38,46,43,39,39,46,38,38,20,23,31,22,67,154,154,154,16,12,36,66,66
157,unsolved,15,,,,,,,,,,,,,45,150,150,150,98,,,,157
83,unsolved,16,,,,,,,,,,,,,63,69,69,69,7,,,,83
37,solved,17,52,34,55,84,84,34,52,52,63,36,39,48,86,126,126,126,21,77,69,37,37
21,solved,18,13,16,73,22,22,16,13,13,44,74,78,9,120,31,31,31,14,11,1,21,21
159,unsolved,19,,,,,,,,,,,,,96,138,138,138,5,,,,159
96,unsolved,20,,,,,,,,,,,,,111,63,63,63,104,,,,96
107,unsolved,21,,,,,,,,,,,,,151,77,77,77,80,,,,107
25,solved,22,1,64,25,61,61,64,1,1,12,78,56,40,54,83,83,83,67,76,13,25,25
53,solved,23,7,37,52,29,29,37,7,7,45,62,6,14,109,76,76,76,32,40,23,53,53
142,unsolved,24,,,,,,,,,,,,,103,121,121,121,156,,,,142
57,solved,25,67,42,47,44,44,42,67,67,83,63,44,56,41,18,18,18,71,15,17,57,57
137,unsolved,26,,,,,,,,,,,,,130,23,23,23,1,,,,137
78,unsolved,27,,,,,,,,,,,,,136,157,157,157,2,,,,78
81,unsolved,28,,,,,,,,,,,,,39,129,129,129,92,,,,81
52,solved,29,50,79,10,40,40,79,50,50,43,54,73,6,10,124,124,124,117,29,49,52,52
88,unsolved,30,,,,,,,,,,,,,65,3,3,3,130,,,,88
135,unsolved,31,12,38,51,59,59,38,12,12,71,22,54,,85,79,79,79,96,71,68,,135
64,solved,32,8,28,61,45,45,28,8,8,28,69,82,31,8,43,43,43,50,69,5,64,64
131,unsolved,33,,,,,,,,,,,,,5,36,36,36,36,,,,131
114,unsolved,34,,,,,,,,,,,,,50,59,59,59,17,,,,114
93,unsolved,35,,,,,,,,,,,,,26,104,104,104,103,,,,93
56,solved,36,28,80,9,5,5,80,28,28,41,68,38,29,27,62,62,62,70,31,4,56,56
120,solved,37,77,15,74,66,66,15,77,77,58,15,46,34,64,160,160,160,94,78,59,80,120
153,unsolved,38,,,,,,,,,,,,,152,65,65,65,160,,,,153
111,unsolved,39,,,,,,,,,,,,,147,93,93,93,8,,,,111
33,solved,40,66,4,85,2,2,4,66,66,65,17,65,19,110,28,28,28,143,73,42,33,33
112,unsolved,41,,,,,,,,,,,,,150,145,145,145,27,,,,112
106,unsolved,42,,,,,,,,,,,,,94,19,19,19,40,,,,106
65,solved,43,21,82,7,13,13,82,21,21,35,46,18,66,159,158,158,158,91,20,40,65,65
147,unsolved,44,,,,,,,,,,,,,99,25,25,25,134,,,,147
97,unsolved,45,,,,,,,,,,,,,44,151,151,151,158,,,,97
