n,solved,wt,addr_y,a,b,c,a_tilde,b_tilde,theta_a,theta_b,k_rec,k_known,k_match
1,1,78,1359812148,89276461333806111211556418557040385704121971189185727287354684474142444423705,18190886865200066351062488426257131384136179606556382166417289645995280178844,97601202372116129072508496582430776468701384672518522216187873495522881315493,-26515627903510084212014566451647522148715593089889177095250478667375717070632,18190886865200066351062488426257131384136179606556382166417289645995280178844,4.8443771403,0.9870856794,107739790103963997972578847686919999700122689534728864342460615095621784255312,107739790103963997972578847686919999700122689534728864342460615095621784255312,1
2,1,86,2886159340,33075621077252530744948850944244189244109334351738621379303726841588030080362,59764927456378920765432248674292222349085047262427950757155527686409296672301,56027161780937274658138736334395685503752517016646953625449635455108864822036,33075621077252530744948850944244189244109334351738621379303726841588030080362,-56027161780937274658138736334395685503752517016646953625449635455108864822036,1.7947707632,3.2430031840,98457247962379289817178057135924528696646735981230610320556661500311489520485,98457247962379289817178057135924528696646735981230610320556661500311489520485,1
3,1,92,1083247487,11130818444172092116315419396669907617117336686474854764851208684989639976775,26216974933809308554864125495769614203556060820854788787680963249102190965811,89575114303506886868706859512918293649281503458220115594924199892415970528526,11130818444172092116315419396669907617117336686474854764851208684989639976775,26216974933809308554864125495769614203556060820854788787680963249102190965811,0.6039876762,1.4226024661,99269389310267800933741058599005703119238520601857206466515401881125082298523,99269389310267800933741058599005703119238520601857206466515401881125082298523,1
4,1,83,1308809193,4154327222180660960352075411851191039206340240129547465518943479522918724861,105623841252319655811381449076127119548828563593324586242985743592703939923390,10168247984996539612189535932560788304009000685750318139619419548814221570947,4154327222180660960352075411851191039206340240129547465518943479522918724861,-10168247984996539612189535932560788304009000685750318139619419548814221570947,0.2254247931,5.7314292523,65391201288719248743779553100377382748137230515455705605460087089450137830309,65391201288719248743779553100377382748137230515455705605460087089450137830309,1
5,1,88,3241711859,66621834751213183322492970411345904115204796363343360317181962381706955846036,44231177708680607858161711769891859454829451683965691887082017094188709872259,71560911528635587565409273238796048398008112595109212495523146047329451622078,-49170254486103012101078014597342003737632767915731544065423200759811205648301,44231177708680607858161711769891859454829451683965691887082017094188709872259,3.6150771266,2.4001007990,69753958823701014786816777110860098832158559884527594668980071680790185258358,69753958823701014786816777110860098832158559884527594668980071680790185258358,1
6,1,85,2084675093,5739481529626534093027547370753925964027656026796984799468579061489489595042,49555917538212830650511844384379833005519816816795366953301880580106957694254,66236171699103364773059140624308074847317747462279537429303282561411203800083,5739481529626534093027547370753925964027656026796984799468579061489489595042,49555917538212830650511844384379833005519816816795366953301880580106957694254,0.3114394624,2.6890352788,32510240108976560123669041826963792006186821164826580805921650158282420365658,32510240108976560123669041826963792006186821164826580805921650158282420365658,1
7,1,78,1331255633,44992853358959402599024837551106116691260131163566063000792773927251005861524,78310363382156338139912335071892665816490992042912206961269332763377508027957,37481725855159857283658649936795242036346572236162697421335830378140653466380,44992853358959402599024837551106116691260131163566063000792773927251005861524,-37481725855159857283658649936795242036346572236162697421335830378140653466380,2.4414313362,4.2493276341,19069363971791595067622420737223154572022265071209975656006710066539120532688,19069363971791595067622420737223154572022265071209975656006710066539120532688,1
8,1,69,1568254512,31533712650661929016176715269568006932075579100007381739386930943489950399854,33076711112061806806521852607974130874432867946593443659738687489504722540282,82715378125254388617049132400713776978404696332481460722866475652013438954055,31533712650661929016176715269568006932075579100007381739386930943489950399854,33076711112061806806521852607974130874432867946593443659738687489504722540282,1.7111027300,1.7948299114,35148566345469271269525390229790860566318764231880263811977792996346826198027,35148566345469271269525390229790860566318764231880263811977792996346826198027,1
9,1,84,2301172252,92458669797157621424808244199452246271355129101580921522151475756496698545643,11243728540650083086016625676298084696603101724658385849633707453655942128464,104548360696666112337554359332389823156234462554416518532971455687862219365873,-23333419440158573998762740809235661581482435177493982860453687385021462948694,11243728540650083086016625676298084696603101724658385849633707453655942128464,5.0170521960,0.6101144770,22594381084384132490131090396285935793432474481566057966594736240641124268963,22594381084384132490131090396285935793432474481566057966594736240641124268963,1
10,1,81,2882222237,19165225908373820682097077848702125891925136882733379982034442828244725676722,32024860476866754316474866661708869668212119575765415138480081982982121631799,83767228760449441107096118346979038184625444703309489244125081158536039862538,19165225908373820682097077848702125891925136882733379982034442828244725676722,32024860476866754316474866661708869668212119575765415138480081982982121631799,1.0399558953,1.7377537113,82810546987692329793559346678031727466886911767274028628639212961231022235278,82810546987692329793559346678031727466886911767274028628639212961231022235278,1
