s^{-1} * z mod N  ranks
n  s_inv_z_mod_N  rank  status
  1  67781946355481445104232598860980477544836972964966023106971638486708726890867  48  solved
  2  41614640586067567945657825695444458613296457966567650601385370172397797446391  27  solved
  3  26617914390366977775763159782371659358533029169280320581188282945765946448919  16  solved
  4  88972098449219489379029619335314392855389501553145511862522550992262776677359  63  solved
  5  86629033244844452404316579910043995679329357255591835935726646319402336611957  61  solved
  6  7075217909657592005663401081514794914186447204833730557046412181278588810790  5  solved
  7  34255592104768602541514969354033627629617887055939661982696352718713339482835  18  solved
  8  63178551950587358476767882800462001111744979195113503521407820980357849768297  43  solved
  9  102445890082824322728185148447479790116617235699114551434246186049349908431673  74  solved
 10  93661377205223620800817103039668189988299059514444745274010448220607119822921  66  solved
 11  97134464549609278963835053507499051003005686367896562959463979608204557844681  67  solved
 12  26011968727318789279969538521422701401354638244899398875475817663173900204341  14  solved
 13  66316984943029541970255633331025331468043264590906790184206559934545150540375  47  solved
 14  77434922773457898616973485635512187506569838307055636995632643458559148107485  53  solved
 15  103746646086583013662773163451247295324451236572460651491808649633413479277147  75  solved
 16  111793144164320895625059414978503181173684885709330012791884709233868874789389  85  solved
 17  80142552468332802408104964991942224764577091150709770663487752128383022534065  56  solved
 18  78234847922583562027332165545158109524625008441203855300076795211677791951385  54  solved
 19  39953741755783662693355897164393655365078093461095198408859012849476959710545  23  solved
 20  60974175708468220471556996306942291713540910752310940254080885723788959622330  38  solved
 21  16416261973622519255734840460337383920494766444808556230551598996768169725942  11  solved
 22  25886245891803210160649175706628352343128595625615108245675988811408331132995  13  solved
 23  69050001600874591220049251846138397787663227577368982497556615918236502616212  49  solved
 24  101118423293936754045504160815644217104671895349622682848658989831816616208886  70  solved
 25  104213240248901959095958872339932722299837251700840585656226103422155694192771  76  solved
 26  589604533252806544542794354962618941066322879327895322099471346501293978136  1  solved
 27  60910477358587110666095971883933487282675461604624485121161412594182890060699  37  solved
 28  61587979920562148281507068033820751922783237507801115180015361970437519686860  41  solved
 29  107390826255441763167270775491929793448752673247097456368569321125721230319023  79  solved
 30  84949597035979646393210411509349625736797014648831003571090174583682778560782  59  solved
 31  56656734376772080263876536562829295878324191299634867776245421142666182919241  35  solved
 32  42566556614586332462025681764503099947201221673436733379514341268678155287984  28  solved
 33  102403618059386487707294664691466569159613956151936194868921023298867616366109  73  solved
 34  8326994374159703121195520360724864597233039679886289737655499408754160398164  7  solved
 35  63600363689478026811334964755270920631066473817581163801134620902054151657588  44  solved
 36  6595284286110795264256808280502796210208592193701646727108806706360074607532  4  solved
 37  105315078392108262653421023529832528504629715593226052173127344094030390779165  77  solved
 38  79020260730961780221008996801053977172350952563320634467075223660886753881475  55  solved
 39  45521817150585105646174841358661752302762748308105043224612665692058462117743  30  solved
 40  80337490547013538975229409763625142143936202788001544221692548708402011774708  57  solved
 41  85432741712163675853681170770107236777808033203376962209854185131025477542357  60  solved
 42  63865008425714846325160586550540643960614594072614375396395421978113200711700  45  solved
 43  109732216438183420118929296292660224196129830850180522482839957625664157784800  82  solved
 44  4984458464294652380617092940023899619065039540627603593588446604802600612824  2  solved
 45  113200298422999355977262359367982099680340127346371508913252713849130565210266  86  solved
 46  64783945614436533617749517652085511057358119614006532905308480530926323383999  46  solved
 47  71293809316470641868400277103072786505322169611818240044819175147139568457142  51  solved
 48  40806162138488066684475819121812082840620394794889126369787491983560327447241  25  solved
 49  108984731962500511271372754045026612327872757886141680208307453605757154600502  81  solved
 50  113823329692944237844307039931435246564775192226328929266100060049027110115181  87  solved
 51  13396502898685136163756291678863794512318659285037702934537439478790356482818  9  solved
 52  44865616574001612406981417374976663849462364865802149578736979516496109325510  29  solved
 53  61548257624102330923033391369150556166434046930867227024769135092530013798118  40  solved
 54  14772335973188638365807076112929087917971653634282613257066969223093856066178  10  solved
 55  40158442191934421227900057069364428617556090826793334011018465309375679576200  24  solved
 56  50533452522857283586058014050041289543916600305811087575652924227860880533772  31  solved
 57  26253063075961035955868280756787290283930594920565571133294656588015950890131  15  solved
 58  61232558879937015829377924809313090900681092399574186228619863488337618608543  39  solved
 59  108800278928729477467469552364829964107454600910069112364138055822180004557656  80  solved
 60  54548596068758840117761383766097597362020785797991380108378990712351321014483  33  solved
 61  38094126266375298508953554737490966977179032256265030146310343425480939497409  22  solved
 62  12834435002539041127666787569101598961070837654673468111267842001234997736953  8  solved
 63  55330309087239778963131386562773669773288342107047972266927193057212145752844  34  solved
 64  100434492136816936837694330845109084865983925860561094792250105140960662967492  69  solved
 65  35277719443716086739775426531471636485072153398121156990866353729849177406404  20  solved
 66  18386056748095829825848009851196102710523120945607946565034222016737812139474  12  solved
 67  41432944162974482476375200186629806191490771004306932461823496443656023132932  26  solved
 68  5674327706782052408054914703364762102817404643967449713380568574608553952354  3  solved
 69  62396054120313649120206640875020382725426464698085867808240009998986069813502  42  solved
 70  26737287439432693317500955882155585153052262616723402341642142361947154737890  17  solved
 75  98618777779166471296552827417426017594235124117738624370156460320680107738232  68  solved
 80  57649997450136075054711083397043703938026365514556787370340996043707585054384  36  solved
 85  93403905324421443683761378689958268375902134421209413145548909353003235802193  65  solved
 90  83365573002147687197100585554979574467884897773291385168666164001826381908454  58  solved
 95  110865705366197928019863147634350414185101622439953790755258770496463183512340  83  solved
100  71114972018207395355725507990517892841842902114331626508181720308625876878211  50  solved
105  71590823099945896594677968982173357141307226298854070505157009396936607052645  52  solved
110  8157978524134058073440232192157700947429814267892137678262399286146935002448  6  solved
115  86874659991626658367842946831010452263861893694230642949560985482174775996871  62  solved
120  106780618697364301013160752901085269143349141625189969218751813687858527715970  78  solved
125  90345062456241089547374089876416006867450826118829152088302203361935572915920  64  solved
130  34389896416174319577427630963188846310852824141986584417052060375549257995306  19  solved
135  101357152476904605881668180826081588268075454883116911551757598187049186127564  71  unsolved
140  114012260715894187604563676959982200966170021821506604558401881108288925839437  88  unsolved
145  37659667418765753629186260291067808644558675815502241757551560374364498596565  21  unsolved
150  53627858098635402858334708487951655465069024493011033412401842300937851233584  32  unsolved
155  111111639152443814359060444769977169935216320518025024254708230142670328859404  84  unsolved
160  101955082354000805383711518450597291462255586377694244072532620027299259493273  72  unsolved
