puzzle_n,r_Py,r_h160,r_Px,r_neg_y,r_Y2p,r_X3p,r_y2_full,r_x3plus7_full,r_p_carry,r_r,r_s,r_z,r_Ry,r_sVH,r_sCHK,r_checksum4,r_addr_y,r_h160_hamming,r_s_inv_z_mod_N,r_sha256_pubkey,r_d,r_n
54,1,116,35,88,7,7,1,35,35,14,75,35,3,123,99,99,99,118,10,12,54,54
110,2,7,3,87,72,72,2,3,3,19,38,2,69,92,46,46,46,26,6,19,78,110
27,3,5,14,86,4,4,3,14,14,68,48,8,70,47,122,122,122,108,37,47,27,27
33,4,40,66,85,2,2,4,66,66,65,17,65,19,110,28,28,28,143,73,42,33,33
105,5,70,75,84,55,55,5,75,75,15,34,58,24,87,64,64,64,141,52,6,77,105
26,6,110,37,83,47,47,6,37,37,23,49,75,82,49,41,41,41,78,1,88,26,26
28,7,9,80,82,49,49,7,80,80,79,71,21,81,160,66,66,66,68,41,64,28,28
59,8,102,30,81,37,37,8,30,30,53,11,17,61,84,68,68,68,79,80,22,59,59
85,9,117,18,80,26,26,9,18,18,4,81,29,62,124,5,5,5,62,65,28,73,85
55,10,127,55,79,25,25,10,55,55,74,26,33,2,137,107,107,107,145,24,74,55,55
68,11,132,16,78,77,77,11,16,16,32,13,16,4,36,35,35,35,126,3,2,68,68
11,12,154,58,77,21,21,12,58,58,9,84,14,49,155,60,60,60,19,67,20,11,11
42,13,83,81,76,18,18,13,81,81,82,27,34,71,119,16,16,16,69,45,86,42,42
125,14,151,22,75,70,70,14,22,22,10,72,37,79,38,82,82,82,95,64,85,81,125
120,15,37,77,74,66,66,15,77,77,58,15,46,34,64,160,160,160,94,78,59,80,120
21,16,18,13,73,22,22,16,13,13,44,74,78,9,120,31,31,31,14,11,1,21,21
13,17,156,70,72,83,83,17,70,70,86,33,30,12,66,49,49,49,47,47,78,13,13
5,18,84,23,71,51,51,18,23,23,47,35,20,28,78,120,120,120,137,61,79,5,5
39,19,4,19,70,32,32,19,19,19,46,3,26,53,13,58,58,58,38,30,63,39,39
38,20,104,76,69,60,60,20,76,76,88,66,50,55,56,137,137,137,89,55,53,38,38
2,21,73,86,68,82,82,21,86,86,37,64,59,80,46,112,112,112,122,27,81,2,2
17,22,105,29,67,69,69,22,29,29,33,88,42,8,15,156,156,156,123,56,87,17,17
62,23,136,17,66,50,50,23,17,17,48,73,71,78,21,159,159,159,72,8,56,62,62
31,24,125,56,65,10,10,24,56,56,39,51,63,11,88,55,55,55,142,35,11,31,31
19,25,140,54,64,68,68,25,54,54,17,55,79,32,131,84,84,84,153,23,15,19,19
1,26,65,51,63,24,24,26,51,51,11,82,76,54,132,51,51,51,44,48,3,1,1
32,27,91,4,62,20,20,27,4,4,81,59,45,57,35,14,14,14,87,28,10,32,32
64,28,32,8,61,45,45,28,8,8,28,69,82,31,8,43,43,43,50,69,5,64,64
58,29,82,9,60,41,41,29,9,9,21,31,77,42,11,118,118,118,59,39,76,58,58
63,30,144,45,59,80,80,30,45,45,76,8,12,10,23,98,98,98,124,34,73,63,63
4,31,87,20,58,62,62,31,20,20,62,70,69,13,33,48,48,48,99,63,66,4,4
48,32,80,61,57,85,85,32,61,61,59,14,80,68,4,115,115,115,116,25,35,48,48
145,33,47,71,56,33,33,33,71,71,54,7,7,,102,75,75,75,83,21,84,,145
37,34,17,52,55,84,84,34,52,52,63,36,39,48,86,126,126,126,21,77,69,37,37
12,35,79,57,54,87,87,35,57,57,16,37,83,36,149,89,89,89,46,14,72,12,12
