puzzle_n,r_X3p,r_h160,r_Px,r_Py,r_neg_y,r_Y2p,r_y2_full,r_x3plus7_full,r_p_carry,r_r,r_s,r_z,r_Ry,r_sVH,r_sCHK,r_checksum4,r_addr_y,r_h160_hamming,r_s_inv_z_mod_N,r_sha256_pubkey,r_d,r_n
16,1,62,64,49,40,1,49,64,64,60,52,48,63,6,27,27,27,157,85,77,16,16
33,2,40,66,4,85,2,4,66,66,65,17,65,19,110,28,28,28,143,73,42,33,33
9,3,72,31,51,38,3,51,31,31,3,50,3,18,42,91,91,91,107,74,65,9,9
27,4,5,14,3,86,4,3,14,14,68,48,8,70,47,122,122,122,108,37,47,27,27
56,5,36,28,80,9,5,80,28,28,41,68,38,29,27,62,62,62,70,31,4,56,56
23,6,121,85,55,34,6,55,85,85,1,53,57,73,138,143,143,143,86,49,27,23,23
54,7,116,35,1,88,7,1,35,35,14,75,35,3,123,99,99,99,118,10,12,54,54
140,8,160,15,88,1,8,88,15,15,80,21,88,,118,72,72,72,155,88,26,,140
40,9,86,65,47,42,9,47,65,65,75,40,60,7,146,117,117,117,39,57,51,40,40
31,10,125,56,24,65,10,24,56,56,39,51,63,11,88,55,55,55,142,35,11,31,31
8,11,129,2,74,15,11,74,2,2,36,4,64,26,69,57,57,57,4,43,29,8,8
95,12,51,63,58,31,12,58,63,63,78,44,40,21,80,78,78,78,24,83,24,75,95
65,13,43,21,82,7,13,82,21,21,35,46,18,66,159,158,158,158,91,20,40,65,65
51,14,145,59,48,41,14,48,59,59,85,39,49,43,2,53,53,53,154,9,21,51,51
80,15,61,53,36,53,15,36,53,53,51,28,25,23,74,70,70,70,151,36,50,72,80
150,16,131,11,87,2,16,87,11,11,87,32,66,,58,7,7,7,125,32,60,,150
49,17,6,39,65,24,17,65,39,39,49,61,10,5,108,13,13,13,144,81,38,49,49
42,18,83,81,13,76,18,13,81,81,82,27,34,71,119,16,16,16,69,45,86,42,42
14,19,88,74,45,44,19,45,74,74,70,58,41,58,19,44,44,44,65,53,41,14,14
32,20,91,4,27,62,20,27,4,4,81,59,45,57,35,14,14,14,87,28,10,32,32
11,21,154,58,12,77,21,12,58,58,9,84,14,49,155,60,60,60,19,67,20,11,11
21,22,18,13,16,73,22,16,13,13,44,74,78,9,120,31,31,31,14,11,1,21,21
34,23,148,26,71,18,23,71,26,26,8,24,23,25,25,155,155,155,138,7,16,34,34
1,24,65,51,26,63,24,26,51,51,11,82,76,54,132,51,51,51,44,48,3,1,1
55,25,127,55,10,79,25,10,55,55,74,26,33,2,137,107,107,107,145,24,74,55,55
