puzzle_n,r_address_payload,r_h160,r_Px,r_Py,r_neg_y,r_Y2p,r_X3p,r_y2_full,r_x3plus7_full,r_p_carry,r_r,r_s,r_z,r_Ry,r_sVH,r_sCHK,r_checksum4,r_addr_y,r_h160_hamming,r_s_inv_z_mod_N,r_sha256_pubkey,r_d,r_n
133,1,1,,,,,,,,,,,,,156,8,8,8,43,,,,133
136,2,2,,,,,,,,,,,,,32,147,147,147,82,,,,136
24,3,3,47,76,13,48,48,76,47,47,52,20,36,72,51,1,1,1,30,70,83,24,24
39,4,4,19,19,70,32,32,19,19,19,46,3,26,53,13,58,58,58,38,30,63,39,39
27,5,5,14,3,86,4,4,3,14,14,68,48,8,70,47,122,122,122,108,37,47,27,27
49,6,6,39,65,24,17,17,65,39,39,49,61,10,5,108,13,13,13,144,81,38,49,49
110,7,7,3,2,87,72,72,2,3,3,19,38,2,69,92,46,46,46,26,6,19,78,110
73,8,8,,,,,,,,,,,,,114,17,17,17,119,,,,73
28,9,9,80,7,82,49,49,7,80,80,79,71,21,81,160,66,66,66,68,41,64,28,28
134,10,10,,,,,,,,,,,,,141,21,21,21,106,,,,134
143,11,11,,,,,,,,,,,,,3,54,54,54,97,,,,143
151,12,12,,,,,,,,,,,,,142,119,119,119,56,,,,151
82,13,13,,,,,,,,,,,,,12,131,131,131,53,,,,82
66,14,14,38,46,43,39,39,46,38,38,20,23,31,22,67,154,154,154,16,12,36,66,66
157,15,15,,,,,,,,,,,,,45,150,150,150,98,,,,157
83,16,16,,,,,,,,,,,,,63,69,69,69,7,,,,83
37,17,17,52,34,55,84,84,34,52,52,63,36,39,48,86,126,126,126,21,77,69,37,37
21,18,18,13,16,73,22,22,16,13,13,44,74,78,9,120,31,31,31,14,11,1,21,21
159,19,19,,,,,,,,,,,,,96,138,138,138,5,,,,159
96,20,20,,,,,,,,,,,,,111,63,63,63,104,,,,96
107,21,21,,,,,,,,,,,,,151,77,77,77,80,,,,107
25,22,22,1,64,25,61,61,64,1,1,12,78,56,40,54,83,83,83,67,76,13,25,25
53,23,23,7,37,52,29,29,37,7,7,45,62,6,14,109,76,76,76,32,40,23,53,53
142,24,24,,,,,,,,,,,,,103,121,121,121,156,,,,142
57,25,25,67,42,47,44,44,42,67,67,83,63,44,56,41,18,18,18,71,15,17,57,57
137,26,26,,,,,,,,,,,,,130,23,23,23,1,,,,137
78,27,27,,,,,,,,,,,,,136,157,157,157,2,,,,78
81,28,28,,,,,,,,,,,,,39,129,129,129,92,,,,81
