puzzle_n,r_h160_hamming,r_h160,r_Px,r_Py,r_neg_y,r_Y2p,r_X3p,r_y2_full,r_x3plus7_full,r_p_carry,r_r,r_s,r_z,r_Ry,r_sVH,r_sCHK,r_checksum4,r_addr_y,r_s_inv_z_mod_N,r_sha256_pubkey,r_d,r_n
137,1,26,,,,,,,,,,,,,130,23,23,23,,,,137
78,2,27,,,,,,,,,,,,,136,157,157,157,,,,78
128,3,133,,,,,,,,,,,,,112,22,22,22,,,,128
8,4,129,2,74,15,11,11,74,2,2,36,4,64,26,69,57,57,57,43,29,8,8
159,5,19,,,,,,,,,,,,,96,138,138,138,,,,159
94,6,113,,,,,,,,,,,,,52,97,97,97,,,,94
83,7,16,,,,,,,,,,,,,63,69,69,69,,,,83
111,8,39,,,,,,,,,,,,,147,93,93,93,,,,111
126,9,57,,,,,,,,,,,,,70,38,38,38,,,,126
47,10,153,24,67,22,64,64,67,24,24,67,42,15,15,16,149,149,149,51,61,47,47
109,11,101,,,,,,,,,,,,,129,100,100,100,,,,109
122,12,135,,,,,,,,,,,,,73,133,133,133,,,,122
154,13,143,,,,,,,,,,,,,116,106,106,106,,,,154
21,14,18,13,16,73,22,22,16,13,13,44,74,78,9,120,31,31,31,11,1,21,21
46,15,90,87,59,30,34,34,59,87,87,64,79,43,17,71,88,88,88,46,39,46,46
66,16,14,38,46,43,39,39,46,38,38,20,23,31,22,67,154,154,154,12,36,66,66
114,17,34,,,,,,,,,,,,,50,59,59,59,,,,114
130,18,94,44,62,27,58,58,62,44,44,57,19,51,45,93,12,12,12,19,52,82,130
11,19,154,58,12,77,21,21,12,58,58,9,84,14,49,155,60,60,60,67,20,11,11
15,20,159,88,70,19,65,65,70,88,88,61,83,28,16,100,101,101,101,75,75,15,15
37,21,17,52,34,55,84,84,34,52,52,63,36,39,48,86,126,126,126,77,69,37,37
89,22,48,,,,,,,,,,,,,139,67,67,67,,,,89
116,23,137,,,,,,,,,,,,,81,61,61,61,,,,116
95,24,51,63,58,31,12,12,58,63,63,78,44,40,21,80,78,78,78,83,24,75,95
101,25,69,,,,,,,,,,,,,31,11,11,11,,,,101
110,26,7,3,2,87,72,72,2,3,3,19,38,2,69,92,46,46,46,6,19,78,110
112,27,41,,,,,,,,,,,,,150,145,145,145,,,,112
118,28,147,,,,,,,,,,,,,48,144,144,144,,,,118
129,29,107,,,,,,,,,,,,,134,105,105,105,,,,129
24,30,3,47,76,13,48,48,76,47,47,52,20,36,72,51,1,1,1,70,83,24,24
43,31,155,68,69,20,56,56,69,68,68,27,25,5,46,55,114,114,114,82,14,43,43
53,32,23,7,37,52,29,29,37,7,7,45,62,6,14,109,76,76,76,40,23,53,53
77,33,67,,,,,,,,,,,,,24,37,37,37,,,,77
90,34,120,40,60,29,81,81,60,40,40,2,80,67,39,20,132,132,132,58,37,74,90
102,35,152,,,,,,,,,,,,,115,123,123,123,,,,102
131,36,33,,,,,,,,,,,,,5,36,36,36,,,,131
138,37,58,,,,,,,,,,,,,22,85,85,85,,,,138
39,38,4,19,19,70,32,32,19,19,19,46,3,26,53,13,58,58,58,30,63,39,39
40,39,86,65,47,42,9,9,47,65,65,75,40,60,7,146,117,117,117,57,51,40,40
106,40,42,,,,,,,,,,,,,94,19,19,19,,,,106
119,41,100,,,,,,,,,,,,,95,90,90,90,,,,119
124,42,66,,,,,,,,,,,,,127,24,24,24,,,,124
133,43,1,,,,,,,,,,,,,156,8,8,8,,,,133
1,44,65,51,26,63,24,24,26,51,51,11,82,76,54,132,51,51,51,48,3,1,1
7,45,134,62,66,23,76,76,66,62,62,69,9,9,52,89,50,50,50,18,9,7,7
12,46,79,57,35,54,87,87,35,57,57,16,37,83,36,149,89,89,89,14,72,12,12
13,47,156,70,17,72,83,83,17,70,70,86,33,30,12,66,49,49,49,47,78,13,13
30,48,123,6,63,26,42,42,63,6,6,66,2,32,50,105,10,10,10,59,18,30,30
44,49,78,43,44,45,71,71,44,43,43,24,65,52,74,140,34,34,34,2,34,44,44
64,50,32,8,28,61,45,45,28,8,8,28,69,82,31,8,43,43,43,69,5,64,64
69,51,52,36,73,16,86,86,73,36,36,6,6,55,77,144,127,127,127,42,70,69,69
70,52,49,60,78,11,31,31,78,60,60,22,45,87,59,76,45,45,45,17,82,70,70
82,53,13,,,,,,,,,,,,,12,131,131,131,,,,82
86,54,112,,,,,,,,,,,,,7,29,29,29,,,,86
127,55,97,,,,,,,,,,,,,143,20,20,20,,,,127
151,56,12,,,,,,,,,,,,,142,119,119,119,,,,151
156,57,92,,,,,,,,,,,,,30,140,140,140,,,,156
18,58,99,5,53,36,63,63,53,5,5,5,85,68,67,43,130,130,130,54,7,18,18
58,59,82,9,29,60,41,41,29,9,9,21,31,77,42,11,118,118,118,39,76,58,58
61,60,56,34,75,14,67,67,75,34,34,38,12,81,38,60,74,74,74,22,31,61,61
84,61,71,,,,,,,,,,,,,125,148,148,148,,,,84
85,62,117,18,9,80,26,26,9,18,18,4,81,29,62,124,5,5,5,65,28,73,85
87,63,158,,,,,,,,,,,,,106,32,32,32,,,,87
148,64,95,,,,,,,,,,,,,28,139,139,139,,,,148
14,65,88,74,45,44,19,19,45,74,74,70,58,41,58,19,44,44,44,53,41,14,14
20,66,106,25,52,37,79,79,52,25,25,18,29,22,20,121,30,30,30,38,44,20,20
25,67,22,1,64,25,61,61,64,1,1,12,78,56,40,54,83,83,83,76,13,25,25
28,68,9,80,7,82,49,49,7,80,80,79,71,21,81,160,66,66,66,41,64,28,28
42,69,83,81,13,76,18,18,13,81,81,82,27,34,71,119,16,16,16,45,86,42,42
