puzzle_n,r_r,r_h160,r_Px,r_Py,r_neg_y,r_Y2p,r_X3p,r_y2_full,r_x3plus7_full,r_p_carry,r_s,r_z,r_Ry,r_sVH,r_sCHK,r_checksum4,r_addr_y,r_h160_hamming,r_s_inv_z_mod_N,r_sha256_pubkey,r_d,r_n
23,1,121,85,55,34,6,6,55,85,85,53,57,73,138,143,143,143,86,49,27,23,23
90,2,120,40,60,29,81,81,60,40,40,80,67,39,20,132,132,132,34,58,37,74,90
9,3,72,31,51,38,3,3,51,31,31,50,3,18,42,91,91,91,107,74,65,9,9
85,4,117,18,9,80,26,26,9,18,18,81,29,62,124,5,5,5,62,65,28,73,85
18,5,99,5,53,36,63,63,53,5,5,85,68,67,43,130,130,130,58,54,7,18,18
69,6,52,36,73,16,86,86,73,36,36,6,55,77,144,127,127,127,51,42,70,69,69
22,7,77,27,43,46,74,74,43,27,27,10,72,44,14,153,153,153,100,13,54,22,22
34,8,148,26,71,18,23,23,71,26,26,24,23,25,25,155,155,155,138,7,16,34,34
11,9,154,58,12,77,21,21,12,58,58,84,14,49,155,60,60,60,19,67,20,11,11
125,10,151,22,14,75,70,70,14,22,22,72,37,79,38,82,82,82,95,64,85,81,125
1,11,65,51,26,63,24,24,26,51,51,82,76,54,132,51,51,51,44,48,3,1,1
25,12,22,1,64,25,61,61,64,1,1,78,56,40,54,83,83,83,67,76,13,25,25
75,13,108,49,57,32,54,54,57,49,49,47,85,35,157,110,110,110,129,68,80,71,75
54,14,116,35,1,88,7,7,1,35,35,75,35,3,123,99,99,99,118,10,12,54,54
105,15,70,75,5,84,55,55,5,75,75,34,58,24,87,64,64,64,141,52,6,77,105
12,16,79,57,35,54,87,87,35,57,57,37,83,36,149,89,89,89,46,14,72,12,12
19,17,140,54,25,64,68,68,25,54,54,55,79,32,131,84,84,84,153,23,15,19,19
20,18,106,25,52,37,79,79,52,25,25,29,22,20,121,30,30,30,66,38,44,20,20
110,19,7,3,2,87,72,72,2,3,3,38,2,69,92,46,46,46,26,6,19,78,110
66,20,14,38,46,43,39,39,46,38,38,23,31,22,67,154,154,154,16,12,36,66,66
58,21,82,9,29,60,41,41,29,9,9,31,77,42,11,118,118,118,59,39,76,58,58
70,22,49,60,78,11,31,31,78,60,60,45,87,59,76,45,45,45,52,17,82,70,70
26,23,110,37,6,83,47,47,6,37,37,49,75,82,49,41,41,41,78,1,88,26,26
44,24,78,43,44,45,71,71,44,43,43,65,52,74,140,34,34,34,49,2,34,44,44
50,25,130,83,83,6,52,52,83,83,83,43,13,75,82,102,102,102,110,87,55,50,50
36,26,64,73,41,48,53,53,41,73,73,87,84,64,154,152,152,152,88,4,43,36,36
43,27,155,68,69,20,56,56,69,68,68,25,5,46,55,114,114,114,31,82,14,43,43
64,28,32,8,28,61,45,45,28,8,8,69,82,31,8,43,43,43,50,69,5,64,64
35,29,149,84,54,35,28,28,54,84,84,86,53,60,153,125,125,125,139,44,33,35,35
6,30,157,82,81,8,30,30,81,82,82,1,19,65,145,81,81,81,114,5,32,6,6
3,31,50,41,40,49,73,73,40,41,41,18,74,33,98,42,42,42,150,16,57,3,3
68,32,132,16,11,78,77,77,11,16,16,13,16,4,36,35,35,35,126,3,2,68,68
17,33,105,29,22,67,69,69,22,29,29,88,42,8,15,156,156,156,123,56,87,17,17
100,34,114,78,50,39,35,35,50,78,78,56,11,76,97,47,47,47,147,50,30,76,100
65,35,43,21,82,7,13,13,82,21,21,46,18,66,159,158,158,158,91,20,40,65,65
8,36,129,2,74,15,11,11,74,2,2,4,64,26,69,57,57,57,4,43,29,8,8
2,37,73,86,21,68,82,82,21,86,86,64,59,80,46,112,112,112,122,27,81,2,2
61,38,56,34,75,14,67,67,75,34,34,12,81,38,60,74,74,74,60,22,31,61,61
31,39,125,56,24,65,10,10,24,56,56,51,63,11,88,55,55,55,142,35,11,31,31
