puzzle_n,r_s_inv_z_mod_N,r_h160,r_Px,r_Py,r_neg_y,r_Y2p,r_X3p,r_y2_full,r_x3plus7_full,r_p_carry,r_r,r_s,r_z,r_Ry,r_sVH,r_sCHK,r_checksum4,r_addr_y,r_h160_hamming,r_sha256_pubkey,r_d,r_n
26,1,110,37,6,83,47,47,6,37,37,23,49,75,82,49,41,41,41,78,88,26,26
44,2,78,43,44,45,71,71,44,43,43,24,65,52,74,140,34,34,34,49,34,44,44
68,3,132,16,11,78,77,77,11,16,16,32,13,16,4,36,35,35,35,126,2,68,68
36,4,64,73,41,48,53,53,41,73,73,26,87,84,64,154,152,152,152,88,43,36,36
6,5,157,82,81,8,30,30,81,82,82,30,1,19,65,145,81,81,81,114,32,6,6
110,6,7,3,2,87,72,72,2,3,3,19,38,2,69,92,46,46,46,26,19,78,110
34,7,148,26,71,18,23,23,71,26,26,8,24,23,25,25,155,155,155,138,16,34,34
62,8,136,17,23,66,50,50,23,17,17,48,73,71,78,21,159,159,159,72,56,62,62
51,9,145,59,48,41,14,14,48,59,59,85,39,49,43,2,53,53,53,154,21,51,51
54,10,116,35,1,88,7,7,1,35,35,14,75,35,3,123,99,99,99,118,12,54,54
21,11,18,13,16,73,22,22,16,13,13,44,74,78,9,120,31,31,31,14,1,21,21
66,12,14,38,46,43,39,39,46,38,38,20,23,31,22,67,154,154,154,16,36,66,66
22,13,77,27,43,46,74,74,43,27,27,7,10,72,44,14,153,153,153,100,54,22,22
12,14,79,57,35,54,87,87,35,57,57,16,37,83,36,149,89,89,89,46,72,12,12
57,15,25,67,42,47,44,44,42,67,67,83,63,44,56,41,18,18,18,71,17,57,57
3,16,50,41,40,49,73,73,40,41,41,31,18,74,33,98,42,42,42,150,57,3,3
70,17,49,60,78,11,31,31,78,60,60,22,45,87,59,76,45,45,45,52,82,70,70
7,18,134,62,66,23,76,76,66,62,62,69,9,9,52,89,50,50,50,45,9,7,7
130,19,94,44,62,27,58,58,62,44,44,57,19,51,45,93,12,12,12,18,52,82,130
65,20,43,21,82,7,13,13,82,21,21,35,46,18,66,159,158,158,158,91,40,65,65
145,21,47,71,33,56,33,33,33,71,71,54,7,7,,102,75,75,75,83,84,,145
61,22,56,34,75,14,67,67,75,34,34,38,12,81,38,60,74,74,74,60,31,61,61
19,23,140,54,25,64,68,68,25,54,54,17,55,79,32,131,84,84,84,153,15,19,19
55,24,127,55,10,79,25,25,10,55,55,74,26,33,2,137,107,107,107,145,74,55,55
48,25,80,61,32,57,85,85,32,61,61,59,14,80,68,4,115,115,115,116,35,48,48
67,26,63,10,84,5,38,38,84,10,10,42,76,4,41,79,71,71,71,101,62,67,67
2,27,73,86,21,68,82,82,21,86,86,37,64,59,80,46,112,112,112,122,81,2,2
32,28,91,4,27,62,20,20,27,4,4,81,59,45,57,35,14,14,14,87,10,32,32
52,29,29,50,79,10,40,40,79,50,50,43,54,73,6,10,124,124,124,117,49,52,52
39,30,4,19,19,70,32,32,19,19,19,46,3,26,53,13,58,58,58,38,63,39,39
56,31,36,28,80,9,5,5,80,28,28,41,68,38,29,27,62,62,62,70,4,56,56
150,32,131,11,87,2,16,16,87,11,11,87,32,66,,58,7,7,7,125,60,,150
60,33,118,33,72,17,36,36,72,33,33,77,67,61,1,40,116,116,116,111,58,60,60
63,34,144,45,30,59,80,80,30,45,45,76,8,12,10,23,98,98,98,124,73,63,63
31,35,125,56,24,65,10,10,24,56,56,39,51,63,11,88,55,55,55,142,11,31,31
80,36,61,53,36,53,15,15,36,53,53,51,28,25,23,74,70,70,70,151,50,72,80
27,37,5,14,3,86,4,4,3,14,14,68,48,8,70,47,122,122,122,108,47,27,27
20,38,106,25,52,37,79,79,52,25,25,18,29,22,20,121,30,30,30,66,44,20,20
58,39,82,9,29,60,41,41,29,9,9,21,31,77,42,11,118,118,118,59,76,58,58
53,40,23,7,37,52,29,29,37,7,7,45,62,6,14,109,76,76,76,32,23,53,53
28,41,9,80,7,82,49,49,7,80,80,79,71,21,81,160,66,66,66,68,64,28,28
69,42,52,36,73,16,86,86,73,36,36,6,6,55,77,144,127,127,127,51,70,69,69
8,43,129,2,74,15,11,11,74,2,2,36,4,64,26,69,57,57,57,4,29,8,8
35,44,149,84,54,35,28,28,54,84,84,29,86,53,60,153,125,125,125,139,33,35,35
42,45,83,81,13,76,18,18,13,81,81,82,27,34,71,119,16,16,16,69,86,42,42
46,46,90,87,59,30,34,34,59,87,87,64,79,43,17,71,88,88,88,15,39,46,46
13,47,156,70,17,72,83,83,17,70,70,86,33,30,12,66,49,49,49,47,78,13,13
1,48,65,51,26,63,24,24,26,51,51,11,82,76,54,132,51,51,51,44,3,1,1
23,49,121,85,55,34,6,6,55,85,85,1,53,57,73,138,143,143,143,86,27,23,23
100,50,114,78,50,39,35,35,50,78,78,34,56,11,76,97,47,47,47,147,30,76,100
47,51,153,24,67,22,64,64,67,24,24,67,42,15,15,16,149,149,149,10,61,47,47
105,52,70,75,5,84,55,55,5,75,75,15,34,58,24,87,64,64,64,141,6,77,105
14,53,88,74,45,44,19,19,45,74,74,70,58,41,58,19,44,44,44,65,41,14,14
18,54,99,5,53,36,63,63,53,5,5,5,85,68,67,43,130,130,130,58,7,18,18
38,55,104,76,20,69,60,60,20,76,76,88,66,50,55,56,137,137,137,89,53,38,38
17,56,105,29,22,67,69,69,22,29,29,33,88,42,8,15,156,156,156,123,87,17,17
40,57,86,65,47,42,9,9,47,65,65,75,40,60,7,146,117,117,117,39,51,40,40
90,58,120,40,60,29,81,81,60,40,40,2,80,67,39,20,132,132,132,34,37,74,90
30,59,123,6,63,26,42,42,63,6,6,66,2,32,50,105,10,10,10,48,18,30,30
41,60,122,72,56,33,75,75,56,72,72,50,77,70,37,148,113,113,113,115,67,41,41
5,61,84,23,18,71,51,51,18,23,23,47,35,20,28,78,120,120,120,137,79,5,5
115,62,139,32,39,50,46,46,39,32,32,55,5,1,47,91,94,94,94,149,25,79,115
4,63,87,20,31,58,62,62,31,20,20,62,70,69,13,33,48,48,48,99,66,4,4
125,64,151,22,14,75,70,70,14,22,22,10,72,37,79,38,82,82,82,95,85,81,125
85,65,117,18,9,80,26,26,9,18,18,4,81,29,62,124,5,5,5,62,28,73,85
10,66,124,69,77,12,27,27,77,69,69,56,41,24,51,135,111,111,111,77,45,10,10
11,67,154,58,12,77,21,21,12,58,58,9,84,14,49,155,60,60,60,19,20,11,11
75,68,108,49,57,32,54,54,57,49,49,13,47,85,35,157,110,110,110,129,80,71,75
64,69,32,8,28,61,45,45,28,8,8,28,69,82,31,8,43,43,43,50,5,64,64
24,70,3,47,76,13,48,48,76,47,47,52,20,36,72,51,1,1,1,30,83,24,24
135,71,31,12,38,51,59,59,38,12,12,71,22,54,,85,79,79,79,96,68,,135
160,72,138,79,68,21,78,78,68,79,79,40,30,62,,101,56,56,56,85,46,,160
33,73,40,66,4,85,2,2,4,66,66,65,17,65,19,110,28,28,28,143,42,33,33
9,74,72,31,51,38,3,3,51,31,31,3,50,3,18,42,91,91,91,107,65,9,9
15,75,159,88,70,19,65,65,70,88,88,61,83,28,16,100,101,101,101,20,75,15,15
25,76,22,1,64,25,61,61,64,1,1,12,78,56,40,54,83,83,83,67,13,25,25
37,77,17,52,34,55,84,84,34,52,52,63,36,39,48,86,126,126,126,21,69,37,37
120,78,37,77,15,74,66,66,15,77,77,58,15,46,34,64,160,160,160,94,59,80,120
29,79,46,46,85,4,43,43,85,46,46,73,60,27,27,122,128,128,128,109,71,29,29
59,80,102,30,8,81,37,37,8,30,30,53,11,17,61,84,68,68,68,79,22,59,59
49,81,6,39,65,24,17,17,65,39,39,49,61,10,5,108,13,13,13,144,38,49,49
43,82,155,68,69,20,56,56,69,68,68,27,25,5,46,55,114,114,114,31,14,43,43
95,83,51,63,58,31,12,12,58,63,63,78,44,40,21,80,78,78,78,24,24,75,95
155,84,60,42,86,3,88,88,86,42,42,84,16,47,,62,135,135,135,148,48,,155
16,85,62,64,49,40,1,1,49,64,64,60,52,48,63,6,27,27,27,157,77,16,16
45,86,146,48,61,28,57,57,61,48,48,72,57,86,30,113,109,109,109,90,8,45,45
50,87,130,83,83,6,52,52,83,83,83,25,43,13,75,82,102,102,102,110,55,50,50
140,88,160,15,88,1,8,8,88,15,15,80,21,88,,118,72,72,72,155,26,,140
71,,150,,,,,,,,,,,,,90,108,108,108,127,,,71
72,,109,,,,,,,,,,,,,34,15,15,15,128,,,72
73,,8,,,,,,,,,,,,,114,17,17,17,119,,,73
74,,93,,,,,,,,,,,,,83,95,95,95,140,,,74
76,,81,,,,,,,,,,,,,77,103,103,103,102,,,76
77,,67,,,,,,,,,,,,,24,37,37,37,33,,,77
78,,27,,,,,,,,,,,,,136,157,157,157,2,,,78
79,,55,,,,,,,,,,,,,57,136,136,136,112,,,79
81,,28,,,,,,,,,,,,,39,129,129,129,92,,,81
82,,13,,,,,,,,,,,,,12,131,131,131,53,,,82
83,,16,,,,,,,,,,,,,63,69,69,69,7,,,83
84,,71,,,,,,,,,,,,,125,148,148,148,61,,,84
86,,112,,,,,,,,,,,,,7,29,29,29,54,,,86
87,,158,,,,,,,,,,,,,106,32,32,32,63,,,87
88,,30,,,,,,,,,,,,,65,3,3,3,130,,,88
89,,48,,,,,,,,,,,,,139,67,67,67,22,,,89
91,,89,,,,,,,,,,,,,126,52,52,52,120,,,91
92,,54,,,,,,,,,,,,,117,2,2,2,73,,,92
93,,35,,,,,,,,,,,,,26,104,104,104,103,,,93
94,,113,,,,,,,,,,,,,52,97,97,97,6,,,94
96,,20,,,,,,,,,,,,,111,63,63,63,104,,,96
97,,45,,,,,,,,,,,,,44,151,151,151,158,,,97
98,,75,,,,,,,,,,,,,9,141,141,141,159,,,98
99,,111,,,,,,,,,,,,,17,26,26,26,146,,,99
101,,69,,,,,,,,,,,,,31,11,11,11,25,,,101
102,,152,,,,,,,,,,,,,115,123,123,123,35,,,102
103,,59,,,,,,,,,,,,,158,86,86,86,131,,,103
104,,85,,,,,,,,,,,,,107,87,87,87,132,,,104
106,,42,,,,,,,,,,,,,94,19,19,19,40,,,106
107,,21,,,,,,,,,,,,,151,77,77,77,80,,,107
108,,103,,,,,,,,,,,,,133,6,6,6,121,,,108
109,,101,,,,,,,,,,,,,129,100,100,100,11,,,109
111,,39,,,,,,,,,,,,,147,93,93,93,8,,,111
112,,41,,,,,,,,,,,,,150,145,145,145,27,,,112
113,,141,,,,,,,,,,,,,37,134,134,134,74,,,113
114,,34,,,,,,,,,,,,,50,59,59,59,17,,,114
116,,137,,,,,,,,,,,,,81,61,61,61,23,,,116
117,,115,,,,,,,,,,,,,29,96,96,96,93,,,117
118,,147,,,,,,,,,,,,,48,144,144,144,28,,,118
119,,100,,,,,,,,,,,,,95,90,90,90,41,,,119
121,,98,,,,,,,,,,,,,1,142,142,142,81,,,121
122,,135,,,,,,,,,,,,,73,133,133,133,12,,,122
123,,76,,,,,,,,,,,,,75,146,146,146,105,,,123
124,,66,,,,,,,,,,,,,127,24,24,24,42,,,124
126,,57,,,,,,,,,,,,,70,38,38,38,9,,,126
127,,97,,,,,,,,,,,,,143,20,20,20,55,,,127
128,,133,,,,,,,,,,,,,112,22,22,22,3,,,128
129,,107,,,,,,,,,,,,,134,105,105,105,29,,,129
131,,33,,,,,,,,,,,,,5,36,36,36,36,,,131
132,,119,,,,,,,,,,,,,59,4,4,4,113,,,132
133,,1,,,,,,,,,,,,,156,8,8,8,43,,,133
134,,10,,,,,,,,,,,,,141,21,21,21,106,,,134
136,,2,,,,,,,,,,,,,32,147,147,147,82,,,136
137,,26,,,,,,,,,,,,,130,23,23,23,1,,,137
138,,58,,,,,,,,,,,,,22,85,85,85,37,,,138
139,,96,,,,,,,,,,,,,72,40,40,40,133,,,139
141,,68,,,,,,,,,,,,,61,33,33,33,152,,,141
142,,24,,,,,,,,,,,,,103,121,121,121,156,,,142
143,,11,,,,,,,,,,,,,3,54,54,54,97,,,143
144,,142,,,,,,,,,,,,,104,80,80,80,75,,,144
146,,128,,,,,,,,,,,,,18,92,92,92,84,,,146
147,,44,,,,,,,,,,,,,99,25,25,25,134,,,147
148,,95,,,,,,,,,,,,,28,139,139,139,64,,,148
149,,74,,,,,,,,,,,,,128,39,39,39,135,,,149
151,,12,,,,,,,,,,,,,142,119,119,119,56,,,151
152,,126,,,,,,,,,,,,,53,73,73,73,136,,,152
153,,38,,,,,,,,,,,,,152,65,65,65,160,,,153
154,,143,,,,,,,,,,,,,116,106,106,106,13,,,154
156,,92,,,,,,,,,,,,,30,140,140,140,57,,,156
157,,15,,,,,,,,,,,,,45,150,150,150,98,,,157
158,,53,,,,,,,,,,,,,68,9,9,9,76,,,158
159,,19,,,,,,,,,,,,,96,138,138,138,5,,,159
