puzzle_n,r_sha256_vh,r_h160,r_Px,r_Py,r_neg_y,r_Y2p,r_X3p,r_y2_full,r_x3plus7_full,r_p_carry,r_r,r_s,r_z,r_Ry,r_sVH,r_sCHK,r_checksum4,r_addr_y,r_h160_hamming,r_s_inv_z_mod_N,r_sha256_pubkey,r_d,r_n
121,1,98,,,,,,,,,,,,,1,142,142,142,81,,,,121
51,2,145,59,48,41,14,14,48,59,59,85,39,49,43,2,53,53,53,154,9,21,51,51
143,3,11,,,,,,,,,,,,,3,54,54,54,97,,,,143
48,4,80,61,32,57,85,85,32,61,61,59,14,80,68,4,115,115,115,116,25,35,48,48
131,5,33,,,,,,,,,,,,,5,36,36,36,36,,,,131
16,6,62,64,49,40,1,1,49,64,64,60,52,48,63,6,27,27,27,157,85,77,16,16
86,7,112,,,,,,,,,,,,,7,29,29,29,54,,,,86
64,8,32,8,28,61,45,45,28,8,8,28,69,82,31,8,43,43,43,50,69,5,64,64
98,9,75,,,,,,,,,,,,,9,141,141,141,159,,,,98
52,10,29,50,79,10,40,40,79,50,50,43,54,73,6,10,124,124,124,117,29,49,52,52
58,11,82,9,29,60,41,41,29,9,9,21,31,77,42,11,118,118,118,59,39,76,58,58
82,12,13,,,,,,,,,,,,,12,131,131,131,53,,,,82
39,13,4,19,19,70,32,32,19,19,19,46,3,26,53,13,58,58,58,38,30,63,39,39
22,14,77,27,43,46,74,74,43,27,27,7,10,72,44,14,153,153,153,100,13,54,22,22
17,15,105,29,22,67,69,69,22,29,29,33,88,42,8,15,156,156,156,123,56,87,17,17
47,16,153,24,67,22,64,64,67,24,24,67,42,15,15,16,149,149,149,10,51,61,47,47
99,17,111,,,,,,,,,,,,,17,26,26,26,146,,,,99
146,18,128,,,,,,,,,,,,,18,92,92,92,84,,,,146
14,19,88,74,45,44,19,19,45,74,74,70,58,41,58,19,44,44,44,65,53,41,14,14
90,20,120,40,60,29,81,81,60,40,40,2,80,67,39,20,132,132,132,34,58,37,74,90
62,21,136,17,23,66,50,50,23,17,17,48,73,71,78,21,159,159,159,72,8,56,62,62
138,22,58,,,,,,,,,,,,,22,85,85,85,37,,,,138
63,23,144,45,30,59,80,80,30,45,45,76,8,12,10,23,98,98,98,124,34,73,63,63
77,24,67,,,,,,,,,,,,,24,37,37,37,33,,,,77
34,25,148,26,71,18,23,23,71,26,26,8,24,23,25,25,155,155,155,138,7,16,34,34
93,26,35,,,,,,,,,,,,,26,104,104,104,103,,,,93
56,27,36,28,80,9,5,5,80,28,28,41,68,38,29,27,62,62,62,70,31,4,56,56
148,28,95,,,,,,,,,,,,,28,139,139,139,64,,,,148
117,29,115,,,,,,,,,,,,,29,96,96,96,93,,,,117
156,30,92,,,,,,,,,,,,,30,140,140,140,57,,,,156
101,31,69,,,,,,,,,,,,,31,11,11,11,25,,,,101
136,32,2,,,,,,,,,,,,,32,147,147,147,82,,,,136
4,33,87,20,31,58,62,62,31,20,20,62,70,69,13,33,48,48,48,99,63,66,4,4
72,34,109,,,,,,,,,,,,,34,15,15,15,128,,,,72
32,35,91,4,27,62,20,20,27,4,4,81,59,45,57,35,14,14,14,87,28,10,32,32
68,36,132,16,11,78,77,77,11,16,16,32,13,16,4,36,35,35,35,126,3,2,68,68
113,37,141,,,,,,,,,,,,,37,134,134,134,74,,,,113
125,38,151,22,14,75,70,70,14,22,22,10,72,37,79,38,82,82,82,95,64,85,81,125
81,39,28,,,,,,,,,,,,,39,129,129,129,92,,,,81
60,40,118,33,72,17,36,36,72,33,33,77,67,61,1,40,116,116,116,111,33,58,60,60
57,41,25,67,42,47,44,44,42,67,67,83,63,44,56,41,18,18,18,71,15,17,57,57
9,42,72,31,51,38,3,3,51,31,31,3,50,3,18,42,91,91,91,107,74,65,9,9
18,43,99,5,53,36,63,63,53,5,5,5,85,68,67,43,130,130,130,58,54,7,18,18
97,44,45,,,,,,,,,,,,,44,151,151,151,158,,,,97
157,45,15,,,,,,,,,,,,,45,150,150,150,98,,,,157
2,46,73,86,21,68,82,82,21,86,86,37,64,59,80,46,112,112,112,122,27,81,2,2
27,47,5,14,3,86,4,4,3,14,14,68,48,8,70,47,122,122,122,108,37,47,27,27
118,48,147,,,,,,,,,,,,,48,144,144,144,28,,,,118
26,49,110,37,6,83,47,47,6,37,37,23,49,75,82,49,41,41,41,78,1,88,26,26
114,50,34,,,,,,,,,,,,,50,59,59,59,17,,,,114
