puzzle_n,H,rmd160,r_Px,R160_Px,E_Px,r_Py,R160_Py,E_Py,r_neg_y,R160_neg_y,E_neg_y,r_y2_full,R160_y2_full,E_y2_full,r_x3plus7_full,R160_x3plus7_full,E_x3plus7_full,r_p_carry,R160_p_carry,E_p_carry,r_r,R160_r,E_r,r_s,R160_s,E_s,r_z,R160_z,E_z,r_Ry,R160_Ry,E_Ry,r_d,R160_d,E_d,y2_full,x3plus7_full,p_carry,H_hat,B,B_E
133,1,7450356150302098424031656932077869694484778575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,2,29380874063263221243322914031204830152914240356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3,53385893695830736954287151536774605509274148399,47,85.068966,82.068966,76,138.068966,135.068966,13,22.931034,19.931034,76,138.068966,135.068966,47,85.068966,82.068966,47,85.068966,82.068966,52,94.206897,91.206897,20,35.724138,32.724138,36,64.965517,61.965517,72,140.370370,137.370370,24,46.148148,43.148148,9211647689780820127072133132312489925227626822368328653661485239897748458891490805082744791907649878506792990888009062428635393768886426311670560723489681,125387720556363790751479139022251974365271226294038872450512193715919548687467341026783222079671158608565542865834966505298348492301962918099273823645304170892922009576208330975493212145883030572750304007180656979634727760111285959,1082869489463838271124518309152794966043039728274499739046345391158744832068230806387959941588098536098104357723846067025871582409380093537031737660200106,87.821461,84.821461,84.821461
39,4,63876230572707873508234135797240279655584434294,19,33.896552,29.896552,19,33.896552,29.896552,70,127.103448,123.103448,19,33.896552,29.896552,19,33.896552,29.896552,19,33.896552,29.896552,46,83.241379,79.241379,3,4.655172,0.655172,26,46.689655,42.689655,53,103.074074,99.074074,39,75.592593,71.592593,591065693032485846367419332391595381098139943186077311481512984730881053342804452271941121826370323441534864431477126159528184283099874310827744750137156,8698283428585064581203783692176657373432915821728494200577990889239159312422065452841322005728422343859206598148663671829744318842451513286330484098683142857086363810965553148603824726635753507516627794126654002975721720493030882,75119841829245428998753389480170107364862210767367388237863017741077731858101206615424747113256922221557493496908096410269555187685466330691824371940802,67.300434,63.300434,63.300434
27,5,71243861791265191137214191320679822682818958688,14,24.758621,19.758621,3,4.655172,-0.344828,86,156.344828,151.344828,3,4.655172,-0.344828,14,24.758621,19.758621,14,24.758621,19.758621,68,123.448276,118.448276,48,86.896552,81.896552,8,13.793103,8.793103,70,136.444444,131.444444,27,52.037037,47.037037,2163675362603464470310530948350778341318420042118072524741518174455936402401004426366534688450951766166581359441438912146711880623473761653082357357761,1726883044627444021815479804501688523158307886117494037257322211476902800608017611349272863556347291729537079530192104708766019412582222122433533929414016087054373803307672187254204777231810500006552888167965878865389156112174015,14913653048337288573461462396354123219851881492828779941053382497568702105374760569835155679873254486547127990694146863406659893777788411500247680674658,62.426034,57.426034,57.426034
49,6,75272264897479209870015558571483750752661274099,39,70.448276,64.448276,65,117.965517,111.965517,24,43.034483,37.034483,65,117.965517,111.965517,39,70.448276,64.448276,39,70.448276,64.448276,49,88.724138,82.724138,61,110.655172,104.655172,10,17.448276,11.448276,5,8.851852,2.851852,49,95.222222,89.222222,7138081631638819874279057490831804058018442070043888576394752228935380817819970534298143303742721169979435651482375211707927350352549398752048530145605264,65488843243935179511607337737529657648449195584122666295372343283803806926025116755876266084357134618390560603386228112344399446181110267399678733974597879879449370148306069989328630029154573378336030048617448807539749413926131783,565572688732782261023582525809337629780263965625094132039434870176843263354077802414422663683042594748603747508899686600845050578493291849847223663192313,83.056898,77.056898,77.056898
110,7,82049690233000541999703872760420841279646528007,3,4.655172,-2.344828,2,2.827586,-4.172414,87,158.172414,151.172414,2,2.827586,-4.172414,3,4.655172,-2.344828,3,4.655172,-2.344828,19,33.896552,26.896552,38,68.620690,61.620690,2,2.827586,-4.172414,69,134.481481,127.481481,78,152.148148,145.148148,1762299217716137748342954968744814975983952636591147835302836366060419629097130114244842175390385474199249544403559598387632245871222958041865895470001,81653443729832763626294229368837721744876099418649615387721738677779047685453265004345547769727459296569247029310039729503882267104873200479194452888549567328986726605454791132128183350936939242660862494821034946337618742746988,705172903154755357542719611615601322580469828301318597696090341292339867365177778710818310822733741371742086101858746306703610914837285079856130218549,58.810513,51.810513,51.810513
73,8,93384296080826527513866566226544575789017883620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,9,108620822813522492266376581819639427924697199066,80,145.379310,136.379310,7,11.965517,2.965517,82,149.034483,140.034483,7,11.965517,2.965517,80,145.379310,136.379310,80,145.379310,136.379310,79,143.551724,134.551724,71,128.931034,119.931034,21,37.551724,28.551724,81,158.037037,149.037037,28,54.000000,45.000000,20286318844786967701026288388678764710063061048630099063560508919252162133766694796027599704899026162717713847611611090624200855260027843619500762321681,1184150831097103735251677773512386229516210395047181240099609623156352665331452390796507140058301505332347212462842099168702286681020080505884425656655322243239139693553217450718844084203926659453536736232195075648918426889136984382,10226526172009760111597487778893033194571539290185671473404751155750676094101380363478784995187213222900691555849461631418930391965273755899479336140310627,83.703480,74.703480,74.703480
134,10,135006967471722839980834131417616923823772958905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,11,148015448143850938387727920767978496077960910416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,12,150211390682429332175597990070554728164462314990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,13,187383170712278387814651781948281117334709006433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,14,187423338981158211254787117322131734317871511717,38,68.620690,54.620690,46,83.241379,69.241379,43,77.758621,63.758621,46,83.241379,69.241379,38,68.620690,54.620690,38,68.620690,54.620690,20,35.724138,21.724138,23,41.206897,27.206897,31,55.827586,41.827586,22,42.222222,28.222222,66,128.592593,114.592593,3110230049105621994559656984515683271698359071150488229641758922922477832833620091544861425293522075098966281304008870626241208476302174926603581126798400,45426770438391936448990668897950844302198890145166937369605943123542061886191823826152637849848198885717811877670367980551135054817240739698289373015470868536644093860388646671620966341064144088470307689057465564483619069106052236,392313246419534320642897305645727189359844225925141600568534524496929687996221416644109661537594362103111453534882681296544472265196806116494246164710772,78.798132,64.798132,64.798132
157,15,206537746753890332466713099942766912152833340339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,16,210138660389333538426591951288269072538385683874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,17,232709645806532347672404250083069682558406623773,52,94.206897,77.206897,34,61.310345,44.310345,55,99.689655,82.689655,34,61.310345,44.310345,52,94.206897,77.206897,52,94.206897,77.206897,63,114.310345,97.310345,36,64.965517,47.965517,39,70.448276,53.448276,48,93.259259,76.259259,37,71.666667,54.666667,1935647743922713757333089006480454879635151367912214353961968071996032886064498368924209016237622333408721360336396374298693151431203092453512654440730624,181483708536692645766734536935861898779212554587700490519777720309139459827829120297629027716282943306131355302125756253670502064428481395028596017791970656498293286677237998523398691608712213514522815645049209355031047886946067700,1567323896926510251936900477448749644366078791438442180085549821681493217769556861807680200269405400757859626183944637644203522579532416733700335098706252,80.641089,63.641089,63.641089
21,18,237804177383854528740903125868242177373381939030,13,22.931034,4.931034,16,28.413793,10.413793,73,132.586207,114.586207,16,28.413793,10.413793,13,22.931034,4.931034,13,22.931034,4.931034,44,79.586207,61.586207,74,134.413793,116.413793,78,141.724138,123.724138,9,16.703704,-1.296296,21,40.259259,22.259259,420585055556512775100295727209741100072443154492493555560452508634726780238902326468030322492500407910958306515906950527166524409021629408426115669061809,1713283548298862042308119427292322516748629565343862969644809155426320692111788620069502193623179791104477933599337524458897878264891883444873656651500720798430772955768792628189596687367671185853758673547855570765484005543436159,14796205505779266534964146323069632685614186849929086038393812278747970210885590855169842696285907837196668593929372746646687527739368974729020837602450,64.818177,46.818177,46.818177
159,19,244085258871455848540644414295584483545914627653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,20,260611799489884853864223547583164836812465848292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,21,264850468790110046403329152135145724704130418961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,22,269603043908408876625075787454789060252112076219,1,1.000000,-21.000000,64,116.137931,94.137931,25,44.862069,22.862069,64,116.137931,94.137931,1,1.000000,-21.000000,1,1.000000,-21.000000,12,21.103448,-0.896552,78,141.724138,119.724138,56,101.517241,79.517241,40,77.555556,55.555556,25,48.111111,26.111111,6916706100532052770155061489760707295074092067149969126722137284278819775018407072042416042722849800987970349705116402277084466148233181394602671649667129,15387517732977136635230905781155301944045281524066149170140289395097953647336254660838047562565598684626142874792135401412781905025540472634111759430032379634397123803688760035593656305758281766079504687358486748753206764026799,132889196786495302291036525614479173042070399982067886892081589242413071883184510498718452815519070615059269598724123358525555799172906296927142570090,71.077071,49.077071,49.077071
53,23,269938057899479461158616439596796306233630299473,7,11.965517,-11.034483,37,66.793103,43.793103,52,94.206897,71.206897,37,66.793103,43.793103,7,11.965517,-11.034483,7,11.965517,-11.034483,45,81.413793,58.413793,62,112.482759,89.482759,6,10.137931,-12.862069,14,26.518519,3.518519,53,103.074074,80.074074,2098204804152437392467363984059299584536050677771720464680794239630125639872791794009464635915259909728296986879605563884298082069447926580425157365017664,355911576582313077306205842544558557648513917870436368205729017554530344348138825427106746057102371258955971198629281134330101096585469520758605029547805243875466479356025847413471644205551348428505350386740849156023781166377120,3073712366074260502918121444564182149828085996036755703239950257768585810170957288036383442142259149665609728981904644223791888476698746244639199236512,67.324101,44.324101,44.324101
142,24,272930925398237711062007599079555106662373330914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
