n,Delta,Delta_bits,verify,print_0_xoverp_yoverp
2,2,2,True,0.973396897681911219874187479164064370527739225341089540308236126418910194056432890699788856621217958934034126370661708702348212656516135170171650505398146137.220939341789907596180323261299559091201231792535464013095513200023333844114295095880677291538930471036967336492161784296132941802283416338810533587720639803
3,4,3,True,0.362273239631000289425727378580545974174493600017426021792629067243388265731020797053662138624143022130435421905990624143875909888473087431060230232532116934.417660370638392028051607918936314344360951243480469738197990241306346337520704035201045044632074912064741855509748206938687191395271978563116658097295431159
4,1,1,True,0.183622710724002784432124690902779585679549799804520186859146846942513299663071403251908072816690410039606505647272118640168344207073616638226179137973512415.360559979280266413939413901676515237545485709671163346656466754396809422686186465380825347519967207618187686067764283761896579522656557091093688883409717020
5,13,4,True,0.207698779716214231532586182895129518964716185657870912377650994773187063968941061734184499979647291070110790300159742805545362798196740861353283629324550242.195780994213496334443786267801649000465876728641501444277063068452748856151665369372199527521912998039398686754302220512577544871085705175876957410523214162
6,28,5,True,0.948650930495478282942085783929239237947982550527399861880358191985084504596413297269014941084894285271751097258238504001955136737919998817738697314286892601.878400600336304483397667909955668974080215869418931287744582187854406447717725835455792052697198366001770436522387626432722049146045815471843474335460988126
7,27,5,True,0.587179813393473394001403217201209963415533686243256090381644053278908729880754020701854069611063796585443049577324310443996198989580504227036741652168644129.740918733266631982646178124822326111845952961151252933959521611518453090246634996065290810216330520948445695391868980359624511325752243758137476187193154023
8,148,8,True,0.034126863575785386152794651105205346152060077193853107535598482031109317894674019636892188940014821083670461256343502121266365270483949776535355472054630874.824523198847422368458926908214250223048352172807543035949970661305427104018637059879440206778237899435299273721691283441765903070587069670824488812902742435
9,243,8,True,0.263185345051362491119566557811966991604092738945334335622807367120464004257120802648727448357838401939195037574379676709730995712122939994942374341843743838.529567718618671486090417863045860280296736623666205417918686108162566359949610249255689499769753416158915566969688647027928885610803214546593513267341275268
10,47,6,True,0.654857814910130699110631948178105550871745050827360574597826485914776085988968420142311113304881994803508161712908527810166981489005011674731575663286954204.833995112258856273992650661079990497697438488198129759636840612321592720163907596833428131791547942131856542254197000397850829115316805598337412979701557146
11,641,10,True,0.543055556767958548393572910794610963469543689962358066889768090866543490762655442870029875325934168025344031412664023928358318357584207074809428930137062968.113540202675591408756258414778735436206563654898403927508967741387013996408662950918152718095697176593059504635457752731982038072501741826077944154559024925
12,1528,11,True,0.542983815017244408261451214495138794014838783164708293857423809602787249691183839232053597003804923962589340832114734231570638007718165561743388512174066787.382475229502695060009048965526065932119414705536522395310794883281934985673401156371900700941876491744162022493806043695963638930475482034640219790068025083
13,2533,12,True,0.667399090215942309835316511250547224608691307025737162728933565442213599787817927733951420393476832420405112648603290081129671176367781547769812322646698778.182980220570378855483610192276114741322588904246939883084725951920321391087217167091279168854463608730573378529812201745975843586318409647634567340848929078
14,5328,13,True,0.706815621052286166473376488545464900012138862385148090455126664569420504086829731163887300294903233337994302046768075901212129077309287073826106581086077118.470549478310477933290011485692645399818082652475285453586771390015736138594106350292114870742122368456985611006751940074657712209663665188522856028556430778
15,16323,14,True,0.994713782555285072124832941387138196235226956670604940829053645026164296327716131328013975071282145241406035340126771243402278635376749646855790107012696884.777606422534627422904077814329541603562988885785196140333430198592517107917059272874892800457593588289623463121504100010354592507247661426843494343401639059
16,24643,15,True,0.615423036072675204711298857917184019269333014461891651695858827954910805324514528469706757778323657303803389419086810016687636093328354566856810455345962156.514681288563156478280045571530864427764171507680954769599020774780540453270142660138954365842231082796696344147410771046429045760746764512375862698630006483
17,44313,16,True,0.247688989739919386219075593120163811522651059433474356234742639956179312182644120413395686331651425162386192328235900154916933239391865356200574176216419799.223605818190286754988977110613762437908876610557765544182651535865085764240851948277279531318581427906835969230533995497282601921418295110654677949830579342
18,102846,17,True,0.050363729034052879838604933241617888516697063049612390003220740892482537378373267733097788748326870653082386513705430950346428808110914373640927536395938527.533456360598229461945450470401661829027195260911347040047257639962501113476296597308318315097503801165160746642482042284541722846520789009652676241214574090
19,158866,18,True,0.521091255169780243306315965461550787518006801342282507716165160872576890917893105488488772020941361880490832716901597405318021104296455534798895099147113142.271457542420308265311296771712322212993130046928364567721066935761977886399002397098160825972917629557767420202312319788294723234951391537636180749819815919
20,505782,19,True,0.235508310570608608751796625232158217653232228800366823647640347645956181731229344129410715023916432843326162668024855359561369234544372152411354888629403880.531281197182471451854511505906293346035891855464889380063536168711922741132968281146681967027397816433108144851245663542364543942851367182795310287231465017
21,948447,20,True,0.103338984997347905740719840146549208926021612739555243923646082424597529533842618478023536259404889794158116428977503737093197088175091159010675372762980720.177112016836555759071695157241657381084727088177269777691133543630928814295183272783389650542505146727754828207153080385406026170692142240538197371026030790
22,1195739,21,True,0.245505054086343922792492811688485969277244153428955735192946029925293723585859703607019172316928652378677729487749580720658722724393004113660261037178522817.437705346853408484663336185362563105886684935573930810544605849633156274920655344319254544467880766473154335350893041346913157855201834777592515061081828239
23,2591299,22,True,0.969346059045660648238853485289867975589324835913608853759449832811541454241859108574039995438238437710242791488980441155701174370502526006054066994578072601.590628568311036430067234543809686981639498435664300426589353196285547371143933709304045074537035722847926152423256148129812898369056621594241725449824525193
