n,interp,n_dot_C,target
1,A,1.079546336499460462554501802883040753799770017855946243657403747988737825607683251435419657170337565794313101022542094127614728505372509254656081463062214006,0.000000000000000000000000000000000000000000000000000000000000000000000000000009323144125044046570516843537923524902021513909737742514611003928121415855990632
2,A,2.079546336499460462554501802883040753799770017855946243657403747988737825607683251435419657170337565794313101022542094127614728505372509254656081463062214006,0.000000000000000000000000000000000000000000000000000000000000000000000000000017959312680138491195903195400723924473137514274174023899634707398290327992521157
3,A,3.079546336499460462554501802883040753799770017855946243657403747988737825607683251435419657170337565794313101022542094127614728505372509254656081463062214006,0.000000000000000000000000000000000000000000000000000000000000000000000000000026595481235232935821289547263524324044253514638610305284658410868459240129051681
4,A,4.079546336499460462554501802883040753799770017855946243657403747988737825607683251435419657170337565794313101022542094127614728505372509254656081463062214006,0.000000000000000000000000000000000000000000000000000000000000000000000000000035231649790327380446675899126324723615369515003046586669682114338628152265582205
5,A,5.079546336499460462554501802883040753799770017855946243657403747988737825607683251435419657170337565794313101022542094127614728505372509254656081463062214006,0.000000000000000000000000000000000000000000000000000000000000000000000000000043867818345421825072062250989125123186485515367482868054705817808797064402112730
6,A,6.079546336499460462554501802883040753799770017855946243657403747988737825607683251435419657170337565794313101022542094127614728505372509254656081463062214006,0.000000000000000000000000000000000000000000000000000000000000000000000000000052503986900516269697448602851925522757601515731919149439729521278965976538643254
7,A,7.079546336499460462554501802883040753799770017855946243657403747988737825607683251435419657170337565794313101022542094127614728505372509254656081463062214006,0.000000000000000000000000000000000000000000000000000000000000000000000000000061140155455610714322834954714725922328717516096355430824753224749134888675173778
8,A,8.079546336499460462554501802883040753799770017855946243657403747988737825607683251435419657170337565794313101022542094127614728505372509254656081463062214006,0.000000000000000000000000000000000000000000000000000000000000000000000000000069776324010705158948221306577526321899833516460791712209776928219303800811704303
9,A,9.079546336499460462554501802883040753799770017855946243657403747988737825607683251435419657170337565794313101022542094127614728505372509254656081463062214006,0.000000000000000000000000000000000000000000000000000000000000000000000000000078412492565799603573607658440326721470949516825227993594800631689472712948234827
10,A,10.079546336499460462554501802883040753799770017855946243657403747988737825607683251435419657170337565794313101022542094127614728505372509254656081463062214006,0.000000000000000000000000000000000000000000000000000000000000000000000000000087048661120894048198994010303127121042065517189664274979824335159641625084765351
11,A,11.079546336499460462554501802883040753799770017855946243657403747988737825607683251435419657170337565794313101022542094127614728505372509254656081463062214006,0.000000000000000000000000000000000000000000000000000000000000000000000000000095684829675988492824380362165927520613181517554100556364848038629810537221295876
12,A,12.079546336499460462554501802883040753799770017855946243657403747988737825607683251435419657170337565794313101022542094127614728505372509254656081463062214006,0.000000000000000000000000000000000000000000000000000000000000000000000000000104320998231082937449766714028727920184297517918536837749871742099979449357826400
13,A,13.079546336499460462554501802883040753799770017855946243657403747988737825607683251435419657170337565794313101022542094127614728505372509254656081463062214006,0.000000000000000000000000000000000000000000000000000000000000000000000000000112957166786177382075153065891528319755413518282973119134895445570148361494356924
14,A,14.079546336499460462554501802883040753799770017855946243657403747988737825607683251435419657170337565794313101022542094127614728505372509254656081463062214006,0.000000000000000000000000000000000000000000000000000000000000000000000000000121593335341271826700539417754328719326529518647409400519919149040317273630887449
15,A,15.079546336499460462554501802883040753799770017855946243657403747988737825607683251435419657170337565794313101022542094127614728505372509254656081463062214006,0.000000000000000000000000000000000000000000000000000000000000000000000000000130229503896366271325925769617129118897645519011845681904942852510486185767417973
16,A,16.079546336499460462554501802883040753799770017855946243657403747988737825607683251435419657170337565794313101022542094127614728505372509254656081463062214006,0.000000000000000000000000000000000000000000000000000000000000000000000000000138865672451460715951312121479929518468761519376281963289966555980655097903948497
17,A,17.079546336499460462554501802883040753799770017855946243657403747988737825607683251435419657170337565794313101022542094127614728505372509254656081463062214006,0.000000000000000000000000000000000000000000000000000000000000000000000000000147501841006555160576698473342729918039877519740718244674990259450824010040479022
18,A,18.079546336499460462554501802883040753799770017855946243657403747988737825607683251435419657170337565794313101022542094127614728505372509254656081463062214006,0.000000000000000000000000000000000000000000000000000000000000000000000000000156138009561649605202084825205530317610993520105154526060013962920992922177009546
19,A,19.079546336499460462554501802883040753799770017855946243657403747988737825607683251435419657170337565794313101022542094127614728505372509254656081463062214006,0.000000000000000000000000000000000000000000000000000000000000000000000000000164774178116744049827471177068330717182109520469590807445037666391161834313540070
20,A,20.079546336499460462554501802883040753799770017855946243657403747988737825607683251435419657170337565794313101022542094127614728505372509254656081463062214006,0.000000000000000000000000000000000000000000000000000000000000000000000000000173410346671838494452857528931131116753225520834027088830061369861330746450070595
135,A,135.079546336499460462554501802883040753799770017855946243657403747988737825607683251435419657170337565794313101022542094127614728505372509254656081463062214006,0.000000000000000000000000000000000000000000000000000000000000000000000000001166569730507699626372287993153177067431565562744199448107787268930755642151080894
256,A,256.079546336499460462554501802883040753799770017855946243657403747988737825607683251435419657170337565794313101022542094127614728505372509254656081463062214006,0.000000000000000000000000000000000000000000000000000000000000000000000000002211546125674127426044036568552025415536601606840989495695655388821194010671274340
1000,A,1000.079546336499460462554501802883040753799770017855946243657403747988737825607683251435419657170337565794313101022542094127614728505372509254656081463062214006,0.000000000000000000000000000000000000000000000000000000000000000000000000008636855530664394227331482354475522696446905877981582846153290770626864640249984451
1,B,1.400299424685491941412237920136078078570936627989436474355800763988659548296974472020233503111073944903824898805087210896741933336645418894770600000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000000012093221859185687023723416738610567238860036920086782445363537934640731143309201
2,B,2.400299424685491941412237920136078078570936627989436474355800763988659548296974472020233503111073944903824898805087210896741933336645418894770600000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000000020729390414280131649109768601410966809976037284523063830387241404809643279839725
3,B,3.400299424685491941412237920136078078570936627989436474355800763988659548296974472020233503111073944903824898805087210896741933336645418894770600000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000000029365558969374576274496120464211366381092037648959345215410944874978555416370250
4,B,4.400299424685491941412237920136078078570936627989436474355800763988659548296974472020233503111073944903824898805087210896741933336645418894770600000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000000038001727524469020899882472327011765952208038013395626600434648345147467552900774
5,B,5.400299424685491941412237920136078078570936627989436474355800763988659548296974472020233503111073944903824898805087210896741933336645418894770600000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000000046637896079563465525268824189812165523324038377831907985458351815316379689431299
6,B,6.400299424685491941412237920136078078570936627989436474355800763988659548296974472020233503111073944903824898805087210896741933336645418894770600000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000000055274064634657910150655176052612565094440038742268189370482055285485291825961823
7,B,7.400299424685491941412237920136078078570936627989436474355800763988659548296974472020233503111073944903824898805087210896741933336645418894770600000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000000063910233189752354776041527915412964665556039106704470755505758755654203962492347
8,B,8.400299424685491941412237920136078078570936627989436474355800763988659548296974472020233503111073944903824898805087210896741933336645418894770600000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000000072546401744846799401427879778213364236672039471140752140529462225823116099022872
9,B,9.400299424685491941412237920136078078570936627989436474355800763988659548296974472020233503111073944903824898805087210896741933336645418894770600000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000000081182570299941244026814231641013763807788039835577033525553165695992028235553396
